Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,23,1,District-Sheopur ,Rural,0-4,36,29,30,33,5,3,54,57,11,9
C4920,23,1,District-Sheopur ,Rural,5-9,71,41,62,62,38,21,103,74,34,19
C4920,23,1,District-Sheopur ,Rural,10-19,137,98,143,110,87,38,382,220,107,77
C4920,23,1,District-Sheopur ,Rural,20-29,94,40,103,69,42,18,457,244,114,45
C4920,23,1,District-Sheopur ,Rural,30-39,94,75,108,67,22,22,386,193,84,47
C4920,23,1,District-Sheopur ,Rural,40-49,135,106,80,71,21,17,255,125,56,38
C4920,23,1,District-Sheopur ,Rural,50-59,147,169,76,71,19,18,188,122,38,31
C4920,23,1,District-Sheopur ,Rural,60-69,208,293,93,109,10,7,195,144,20,21
C4920,23,1,District-Sheopur ,Rural,70-79,203,219,94,73,2,5,133,128,7,9
C4920,23,1,District-Sheopur ,Rural,80-89,55,73,27,30,3,3,32,37,1,2
C4920,23,1,District-Sheopur ,Rural,90+,12,22,3,6,1,0,5,6,1,0
C4920,23,1,District-Sheopur ,Rural,Age Not Stated,0,0,1,0,0,0,1,1,0,0
C4920,23,1,District-Sheopur ,Urban,0-4,5,1,4,7,1,1,7,3,5,2
C4920,23,1,District-Sheopur ,Urban,5-9,2,4,10,7,8,7,17,20,9,13
C4920,23,1,District-Sheopur ,Urban,10-19,11,17,26,14,14,13,62,43,55,34
C4920,23,1,District-Sheopur ,Urban,20-29,18,9,15,11,7,10,85,44,33,27
C4920,23,1,District-Sheopur ,Urban,30-39,17,7,14,18,4,5,97,43,29,14
C4920,23,1,District-Sheopur ,Urban,40-49,16,7,14,8,6,4,59,37,20,8
C4920,23,1,District-Sheopur ,Urban,50-59,14,21,12,6,4,3,37,26,9,9
C4920,23,1,District-Sheopur ,Urban,60-69,28,35,9,12,0,1,55,36,7,3
C4920,23,1,District-Sheopur ,Urban,70-79,31,34,18,10,0,0,30,24,2,0
C4920,23,1,District-Sheopur ,Urban,80-89,6,11,5,5,0,0,5,9,1,1
C4920,23,1,District-Sheopur ,Urban,90+,0,2,1,1,0,0,2,0,0,0
C4920,23,1,District-Sheopur ,Urban,Age Not Stated,0,0,0,0,0,0,1,0,0,0
C4920,23,2,District-Morena,Rural,0-4,67,66,166,152,10,8,120,60,31,11
C4920,23,2,District-Morena,Rural,5-9,127,86,198,186,97,59,184,135,101,41
C4920,23,2,District-Morena,Rural,10-19,266,200,492,324,187,108,999,418,289,115
C4920,23,2,District-Morena,Rural,20-29,257,113,327,238,135,56,1227,389,206,75
C4920,23,2,District-Morena,Rural,30-39,218,125,304,222,74,63,892,328,170,72
C4920,23,2,District-Morena,Rural,40-49,219,152,264,176,62,27,519,202,106,60
C4920,23,2,District-Morena,Rural,50-59,264,261,205,164,20,16,380,183,66,24
C4920,23,2,District-Morena,Rural,60-69,478,547,271,253,23,14,434,326,40,24
C4920,23,2,District-Morena,Rural,70-79,384,475,260,236,16,13,369,374,18,13
C4920,23,2,District-Morena,Rural,80-89,144,152,129,95,5,3,177,148,5,3
C4920,23,2,District-Morena,Rural,90+,37,44,24,23,1,1,36,53,0,3
C4920,23,2,District-Morena,Rural,Age Not Stated,3,0,2,5,0,0,1,3,0,1
C4920,23,2,District-Morena,Urban,0-4,23,26,32,31,6,5,31,13,8,3
C4920,23,2,District-Morena,Urban,5-9,29,21,42,36,31,17,45,29,13,11
C4920,23,2,District-Morena,Urban,10-19,78,43,103,91,57,29,244,111,82,36
C4920,23,2,District-Morena,Urban,20-29,71,42,89,68,40,24,411,140,80,38
C4920,23,2,District-Morena,Urban,30-39,64,38,88,52,29,15,264,111,66,23
C4920,23,2,District-Morena,Urban,40-49,51,21,80,45,17,8,177,68,35,14
C4920,23,2,District-Morena,Urban,50-59,50,39,53,43,10,8,125,43,18,12
C4920,23,2,District-Morena,Urban,60-69,76,90,62,67,6,4,119,86,7,9
C4920,23,2,District-Morena,Urban,70-79,65,47,57,52,3,1,110,85,4,1
C4920,23,2,District-Morena,Urban,80-89,19,23,25,21,2,1,43,36,2,0
C4920,23,2,District-Morena,Urban,90+,6,2,5,7,0,0,3,11,1,0
C4920,23,2,District-Morena,Urban,Age Not Stated,1,0,2,1,0,0,0,1,1,0
C4920,23,3,District-Bhind,Rural,0-4,112,91,202,197,16,8,64,43,22,11
C4920,23,3,District-Bhind,Rural,5-9,142,125,232,204,94,69,123,73,58,33
C4920,23,3,District-Bhind,Rural,10-19,363,228,586,526,205,108,665,239,231,84
C4920,23,3,District-Bhind,Rural,20-29,304,168,492,337,146,71,883,233,169,53
C4920,23,3,District-Bhind,Rural,30-39,255,151,379,309,91,57,654,223,159,53
C4920,23,3,District-Bhind,Rural,40-49,237,156,333,242,82,45,456,132,99,43
C4920,23,3,District-Bhind,Rural,50-59,260,214,251,200,41,40,318,158,62,26
C4920,23,3,District-Bhind,Rural,60-69,361,365,306,266,42,31,346,197,32,17
C4920,23,3,District-Bhind,Rural,70-79,375,342,271,215,24,13,249,213,16,14
C4920,23,3,District-Bhind,Rural,80-89,136,143,122,88,7,8,119,97,7,1
C4920,23,3,District-Bhind,Rural,90+,34,38,35,29,1,3,28,28,0,2
C4920,23,3,District-Bhind,Rural,Age Not Stated,2,3,16,10,1,0,3,1,3,0
C4920,23,3,District-Bhind,Urban,0-4,24,19,45,51,6,1,32,21,6,5
C4920,23,3,District-Bhind,Urban,5-9,24,28,69,59,27,14,36,31,27,13
C4920,23,3,District-Bhind,Urban,10-19,82,56,188,129,47,32,213,125,86,45
C4920,23,3,District-Bhind,Urban,20-29,85,32,132,95,53,30,310,143,83,22
C4920,23,3,District-Bhind,Urban,30-39,59,45,95,71,29,20,231,94,64,16
C4920,23,3,District-Bhind,Urban,40-49,74,38,97,66,24,15,180,62,48,19
C4920,23,3,District-Bhind,Urban,50-59,57,50,81,49,12,3,135,48,27,12
C4920,23,3,District-Bhind,Urban,60-69,89,99,56,57,6,6,99,53,14,8
C4920,23,3,District-Bhind,Urban,70-79,74,57,54,41,7,5,55,61,6,5
C4920,23,3,District-Bhind,Urban,80-89,26,24,23,17,3,0,29,25,1,0
C4920,23,3,District-Bhind,Urban,90+,8,4,6,4,0,0,7,5,0,2
C4920,23,3,District-Bhind,Urban,Age Not Stated,1,0,3,1,0,2,3,2,0,0
C4920,23,4,District-Gwalior,Rural,0-4,49,24,80,56,6,5,51,35,19,10
C4920,23,4,District-Gwalior,Rural,5-9,67,58,123,106,50,27,88,45,44,28
C4920,23,4,District-Gwalior,Rural,10-19,178,94,278,204,113,62,448,241,141,79
C4920,23,4,District-Gwalior,Rural,20-29,128,72,218,165,87,25,676,177,106,53
C4920,23,4,District-Gwalior,Rural,30-39,113,56,169,134,44,36,428,186,71,39
