Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,15,1,District-Mamit,Rural,0-4,3,1,7,2,1,2,5,2,1,2
C4920,15,1,District-Mamit,Rural,5-9,6,8,7,8,5,8,6,8,5,2
C4920,15,1,District-Mamit,Rural,10-19,15,8,25,8,11,5,11,14,18,15
C4920,15,1,District-Mamit,Rural,20-29,14,7,17,18,5,9,12,16,7,17
C4920,15,1,District-Mamit,Rural,30-39,10,6,20,10,13,6,12,10,12,16
C4920,15,1,District-Mamit,Rural,40-49,13,7,14,9,3,4,9,9,8,6
C4920,15,1,District-Mamit,Rural,50-59,13,6,14,21,8,4,12,6,7,8
C4920,15,1,District-Mamit,Rural,60-69,8,12,15,8,2,1,12,4,6,3
C4920,15,1,District-Mamit,Rural,70-79,3,6,17,8,0,1,5,1,1,2
C4920,15,1,District-Mamit,Rural,80-89,4,3,6,4,0,0,3,3,0,0
C4920,15,1,District-Mamit,Rural,90+,3,0,0,1,0,0,0,0,0,0
C4920,15,1,District-Mamit,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0,0
C4920,15,1,District-Mamit,Urban,0-4,1,1,0,1,0,0,0,0,0,0
C4920,15,1,District-Mamit,Urban,5-9,3,4,1,1,0,0,1,1,1,0
C4920,15,1,District-Mamit,Urban,10-19,4,7,7,3,3,1,2,2,3,3
C4920,15,1,District-Mamit,Urban,20-29,2,1,3,1,0,2,5,2,5,3
C4920,15,1,District-Mamit,Urban,30-39,0,3,2,1,0,2,4,2,6,4
C4920,15,1,District-Mamit,Urban,40-49,2,1,1,2,0,2,6,2,3,2
C4920,15,1,District-Mamit,Urban,50-59,4,5,6,6,2,1,3,1,4,4
C4920,15,1,District-Mamit,Urban,60-69,3,1,1,5,0,0,2,2,0,0
C4920,15,1,District-Mamit,Urban,70-79,2,3,3,5,0,1,2,1,0,1
C4920,15,1,District-Mamit,Urban,80-89,0,4,4,5,0,0,0,0,0,0
C4920,15,1,District-Mamit,Urban,90+,0,0,1,1,0,0,0,0,0,0
C4920,15,1,District-Mamit,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0,0
C4920,15,2,District-Kolasib,Rural,0-4,1,3,5,2,0,0,0,1,0,0
C4920,15,2,District-Kolasib,Rural,5-9,2,2,4,4,0,2,2,1,1,0
C4920,15,2,District-Kolasib,Rural,10-19,4,6,13,5,4,4,5,5,4,5
C4920,15,2,District-Kolasib,Rural,20-29,13,9,9,7,7,1,3,5,4,11
C4920,15,2,District-Kolasib,Rural,30-39,32,23,7,14,3,2,2,4,7,6
C4920,15,2,District-Kolasib,Rural,40-49,23,18,9,10,2,4,4,5,7,6
C4920,15,2,District-Kolasib,Rural,50-59,26,13,13,19,1,5,9,6,7,3
C4920,15,2,District-Kolasib,Rural,60-69,12,9,11,12,3,1,6,2,3,4
C4920,15,2,District-Kolasib,Rural,70-79,0,3,8,5,0,0,5,1,1,1
C4920,15,2,District-Kolasib,Rural,80-89,0,1,3,0,0,0,0,0,0,0
C4920,15,2,District-Kolasib,Rural,90+,0,0,1,1,0,0,0,0,0,0
C4920,15,2,District-Kolasib,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0,0
C4920,15,2,District-Kolasib,Urban,0-4,2,0,8,5,0,0,2,1,0,1
C4920,15,2,District-Kolasib,Urban,5-9,8,3,7,3,0,5,2,4,3,2
C4920,15,2,District-Kolasib,Urban,10-19,12,10,9,9,3,5,6,2,13,9
C4920,15,2,District-Kolasib,Urban,20-29,11,4,18,7,1,2,11,4,15,6
C4920,15,2,District-Kolasib,Urban,30-39,3,6,24,12,0,4,9,3,15,12
C4920,15,2,District-Kolasib,Urban,40-49,5,4,19,12,3,2,2,6,9,7
C4920,15,2,District-Kolasib,Urban,50-59,8,7,15,15,4,5,5,3,11,7
C4920,15,2,District-Kolasib,Urban,60-69,3,5,13,15,2,2,6,5,6,4
C4920,15,2,District-Kolasib,Urban,70-79,2,4,9,5,0,0,2,1,1,1
C4920,15,2,District-Kolasib,Urban,80-89,0,1,2,3,0,0,1,1,2,0
C4920,15,2,District-Kolasib,Urban,90+,0,0,1,1,0,0,0,0,0,0
C4920,15,2,District-Kolasib,Urban,Age Not Stated,0,0,0,0,0,1,0,0,0,0
C4920,15,3,District-Aizawl,Rural,0-4,2,3,2,1,0,0,5,3,0,1
C4920,15,3,District-Aizawl,Rural,5-9,7,7,8,2,6,5,4,5,4,3
C4920,15,3,District-Aizawl,Rural,10-19,21,22,13,20,20,10,12,11,23,21
C4920,15,3,District-Aizawl,Rural,20-29,9,9,15,20,7,9,15,22,31,16
C4920,15,3,District-Aizawl,Rural,30-39,14,11,31,18,6,9,18,12,34,20
C4920,15,3,District-Aizawl,Rural,40-49,11,9,30,25,13,12,20,14,19,33
C4920,15,3,District-Aizawl,Rural,50-59,15,17,37,27,15,9,21,14,14,15
C4920,15,3,District-Aizawl,Rural,60-69,12,18,41,25,4,3,17,10,9,11
C4920,15,3,District-Aizawl,Rural,70-79,14,11,35,21,1,4,11,10,3,6
C4920,15,3,District-Aizawl,Rural,80-89,5,7,24,15,1,1,3,8,1,2
C4920,15,3,District-Aizawl,Rural,90+,0,0,3,6,0,0,0,0,0,0
C4920,15,3,District-Aizawl,Rural,Age Not Stated,0,0,0,0,0,0,0,0,1,0
C4920,15,3,District-Aizawl,Urban,0-4,8,12,10,8,3,2,5,7,8,4
C4920,15,3,District-Aizawl,Urban,5-9,19,6,17,15,17,6,13,5,24,15
C4920,15,3,District-Aizawl,Urban,10-19,34,31,34,36,23,13,25,15,64,63
C4920,15,3,District-Aizawl,Urban,20-29,35,34,38,34,13,17,44,29,105,63
C4920,15,3,District-Aizawl,Urban,30-39,34,25,35,42,16,22,74,37,135,71
C4920,15,3,District-Aizawl,Urban,40-49,29,21,54,41,13,19,54,19,72,75
C4920,15,3,District-Aizawl,Urban,50-59,26,17,65,45,11,14,25,22,50,50
C4920,15,3,District-Aizawl,Urban,60-69,20,16,48,36,8,9,34,13,22,24
C4920,15,3,District-Aizawl,Urban,70-79,11,11,43,30,2,7,14,11,9,14
C4920,15,3,District-Aizawl,Urban,80-89,7,10,37,17,1,2,9,8,3,4
C4920,15,3,District-Aizawl,Urban,90+,3,0,4,7,0,0,0,2,2,0
C4920,15,3,District-Aizawl,Urban,Age Not Stated,1,0,0,1,0,0,1,0,30,8
C4920,15,4,District-Champhai,Rural,0-4,2,5,5,4,1,2,3,2,0,0
C4920,15,4,District-Champhai,Rural,5-9,6,6,5,8,7,3,10,1,4,5
C4920,15,4,District-Champhai,Rural,10-19,14,9,18,17,7,11,10,8,14,15
C4920,15,4,District-Champhai,Rural,20-29,9,6,13,25,13,8,19,10,22,13
C4920,15,4,District-Champhai,Rural,30-39,7,3,17,15,4,14,14,9,21,15
C4920,15,4,District-Champhai,Rural,40-49,6,9,30,23,11,10,19,16,14,17
C4920,15,4,District-Champhai,Rural,50-59,12,5,20,28,19,14,10,8,12,19
C4920,15,4,District-Champhai,Rural,60-69,9,6,28,15,7,9,8,9,4,7
C4920,15,4,District-Champhai,Rural,70-79,8,8,25,11,0,1,4,6,0,6
C4920,15,4,District-Champhai,Rural,80-89,2,3,10,8,2,0,2,3,3,2
C4920,15,4,District-Champhai,Rural,90+,0,1,3,1,0,0,1,1,0,0
C4920,15,4,District-Champhai,Rural,Age Not Stated,0,1,0,0,0,0,0,0,1,0
C4920,15,4,District-Champhai,Urban,0-4,3,0,0,1,0,0,0,0,1,1
C4920,15,4,District-Champhai,Urban,5-9,0,1,3,2,2,3,1,2,4,0
C4920,15,4,District-Champhai,Urban,10-19,1,5,6,1,1,3,3,7,10,7
C4920,15,4,District-Champhai,Urban,20-29,0,3,6,6,5,6,8,7,14,12
C4920,15,4,District-Champhai,Urban,30-39,0,3,5,6,3,3,6,4,10,6
C4920,15,4,District-Champhai,Urban,40-49,4,3,5,10,3,7,5,4,8,13
C4920,15,4,District-Champhai,Urban,50-59,3,2,6,10,2,6,5,0,5,11
C4920,15,4,District-Champhai,Urban,60-69,2,1,6,9,1,0,2,1,1,3
C4920,15,4,District-Champhai,Urban,70-79,1,4,3,4,0,1,0,2,0,1
C4920,15,4,District-Champhai,Urban,80-89,0,2,3,0,1,0,0,0,0,1
C4920,15,4,District-Champhai,Urban,90+,0,2,0,0,0,0,0,0,0,0
C4920,15,4,District-Champhai,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0,0
C4920,15,5,District-Serchhip,Rural,0-4,1,1,2,3,0,0,2,1,0,0
C4920,15,5,District-Serchhip,Rural,5-9,6,3,0,2,2,3,1,4,0,3
C4920,15,5,District-Serchhip,Rural,10-19,9,9,3,4,5,2,3,4,9,9
C4920,15,5,District-Serchhip,Rural,20-29,1,5,4,10,4,1,8,4,6,6
C4920,15,5,District-Serchhip,Rural,30-39,2,0,4,13,5,2,6,5,6,7
C4920,15,5,District-Serchhip,Rural,40-49,5,4,10,14,4,7,7,6,8,6
C4920,15,5,District-Serchhip,Rural,50-59,8,4,18,17,1,9,3,6,4,7
C4920,15,5,District-Serchhip,Rural,60-69,5,5,13,10,2,3,5,5,4,2
