Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,13,1,District-Mon,Rural,0-4,19,90,61,3,1,7,7,1,3
C4920,13,1,District-Mon,Rural,5-9,26,69,68,12,7,14,7,4,12
C4920,13,1,District-Mon,Rural,10-19,71,187,168,31,29,32,24,29,9
C4920,13,1,District-Mon,Rural,20-29,43,147,126,27,21,31,21,25,26
C4920,13,1,District-Mon,Rural,30-39,47,88,75,21,20,31,23,17,14
C4920,13,1,District-Mon,Rural,40-49,39,125,77,26,26,33,21,13,20
C4920,13,1,District-Mon,Rural,50-59,39,110,63,21,17,27,15,13,8
C4920,13,1,District-Mon,Rural,60-69,51,97,97,14,3,32,15,8,7
C4920,13,1,District-Mon,Rural,70-79,35,74,72,1,2,24,21,3,8
C4920,13,1,District-Mon,Rural,80-89,13,28,22,0,0,10,9,1,1
C4920,13,1,District-Mon,Rural,90+,4,6,6,0,0,8,4,0,0
C4920,13,1,District-Mon,Rural,Age Not Stated,0,11,2,0,0,0,1,1,0
C4920,13,1,District-Mon,Urban,0-4,3,4,13,1,0,3,0,2,0
C4920,13,1,District-Mon,Urban,5-9,4,10,12,1,2,2,1,1,0
C4920,13,1,District-Mon,Urban,10-19,12,34,24,8,4,4,4,1,1
C4920,13,1,District-Mon,Urban,20-29,8,17,12,3,2,6,2,6,4
C4920,13,1,District-Mon,Urban,30-39,7,15,9,3,3,7,1,1,3
C4920,13,1,District-Mon,Urban,40-49,7,10,5,2,2,7,5,3,1
C4920,13,1,District-Mon,Urban,50-59,6,16,5,1,1,11,1,2,0
C4920,13,1,District-Mon,Urban,60-69,6,7,3,1,1,3,1,1,1
C4920,13,1,District-Mon,Urban,70-79,0,5,2,2,0,0,1,0,0
C4920,13,1,District-Mon,Urban,80-89,1,1,0,0,0,1,0,0,1
C4920,13,1,District-Mon,Urban,90+,0,1,0,0,0,0,0,0,0
C4920,13,1,District-Mon,Urban,Age Not Stated,0,0,1,0,0,0,0,0,0
C4920,13,2,District-Mokokchung,Rural,0-4,2,7,5,2,0,1,1,1,0
C4920,13,2,District-Mokokchung,Rural,5-9,4,9,8,12,5,4,5,3,2
C4920,13,2,District-Mokokchung,Rural,10-19,17,29,21,21,8,9,6,14,9
C4920,13,2,District-Mokokchung,Rural,20-29,11,26,9,20,4,21,16,24,16
C4920,13,2,District-Mokokchung,Rural,30-39,15,22,19,13,18,18,7,31,32
C4920,13,2,District-Mokokchung,Rural,40-49,14,28,25,17,11,29,12,21,15
C4920,13,2,District-Mokokchung,Rural,50-59,13,32,24,13,5,17,16,14,13
C4920,13,2,District-Mokokchung,Rural,60-69,11,38,31,5,6,27,15,5,6
C4920,13,2,District-Mokokchung,Rural,70-79,20,66,60,10,2,31,37,5,5
C4920,13,2,District-Mokokchung,Rural,80-89,13,85,44,1,1,21,17,3,1
C4920,13,2,District-Mokokchung,Rural,90+,2,30,17,0,0,8,9,0,0
C4920,13,2,District-Mokokchung,Rural,Age Not Stated,1,0,0,0,0,2,1,0,0
C4920,13,2,District-Mokokchung,Urban,0-4,0,4,0,0,0,3,1,1,0
C4920,13,2,District-Mokokchung,Urban,5-9,0,4,4,3,3,3,1,1,2
C4920,13,2,District-Mokokchung,Urban,10-19,5,4,13,3,0,7,6,4,3
C4920,13,2,District-Mokokchung,Urban,20-29,2,8,8,6,1,9,5,15,6
C4920,13,2,District-Mokokchung,Urban,30-39,3,13,7,7,5,9,5,14,8
C4920,13,2,District-Mokokchung,Urban,40-49,6,8,11,4,2,13,1,11,8
C4920,13,2,District-Mokokchung,Urban,50-59,9,5,9,4,4,10,4,1,3
C4920,13,2,District-Mokokchung,Urban,60-69,8,10,6,3,1,10,6,0,3
C4920,13,2,District-Mokokchung,Urban,70-79,4,17,13,0,0,6,8,0,1
C4920,13,2,District-Mokokchung,Urban,80-89,5,21,14,0,1,2,3,0,2
C4920,13,2,District-Mokokchung,Urban,90+,1,7,9,1,0,0,1,0,0
C4920,13,2,District-Mokokchung,Urban,Age Not Stated,0,0,0,0,0,0,0,1,0
C4920,13,3,District-Zunheboto,Rural,0-4,2,20,19,0,0,1,0,2,0
C4920,13,3,District-Zunheboto,Rural,5-9,10,19,16,6,8,4,4,6,0
C4920,13,3,District-Zunheboto,Rural,10-19,19,43,39,17,17,16,19,11,13
C4920,13,3,District-Zunheboto,Rural,20-29,14,42,51,14,14,27,27,23,12
C4920,13,3,District-Zunheboto,Rural,30-39,14,43,39,16,12,13,20,21,16
C4920,13,3,District-Zunheboto,Rural,40-49,17,66,42,22,16,14,14,21,23
C4920,13,3,District-Zunheboto,Rural,50-59,18,43,51,20,9,13,13,18,16
C4920,13,3,District-Zunheboto,Rural,60-69,12,60,71,11,14,13,23,7,8
C4920,13,3,District-Zunheboto,Rural,70-79,17,48,30,4,3,14,19,0,0
C4920,13,3,District-Zunheboto,Rural,80-89,6,23,10,0,2,9,13,1,1
C4920,13,3,District-Zunheboto,Rural,90+,4,6,6,0,0,2,1,1,0
C4920,13,3,District-Zunheboto,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,13,3,District-Zunheboto,Urban,0-4,0,1,2,0,0,1,0,0,0
C4920,13,3,District-Zunheboto,Urban,5-9,2,1,2,2,2,1,0,0,1
C4920,13,3,District-Zunheboto,Urban,10-19,4,8,6,3,4,3,0,2,2
C4920,13,3,District-Zunheboto,Urban,20-29,6,5,4,1,1,4,0,2,1
C4920,13,3,District-Zunheboto,Urban,30-39,2,2,2,0,1,3,1,4,1
C4920,13,3,District-Zunheboto,Urban,40-49,4,7,4,1,2,7,0,2,5
C4920,13,3,District-Zunheboto,Urban,50-59,2,3,2,1,1,1,0,0,1
C4920,13,3,District-Zunheboto,Urban,60-69,2,1,0,1,0,2,1,1,1
C4920,13,3,District-Zunheboto,Urban,70-79,3,1,2,0,0,0,0,1,0
C4920,13,3,District-Zunheboto,Urban,80-89,0,0,1,0,0,0,0,0,1
C4920,13,3,District-Zunheboto,Urban,90+,0,1,0,0,0,0,0,0,0
C4920,13,3,District-Zunheboto,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,13,4,District-Wokha,Rural,0-4,1,0,7,2,0,1,2,2,0
C4920,13,4,District-Wokha,Rural,5-9,3,15,16,11,8,6,1,4,1
C4920,13,4,District-Wokha,Rural,10-19,13,50,31,17,15,40,22,12,19
C4920,13,4,District-Wokha,Rural,20-29,16,25,31,9,12,31,26,14,12
C4920,13,4,District-Wokha,Rural,30-39,7,25,18,11,17,20,15,15,10
C4920,13,4,District-Wokha,Rural,40-49,14,34,34,7,8,24,9,13,7
C4920,13,4,District-Wokha,Rural,50-59,10,23,36,3,2,15,13,4,5
C4920,13,4,District-Wokha,Rural,60-69,19,38,34,6,2,11,20,2,3
C4920,13,4,District-Wokha,Rural,70-79,19,34,36,2,1,14,9,2,0
C4920,13,4,District-Wokha,Rural,80-89,10,27,17,1,0,8,4,0,0
C4920,13,4,District-Wokha,Rural,90+,2,9,2,0,0,2,1,0,0
C4920,13,4,District-Wokha,Rural,Age Not Stated,0,0,0,0,0,1,0,0,0
C4920,13,4,District-Wokha,Urban,0-4,0,6,8,0,0,1,0,1,1
C4920,13,4,District-Wokha,Urban,5-9,1,7,10,2,0,0,0,2,1
C4920,13,4,District-Wokha,Urban,10-19,1,7,12,1,3,3,4,2,2
C4920,13,4,District-Wokha,Urban,20-29,0,21,15,3,3,5,2,4,5
C4920,13,4,District-Wokha,Urban,30-39,2,27,9,4,0,3,0,3,2
C4920,13,4,District-Wokha,Urban,40-49,1,22,3,0,0,1,1,3,3
C4920,13,4,District-Wokha,Urban,50-59,3,7,4,0,1,5,1,0,0
C4920,13,4,District-Wokha,Urban,60-69,3,5,3,0,0,3,2,0,3
C4920,13,4,District-Wokha,Urban,70-79,2,6,1,0,0,0,1,1,0
C4920,13,4,District-Wokha,Urban,80-89,0,5,2,0,0,0,2,0,0
C4920,13,4,District-Wokha,Urban,90+,0,0,1,0,0,0,0,0,0
C4920,13,4,District-Wokha,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,13,5,District-Dimapur ,Rural,0-4,4,12,4,2,3,6,6,6,2
C4920,13,5,District-Dimapur ,Rural,5-9,18,15,17,13,9,16,13,7,9
C4920,13,5,District-Dimapur ,Rural,10-19,33,29,28,24,23,33,21,15,17
C4920,13,5,District-Dimapur ,Rural,20-29,17,35,32,15,18,39,33,19,20
C4920,13,5,District-Dimapur ,Rural,30-39,14,24,15,11,13,24,4,23,17
C4920,13,5,District-Dimapur ,Rural,40-49,23,35,27,9,2,30,14,20,17
C4920,13,5,District-Dimapur ,Rural,50-59,36,40,23,6,4,23,17,7,6
C4920,13,5,District-Dimapur ,Rural,60-69,26,33,36,2,1,18,13,6,6
C4920,13,5,District-Dimapur ,Rural,70-79,12,36,23,1,1,14,10,4,4
C4920,13,5,District-Dimapur ,Rural,80-89,14,22,17,0,0,7,6,0,2
C4920,13,5,District-Dimapur ,Rural,90+,3,6,7,0,0,1,3,0,0
C4920,13,5,District-Dimapur ,Rural,Age Not Stated,0,1,2,0,0,0,0,0,0
C4920,13,5,District-Dimapur ,Urban,0-4,11,15,14,0,0,4,3,5,1
C4920,13,5,District-Dimapur ,Urban,5-9,12,17,14,5,5,7,5,8,4
C4920,13,5,District-Dimapur ,Urban,10-19,32,29,36,7,14,18,21,17,19
C4920,13,5,District-Dimapur ,Urban,20-29,32,44,43,16,19,38,22,29,19
C4920,13,5,District-Dimapur ,Urban,30-39,29,34,24,13,10,39,12,18,13
C4920,13,5,District-Dimapur ,Urban,40-49,26,57,19,10,6,20,12,18,7
C4920,13,5,District-Dimapur ,Urban,50-59,30,18,11,7,1,20,14,7,6
C4920,13,5,District-Dimapur ,Urban,60-69,15,12,13,4,0,29,11,5,4
C4920,13,5,District-Dimapur ,Urban,70-79,11,11,8,0,3,6,7,2,0
C4920,13,5,District-Dimapur ,Urban,80-89,2,10,2,1,1,5,3,0,1
C4920,13,5,District-Dimapur ,Urban,90+,1,4,1,0,0,1,0,2,0
C4920,13,5,District-Dimapur ,Urban,Age Not Stated,1,0,0,0,0,0,0,0,0
C4920,13,6,District-Phek,Rural,0-4,2,5,3,1,0,3,1,2,0
C4920,13,6,District-Phek,Rural,5-9,8,12,6,12,9,7,6,3,3
C4920,13,6,District-Phek,Rural,10-19,18,24,17,17,20,29,9,17,15
C4920,13,6,District-Phek,Rural,20-29,14,28,24,16,7,24,9,22,26
C4920,13,6,District-Phek,Rural,30-39,15,36,19,11,14,29,19,31,15
C4920,13,6,District-Phek,Rural,40-49,20,35,21,17,18,17,9,26,16
C4920,13,6,District-Phek,Rural,50-59,20,41,30,17,11,23,18,15,9
C4920,13,6,District-Phek,Rural,60-69,20,56,35,8,7,23,17,6,7
C4920,13,6,District-Phek,Rural,70-79,13,54,45,3,4,31,15,1,5
C4920,13,6,District-Phek,Rural,80-89,12,25,13,1,1,8,7,0,1
