Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,7,1,District-North West,Rural,0-4,7,12,9,3,0,9,8,7,4
C4920,7,1,District-North West,Rural,5-9,5,13,7,19,11,27,12,15,4
C4920,7,1,District-North West,Rural,10-19,23,52,24,19,14,88,43,54,26
C4920,7,1,District-North West,Rural,20-29,18,32,26,23,11,116,71,44,16
C4920,7,1,District-North West,Rural,30-39,25,30,15,13,5,112,56,40,16
C4920,7,1,District-North West,Rural,40-49,23,17,16,7,6,80,30,28,9
C4920,7,1,District-North West,Rural,50-59,16,9,10,2,1,59,31,25,7
C4920,7,1,District-North West,Rural,60-69,18,13,18,4,4,66,29,7,4
C4920,7,1,District-North West,Rural,70-79,9,7,18,2,1,27,22,5,3
C4920,7,1,District-North West,Rural,80-89,4,7,7,0,0,5,10,1,0
C4920,7,1,District-North West,Rural,90+,2,2,1,0,1,4,3,0,0
C4920,7,1,District-North West,Rural,Age Not Stated,0,0,0,0,0,0,1,0,0
C4920,7,1,District-North West,Urban,0-4,87,137,147,29,20,143,87,69,42
C4920,7,1,District-North West,Urban,5-9,136,195,163,192,150,239,201,232,143
C4920,7,1,District-North West,Urban,10-19,376,490,425,414,270,1019,621,973,596
C4920,7,1,District-North West,Urban,20-29,406,465,362,298,195,1719,779,884,450
C4920,7,1,District-North West,Urban,30-39,377,442,309,214,184,1432,706,531,352
C4920,7,1,District-North West,Urban,40-49,404,375,268,175,115,1212,540,434,267
C4920,7,1,District-North West,Urban,50-59,404,272,219,136,77,962,525,237,151
C4920,7,1,District-North West,Urban,60-69,458,308,318,83,55,1082,776,128,96
C4920,7,1,District-North West,Urban,70-79,232,234,217,53,29,530,572,50,35
C4920,7,1,District-North West,Urban,80-89,85,127,117,8,15,227,304,8,21
C4920,7,1,District-North West,Urban,90+,16,28,23,2,3,43,61,3,3
C4920,7,1,District-North West,Urban,Age Not Stated,3,5,2,3,2,2,2,2,0
C4920,7,2,District-North,Rural,0-4,0,1,0,0,0,0,0,0,0
C4920,7,2,District-North,Rural,5-9,0,0,0,2,0,0,1,1,1
C4920,7,2,District-North,Rural,10-19,3,0,1,0,2,8,1,1,2
C4920,7,2,District-North,Rural,20-29,2,2,1,1,1,7,8,2,3
C4920,7,2,District-North,Rural,30-39,2,0,0,0,0,7,3,5,0
C4920,7,2,District-North,Rural,40-49,2,1,2,1,0,7,2,2,0
C4920,7,2,District-North,Rural,50-59,4,2,0,0,1,3,2,1,0
C4920,7,2,District-North,Rural,60-69,7,3,4,1,0,7,3,1,1
C4920,7,2,District-North,Rural,70-79,5,2,3,0,0,2,4,1,0
C4920,7,2,District-North,Rural,80-89,0,0,0,0,0,3,3,0,0
C4920,7,2,District-North,Rural,90+,1,0,0,0,0,0,0,0,0
C4920,7,2,District-North,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,7,2,District-North,Urban,0-4,22,46,36,6,9,29,16,21,14
C4920,7,2,District-North,Urban,5-9,30,50,53,41,38,47,33,58,33
C4920,7,2,District-North,Urban,10-19,80,139,119,90,79,218,96,213,130
C4920,7,2,District-North,Urban,20-29,115,133,95,102,63,373,169,216,109
C4920,7,2,District-North,Urban,30-39,105,132,87,72,49,353,179,163,102
C4920,7,2,District-North,Urban,40-49,153,120,76,42,35,326,144,154,77
C4920,7,2,District-North,Urban,50-59,128,94,72,27,25,298,184,63,39
C4920,7,2,District-North,Urban,60-69,98,82,84,25,16,287,216,52,27
C4920,7,2,District-North,Urban,70-79,77,60,49,7,8,159,171,13,18
C4920,7,2,District-North,Urban,80-89,21,27,50,6,1,68,65,1,6
C4920,7,2,District-North,Urban,90+,6,10,6,1,0,19,23,1,1
C4920,7,2,District-North,Urban,Age Not Stated,0,2,1,0,0,1,0,0,0
C4920,7,3,District-North East,Rural,0-4,2,5,7,0,0,1,0,0,1
C4920,7,3,District-North East,Rural,5-9,1,2,4,6,2,4,1,2,0
C4920,7,3,District-North East,Rural,10-19,6,2,4,2,2,9,1,4,1
C4920,7,3,District-North East,Rural,20-29,1,3,14,3,0,9,8,6,0
C4920,7,3,District-North East,Rural,30-39,2,3,9,1,1,7,1,1,1
C4920,7,3,District-North East,Rural,40-49,2,1,3,0,1,10,1,2,1
C4920,7,3,District-North East,Rural,50-59,0,3,2,1,1,2,1,1,0
C4920,7,3,District-North East,Rural,60-69,5,0,0,3,0,3,4,1,0
C4920,7,3,District-North East,Rural,70-79,1,2,1,0,0,1,2,0,0
C4920,7,3,District-North East,Rural,80-89,1,0,0,0,0,1,1,0,0
C4920,7,3,District-North East,Rural,90+,0,0,0,0,0,2,0,0,0
C4920,7,3,District-North East,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,7,3,District-North East,Urban,0-4,90,125,108,23,14,87,74,67,30
C4920,7,3,District-North East,Urban,5-9,114,159,141,153,104,198,135,169,106
C4920,7,3,District-North East,Urban,10-19,325,372,320,350,233,808,543,611,408
C4920,7,3,District-North East,Urban,20-29,282,324,283,232,156,1354,736,527,239
C4920,7,3,District-North East,Urban,30-39,246,270,239,160,134,1136,543,379,189
C4920,7,3,District-North East,Urban,40-49,254,248,158,122,81,879,394,237,112
C4920,7,3,District-North East,Urban,50-59,273,171,127,79,38,627,357,106,70
C4920,7,3,District-North East,Urban,60-69,329,194,188,62,28,713,541,74,59
C4920,7,3,District-North East,Urban,70-79,173,138,129,21,11,302,290,21,15
C4920,7,3,District-North East,Urban,80-89,53,54,67,4,5,86,116,4,9
C4920,7,3,District-North East,Urban,90+,10,15,17,2,0,20,39,4,4
C4920,7,3,District-North East,Urban,Age Not Stated,0,4,1,3,1,3,2,2,2
C4920,7,4,District-East,Rural,0-4,0,0,0,1,0,0,0,0,0
C4920,7,4,District-East,Rural,5-9,0,1,0,0,0,1,0,0,0
C4920,7,4,District-East,Rural,10-19,1,0,0,0,0,0,1,2,0
C4920,7,4,District-East,Rural,20-29,2,0,1,2,0,0,1,0,1
C4920,7,4,District-East,Rural,30-39,0,1,1,2,2,1,0,0,1
C4920,7,4,District-East,Rural,40-49,0,0,0,0,0,1,2,0,0
C4920,7,4,District-East,Rural,50-59,2,1,0,0,0,2,2,0,0
C4920,7,4,District-East,Rural,60-69,0,0,0,0,0,1,1,0,1
C4920,7,4,District-East,Rural,70-79,0,0,0,0,0,0,2,0,0
C4920,7,4,District-East,Rural,80-89,0,0,0,0,0,1,1,0,0
C4920,7,4,District-East,Rural,90+,0,0,0,0,0,0,1,0,0
C4920,7,4,District-East,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,7,4,District-East,Urban,0-4,60,84,90,12,18,51,43,31,18
C4920,7,4,District-East,Urban,5-9,82,116,98,93,49,111,90,105,69
C4920,7,4,District-East,Urban,10-19,233,255,260,167,126,398,257,425,246
C4920,7,4,District-East,Urban,20-29,202,267,303,154,109,715,417,395,209
C4920,7,4,District-East,Urban,30-39,170,236,209,119,86,655,328,358,182
C4920,7,4,District-East,Urban,40-49,223,171,178,83,67,579,248,261,123
C4920,7,4,District-East,Urban,50-59,173,159,156,70,38,477,312,116,79
C4920,7,4,District-East,Urban,60-69,222,179,189,51,41,520,497,87,56
C4920,7,4,District-East,Urban,70-79,104,143,141,29,17,370,460,32,26
C4920,7,4,District-East,Urban,80-89,39,91,78,5,4,174,223,12,15
C4920,7,4,District-East,Urban,90+,8,18,22,2,1,18,39,0,2
C4920,7,4,District-East,Urban,Age Not Stated,2,6,9,0,0,1,1,0,0
C4920,7,5,District-New Delhi,Rural,0-4,0,0,0,0,0,0,0,0,0
C4920,7,5,District-New Delhi,Rural,5-9,0,0,0,0,0,0,0,0,0
C4920,7,5,District-New Delhi,Rural,10-19,0,0,0,0,0,0,0,0,0
C4920,7,5,District-New Delhi,Rural,20-29,0,0,0,0,0,0,0,0,0
C4920,7,5,District-New Delhi,Rural,30-39,0,0,0,0,0,0,0,0,0
C4920,7,5,District-New Delhi,Rural,40-49,0,0,0,0,0,0,0,0,0
C4920,7,5,District-New Delhi,Rural,50-59,0,0,0,0,0,0,0,0,0
C4920,7,5,District-New Delhi,Rural,60-69,0,0,0,0,0,0,0,0,0
C4920,7,5,District-New Delhi,Rural,70-79,0,0,0,0,0,0,0,0,0
C4920,7,5,District-New Delhi,Rural,80-89,0,0,0,0,0,0,0,0,0
C4920,7,5,District-New Delhi,Rural,90+,0,0,0,0,0,0,0,0,0
C4920,7,5,District-New Delhi,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,7,5,District-New Delhi,Urban,0-4,5,5,10,0,2,1,2,2,1
C4920,7,5,District-New Delhi,Urban,5-9,23,5,5,3,5,9,6,9,5
C4920,7,5,District-New Delhi,Urban,10-19,90,31,26,21,14,43,15,24,18
C4920,7,5,District-New Delhi,Urban,20-29,33,35,33,14,13,53,29,41,19
C4920,7,5,District-New Delhi,Urban,30-39,19,34,24,13,5,59,28,14,14
C4920,7,5,District-New Delhi,Urban,40-49,43,143,31,9,11,59,39,12,8
C4920,7,5,District-New Delhi,Urban,50-59,39,55,28,15,7,51,35,11,6
C4920,7,5,District-New Delhi,Urban,60-69,26,6,9,4,2,33,22,4,3
C4920,7,5,District-New Delhi,Urban,70-79,5,6,15,2,2,18,32,1,2
C4920,7,5,District-New Delhi,Urban,80-89,4,4,6,0,1,11,25,0,1
C4920,7,5,District-New Delhi,Urban,90+,0,3,1,0,0,2,4,1,2
