Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,21,1,District-Bargarh,Rural,0-4,121,84,66,20,14,127,82,36,27
C4920,21,1,District-Bargarh,Rural,5-9,198,128,108,105,95,191,102,138,103
C4920,21,1,District-Bargarh,Rural,10-19,469,386,314,228,176,512,386,423,311
C4920,21,1,District-Bargarh,Rural,20-29,395,287,274,157,140,773,586,363,344
C4920,21,1,District-Bargarh,Rural,30-39,361,323,305,131,112,772,448,363,345
C4920,21,1,District-Bargarh,Rural,40-49,442,369,339,113,92,773,458,286,276
C4920,21,1,District-Bargarh,Rural,50-59,555,358,362,70,57,662,543,152,156
C4920,21,1,District-Bargarh,Rural,60-69,752,564,612,60,54,921,841,94,141
C4920,21,1,District-Bargarh,Rural,70-79,528,472,495,17,15,590,674,43,51
C4920,21,1,District-Bargarh,Rural,80-89,216,193,173,5,12,248,230,6,11
C4920,21,1,District-Bargarh,Rural,90+,44,37,29,1,1,57,57,4,4
C4920,21,1,District-Bargarh,Rural,Age Not Stated,2,8,7,0,2,5,8,3,4
C4920,21,1,District-Bargarh,Urban,0-4,9,9,11,3,2,7,12,6,4
C4920,21,1,District-Bargarh,Urban,5-9,37,7,10,17,3,17,5,25,12
C4920,21,1,District-Bargarh,Urban,10-19,38,24,27,20,28,38,25,63,37
C4920,21,1,District-Bargarh,Urban,20-29,15,26,27,15,10,55,47,36,33
C4920,21,1,District-Bargarh,Urban,30-39,31,32,27,11,13,62,32,40,41
C4920,21,1,District-Bargarh,Urban,40-49,24,23,22,13,11,59,47,27,20
C4920,21,1,District-Bargarh,Urban,50-59,25,20,23,5,6,41,36,15,21
C4920,21,1,District-Bargarh,Urban,60-69,40,20,27,5,1,63,54,4,7
C4920,21,1,District-Bargarh,Urban,70-79,28,24,23,3,1,21,31,4,3
C4920,21,1,District-Bargarh,Urban,80-89,4,12,7,0,0,11,10,1,1
C4920,21,1,District-Bargarh,Urban,90+,3,2,2,0,0,1,5,1,0
C4920,21,1,District-Bargarh,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,21,2,District-Jharsuguda,Rural,0-4,61,23,23,9,3,25,16,4,13
C4920,21,2,District-Jharsuguda,Rural,5-9,74,62,57,45,23,44,29,53,37
C4920,21,2,District-Jharsuguda,Rural,10-19,186,178,136,56,57,153,108,118,101
C4920,21,2,District-Jharsuguda,Rural,20-29,186,126,168,59,47,217,165,153,109
C4920,21,2,District-Jharsuguda,Rural,30-39,149,117,135,40,32,233,156,114,142
C4920,21,2,District-Jharsuguda,Rural,40-49,260,157,134,27,16,232,189,93,113
C4920,21,2,District-Jharsuguda,Rural,50-59,222,151,185,21,18,259,226,48,95
C4920,21,2,District-Jharsuguda,Rural,60-69,378,235,232,15,12,344,397,40,54
C4920,21,2,District-Jharsuguda,Rural,70-79,258,181,189,8,9,251,308,19,21
C4920,21,2,District-Jharsuguda,Rural,80-89,105,88,63,3,4,103,119,1,7
C4920,21,2,District-Jharsuguda,Rural,90+,18,24,16,0,0,20,22,1,1
C4920,21,2,District-Jharsuguda,Rural,Age Not Stated,6,5,5,0,0,2,2,2,1
C4920,21,2,District-Jharsuguda,Urban,0-4,20,24,13,6,1,5,4,6,7
C4920,21,2,District-Jharsuguda,Urban,5-9,17,22,17,16,12,17,17,24,17
C4920,21,2,District-Jharsuguda,Urban,10-19,75,70,47,39,24,49,50,53,39
C4920,21,2,District-Jharsuguda,Urban,20-29,73,65,64,26,21,102,63,79,60
C4920,21,2,District-Jharsuguda,Urban,30-39,66,54,57,27,17,95,62,50,35
C4920,21,2,District-Jharsuguda,Urban,40-49,84,61,59,18,12,111,61,27,24
C4920,21,2,District-Jharsuguda,Urban,50-59,71,51,33,11,6,108,68,21,19
C4920,21,2,District-Jharsuguda,Urban,60-69,61,56,56,6,4,90,66,17,11
C4920,21,2,District-Jharsuguda,Urban,70-79,42,33,20,2,1,47,35,3,4
C4920,21,2,District-Jharsuguda,Urban,80-89,10,15,13,1,0,17,11,0,1
C4920,21,2,District-Jharsuguda,Urban,90+,3,2,4,0,0,4,3,1,0
C4920,21,2,District-Jharsuguda,Urban,Age Not Stated,2,3,3,0,0,3,1,1,0
C4920,21,3,District-Sambalpur,Rural,0-4,84,81,84,17,6,68,43,52,27
C4920,21,3,District-Sambalpur,Rural,5-9,152,122,107,58,44,104,80,90,66
C4920,21,3,District-Sambalpur,Rural,10-19,324,382,379,134,108,275,227,199,174
C4920,21,3,District-Sambalpur,Rural,20-29,247,308,306,86,76,385,335,211,185
C4920,21,3,District-Sambalpur,Rural,30-39,251,275,274,74,52,394,279,205,220
C4920,21,3,District-Sambalpur,Rural,40-49,341,325,303,73,28,459,343,171,190
C4920,21,3,District-Sambalpur,Rural,50-59,323,298,273,42,38,467,407,95,130
C4920,21,3,District-Sambalpur,Rural,60-69,435,431,377,30,31,639,608,45,77
C4920,21,3,District-Sambalpur,Rural,70-79,303,297,297,7,7,417,466,20,21
C4920,21,3,District-Sambalpur,Rural,80-89,94,90,102,3,3,135,166,6,8
C4920,21,3,District-Sambalpur,Rural,90+,22,31,29,1,0,38,39,2,2
C4920,21,3,District-Sambalpur,Rural,Age Not Stated,2,4,4,0,0,6,8,5,5
C4920,21,3,District-Sambalpur,Urban,0-4,68,64,65,6,2,9,11,12,9
C4920,21,3,District-Sambalpur,Urban,5-9,72,98,75,19,15,20,12,16,15
C4920,21,3,District-Sambalpur,Urban,10-19,191,196,185,36,47,88,52,72,46
C4920,21,3,District-Sambalpur,Urban,20-29,182,219,207,44,34,100,78,73,58
C4920,21,3,District-Sambalpur,Urban,30-39,154,183,169,44,27,109,57,72,65
C4920,21,3,District-Sambalpur,Urban,40-49,115,149,137,36,24,160,61,48,42
C4920,21,3,District-Sambalpur,Urban,50-59,84,100,78,19,15,126,73,22,33
C4920,21,3,District-Sambalpur,Urban,60-69,70,68,73,15,10,115,87,20,23
C4920,21,3,District-Sambalpur,Urban,70-79,39,49,44,3,5,56,53,10,4
C4920,21,3,District-Sambalpur,Urban,80-89,9,13,21,0,0,17,24,0,2
C4920,21,3,District-Sambalpur,Urban,90+,1,5,5,0,0,4,5,1,0
C4920,21,3,District-Sambalpur,Urban,Age Not Stated,1,1,4,0,0,2,0,1,3
C4920,21,4,District-Debagarh,Rural,0-4,26,30,24,3,5,26,28,7,6
C4920,21,4,District-Debagarh,Rural,5-9,31,49,41,53,20,51,31,33,22
C4920,21,4,District-Debagarh,Rural,10-19,88,134,124,64,44,148,100,73,92
C4920,21,4,District-Debagarh,Rural,20-29,49,66,80,38,31,190,113,85,71
C4920,21,4,District-Debagarh,Rural,30-39,70,91,86,27,20,190,123,69,67
C4920,21,4,District-Debagarh,Rural,40-49,74,60,59,13,12,176,121,56,50
C4920,21,4,District-Debagarh,Rural,50-59,88,86,72,6,5,170,101,25,31
C4920,21,4,District-Debagarh,Rural,60-69,111,118,93,7,8,161,131,14,21
C4920,21,4,District-Debagarh,Rural,70-79,96,57,54,2,7,98,79,5,8
C4920,21,4,District-Debagarh,Rural,80-89,30,20,21,0,0,31,21,1,2
C4920,21,4,District-Debagarh,Rural,90+,7,6,3,0,0,9,10,1,0
C4920,21,4,District-Debagarh,Rural,Age Not Stated,1,1,2,1,1,1,1,0,0
C4920,21,4,District-Debagarh,Urban,0-4,11,1,3,0,1,0,2,0,2
C4920,21,4,District-Debagarh,Urban,5-9,16,3,3,2,3,6,3,3,2
C4920,21,4,District-Debagarh,Urban,10-19,23,6,10,6,4,11,4,6,7
C4920,21,4,District-Debagarh,Urban,20-29,26,5,7,8,4,13,10,7,8
C4920,21,4,District-Debagarh,Urban,30-39,17,4,6,7,6,13,10,5,4
C4920,21,4,District-Debagarh,Urban,40-49,16,6,3,4,7,11,9,1,12
C4920,21,4,District-Debagarh,Urban,50-59,8,9,8,5,1,18,6,4,1
C4920,21,4,District-Debagarh,Urban,60-69,9,6,5,1,5,15,6,3,2
C4920,21,4,District-Debagarh,Urban,70-79,5,6,6,2,3,10,7,0,2
C4920,21,4,District-Debagarh,Urban,80-89,2,3,3,2,1,2,3,0,0
C4920,21,4,District-Debagarh,Urban,90+,1,0,0,0,0,0,1,0,0
C4920,21,4,District-Debagarh,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,21,5,District-Sundargarh,Rural,0-4,87,147,155,20,14,103,79,41,31
C4920,21,5,District-Sundargarh,Rural,5-9,146,211,252,113,85,175,107,168,132
C4920,21,5,District-Sundargarh,Rural,10-19,327,492,531,222,178,419,311,350,337
C4920,21,5,District-Sundargarh,Rural,20-29,231,375,398,169,144,590,403,301,287
C4920,21,5,District-Sundargarh,Rural,30-39,250,391,362,138,89,563,395,299,292
C4920,21,5,District-Sundargarh,Rural,40-49,331,415,385,125,78,668,430,276,249
C4920,21,5,District-Sundargarh,Rural,50-59,389,419,396,78,52,599,509,139,173
C4920,21,5,District-Sundargarh,Rural,60-69,588,538,617,55,57,736,806,89,91
C4920,21,5,District-Sundargarh,Rural,70-79,317,360,354,17,16,478,535,25,37
C4920,21,5,District-Sundargarh,Rural,80-89,119,104,105,7,6,168,154,5,11
C4920,21,5,District-Sundargarh,Rural,90+,25,24,17,3,3,39,35,4,2
C4920,21,5,District-Sundargarh,Rural,Age Not Stated,6,13,7,5,3,16,10,4,4
C4920,21,5,District-Sundargarh,Urban,0-4,75,65,70,10,10,32,21,24,21
C4920,21,5,District-Sundargarh,Urban,5-9,80,85,68,54,40,37,40,65,35
C4920,21,5,District-Sundargarh,Urban,10-19,179,187,199,102,100,182,124,161,129
C4920,21,5,District-Sundargarh,Urban,20-29,192,218,217,111,100,299,190,182,149
C4920,21,5,District-Sundargarh,Urban,30-39,167,216,167,143,85,276,149,158,105
C4920,21,5,District-Sundargarh,Urban,40-49,184,216,143,114,76,309,160,119,114
C4920,21,5,District-Sundargarh,Urban,50-59,136,145,126,76,41,311,175,57,68
C4920,21,5,District-Sundargarh,Urban,60-69,131,128,174,27,28,265,186,23,32
C4920,21,5,District-Sundargarh,Urban,70-79,83,131,97,23,13,149,167,16,13
C4920,21,5,District-Sundargarh,Urban,80-89,20,31,34,4,2,55,46,4,5
C4920,21,5,District-Sundargarh,Urban,90+,9,14,8,0,2,17,19,1,0
C4920,21,5,District-Sundargarh,Urban,Age Not Stated,9,9,9,3,0,3,3,2,3
C4920,21,6,District-Kendujhar,Rural,0-4,200,177,170,23,11,106,92,35,37
C4920,21,6,District-Kendujhar,Rural,5-9,278,291,245,145,123,234,138,164,112
C4920,21,6,District-Kendujhar,Rural,10-19,494,531,481,210,183,576,376,384,256
C4920,21,6,District-Kendujhar,Rural,20-29,379,498,468,178,139,621,415,333,275
C4920,21,6,District-Kendujhar,Rural,30-39,370,517,426,134,115,613,362,374,314
C4920,21,6,District-Kendujhar,Rural,40-49,447,518,381,103,84,717,392,271,240
C4920,21,6,District-Kendujhar,Rural,50-59,452,441,339,77,44,634,437,142,135
C4920,21,6,District-Kendujhar,Rural,60-69,611,549,516,41,47,710,517,81,90
C4920,21,6,District-Kendujhar,Rural,70-79,391,346,323,19,8,369,388,23,27
C4920,21,6,District-Kendujhar,Rural,80-89,120,110,95,3,4,129,156,11,10
C4920,21,6,District-Kendujhar,Rural,90+,31,27,29,0,0,27,33,2,0
C4920,21,6,District-Kendujhar,Rural,Age Not Stated,9,13,15,1,1,6,12,6,0
C4920,21,6,District-Kendujhar,Urban,0-4,20,27,25,4,2,7,6,3,2
C4920,21,6,District-Kendujhar,Urban,5-9,35,52,38,19,7,22,12,13,3
C4920,21,6,District-Kendujhar,Urban,10-19,58,91,91,32,29,54,36,48,28
C4920,21,6,District-Kendujhar,Urban,20-29,51,81,78,27,21,75,51,41,29
C4920,21,6,District-Kendujhar,Urban,30-39,37,87,80,13,14,81,48,43,32
C4920,21,6,District-Kendujhar,Urban,40-49,44,100,51,17,10,88,36,43,28
C4920,21,6,District-Kendujhar,Urban,50-59,35,50,53,12,3,80,29,24,23
C4920,21,6,District-Kendujhar,Urban,60-69,28,49,40,3,5,57,36,7,8
C4920,21,6,District-Kendujhar,Urban,70-79,19,18,24,2,1,32,20,1,7
C4920,21,6,District-Kendujhar,Urban,80-89,8,12,12,1,1,7,5,3,1
C4920,21,6,District-Kendujhar,Urban,90+,1,3,2,0,0,1,1,0,0
C4920,21,6,District-Kendujhar,Urban,Age Not Stated,0,2,2,0,0,0,0,0,1
C4920,21,7,District-Mayurbhanj,Rural,0-4,268,280,272,36,23,182,139,89,62
C4920,21,7,District-Mayurbhanj,Rural,5-9,463,510,475,256,189,336,229,264,201
C4920,21,7,District-Mayurbhanj,Rural,10-19,876,988,973,361,357,831,632,617,505
C4920,21,7,District-Mayurbhanj,Rural,20-29,611,731,712,267,221,911,622,554,508
C4920,21,7,District-Mayurbhanj,Rural,30-39,690,761,695,193,154,1039,622,559,522
C4920,21,7,District-Mayurbhanj,Rural,40-49,892,918,781,149,129,1131,843,505,509
C4920,21,7,District-Mayurbhanj,Rural,50-59,822,855,748,108,84,1153,849,290,314
C4920,21,7,District-Mayurbhanj,Rural,60-69,970,992,868,70,70,1293,1056,161,180
C4920,21,7,District-Mayurbhanj,Rural,70-79,592,578,581,27,26,712,766,63,88
C4920,21,7,District-Mayurbhanj,Rural,80-89,189,221,191,6,5,225,251,10,10
C4920,21,7,District-Mayurbhanj,Rural,90+,41,45,38,0,2,69,76,4,3
C4920,21,7,District-Mayurbhanj,Rural,Age Not Stated,8,16,16,6,6,11,16,5,5
C4920,21,7,District-Mayurbhanj,Urban,0-4,8,25,18,3,2,10,10,6,2
C4920,21,7,District-Mayurbhanj,Urban,5-9,25,28,28,20,13,19,10,43,11
C4920,21,7,District-Mayurbhanj,Urban,10-19,87,225,72,34,32,54,38,102,47
C4920,21,7,District-Mayurbhanj,Urban,20-29,50,195,80,33,29,66,52,59,39
C4920,21,7,District-Mayurbhanj,Urban,30-39,40,62,70,22,30,81,43,51,38
C4920,21,7,District-Mayurbhanj,Urban,40-49,57,68,56,26,23,94,73,62,28
C4920,21,7,District-Mayurbhanj,Urban,50-59,57,58,44,16,9,101,62,35,25
C4920,21,7,District-Mayurbhanj,Urban,60-69,43,42,35,7,7,85,48,13,18
C4920,21,7,District-Mayurbhanj,Urban,70-79,28,30,31,2,5,54,48,3,6
C4920,21,7,District-Mayurbhanj,Urban,80-89,9,9,14,0,4,19,21,1,4
C4920,21,7,District-Mayurbhanj,Urban,90+,5,9,0,0,0,7,1,0,0
C4920,21,7,District-Mayurbhanj,Urban,Age Not Stated,1,10,0,1,0,0,1,1,1
C4920,21,8,District-Baleshwar,Rural,0-4,223,250,190,47,34,213,155,102,75
