Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,34,1,District-Yanam,Rural,0-4,0,0,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Rural,5-9,0,0,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Rural,10-19,0,0,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Rural,20-29,0,0,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Rural,30-39,0,0,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Rural,40-49,0,0,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Rural,50-59,0,0,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Rural,60-69,0,0,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Rural,70-79,0,0,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Rural,80-89,0,0,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Rural,90+,0,0,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Urban,0-4,1,0,0,2,0,4,7,0,0
C4920,34,1,District-Yanam,Urban,5-9,4,5,2,5,9,14,7,7,2
C4920,34,1,District-Yanam,Urban,10-19,6,9,7,16,15,41,28,20,16
C4920,34,1,District-Yanam,Urban,20-29,9,12,11,4,4,59,35,17,9
C4920,34,1,District-Yanam,Urban,30-39,6,15,8,5,4,53,28,4,10
C4920,34,1,District-Yanam,Urban,40-49,17,11,6,8,2,47,24,6,10
C4920,34,1,District-Yanam,Urban,50-59,14,5,13,1,3,33,28,2,4
C4920,34,1,District-Yanam,Urban,60-69,21,11,11,1,3,42,23,3,1
C4920,34,1,District-Yanam,Urban,70-79,8,8,9,3,0,16,12,2,2
C4920,34,1,District-Yanam,Urban,80-89,2,1,5,0,0,0,5,0,1
C4920,34,1,District-Yanam,Urban,90+,0,1,0,0,0,0,0,0,0
C4920,34,1,District-Yanam,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,34,2,District-Puducherry,Rural,0-4,9,25,29,2,2,9,5,11,10
C4920,34,2,District-Puducherry,Rural,5-9,15,28,24,16,10,32,15,40,15
C4920,34,2,District-Puducherry,Rural,10-19,59,70,60,40,35,98,56,85,59
C4920,34,2,District-Puducherry,Rural,20-29,52,125,106,50,41,233,156,72,46
C4920,34,2,District-Puducherry,Rural,30-39,73,117,127,53,42,280,182,60,67
C4920,34,2,District-Puducherry,Rural,40-49,80,132,138,37,26,285,154,42,45
C4920,34,2,District-Puducherry,Rural,50-59,68,122,109,21,16,240,127,20,16
C4920,34,2,District-Puducherry,Rural,60-69,68,91,119,10,8,199,107,13,16
C4920,34,2,District-Puducherry,Rural,70-79,49,71,108,6,4,104,85,3,3
C4920,34,2,District-Puducherry,Rural,80-89,18,36,32,2,2,32,27,0,1
C4920,34,2,District-Puducherry,Rural,90+,3,6,6,1,0,6,5,0,1
C4920,34,2,District-Puducherry,Rural,Age Not Stated,1,2,0,0,1,0,2,0,0
C4920,34,2,District-Puducherry,Urban,0-4,16,44,56,2,5,20,17,31,31
