Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,3,1,District-Gurdaspur,Rural,0-4,116,100,290,286,10,10,58,41,48,39
C4920,3,1,District-Gurdaspur,Rural,5-9,157,87,412,324,96,62,125,74,156,111
C4920,3,1,District-Gurdaspur,Rural,10-19,336,234,957,778,202,121,447,279,556,348
C4920,3,1,District-Gurdaspur,Rural,20-29,292,239,799,780,145,113,847,491,521,339
C4920,3,1,District-Gurdaspur,Rural,30-39,234,186,600,614,108,95,806,432,442,250
C4920,3,1,District-Gurdaspur,Rural,40-49,275,219,564,528,107,74,517,250,302,202
C4920,3,1,District-Gurdaspur,Rural,50-59,231,181,376,380,71,43,334,166,165,97
C4920,3,1,District-Gurdaspur,Rural,60-69,333,288,378,384,64,56,344,189,165,109
C4920,3,1,District-Gurdaspur,Rural,70-79,231,191,259,253,31,17,213,139,67,37
C4920,3,1,District-Gurdaspur,Rural,80-89,117,109,141,138,12,12,79,65,16,27
C4920,3,1,District-Gurdaspur,Rural,90+,41,34,60,62,7,5,33,33,10,12
C4920,3,1,District-Gurdaspur,Rural,Age Not Stated,3,4,8,10,2,1,3,1,0,2
C4920,3,1,District-Gurdaspur,Urban,0-4,42,28,141,118,4,4,18,10,17,10
C4920,3,1,District-Gurdaspur,Urban,5-9,41,46,149,145,45,28,43,20,36,21
C4920,3,1,District-Gurdaspur,Urban,10-19,97,98,459,370,143,75,125,64,138,93
C4920,3,1,District-Gurdaspur,Urban,20-29,108,96,624,387,124,102,205,127,200,100
C4920,3,1,District-Gurdaspur,Urban,30-39,108,72,459,339,72,67,238,119,158,84
C4920,3,1,District-Gurdaspur,Urban,40-49,109,90,321,265,75,65,188,81,138,52
C4920,3,1,District-Gurdaspur,Urban,50-59,110,76,213,197,57,45,136,89,67,35
C4920,3,1,District-Gurdaspur,Urban,60-69,112,112,163,159,35,32,131,74,36,32
C4920,3,1,District-Gurdaspur,Urban,70-79,43,54,97,93,15,12,77,57,18,9
C4920,3,1,District-Gurdaspur,Urban,80-89,27,24,48,63,6,6,26,31,7,4
C4920,3,1,District-Gurdaspur,Urban,90+,3,14,27,20,0,1,4,14,1,5
C4920,3,1,District-Gurdaspur,Urban,Age Not Stated,3,4,3,2,0,0,1,1,0,1
C4920,3,2,District-Kapurthala ,Rural,0-4,49,54,80,67,3,6,19,15,25,18
C4920,3,2,District-Kapurthala ,Rural,5-9,61,53,99,73,31,23,37,25,64,46
C4920,3,2,District-Kapurthala ,Rural,10-19,158,122,205,177,81,37,157,87,204,123
C4920,3,2,District-Kapurthala ,Rural,20-29,137,107,203,157,57,45,282,177,173,122
C4920,3,2,District-Kapurthala ,Rural,30-39,93,91,170,148,35,32,328,162,158,95
C4920,3,2,District-Kapurthala ,Rural,40-49,97,71,142,114,25,35,199,103,127,85
C4920,3,2,District-Kapurthala ,Rural,50-59,92,69,122,86,34,24,150,75,65,45
C4920,3,2,District-Kapurthala ,Rural,60-69,126,113,114,88,25,17,145,101,52,41
C4920,3,2,District-Kapurthala ,Rural,70-79,91,73,90,71,12,10,103,59,30,16
C4920,3,2,District-Kapurthala ,Rural,80-89,37,41,51,57,2,5,34,33,7,3
C4920,3,2,District-Kapurthala ,Rural,90+,15,21,13,24,0,1,13,29,4,2
C4920,3,2,District-Kapurthala ,Rural,Age Not Stated,7,0,1,6,0,0,4,2,0,0
C4920,3,2,District-Kapurthala ,Urban,0-4,23,16,50,45,3,2,10,4,9,4
C4920,3,2,District-Kapurthala ,Urban,5-9,19,22,78,59,12,9,18,5,19,7
C4920,3,2,District-Kapurthala ,Urban,10-19,65,52,131,97,19,15,51,23,60,61
C4920,3,2,District-Kapurthala ,Urban,20-29,63,47,151,141,17,26,72,56,87,49
C4920,3,2,District-Kapurthala ,Urban,30-39,42,39,139,89,22,23,113,54,45,22
C4920,3,2,District-Kapurthala ,Urban,40-49,40,34,123,99,17,17,84,47,46,34
C4920,3,2,District-Kapurthala ,Urban,50-59,49,39,90,78,19,9,63,41,28,29
C4920,3,2,District-Kapurthala ,Urban,60-69,51,44,59,59,8,6,54,35,19,17
C4920,3,2,District-Kapurthala ,Urban,70-79,21,27,51,40,4,7,35,20,8,11
C4920,3,2,District-Kapurthala ,Urban,80-89,12,13,29,11,4,2,8,13,2,3
C4920,3,2,District-Kapurthala ,Urban,90+,4,2,13,6,1,0,2,8,0,2
C4920,3,2,District-Kapurthala ,Urban,Age Not Stated,0,1,2,1,0,1,0,0,0,0
C4920,3,3,District-Jalandhar,Rural,0-4,49,45,134,88,8,4,33,20,23,24
C4920,3,3,District-Jalandhar,Rural,5-9,66,56,138,105,42,31,66,44,94,52
C4920,3,3,District-Jalandhar,Rural,10-19,170,154,335,326,102,71,212,145,293,205
C4920,3,3,District-Jalandhar,Rural,20-29,144,129,311,304,75,51,478,325,279,174
C4920,3,3,District-Jalandhar,Rural,30-39,154,108,242,271,60,43,607,356,296,183
C4920,3,3,District-Jalandhar,Rural,40-49,169,143,253,243,55,39,389,147,244,148
C4920,3,3,District-Jalandhar,Rural,50-59,195,176,191,164,32,27,320,159,175,97
C4920,3,3,District-Jalandhar,Rural,60-69,251,215,203,203,27,18,301,196,104,85
C4920,3,3,District-Jalandhar,Rural,70-79,182,182,154,150,18,16,220,180,56,38
C4920,3,3,District-Jalandhar,Rural,80-89,109,113,105,111,6,4,103,113,10,18
C4920,3,3,District-Jalandhar,Rural,90+,30,37,39,36,2,5,36,45,7,6
C4920,3,3,District-Jalandhar,Rural,Age Not Stated,1,1,1,0,0,0,3,0,3,1
C4920,3,3,District-Jalandhar,Urban,0-4,75,70,197,200,5,2,15,17,31,34
C4920,3,3,District-Jalandhar,Urban,5-9,92,61,220,235,38,25,47,32,78,50
C4920,3,3,District-Jalandhar,Urban,10-19,209,150,464,526,94,60,171,119,254,202
C4920,3,3,District-Jalandhar,Urban,20-29,251,208,767,621,76,59,324,175,276,188
C4920,3,3,District-Jalandhar,Urban,30-39,219,172,480,460,67,52,325,226,242,179
C4920,3,3,District-Jalandhar,Urban,40-49,218,158,401,369,66,41,248,139,208,158
C4920,3,3,District-Jalandhar,Urban,50-59,157,100,281,264,50,27,238,119,134,77
C4920,3,3,District-Jalandhar,Urban,60-69,135,104,176,178,34,13,191,134,71,78
C4920,3,3,District-Jalandhar,Urban,70-79,54,63,109,117,16,8,101,95,33,38
C4920,3,3,District-Jalandhar,Urban,80-89,37,32,51,63,2,6,40,39,14,22
C4920,3,3,District-Jalandhar,Urban,90+,8,16,19,18,0,2,6,19,4,5
C4920,3,3,District-Jalandhar,Urban,Age Not Stated,1,1,6,7,0,3,3,1,0,0
C4920,3,4,District-Hoshiarpur,Rural,0-4,50,54,139,104,13,7,33,27,41,31
C4920,3,4,District-Hoshiarpur,Rural,5-9,79,64,149,113,84,39,99,52,145,90
C4920,3,4,District-Hoshiarpur,Rural,10-19,189,170,360,265,151,83,316,183,415,284
C4920,3,4,District-Hoshiarpur,Rural,20-29,159,152,331,312,136,107,613,402,412,261
C4920,3,4,District-Hoshiarpur,Rural,30-39,159,122,289,269,103,94,729,470,400,227
C4920,3,4,District-Hoshiarpur,Rural,40-49,215,161,287,253,90,47,545,279,366,206
C4920,3,4,District-Hoshiarpur,Rural,50-59,263,202,241,180,73,44,470,185,188,131
C4920,3,4,District-Hoshiarpur,Rural,60-69,304,330,222,242,51,48,335,225,113,80
C4920,3,4,District-Hoshiarpur,Rural,70-79,280,247,201,173,35,25,210,171,57,48
C4920,3,4,District-Hoshiarpur,Rural,80-89,122,150,122,131,7,13,96,118,18,19
C4920,3,4,District-Hoshiarpur,Rural,90+,38,55,50,64,4,3,46,46,9,13
C4920,3,4,District-Hoshiarpur,Rural,Age Not Stated,0,0,2,1,0,1,3,0,3,1
C4920,3,4,District-Hoshiarpur,Urban,0-4,22,24,55,40,1,1,8,4,8,10
C4920,3,4,District-Hoshiarpur,Urban,5-9,22,16,36,47,10,13,15,5,18,12
C4920,3,4,District-Hoshiarpur,Urban,10-19,56,44,99,93,24,20,62,37,76,45
C4920,3,4,District-Hoshiarpur,Urban,20-29,51,44,133,103,32,18,105,68,88,58
C4920,3,4,District-Hoshiarpur,Urban,30-39,50,39,115,103,24,15,115,58,68,53
C4920,3,4,District-Hoshiarpur,Urban,40-49,59,27,79,99,26,18,104,43,70,45
C4920,3,4,District-Hoshiarpur,Urban,50-59,35,26,73,65,17,10,90,42,44,21
C4920,3,4,District-Hoshiarpur,Urban,60-69,40,29,57,64,9,7,89,43,18,20
C4920,3,4,District-Hoshiarpur,Urban,70-79,26,22,38,32,4,4,44,22,10,15
C4920,3,4,District-Hoshiarpur,Urban,80-89,12,16,16,19,1,0,20,12,1,1
