Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,8,1,District-Ganganagar ,Rural,0-4,77,58,46,21,7,104,61,33,21
C4920,8,1,District-Ganganagar ,Rural,5-9,114,120,79,150,67,188,124,166,93
C4920,8,1,District-Ganganagar ,Rural,10-19,268,250,193,248,117,727,415,532,335
C4920,8,1,District-Ganganagar ,Rural,20-29,214,255,154,164,78,1100,540,443,227
C4920,8,1,District-Ganganagar ,Rural,30-39,168,241,161,101,69,1140,593,391,250
C4920,8,1,District-Ganganagar ,Rural,40-49,270,232,185,75,43,720,423,396,230
C4920,8,1,District-Ganganagar ,Rural,50-59,347,242,202,53,29,558,394,209,138
C4920,8,1,District-Ganganagar ,Rural,60-69,565,353,382,41,17,736,776,142,113
C4920,8,1,District-Ganganagar ,Rural,70-79,569,368,387,22,31,826,843,70,55
C4920,8,1,District-Ganganagar ,Rural,80-89,196,209,188,6,3,483,533,17,36
C4920,8,1,District-Ganganagar ,Rural,90+,47,62,72,2,1,140,185,2,4
C4920,8,1,District-Ganganagar ,Rural,Age Not Stated,15,11,9,2,6,46,36,11,9
C4920,8,1,District-Ganganagar ,Urban,0-4,26,25,15,7,3,34,13,20,4
C4920,8,1,District-Ganganagar ,Urban,5-9,52,45,40,42,25,46,40,47,18
C4920,8,1,District-Ganganagar ,Urban,10-19,165,99,74,72,42,204,129,158,102
C4920,8,1,District-Ganganagar ,Urban,20-29,101,102,84,68,48,316,181,164,86
C4920,8,1,District-Ganganagar ,Urban,30-39,86,91,74,35,26,317,205,146,57
C4920,8,1,District-Ganganagar ,Urban,40-49,98,88,61,34,25,276,141,101,59
C4920,8,1,District-Ganganagar ,Urban,50-59,94,68,68,18,19,204,120,41,33
C4920,8,1,District-Ganganagar ,Urban,60-69,93,63,83,22,12,184,176,23,29
C4920,8,1,District-Ganganagar ,Urban,70-79,78,85,89,13,6,149,177,17,19
C4920,8,1,District-Ganganagar ,Urban,80-89,28,33,49,1,2,76,63,6,2
C4920,8,1,District-Ganganagar ,Urban,90+,14,7,16,1,1,14,31,1,0
