Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,11,1,District-North  District,Rural,0-4,0,12,10,1,0,1,1,0,0
C4920,11,1,District-North  District,Rural,5-9,6,15,19,3,4,3,1,2,1
C4920,11,1,District-North  District,Rural,10-19,17,53,32,9,8,11,7,5,2
C4920,11,1,District-North  District,Rural,20-29,5,129,78,8,14,15,4,4,7
C4920,11,1,District-North  District,Rural,30-39,7,142,49,11,8,7,3,4,3
C4920,11,1,District-North  District,Rural,40-49,9,45,19,9,5,11,3,4,4
C4920,11,1,District-North  District,Rural,50-59,13,19,15,3,2,8,8,1,2
C4920,11,1,District-North  District,Rural,60-69,11,19,10,1,0,9,4,0,0
C4920,11,1,District-North  District,Rural,70-79,7,10,13,1,2,1,4,2,0
C4920,11,1,District-North  District,Rural,80-89,5,7,2,0,0,4,1,0,2
C4920,11,1,District-North  District,Rural,90+,0,7,3,0,0,0,0,0,0
C4920,11,1,District-North  District,Rural,Age Not Stated,0,3,0,0,0,0,0,0,1
C4920,11,1,District-North  District,Urban,0-4,0,0,0,0,0,0,0,0,0
C4920,11,1,District-North  District,Urban,5-9,0,0,0,0,0,0,0,0,0
C4920,11,1,District-North  District,Urban,10-19,0,1,0,0,0,1,1,0,0
C4920,11,1,District-North  District,Urban,20-29,0,2,1,1,0,0,0,0,0
C4920,11,1,District-North  District,Urban,30-39,2,0,0,0,0,0,1,0,0
C4920,11,1,District-North  District,Urban,40-49,0,2,0,0,0,0,0,1,0
C4920,11,1,District-North  District,Urban,50-59,0,0,1,1,0,2,0,0,0
C4920,11,1,District-North  District,Urban,60-69,1,0,0,0,0,1,0,0,0
C4920,11,1,District-North  District,Urban,70-79,0,0,1,0,0,0,1,1,0
C4920,11,1,District-North  District,Urban,80-89,0,0,0,0,0,0,0,0,0
C4920,11,1,District-North  District,Urban,90+,0,0,0,0,0,1,0,0,0
C4920,11,1,District-North  District,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,11,2,District-West District,Rural,0-4,3,6,7,3,1,5,5,6,2
C4920,11,2,District-West District,Rural,5-9,14,22,18,14,12,16,6,6,5
C4920,11,2,District-West District,Rural,10-19,22,56,52,26,25,35,27,19,17
C4920,11,2,District-West District,Rural,20-29,24,56,59,26,27,33,26,22,22
C4920,11,2,District-West District,Rural,30-39,34,78,77,43,37,33,22,29,24
C4920,11,2,District-West District,Rural,40-49,27,88,75,37,36,33,20,18,23
C4920,11,2,District-West District,Rural,50-59,34,100,62,17,21,31,23,19,11
C4920,11,2,District-West District,Rural,60-69,45,98,70,7,6,30,28,6,7
C4920,11,2,District-West District,Rural,70-79,54,72,43,5,5,35,18,4,3
C4920,11,2,District-West District,Rural,80-89,24,35,22,2,2,16,5,3,1
C4920,11,2,District-West District,Rural,90+,3,5,8,2,1,1,3,0,1
C4920,11,2,District-West District,Rural,Age Not Stated,0,0,1,0,1,1,0,0,0
C4920,11,2,District-West District,Urban,0-4,1,0,0,0,0,0,0,0,0
C4920,11,2,District-West District,Urban,5-9,0,0,0,0,0,0,0,0,0
C4920,11,2,District-West District,Urban,10-19,0,0,3,0,0,0,2,0,0
C4920,11,2,District-West District,Urban,20-29,0,0,1,1,0,0,2,1,0
C4920,11,2,District-West District,Urban,30-39,0,0,3,1,1,1,0,0,1
C4920,11,2,District-West District,Urban,40-49,0,2,0,1,1,2,0,0,0
C4920,11,2,District-West District,Urban,50-59,0,0,0,0,0,1,0,0,1
C4920,11,2,District-West District,Urban,60-69,0,2,0,0,0,1,2,0,0
C4920,11,2,District-West District,Urban,70-79,0,0,0,0,0,1,0,0,1
C4920,11,2,District-West District,Urban,80-89,1,0,1,1,0,0,0,0,0
C4920,11,2,District-West District,Urban,90+,0,0,0,0,0,0,0,0,0
C4920,11,2,District-West District,Urban,Age Not Stated,0,0,0,1,0,0,0,0,0
C4920,11,3,District-South District,Rural,0-4,7,13,4,1,3,7,3,4,1
C4920,11,3,District-South District,Rural,5-9,15,18,19,12,11,9,11,3,6
C4920,11,3,District-South District,Rural,10-19,55,55,50,25,27,33,23,26,11
C4920,11,3,District-South District,Rural,20-29,52,69,56,37,36,47,21,28,28
C4920,11,3,District-South District,Rural,30-39,47,86,100,53,50,26,25,19,33
C4920,11,3,District-South District,Rural,40-49,59,127,91,46,37,46,36,24,27
C4920,11,3,District-South District,Rural,50-59,64,122,97,32,28,48,23,18,14
C4920,11,3,District-South District,Rural,60-69,67,94,91,15,8,52,38,5,6
C4920,11,3,District-South District,Rural,70-79,50,98,79,11,2,39,27,3,4
C4920,11,3,District-South District,Rural,80-89,29,46,28,2,1,25,14,4,1
C4920,11,3,District-South District,Rural,90+,1,2,14,0,0,1,1,0,1
C4920,11,3,District-South District,Rural,Age Not Stated,2,6,2,1,0,1,0,2,1
C4920,11,3,District-South District,Urban,0-4,3,0,1,0,0,0,1,0,1
