Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,16,1,District-West Tripura ,Rural,0-4,51,80,72,15,13,55,34,26,11
C4920,16,1,District-West Tripura ,Rural,5-9,76,80,76,77,66,80,52,35,35
C4920,16,1,District-West Tripura ,Rural,10-19,188,258,223,174,132,239,170,147,135
C4920,16,1,District-West Tripura ,Rural,20-29,219,284,218,153,130,293,189,202,184
C4920,16,1,District-West Tripura ,Rural,30-39,218,266,191,100,75,289,128,208,149
C4920,16,1,District-West Tripura ,Rural,40-49,259,262,189,78,60,281,116,174,150
C4920,16,1,District-West Tripura ,Rural,50-59,209,205,169,48,34,235,103,102,90
C4920,16,1,District-West Tripura ,Rural,60-69,208,174,160,25,24,166,128,66,64
C4920,16,1,District-West Tripura ,Rural,70-79,184,133,153,12,7,145,122,25,25
C4920,16,1,District-West Tripura ,Rural,80-89,98,70,71,2,2,64,77,12,20
C4920,16,1,District-West Tripura ,Rural,90+,36,25,45,0,1,24,44,4,14
C4920,16,1,District-West Tripura ,Rural,Age Not Stated,5,4,1,0,0,1,0,1,1
C4920,16,1,District-West Tripura ,Urban,0-4,11,37,33,5,13,29,21,10,14
C4920,16,1,District-West Tripura ,Urban,5-9,37,57,34,51,32,56,49,29,22
C4920,16,1,District-West Tripura ,Urban,10-19,164,137,101,137,103,129,103,146,100
C4920,16,1,District-West Tripura ,Urban,20-29,145,171,154,136,105,223,130,183,137
C4920,16,1,District-West Tripura ,Urban,30-39,146,192,143,91,106,262,126,194,137
C4920,16,1,District-West Tripura ,Urban,40-49,172,200,171,86,84,276,136,169,151
C4920,16,1,District-West Tripura ,Urban,50-59,155,138,120,75,53,275,123,115,106
C4920,16,1,District-West Tripura ,Urban,60-69,143,113,118,26,20,187,109,65,42
C4920,16,1,District-West Tripura ,Urban,70-79,108,101,90,9,12,94,90,16,21
C4920,16,1,District-West Tripura ,Urban,80-89,45,41,53,1,5,44,60,4,6
C4920,16,1,District-West Tripura ,Urban,90+,15,11,17,0,2,11,21,1,3
C4920,16,1,District-West Tripura ,Urban,Age Not Stated,1,2,0,0,1,0,1,1,1
C4920,16,2,District-South Tripura ,Rural,0-4,25,46,57,11,13,29,27,22,20
C4920,16,2,District-South Tripura ,Rural,5-9,49,65,51,55,36,58,31,42,28
C4920,16,2,District-South Tripura ,Rural,10-19,118,143,137,93,75,189,135,139,99
C4920,16,2,District-South Tripura ,Rural,20-29,105,178,159,108,74,243,165,144,126
C4920,16,2,District-South Tripura ,Rural,30-39,115,239,137,69,67,220,123,134,136
C4920,16,2,District-South Tripura ,Rural,40-49,125,201,114,53,39,193,100,111,113
C4920,16,2,District-South Tripura ,Rural,50-59,101,106,90,19,15,176,67,76,50
C4920,16,2,District-South Tripura ,Rural,60-69,77,92,89,24,13,111,79,39,38
C4920,16,2,District-South Tripura ,Rural,70-79,63,67,68,16,7,64,61,13,12
C4920,16,2,District-South Tripura ,Rural,80-89,46,21,38,1,5,29,22,7,5
C4920,16,2,District-South Tripura ,Rural,90+,14,13,19,3,1,6,20,0,5
C4920,16,2,District-South Tripura ,Rural,Age Not Stated,0,0,0,0,0,0,1,1,2
C4920,16,2,District-South Tripura ,Urban,0-4,3,3,3,1,0,3,2,1,0
