Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,19,1,District-Darjiling ,Rural,0-4,64,70,73,86,19,8,35,38,21,12
C4920,19,1,District-Darjiling ,Rural,5-9,106,114,122,112,81,71,73,56,52,44
C4920,19,1,District-Darjiling ,Rural,10-19,289,243,282,263,203,168,191,181,180,171
C4920,19,1,District-Darjiling ,Rural,20-29,267,252,283,298,176,130,228,154,235,176
C4920,19,1,District-Darjiling ,Rural,30-39,255,175,370,333,160,171,208,144,201,147
C4920,19,1,District-Darjiling ,Rural,40-49,276,179,647,578,273,238,248,166,172,172
C4920,19,1,District-Darjiling ,Rural,50-59,219,213,622,490,157,154,264,165,106,122
C4920,19,1,District-Darjiling ,Rural,60-69,232,232,561,450,100,69,240,169,64,78
C4920,19,1,District-Darjiling ,Rural,70-79,185,162,405,287,36,27,149,101,24,29
C4920,19,1,District-Darjiling ,Rural,80-89,75,63,180,115,6,3,46,26,4,5
C4920,19,1,District-Darjiling ,Rural,90+,16,18,30,16,1,1,4,10,3,2
C4920,19,1,District-Darjiling ,Rural,Age Not Stated,3,2,4,4,1,1,0,2,3,1
C4920,19,1,District-Darjiling ,Urban,0-4,33,34,65,67,9,3,20,9,8,6
C4920,19,1,District-Darjiling ,Urban,5-9,57,45,84,85,47,27,29,21,31,17
C4920,19,1,District-Darjiling ,Urban,10-19,153,115,185,224,90,95,90,81,118,95
C4920,19,1,District-Darjiling ,Urban,20-29,189,148,274,287,72,76,125,71,122,84
C4920,19,1,District-Darjiling ,Urban,30-39,192,133,259,256,81,69,138,71,113,84
C4920,19,1,District-Darjiling ,Urban,40-49,182,101,285,244,108,91,147,59,104,64
C4920,19,1,District-Darjiling ,Urban,50-59,135,119,256,219,65,62,137,84,57,60
C4920,19,1,District-Darjiling ,Urban,60-69,120,101,165,167,31,35,107,63,27,25
C4920,19,1,District-Darjiling ,Urban,70-79,93,56,123,123,16,10,64,37,13,10
C4920,19,1,District-Darjiling ,Urban,80-89,31,33,50,49,5,6,22,13,4,4
C4920,19,1,District-Darjiling ,Urban,90+,12,11,9,20,3,3,2,4,1,0
C4920,19,1,District-Darjiling ,Urban,Age Not Stated,4,1,3,2,2,2,1,1,0,1
C4920,19,2,District-Jalpaiguri ,Rural,0-4,213,219,152,139,41,37,167,113,56,48
C4920,19,2,District-Jalpaiguri ,Rural,5-9,318,310,261,244,287,195,268,182,145,101
C4920,19,2,District-Jalpaiguri ,Rural,10-19,841,734,733,647,626,508,843,563,632,483
C4920,19,2,District-Jalpaiguri ,Rural,20-29,707,568,613,609,446,402,996,590,700,487
C4920,19,2,District-Jalpaiguri ,Rural,30-39,612,506,686,667,418,444,742,446,590,505
C4920,19,2,District-Jalpaiguri ,Rural,40-49,780,681,1034,893,501,426,944,519,587,555
C4920,19,2,District-Jalpaiguri ,Rural,50-59,747,685,858,715,272,225,900,479,351,329
C4920,19,2,District-Jalpaiguri ,Rural,60-69,776,771,691,554,108,84,727,492,154,188
C4920,19,2,District-Jalpaiguri ,Rural,70-79,445,468,407,318,32,35,346,302,60,69
C4920,19,2,District-Jalpaiguri ,Rural,80-89,173,192,138,101,10,8,134,103,15,17
C4920,19,2,District-Jalpaiguri ,Rural,90+,58,54,39,53,3,5,35,38,6,8
C4920,19,2,District-Jalpaiguri ,Rural,Age Not Stated,2,6,6,7,0,2,1,2,2,2
C4920,19,2,District-Jalpaiguri ,Urban,0-4,90,80,57,51,12,6,38,27,16,10
C4920,19,2,District-Jalpaiguri ,Urban,5-9,115,106,78,78,82,68,77,49,49,33
C4920,19,2,District-Jalpaiguri ,Urban,10-19,345,309,209,198,180,162,235,135,220,174
C4920,19,2,District-Jalpaiguri ,Urban,20-29,364,334,404,219,150,155,289,157,280,162
C4920,19,2,District-Jalpaiguri ,Urban,30-39,362,299,293,230,132,124,304,161,276,189
C4920,19,2,District-Jalpaiguri ,Urban,40-49,369,333,313,216,134,118,336,170,225,178
C4920,19,2,District-Jalpaiguri ,Urban,50-59,342,294,218,157,70,69,337,147,160,124
C4920,19,2,District-Jalpaiguri ,Urban,60-69,288,289,161,144,39,32,254,149,75,89
C4920,19,2,District-Jalpaiguri ,Urban,70-79,158,181,127,96,16,24,119,109,30,28
C4920,19,2,District-Jalpaiguri ,Urban,80-89,53,67,43,36,3,3,44,33,10,12
C4920,19,2,District-Jalpaiguri ,Urban,90+,15,18,10,10,2,2,6,14,2,7
C4920,19,2,District-Jalpaiguri ,Urban,Age Not Stated,0,2,4,1,1,1,1,0,2,0
C4920,19,3,District-Koch Bihar ,Rural,0-4,218,232,251,220,32,32,136,115,38,45
C4920,19,3,District-Koch Bihar ,Rural,5-9,317,256,306,338,236,171,219,152,128,73
C4920,19,3,District-Koch Bihar ,Rural,10-19,857,737,814,769,467,373,703,421,506,354
C4920,19,3,District-Koch Bihar ,Rural,20-29,784,616,737,679,330,247,823,428,594,309
C4920,19,3,District-Koch Bihar ,Rural,30-39,659,538,583,638,276,267,613,344,500,344
C4920,19,3,District-Koch Bihar ,Rural,40-49,822,649,740,694,267,260,748,339,474,374
C4920,19,3,District-Koch Bihar ,Rural,50-59,686,561,586,467,172,128,724,300,272,219
C4920,19,3,District-Koch Bihar ,Rural,60-69,552,530,426,438,90,73,522,337,106,142
C4920,19,3,District-Koch Bihar ,Rural,70-79,325,404,243,279,20,40,247,193,35,40
C4920,19,3,District-Koch Bihar ,Rural,80-89,141,153,120,100,4,9,100,84,17,11
C4920,19,3,District-Koch Bihar ,Rural,90+,53,53,35,41,3,5,32,29,4,2
C4920,19,3,District-Koch Bihar ,Rural,Age Not Stated,5,11,5,5,2,2,3,0,2,1
C4920,19,3,District-Koch Bihar ,Urban,0-4,33,27,15,16,2,1,12,10,2,3
C4920,19,3,District-Koch Bihar ,Urban,5-9,27,20,18,19,11,15,16,10,14,6
C4920,19,3,District-Koch Bihar ,Urban,10-19,82,74,50,58,50,30,53,31,52,28
C4920,19,3,District-Koch Bihar ,Urban,20-29,77,66,79,70,53,44,75,40,65,58
C4920,19,3,District-Koch Bihar ,Urban,30-39,94,60,84,49,42,35,74,40,77,41
C4920,19,3,District-Koch Bihar ,Urban,40-49,75,77,59,68,45,46,99,43,68,49
C4920,19,3,District-Koch Bihar ,Urban,50-59,78,68,49,48,29,21,87,37,36,28
C4920,19,3,District-Koch Bihar ,Urban,60-69,67,50,34,35,19,10,67,35,18,23
C4920,19,3,District-Koch Bihar ,Urban,70-79,26,28,26,20,7,7,20,17,7,8
C4920,19,3,District-Koch Bihar ,Urban,80-89,15,19,9,9,0,4,15,14,5,6
C4920,19,3,District-Koch Bihar ,Urban,90+,9,5,1,4,1,0,2,4,0,0
C4920,19,3,District-Koch Bihar ,Urban,Age Not Stated,4,3,1,1,0,0,0,1,0,1
C4920,19,4,District-Uttar Dinajpur,Rural,0-4,302,294,209,185,41,34,188,135,71,85
C4920,19,4,District-Uttar Dinajpur,Rural,5-9,455,415,315,303,331,259,388,220,213,157
C4920,19,4,District-Uttar Dinajpur,Rural,10-19,901,810,674,626,575,439,918,713,628,474
C4920,19,4,District-Uttar Dinajpur,Rural,20-29,655,465,507,390,340,228,719,397,466,363
C4920,19,4,District-Uttar Dinajpur,Rural,30-39,588,452,395,304,227,182,542,276,427,315
C4920,19,4,District-Uttar Dinajpur,Rural,40-49,667,510,435,365,232,150,632,281,338,277
C4920,19,4,District-Uttar Dinajpur,Rural,50-59,571,466,358,247,122,108,543,222,211,175
C4920,19,4,District-Uttar Dinajpur,Rural,60-69,508,488,328,296,76,46,464,270,141,111
C4920,19,4,District-Uttar Dinajpur,Rural,70-79,275,284,148,154,14,19,188,132,50,50
C4920,19,4,District-Uttar Dinajpur,Rural,80-89,73,83,52,45,8,7,71,53,10,11
C4920,19,4,District-Uttar Dinajpur,Rural,90+,43,34,22,17,4,3,20,13,8,4
C4920,19,4,District-Uttar Dinajpur,Rural,Age Not Stated,7,5,2,0,0,0,1,0,0,0
C4920,19,4,District-Uttar Dinajpur,Urban,0-4,30,24,16,20,3,1,17,17,8,6
C4920,19,4,District-Uttar Dinajpur,Urban,5-9,48,46,31,27,29,13,27,18,22,15
C4920,19,4,District-Uttar Dinajpur,Urban,10-19,115,102,50,52,67,31,68,47,58,59
C4920,19,4,District-Uttar Dinajpur,Urban,20-29,101,95,77,52,43,44,74,56,85,50
C4920,19,4,District-Uttar Dinajpur,Urban,30-39,112,89,55,43,34,35,77,42,74,40
C4920,19,4,District-Uttar Dinajpur,Urban,40-49,105,97,62,37,28,27,89,42,75,35
C4920,19,4,District-Uttar Dinajpur,Urban,50-59,101,81,53,46,22,13,76,29,25,20
C4920,19,4,District-Uttar Dinajpur,Urban,60-69,68,73,48,34,16,15,60,30,21,12
C4920,19,4,District-Uttar Dinajpur,Urban,70-79,43,30,33,18,5,2,28,25,5,12
C4920,19,4,District-Uttar Dinajpur,Urban,80-89,12,12,11,5,1,2,7,13,4,3
C4920,19,4,District-Uttar Dinajpur,Urban,90+,5,4,0,0,1,0,2,1,0,2
C4920,19,4,District-Uttar Dinajpur,Urban,Age Not Stated,0,1,0,0,0,0,0,0,0,0
C4920,19,5,District-Dakshin Dinajpur,Rural,0-4,138,145,94,90,19,19,76,54,45,32
C4920,19,5,District-Dakshin Dinajpur,Rural,5-9,202,166,154,130,160,97,141,96,88,76
C4920,19,5,District-Dakshin Dinajpur,Rural,10-19,523,414,351,372,271,261,448,303,339,310
C4920,19,5,District-Dakshin Dinajpur,Rural,20-29,411,303,299,287,198,153,465,317,356,251
C4920,19,5,District-Dakshin Dinajpur,Rural,30-39,421,338,319,284,112,107,425,225,291,246
C4920,19,5,District-Dakshin Dinajpur,Rural,40-49,489,410,291,271,138,88,463,244,259,192
C4920,19,5,District-Dakshin Dinajpur,Rural,50-59,486,461,272,237,68,44,423,235,144,104
C4920,19,5,District-Dakshin Dinajpur,Rural,60-69,501,529,245,252,47,32,439,328,101,89
C4920,19,5,District-Dakshin Dinajpur,Rural,70-79,243,294,148,118,14,13,214,229,31,26
C4920,19,5,District-Dakshin Dinajpur,Rural,80-89,73,72,35,49,2,3,63,76,5,7
C4920,19,5,District-Dakshin Dinajpur,Rural,90+,22,25,15,25,4,2,15,33,1,4
C4920,19,5,District-Dakshin Dinajpur,Rural,Age Not Stated,7,5,3,2,1,1,2,1,0,1
C4920,19,5,District-Dakshin Dinajpur,Urban,0-4,18,26,9,15,1,1,6,10,7,5
C4920,19,5,District-Dakshin Dinajpur,Urban,5-9,27,26,17,11,15,8,8,4,23,16
C4920,19,5,District-Dakshin Dinajpur,Urban,10-19,82,83,49,43,34,21,37,22,70,66
C4920,19,5,District-Dakshin Dinajpur,Urban,20-29,93,74,48,44,39,27,70,43,74,44
C4920,19,5,District-Dakshin Dinajpur,Urban,30-39,83,65,49,59,28,23,62,21,69,38
C4920,19,5,District-Dakshin Dinajpur,Urban,40-49,98,68,53,52,48,17,76,39,83,55
C4920,19,5,District-Dakshin Dinajpur,Urban,50-59,69,65,52,36,20,12,73,27,56,34
C4920,19,5,District-Dakshin Dinajpur,Urban,60-69,43,41,40,34,10,9,65,31,31,21
C4920,19,5,District-Dakshin Dinajpur,Urban,70-79,23,19,22,26,5,3,33,46,10,17
C4920,19,5,District-Dakshin Dinajpur,Urban,80-89,8,16,6,12,1,0,17,15,5,5
C4920,19,5,District-Dakshin Dinajpur,Urban,90+,9,11,3,10,1,0,3,3,1,3
C4920,19,5,District-Dakshin Dinajpur,Urban,Age Not Stated,1,1,1,0,0,0,1,1,1,0
C4920,19,6,District-Maldah ,Rural,0-4,474,450,336,375,71,44,196,154,137,114
C4920,19,6,District-Maldah ,Rural,5-9,686,607,548,490,393,314,403,243,318,232
C4920,19,6,District-Maldah ,Rural,10-19,1573,1356,1157,1100,798,642,1245,832,922,810
C4920,19,6,District-Maldah ,Rural,20-29,1176,969,978,798,466,390,1111,593,707,688
C4920,19,6,District-Maldah ,Rural,30-39,1061,842,774,674,355,284,919,417,626,549
C4920,19,6,District-Maldah ,Rural,40-49,1251,945,820,577,292,209,979,449,553,437
C4920,19,6,District-Maldah ,Rural,50-59,1030,915,543,485,153,132,877,399,341,286
C4920,19,6,District-Maldah ,Rural,60-69,945,1053,472,521,114,80,844,512,235,201
C4920,19,6,District-Maldah ,Rural,70-79,509,599,246,291,30,38,373,368,77,83
C4920,19,6,District-Maldah ,Rural,80-89,157,206,82,105,15,8,142,145,23,31
C4920,19,6,District-Maldah ,Rural,90+,33,64,19,37,4,2,38,47,9,8
C4920,19,6,District-Maldah ,Rural,Age Not Stated,13,0,2,1,0,1,1,1,2,2
C4920,19,6,District-Maldah ,Urban,0-4,133,114,67,72,9,8,39,9,31,25
C4920,19,6,District-Maldah ,Urban,5-9,98,108,115,67,49,34,45,32,49,43
C4920,19,6,District-Maldah ,Urban,10-19,261,228,198,182,97,78,140,100,140,99
C4920,19,6,District-Maldah ,Urban,20-29,233,208,246,139,93,71,157,85,137,98
C4920,19,6,District-Maldah ,Urban,30-39,222,202,210,140,66,65,118,58,128,95
C4920,19,6,District-Maldah ,Urban,40-49,254,214,187,115,65,55,162,79,98,51
C4920,19,6,District-Maldah ,Urban,50-59,178,171,123,80,53,26,117,60,56,57
C4920,19,6,District-Maldah ,Urban,60-69,133,137,81,68,21,26,116,65,34,41
C4920,19,6,District-Maldah ,Urban,70-79,51,78,40,33,8,8,46,48,13,13
C4920,19,6,District-Maldah ,Urban,80-89,16,28,11,13,2,3,17,21,9,4
C4920,19,6,District-Maldah ,Urban,90+,9,8,5,3,0,2,5,8,0,2
C4920,19,6,District-Maldah ,Urban,Age Not Stated,3,4,3,2,1,3,5,0,8,4
C4920,19,7,District-Murshidabad ,Rural,0-4,503,473,515,474,113,73,453,295,209,173
C4920,19,7,District-Murshidabad ,Rural,5-9,791,658,820,735,737,529,841,554,640,445
C4920,19,7,District-Murshidabad ,Rural,10-19,2170,1751,2033,1734,1461,1173,2830,1592,1961,1652
C4920,19,7,District-Murshidabad ,Rural,20-29,1645,1210,1462,1264,958,836,2765,1336,1683,1346
C4920,19,7,District-Murshidabad ,Rural,30-39,1554,1254,1249,1082,632,579,2336,880,1233,1112
C4920,19,7,District-Murshidabad ,Rural,40-49,1988,1623,1304,1110,589,431,2744,961,1090,879
C4920,19,7,District-Murshidabad ,Rural,50-59,1872,1731,1102,897,325,234,2530,1036,695,552
C4920,19,7,District-Murshidabad ,Rural,60-69,1900,2155,1003,1136,228,190,2345,1525,451,469
C4920,19,7,District-Murshidabad ,Rural,70-79,1087,1352,588,669,84,83,1177,1096,181,219
C4920,19,7,District-Murshidabad ,Rural,80-89,326,390,188,230,15,22,375,437,50,72
C4920,19,7,District-Murshidabad ,Rural,90+,60,104,54,74,5,7,87,136,11,24
C4920,19,7,District-Murshidabad ,Rural,Age Not Stated,13,2,10,11,9,4,7,8,2,3
C4920,19,7,District-Murshidabad ,Urban,0-4,120,132,132,154,21,18,86,52,44,37
C4920,19,7,District-Murshidabad ,Urban,5-9,163,160,173,171,138,132,130,100,110,87
C4920,19,7,District-Murshidabad ,Urban,10-19,427,387,447,460,298,258,501,310,361,318
C4920,19,7,District-Murshidabad ,Urban,20-29,422,297,294,313,213,186,506,288,418,278
C4920,19,7,District-Murshidabad ,Urban,30-39,393,303,250,267,179,152,376,186,367,263
C4920,19,7,District-Murshidabad ,Urban,40-49,492,378,228,251,140,102,446,211,296,196
C4920,19,7,District-Murshidabad ,Urban,50-59,437,389,192,185,89,67,417,203,189,115
C4920,19,7,District-Murshidabad ,Urban,60-69,364,411,150,157,38,54,352,218,102,86
C4920,19,7,District-Murshidabad ,Urban,70-79,180,241,89,83,12,20,168,173,37,42
C4920,19,7,District-Murshidabad ,Urban,80-89,49,72,32,38,5,8,42,60,14,12
C4920,19,7,District-Murshidabad ,Urban,90+,12,24,6,16,1,2,12,20,3,5
C4920,19,7,District-Murshidabad ,Urban,Age Not Stated,0,1,0,1,0,0,0,0,4,0
C4920,19,8,District-Birbhum,Rural,0-4,194,184,158,153,40,41,223,148,86,57
C4920,19,8,District-Birbhum,Rural,5-9,320,264,308,251,365,276,388,254,293,186
C4920,19,8,District-Birbhum,Rural,10-19,855,700,851,620,625,523,1308,867,915,716
C4920,19,8,District-Birbhum,Rural,20-29,705,523,621,486,405,318,1481,770,781,572
C4920,19,8,District-Birbhum,Rural,30-39,755,512,638,549,275,237,1369,606,752,566
C4920,19,8,District-Birbhum,Rural,40-49,893,728,675,551,209,155,1609,658,635,437
C4920,19,8,District-Birbhum,Rural,50-59,847,709,540,432,140,114,1488,673,382,302
C4920,19,8,District-Birbhum,Rural,60-69,938,1007,529,569,87,80,1336,927,244,196
C4920,19,8,District-Birbhum,Rural,70-79,408,549,269,298,28,24,541,538,68,83
C4920,19,8,District-Birbhum,Rural,80-89,92,138,75,98,7,7,111,157,18,24
C4920,19,8,District-Birbhum,Rural,90+,21,26,13,32,2,1,17,28,4,4
C4920,19,8,District-Birbhum,Rural,Age Not Stated,2,3,2,7,3,1,4,1,0,1
C4920,19,8,District-Birbhum,Urban,0-4,17,25,39,34,1,3,31,21,10,7
C4920,19,8,District-Birbhum,Urban,5-9,25,27,42,41,22,23,37,25,21,24
C4920,19,8,District-Birbhum,Urban,10-19,110,71,116,115,62,58,134,108,86,84
