State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
28,1,Rural,0-4,ANDHRA PRADESH,Adilabad,Male,In seeing,116
28,1,Rural,5-9,ANDHRA PRADESH,Adilabad,Male,In seeing,236
28,1,Rural,10-19,ANDHRA PRADESH,Adilabad,Male,In seeing,627
28,1,Rural,20-29,ANDHRA PRADESH,Adilabad,Male,In seeing,476
28,1,Rural,30-39,ANDHRA PRADESH,Adilabad,Male,In seeing,506
28,1,Rural,40-49,ANDHRA PRADESH,Adilabad,Male,In seeing,513
28,1,Rural,50-59,ANDHRA PRADESH,Adilabad,Male,In seeing,591
28,1,Rural,60-69,ANDHRA PRADESH,Adilabad,Male,In seeing,1098
28,1,Rural,70-79,ANDHRA PRADESH,Adilabad,Male,In seeing,776
28,1,Rural,80-89,ANDHRA PRADESH,Adilabad,Male,In seeing,245
28,1,Rural,90+,ANDHRA PRADESH,Adilabad,Male,In seeing,47
28,1,Rural,Age Not Stated,ANDHRA PRADESH,Adilabad,Male,In seeing,129
28,1,Urban,0-4,ANDHRA PRADESH,Adilabad,Male,In seeing,42
28,1,Urban,5-9,ANDHRA PRADESH,Adilabad,Male,In seeing,64
28,1,Urban,10-19,ANDHRA PRADESH,Adilabad,Male,In seeing,180
28,1,Urban,20-29,ANDHRA PRADESH,Adilabad,Male,In seeing,172
28,1,Urban,30-39,ANDHRA PRADESH,Adilabad,Male,In seeing,188
28,1,Urban,40-49,ANDHRA PRADESH,Adilabad,Male,In seeing,152
28,1,Urban,50-59,ANDHRA PRADESH,Adilabad,Male,In seeing,152
28,1,Urban,60-69,ANDHRA PRADESH,Adilabad,Male,In seeing,163
28,1,Urban,70-79,ANDHRA PRADESH,Adilabad,Male,In seeing,80
28,1,Urban,80-89,ANDHRA PRADESH,Adilabad,Male,In seeing,25
28,1,Urban,90+,ANDHRA PRADESH,Adilabad,Male,In seeing,4
28,1,Urban,Age Not Stated,ANDHRA PRADESH,Adilabad,Male,In seeing,50
28,2,Rural,0-4,ANDHRA PRADESH,Nizamabad,Male,In seeing,98
28,2,Rural,5-9,ANDHRA PRADESH,Nizamabad,Male,In seeing,150
28,2,Rural,10-19,ANDHRA PRADESH,Nizamabad,Male,In seeing,430
28,2,Rural,20-29,ANDHRA PRADESH,Nizamabad,Male,In seeing,362
28,2,Rural,30-39,ANDHRA PRADESH,Nizamabad,Male,In seeing,370
28,2,Rural,40-49,ANDHRA PRADESH,Nizamabad,Male,In seeing,472
28,2,Rural,50-59,ANDHRA PRADESH,Nizamabad,Male,In seeing,434
28,2,Rural,60-69,ANDHRA PRADESH,Nizamabad,Male,In seeing,827
28,2,Rural,70-79,ANDHRA PRADESH,Nizamabad,Male,In seeing,508
28,2,Rural,80-89,ANDHRA PRADESH,Nizamabad,Male,In seeing,168
28,2,Rural,90+,ANDHRA PRADESH,Nizamabad,Male,In seeing,29
28,2,Rural,Age Not Stated,ANDHRA PRADESH,Nizamabad,Male,In seeing,59
28,2,Urban,0-4,ANDHRA PRADESH,Nizamabad,Male,In seeing,31
28,2,Urban,5-9,ANDHRA PRADESH,Nizamabad,Male,In seeing,47
28,2,Urban,10-19,ANDHRA PRADESH,Nizamabad,Male,In seeing,124
28,2,Urban,20-29,ANDHRA PRADESH,Nizamabad,Male,In seeing,100
28,2,Urban,30-39,ANDHRA PRADESH,Nizamabad,Male,In seeing,114
28,2,Urban,40-49,ANDHRA PRADESH,Nizamabad,Male,In seeing,98
28,2,Urban,50-59,ANDHRA PRADESH,Nizamabad,Male,In seeing,85
28,2,Urban,60-69,ANDHRA PRADESH,Nizamabad,Male,In seeing,81
28,2,Urban,70-79,ANDHRA PRADESH,Nizamabad,Male,In seeing,64
28,2,Urban,80-89,ANDHRA PRADESH,Nizamabad,Male,In seeing,6
28,2,Urban,90+,ANDHRA PRADESH,Nizamabad,Male,In seeing,5
28,2,Urban,Age Not Stated,ANDHRA PRADESH,Nizamabad,Male,In seeing,13
28,3,Rural,0-4,ANDHRA PRADESH,Karimnagar,Male,In seeing,186
28,3,Rural,5-9,ANDHRA PRADESH,Karimnagar,Male,In seeing,279
28,3,Rural,10-19,ANDHRA PRADESH,Karimnagar,Male,In seeing,843
28,3,Rural,20-29,ANDHRA PRADESH,Karimnagar,Male,In seeing,711
28,3,Rural,30-39,ANDHRA PRADESH,Karimnagar,Male,In seeing,756
28,3,Rural,40-49,ANDHRA PRADESH,Karimnagar,Male,In seeing,861
28,3,Rural,50-59,ANDHRA PRADESH,Karimnagar,Male,In seeing,797
28,3,Rural,60-69,ANDHRA PRADESH,Karimnagar,Male,In seeing,1381
28,3,Rural,70-79,ANDHRA PRADESH,Karimnagar,Male,In seeing,1186
28,3,Rural,80-89,ANDHRA PRADESH,Karimnagar,Male,In seeing,414
28,3,Rural,90+,ANDHRA PRADESH,Karimnagar,Male,In seeing,67
28,3,Rural,Age Not Stated,ANDHRA PRADESH,Karimnagar,Male,In seeing,185
28,3,Urban,0-4,ANDHRA PRADESH,Karimnagar,Male,In seeing,83
28,3,Urban,5-9,ANDHRA PRADESH,Karimnagar,Male,In seeing,109
28,3,Urban,10-19,ANDHRA PRADESH,Karimnagar,Male,In seeing,288
28,3,Urban,20-29,ANDHRA PRADESH,Karimnagar,Male,In seeing,359
28,3,Urban,30-39,ANDHRA PRADESH,Karimnagar,Male,In seeing,325
28,3,Urban,40-49,ANDHRA PRADESH,Karimnagar,Male,In seeing,313
28,3,Urban,50-59,ANDHRA PRADESH,Karimnagar,Male,In seeing,231
28,3,Urban,60-69,ANDHRA PRADESH,Karimnagar,Male,In seeing,230
28,3,Urban,70-79,ANDHRA PRADESH,Karimnagar,Male,In seeing,125
28,3,Urban,80-89,ANDHRA PRADESH,Karimnagar,Male,In seeing,35
28,3,Urban,90+,ANDHRA PRADESH,Karimnagar,Male,In seeing,9
28,3,Urban,Age Not Stated,ANDHRA PRADESH,Karimnagar,Male,In seeing,17
28,4,Rural,0-4,ANDHRA PRADESH,Medak,Male,In seeing,81
28,4,Rural,5-9,ANDHRA PRADESH,Medak,Male,In seeing,209
28,4,Rural,10-19,ANDHRA PRADESH,Medak,Male,In seeing,446
28,4,Rural,20-29,ANDHRA PRADESH,Medak,Male,In seeing,432
28,4,Rural,30-39,ANDHRA PRADESH,Medak,Male,In seeing,480
28,4,Rural,40-49,ANDHRA PRADESH,Medak,Male,In seeing,545
28,4,Rural,50-59,ANDHRA PRADESH,Medak,Male,In seeing,565
28,4,Rural,60-69,ANDHRA PRADESH,Medak,Male,In seeing,1062
28,4,Rural,70-79,ANDHRA PRADESH,Medak,Male,In seeing,864
28,4,Rural,80-89,ANDHRA PRADESH,Medak,Male,In seeing,295
28,4,Rural,90+,ANDHRA PRADESH,Medak,Male,In seeing,44
28,4,Rural,Age Not Stated,ANDHRA PRADESH,Medak,Male,In seeing,9
28,4,Urban,0-4,ANDHRA PRADESH,Medak,Male,In seeing,11
28,4,Urban,5-9,ANDHRA PRADESH,Medak,Male,In seeing,32
28,4,Urban,10-19,ANDHRA PRADESH,Medak,Male,In seeing,113
28,4,Urban,20-29,ANDHRA PRADESH,Medak,Male,In seeing,139
28,4,Urban,30-39,ANDHRA PRADESH,Medak,Male,In seeing,106
28,4,Urban,40-49,ANDHRA PRADESH,Medak,Male,In seeing,100
28,4,Urban,50-59,ANDHRA PRADESH,Medak,Male,In seeing,102
28,4,Urban,60-69,ANDHRA PRADESH,Medak,Male,In seeing,111
28,4,Urban,70-79,ANDHRA PRADESH,Medak,Male,In seeing,73
28,4,Urban,80-89,ANDHRA PRADESH,Medak,Male,In seeing,30
28,4,Urban,90+,ANDHRA PRADESH,Medak,Male,In seeing,9
28,4,Urban,Age Not Stated,ANDHRA PRADESH,Medak,Male,In seeing,5
28,5,Rural,0-4,ANDHRA PRADESH,Hyderabad,Male,In seeing,0
28,5,Rural,5-9,ANDHRA PRADESH,Hyderabad,Male,In seeing,0
28,5,Rural,10-19,ANDHRA PRADESH,Hyderabad,Male,In seeing,0
28,5,Rural,20-29,ANDHRA PRADESH,Hyderabad,Male,In seeing,0
28,5,Rural,30-39,ANDHRA PRADESH,Hyderabad,Male,In seeing,0
28,5,Rural,40-49,ANDHRA PRADESH,Hyderabad,Male,In seeing,0
28,5,Rural,50-59,ANDHRA PRADESH,Hyderabad,Male,In seeing,0
28,5,Rural,60-69,ANDHRA PRADESH,Hyderabad,Male,In seeing,0
28,5,Rural,70-79,ANDHRA PRADESH,Hyderabad,Male,In seeing,0
28,5,Rural,80-89,ANDHRA PRADESH,Hyderabad,Male,In seeing,0
28,5,Rural,90+,ANDHRA PRADESH,Hyderabad,Male,In seeing,0
28,5,Rural,Age Not Stated,ANDHRA PRADESH,Hyderabad,Male,In seeing,0
28,5,Urban,0-4,ANDHRA PRADESH,Hyderabad,Male,In seeing,1889
28,5,Urban,5-9,ANDHRA PRADESH,Hyderabad,Male,In seeing,2178
28,5,Urban,10-19,ANDHRA PRADESH,Hyderabad,Male,In seeing,4759
28,5,Urban,20-29,ANDHRA PRADESH,Hyderabad,Male,In seeing,4519
28,5,Urban,30-39,ANDHRA PRADESH,Hyderabad,Male,In seeing,3682
28,5,Urban,40-49,ANDHRA PRADESH,Hyderabad,Male,In seeing,2996
28,5,Urban,50-59,ANDHRA PRADESH,Hyderabad,Male,In seeing,1939
28,5,Urban,60-69,ANDHRA PRADESH,Hyderabad,Male,In seeing,1284
28,5,Urban,70-79,ANDHRA PRADESH,Hyderabad,Male,In seeing,559
28,5,Urban,80-89,ANDHRA PRADESH,Hyderabad,Male,In seeing,165
28,5,Urban,90+,ANDHRA PRADESH,Hyderabad,Male,In seeing,73
28,5,Urban,Age Not Stated,ANDHRA PRADESH,Hyderabad,Male,In seeing,559
28,6,Rural,0-4,ANDHRA PRADESH,Rangareddy,Male,In seeing,269
28,6,Rural,5-9,ANDHRA PRADESH,Rangareddy,Male,In seeing,328
28,6,Rural,10-19,ANDHRA PRADESH,Rangareddy,Male,In seeing,820
28,6,Rural,20-29,ANDHRA PRADESH,Rangareddy,Male,In seeing,734
28,6,Rural,30-39,ANDHRA PRADESH,Rangareddy,Male,In seeing,741
28,6,Rural,40-49,ANDHRA PRADESH,Rangareddy,Male,In seeing,671
28,6,Rural,50-59,ANDHRA PRADESH,Rangareddy,Male,In seeing,614
28,6,Rural,60-69,ANDHRA PRADESH,Rangareddy,Male,In seeing,898
28,6,Rural,70-79,ANDHRA PRADESH,Rangareddy,Male,In seeing,607
28,6,Rural,80-89,ANDHRA PRADESH,Rangareddy,Male,In seeing,196
28,6,Rural,90+,ANDHRA PRADESH,Rangareddy,Male,In seeing,50
28,6,Rural,Age Not Stated,ANDHRA PRADESH,Rangareddy,Male,In seeing,132
28,6,Urban,0-4,ANDHRA PRADESH,Rangareddy,Male,In seeing,717
28,6,Urban,5-9,ANDHRA PRADESH,Rangareddy,Male,In seeing,740
28,6,Urban,10-19,ANDHRA PRADESH,Rangareddy,Male,In seeing,1612
28,6,Urban,20-29,ANDHRA PRADESH,Rangareddy,Male,In seeing,1888
28,6,Urban,30-39,ANDHRA PRADESH,Rangareddy,Male,In seeing,1930
28,6,Urban,40-49,ANDHRA PRADESH,Rangareddy,Male,In seeing,1547
28,6,Urban,50-59,ANDHRA PRADESH,Rangareddy,Male,In seeing,1026
28,6,Urban,60-69,ANDHRA PRADESH,Rangareddy,Male,In seeing,788
28,6,Urban,70-79,ANDHRA PRADESH,Rangareddy,Male,In seeing,301
28,6,Urban,80-89,ANDHRA PRADESH,Rangareddy,Male,In seeing,99
28,6,Urban,90+,ANDHRA PRADESH,Rangareddy,Male,In seeing,45
28,6,Urban,Age Not Stated,ANDHRA PRADESH,Rangareddy,Male,In seeing,265
28,7,Rural,0-4,ANDHRA PRADESH,Mahbubnagar,Male,In seeing,162
28,7,Rural,5-9,ANDHRA PRADESH,Mahbubnagar,Male,In seeing,291
28,7,Rural,10-19,ANDHRA PRADESH,Mahbubnagar,Male,In seeing,710
28,7,Rural,20-29,ANDHRA PRADESH,Mahbubnagar,Male,In seeing,695
28,7,Rural,30-39,ANDHRA PRADESH,Mahbubnagar,Male,In seeing,736
28,7,Rural,40-49,ANDHRA PRADESH,Mahbubnagar,Male,In seeing,854
28,7,Rural,50-59,ANDHRA PRADESH,Mahbubnagar,Male,In seeing,998
28,7,Rural,60-69,ANDHRA PRADESH,Mahbubnagar,Male,In seeing,1570
28,7,Rural,70-79,ANDHRA PRADESH,Mahbubnagar,Male,In seeing,1151
