State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
12,1,Rural,0-4,ARUNACHAL PRADESH,Tawang,Male,In seeing,2
12,1,Rural,5-9,ARUNACHAL PRADESH,Tawang,Male,In seeing,5
12,1,Rural,10-19,ARUNACHAL PRADESH,Tawang,Male,In seeing,13
12,1,Rural,20-29,ARUNACHAL PRADESH,Tawang,Male,In seeing,8
12,1,Rural,30-39,ARUNACHAL PRADESH,Tawang,Male,In seeing,9
12,1,Rural,40-49,ARUNACHAL PRADESH,Tawang,Male,In seeing,14
12,1,Rural,50-59,ARUNACHAL PRADESH,Tawang,Male,In seeing,10
12,1,Rural,60-69,ARUNACHAL PRADESH,Tawang,Male,In seeing,23
12,1,Rural,70-79,ARUNACHAL PRADESH,Tawang,Male,In seeing,17
12,1,Rural,80-89,ARUNACHAL PRADESH,Tawang,Male,In seeing,9
12,1,Rural,90+,ARUNACHAL PRADESH,Tawang,Male,In seeing,3
12,1,Rural,Age Not Stated,ARUNACHAL PRADESH,Tawang,Male,In seeing,0
12,1,Urban,0-4,ARUNACHAL PRADESH,Tawang,Male,In seeing,0
12,1,Urban,5-9,ARUNACHAL PRADESH,Tawang,Male,In seeing,0
12,1,Urban,10-19,ARUNACHAL PRADESH,Tawang,Male,In seeing,1
12,1,Urban,20-29,ARUNACHAL PRADESH,Tawang,Male,In seeing,5
12,1,Urban,30-39,ARUNACHAL PRADESH,Tawang,Male,In seeing,7
12,1,Urban,40-49,ARUNACHAL PRADESH,Tawang,Male,In seeing,6
12,1,Urban,50-59,ARUNACHAL PRADESH,Tawang,Male,In seeing,0
12,1,Urban,60-69,ARUNACHAL PRADESH,Tawang,Male,In seeing,2
12,1,Urban,70-79,ARUNACHAL PRADESH,Tawang,Male,In seeing,0
12,1,Urban,80-89,ARUNACHAL PRADESH,Tawang,Male,In seeing,0
12,1,Urban,90+,ARUNACHAL PRADESH,Tawang,Male,In seeing,0
12,1,Urban,Age Not Stated,ARUNACHAL PRADESH,Tawang,Male,In seeing,0
12,2,Rural,0-4,ARUNACHAL PRADESH,West Kameng,Male,In seeing,5
12,2,Rural,5-9,ARUNACHAL PRADESH,West Kameng,Male,In seeing,14
12,2,Rural,10-19,ARUNACHAL PRADESH,West Kameng,Male,In seeing,38
12,2,Rural,20-29,ARUNACHAL PRADESH,West Kameng,Male,In seeing,37
12,2,Rural,30-39,ARUNACHAL PRADESH,West Kameng,Male,In seeing,39
12,2,Rural,40-49,ARUNACHAL PRADESH,West Kameng,Male,In seeing,32
12,2,Rural,50-59,ARUNACHAL PRADESH,West Kameng,Male,In seeing,27
12,2,Rural,60-69,ARUNACHAL PRADESH,West Kameng,Male,In seeing,38
12,2,Rural,70-79,ARUNACHAL PRADESH,West Kameng,Male,In seeing,19
12,2,Rural,80-89,ARUNACHAL PRADESH,West Kameng,Male,In seeing,11
12,2,Rural,90+,ARUNACHAL PRADESH,West Kameng,Male,In seeing,1
12,2,Rural,Age Not Stated,ARUNACHAL PRADESH,West Kameng,Male,In seeing,0
12,2,Urban,0-4,ARUNACHAL PRADESH,West Kameng,Male,In seeing,1
12,2,Urban,5-9,ARUNACHAL PRADESH,West Kameng,Male,In seeing,4
12,2,Urban,10-19,ARUNACHAL PRADESH,West Kameng,Male,In seeing,8
12,2,Urban,20-29,ARUNACHAL PRADESH,West Kameng,Male,In seeing,9
12,2,Urban,30-39,ARUNACHAL PRADESH,West Kameng,Male,In seeing,8
12,2,Urban,40-49,ARUNACHAL PRADESH,West Kameng,Male,In seeing,3
12,2,Urban,50-59,ARUNACHAL PRADESH,West Kameng,Male,In seeing,4
12,2,Urban,60-69,ARUNACHAL PRADESH,West Kameng,Male,In seeing,1
