State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
18,1,Rural,0-4,ASSAM,Kokrajhar,Male,In seeing,29
18,1,Rural,5-9,ASSAM,Kokrajhar,Male,In seeing,29
18,1,Rural,10-19,ASSAM,Kokrajhar,Male,In seeing,103
18,1,Rural,20-29,ASSAM,Kokrajhar,Male,In seeing,67
18,1,Rural,30-39,ASSAM,Kokrajhar,Male,In seeing,65
18,1,Rural,40-49,ASSAM,Kokrajhar,Male,In seeing,71
18,1,Rural,50-59,ASSAM,Kokrajhar,Male,In seeing,51
18,1,Rural,60-69,ASSAM,Kokrajhar,Male,In seeing,67
18,1,Rural,70-79,ASSAM,Kokrajhar,Male,In seeing,58
18,1,Rural,80-89,ASSAM,Kokrajhar,Male,In seeing,24
18,1,Rural,90+,ASSAM,Kokrajhar,Male,In seeing,8
18,1,Rural,Age Not Stated,ASSAM,Kokrajhar,Male,In seeing,0
18,1,Urban,0-4,ASSAM,Kokrajhar,Male,In seeing,12
18,1,Urban,5-9,ASSAM,Kokrajhar,Male,In seeing,9
18,1,Urban,10-19,ASSAM,Kokrajhar,Male,In seeing,27
18,1,Urban,20-29,ASSAM,Kokrajhar,Male,In seeing,32
18,1,Urban,30-39,ASSAM,Kokrajhar,Male,In seeing,36
18,1,Urban,40-49,ASSAM,Kokrajhar,Male,In seeing,36
18,1,Urban,50-59,ASSAM,Kokrajhar,Male,In seeing,12
18,1,Urban,60-69,ASSAM,Kokrajhar,Male,In seeing,6
18,1,Urban,70-79,ASSAM,Kokrajhar,Male,In seeing,7
18,1,Urban,80-89,ASSAM,Kokrajhar,Male,In seeing,5
18,1,Urban,90+,ASSAM,Kokrajhar,Male,In seeing,0
18,1,Urban,Age Not Stated,ASSAM,Kokrajhar,Male,In seeing,0
18,2,Rural,0-4,ASSAM,Dhubri,Male,In seeing,292
18,2,Rural,5-9,ASSAM,Dhubri,Male,In seeing,359
18,2,Rural,10-19,ASSAM,Dhubri,Male,In seeing,665
18,2,Rural,20-29,ASSAM,Dhubri,Male,In seeing,522
18,2,Rural,30-39,ASSAM,Dhubri,Male,In seeing,393
18,2,Rural,40-49,ASSAM,Dhubri,Male,In seeing,307
18,2,Rural,50-59,ASSAM,Dhubri,Male,In seeing,314
18,2,Rural,60-69,ASSAM,Dhubri,Male,In seeing,261
18,2,Rural,70-79,ASSAM,Dhubri,Male,In seeing,257
18,2,Rural,80-89,ASSAM,Dhubri,Male,In seeing,83
18,2,Rural,90+,ASSAM,Dhubri,Male,In seeing,37
18,2,Rural,Age Not Stated,ASSAM,Dhubri,Male,In seeing,4
18,2,Urban,0-4,ASSAM,Dhubri,Male,In seeing,20
18,2,Urban,5-9,ASSAM,Dhubri,Male,In seeing,19
18,2,Urban,10-19,ASSAM,Dhubri,Male,In seeing,29
18,2,Urban,20-29,ASSAM,Dhubri,Male,In seeing,36
18,2,Urban,30-39,ASSAM,Dhubri,Male,In seeing,34
18,2,Urban,40-49,ASSAM,Dhubri,Male,In seeing,48
18,2,Urban,50-59,ASSAM,Dhubri,Male,In seeing,40
18,2,Urban,60-69,ASSAM,Dhubri,Male,In seeing,35
18,2,Urban,70-79,ASSAM,Dhubri,Male,In seeing,25
18,2,Urban,80-89,ASSAM,Dhubri,Male,In seeing,14
18,2,Urban,90+,ASSAM,Dhubri,Male,In seeing,3
18,2,Urban,Age Not Stated,ASSAM,Dhubri,Male,In seeing,0
18,3,Rural,0-4,ASSAM,Goalpara,Male,In seeing,66
18,3,Rural,5-9,ASSAM,Goalpara,Male,In seeing,78
18,3,Rural,10-19,ASSAM,Goalpara,Male,In seeing,188
18,3,Rural,20-29,ASSAM,Goalpara,Male,In seeing,132
18,3,Rural,30-39,ASSAM,Goalpara,Male,In seeing,95
18,3,Rural,40-49,ASSAM,Goalpara,Male,In seeing,126
18,3,Rural,50-59,ASSAM,Goalpara,Male,In seeing,133
18,3,Rural,60-69,ASSAM,Goalpara,Male,In seeing,141
18,3,Rural,70-79,ASSAM,Goalpara,Male,In seeing,113
18,3,Rural,80-89,ASSAM,Goalpara,Male,In seeing,40
18,3,Rural,90+,ASSAM,Goalpara,Male,In seeing,9
18,3,Rural,Age Not Stated,ASSAM,Goalpara,Male,In seeing,0
18,3,Urban,0-4,ASSAM,Goalpara,Male,In seeing,10
18,3,Urban,5-9,ASSAM,Goalpara,Male,In seeing,11
18,3,Urban,10-19,ASSAM,Goalpara,Male,In seeing,26
18,3,Urban,20-29,ASSAM,Goalpara,Male,In seeing,25
18,3,Urban,30-39,ASSAM,Goalpara,Male,In seeing,30
18,3,Urban,40-49,ASSAM,Goalpara,Male,In seeing,31
18,3,Urban,50-59,ASSAM,Goalpara,Male,In seeing,13
18,3,Urban,60-69,ASSAM,Goalpara,Male,In seeing,17
18,3,Urban,70-79,ASSAM,Goalpara,Male,In seeing,12
18,3,Urban,80-89,ASSAM,Goalpara,Male,In seeing,5
18,3,Urban,90+,ASSAM,Goalpara,Male,In seeing,1
18,3,Urban,Age Not Stated,ASSAM,Goalpara,Male,In seeing,0
18,4,Rural,0-4,ASSAM,Barpeta,Male,In seeing,75
18,4,Rural,5-9,ASSAM,Barpeta,Male,In seeing,136
18,4,Rural,10-19,ASSAM,Barpeta,Male,In seeing,282
18,4,Rural,20-29,ASSAM,Barpeta,Male,In seeing,214
18,4,Rural,30-39,ASSAM,Barpeta,Male,In seeing,213
18,4,Rural,40-49,ASSAM,Barpeta,Male,In seeing,189
18,4,Rural,50-59,ASSAM,Barpeta,Male,In seeing,207
18,4,Rural,60-69,ASSAM,Barpeta,Male,In seeing,196
18,4,Rural,70-79,ASSAM,Barpeta,Male,In seeing,181
18,4,Rural,80-89,ASSAM,Barpeta,Male,In seeing,60
18,4,Rural,90+,ASSAM,Barpeta,Male,In seeing,22
18,4,Rural,Age Not Stated,ASSAM,Barpeta,Male,In seeing,1
18,4,Urban,0-4,ASSAM,Barpeta,Male,In seeing,5
18,4,Urban,5-9,ASSAM,Barpeta,Male,In seeing,5
