State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
10,1,Rural,0-4,BIHAR,Pashchim Champaran,Male,In seeing,958
10,1,Rural,5-9,BIHAR,Pashchim Champaran,Male,In seeing,1309
10,1,Rural,10-19,BIHAR,Pashchim Champaran,Male,In seeing,1945
10,1,Rural,20-29,BIHAR,Pashchim Champaran,Male,In seeing,1169
10,1,Rural,30-39,BIHAR,Pashchim Champaran,Male,In seeing,1157
10,1,Rural,40-49,BIHAR,Pashchim Champaran,Male,In seeing,1055
10,1,Rural,50-59,BIHAR,Pashchim Champaran,Male,In seeing,758
10,1,Rural,60-69,BIHAR,Pashchim Champaran,Male,In seeing,902
10,1,Rural,70-79,BIHAR,Pashchim Champaran,Male,In seeing,407
10,1,Rural,80-89,BIHAR,Pashchim Champaran,Male,In seeing,75
10,1,Rural,90+,BIHAR,Pashchim Champaran,Male,In seeing,25
10,1,Rural,Age Not Stated,BIHAR,Pashchim Champaran,Male,In seeing,11
10,1,Urban,0-4,BIHAR,Pashchim Champaran,Male,In seeing,43
10,1,Urban,5-9,BIHAR,Pashchim Champaran,Male,In seeing,62
10,1,Urban,10-19,BIHAR,Pashchim Champaran,Male,In seeing,122
10,1,Urban,20-29,BIHAR,Pashchim Champaran,Male,In seeing,77
10,1,Urban,30-39,BIHAR,Pashchim Champaran,Male,In seeing,68
10,1,Urban,40-49,BIHAR,Pashchim Champaran,Male,In seeing,51
10,1,Urban,50-59,BIHAR,Pashchim Champaran,Male,In seeing,51
10,1,Urban,60-69,BIHAR,Pashchim Champaran,Male,In seeing,48
10,1,Urban,70-79,BIHAR,Pashchim Champaran,Male,In seeing,29
10,1,Urban,80-89,BIHAR,Pashchim Champaran,Male,In seeing,9
10,1,Urban,90+,BIHAR,Pashchim Champaran,Male,In seeing,2
10,1,Urban,Age Not Stated,BIHAR,Pashchim Champaran,Male,In seeing,1
10,2,Rural,0-4,BIHAR,Purba Champaran,Male,In seeing,1916
10,2,Rural,5-9,BIHAR,Purba Champaran,Male,In seeing,2255
10,2,Rural,10-19,BIHAR,Purba Champaran,Male,In seeing,3498
10,2,Rural,20-29,BIHAR,Purba Champaran,Male,In seeing,2046
10,2,Rural,30-39,BIHAR,Purba Champaran,Male,In seeing,2043
10,2,Rural,40-49,BIHAR,Purba Champaran,Male,In seeing,1599
10,2,Rural,50-59,BIHAR,Purba Champaran,Male,In seeing,1209
10,2,Rural,60-69,BIHAR,Purba Champaran,Male,In seeing,1282
10,2,Rural,70-79,BIHAR,Purba Champaran,Male,In seeing,560
10,2,Rural,80-89,BIHAR,Purba Champaran,Male,In seeing,145
10,2,Rural,90+,BIHAR,Purba Champaran,Male,In seeing,42
10,2,Rural,Age Not Stated,BIHAR,Purba Champaran,Male,In seeing,22
10,2,Urban,0-4,BIHAR,Purba Champaran,Male,In seeing,233
10,2,Urban,5-9,BIHAR,Purba Champaran,Male,In seeing,330
10,2,Urban,10-19,BIHAR,Purba Champaran,Male,In seeing,513
10,2,Urban,20-29,BIHAR,Purba Champaran,Male,In seeing,320
10,2,Urban,30-39,BIHAR,Purba Champaran,Male,In seeing,271
10,2,Urban,40-49,BIHAR,Purba Champaran,Male,In seeing,230
10,2,Urban,50-59,BIHAR,Purba Champaran,Male,In seeing,147
10,2,Urban,60-69,BIHAR,Purba Champaran,Male,In seeing,112
10,2,Urban,70-79,BIHAR,Purba Champaran,Male,In seeing,68
10,2,Urban,80-89,BIHAR,Purba Champaran,Male,In seeing,12
10,2,Urban,90+,BIHAR,Purba Champaran,Male,In seeing,3
10,2,Urban,Age Not Stated,BIHAR,Purba Champaran,Male,In seeing,2
10,3,Rural,0-4,BIHAR,Sheohar,Male,In seeing,106
10,3,Rural,5-9,BIHAR,Sheohar,Male,In seeing,140
10,3,Rural,10-19,BIHAR,Sheohar,Male,In seeing,248
10,3,Rural,20-29,BIHAR,Sheohar,Male,In seeing,145
10,3,Rural,30-39,BIHAR,Sheohar,Male,In seeing,125
10,3,Rural,40-49,BIHAR,Sheohar,Male,In seeing,113
10,3,Rural,50-59,BIHAR,Sheohar,Male,In seeing,118
10,3,Rural,60-69,BIHAR,Sheohar,Male,In seeing,154
10,3,Rural,70-79,BIHAR,Sheohar,Male,In seeing,80
10,3,Rural,80-89,BIHAR,Sheohar,Male,In seeing,25
10,3,Rural,90+,BIHAR,Sheohar,Male,In seeing,10
10,3,Rural,Age Not Stated,BIHAR,Sheohar,Male,In seeing,3
10,3,Urban,0-4,BIHAR,Sheohar,Male,In seeing,7
10,3,Urban,5-9,BIHAR,Sheohar,Male,In seeing,15
10,3,Urban,10-19,BIHAR,Sheohar,Male,In seeing,20
10,3,Urban,20-29,BIHAR,Sheohar,Male,In seeing,12
10,3,Urban,30-39,BIHAR,Sheohar,Male,In seeing,21
10,3,Urban,40-49,BIHAR,Sheohar,Male,In seeing,23
10,3,Urban,50-59,BIHAR,Sheohar,Male,In seeing,13
10,3,Urban,60-69,BIHAR,Sheohar,Male,In seeing,13
10,3,Urban,70-79,BIHAR,Sheohar,Male,In seeing,3
10,3,Urban,80-89,BIHAR,Sheohar,Male,In seeing,0
10,3,Urban,90+,BIHAR,Sheohar,Male,In seeing,1
10,3,Urban,Age Not Stated,BIHAR,Sheohar,Male,In seeing,0
10,4,Rural,0-4,BIHAR,Sitamarhi,Male,In seeing,1375
10,4,Rural,5-9,BIHAR,Sitamarhi,Male,In seeing,1771
10,4,Rural,10-19,BIHAR,Sitamarhi,Male,In seeing,2732
10,4,Rural,20-29,BIHAR,Sitamarhi,Male,In seeing,1746
10,4,Rural,30-39,BIHAR,Sitamarhi,Male,In seeing,1691
10,4,Rural,40-49,BIHAR,Sitamarhi,Male,In seeing,1405
10,4,Rural,50-59,BIHAR,Sitamarhi,Male,In seeing,1050
10,4,Rural,60-69,BIHAR,Sitamarhi,Male,In seeing,1158
10,4,Rural,70-79,BIHAR,Sitamarhi,Male,In seeing,569
10,4,Rural,80-89,BIHAR,Sitamarhi,Male,In seeing,141
10,4,Rural,90+,BIHAR,Sitamarhi,Male,In seeing,54
10,4,Rural,Age Not Stated,BIHAR,Sitamarhi,Male,In seeing,173
10,4,Urban,0-4,BIHAR,Sitamarhi,Male,In seeing,50
10,4,Urban,5-9,BIHAR,Sitamarhi,Male,In seeing,69
10,4,Urban,10-19,BIHAR,Sitamarhi,Male,In seeing,107
10,4,Urban,20-29,BIHAR,Sitamarhi,Male,In seeing,93
10,4,Urban,30-39,BIHAR,Sitamarhi,Male,In seeing,75
10,4,Urban,40-49,BIHAR,Sitamarhi,Male,In seeing,67
10,4,Urban,50-59,BIHAR,Sitamarhi,Male,In seeing,48
10,4,Urban,60-69,BIHAR,Sitamarhi,Male,In seeing,39
10,4,Urban,70-79,BIHAR,Sitamarhi,Male,In seeing,16
10,4,Urban,80-89,BIHAR,Sitamarhi,Male,In seeing,7
10,4,Urban,90+,BIHAR,Sitamarhi,Male,In seeing,3
10,4,Urban,Age Not Stated,BIHAR,Sitamarhi,Male,In seeing,17
10,5,Rural,0-4,BIHAR,Madhubani,Male,In seeing,436
10,5,Rural,5-9,BIHAR,Madhubani,Male,In seeing,626
10,5,Rural,10-19,BIHAR,Madhubani,Male,In seeing,1201
10,5,Rural,20-29,BIHAR,Madhubani,Male,In seeing,849
10,5,Rural,30-39,BIHAR,Madhubani,Male,In seeing,838
10,5,Rural,40-49,BIHAR,Madhubani,Male,In seeing,737
10,5,Rural,50-59,BIHAR,Madhubani,Male,In seeing,638
10,5,Rural,60-69,BIHAR,Madhubani,Male,In seeing,906
10,5,Rural,70-79,BIHAR,Madhubani,Male,In seeing,532
10,5,Rural,80-89,BIHAR,Madhubani,Male,In seeing,113
10,5,Rural,90+,BIHAR,Madhubani,Male,In seeing,38
10,5,Rural,Age Not Stated,BIHAR,Madhubani,Male,In seeing,28
10,5,Urban,0-4,BIHAR,Madhubani,Male,In seeing,27
10,5,Urban,5-9,BIHAR,Madhubani,Male,In seeing,17
10,5,Urban,10-19,BIHAR,Madhubani,Male,In seeing,48
10,5,Urban,20-29,BIHAR,Madhubani,Male,In seeing,33
10,5,Urban,30-39,BIHAR,Madhubani,Male,In seeing,37
10,5,Urban,40-49,BIHAR,Madhubani,Male,In seeing,32
10,5,Urban,50-59,BIHAR,Madhubani,Male,In seeing,24
10,5,Urban,60-69,BIHAR,Madhubani,Male,In seeing,34
10,5,Urban,70-79,BIHAR,Madhubani,Male,In seeing,14
10,5,Urban,80-89,BIHAR,Madhubani,Male,In seeing,7
10,5,Urban,90+,BIHAR,Madhubani,Male,In seeing,0
10,5,Urban,Age Not Stated,BIHAR,Madhubani,Male,In seeing,0
10,6,Rural,0-4,BIHAR,Supaul,Male,In seeing,374
10,6,Rural,5-9,BIHAR,Supaul,Male,In seeing,443
10,6,Rural,10-19,BIHAR,Supaul,Male,In seeing,693
10,6,Rural,20-29,BIHAR,Supaul,Male,In seeing,457
10,6,Rural,30-39,BIHAR,Supaul,Male,In seeing,510
10,6,Rural,40-49,BIHAR,Supaul,Male,In seeing,410
10,6,Rural,50-59,BIHAR,Supaul,Male,In seeing,320
10,6,Rural,60-69,BIHAR,Supaul,Male,In seeing,382
10,6,Rural,70-79,BIHAR,Supaul,Male,In seeing,208
10,6,Rural,80-89,BIHAR,Supaul,Male,In seeing,64
10,6,Rural,90+,BIHAR,Supaul,Male,In seeing,15
10,6,Rural,Age Not Stated,BIHAR,Supaul,Male,In seeing,6
10,6,Urban,0-4,BIHAR,Supaul,Male,In seeing,10
10,6,Urban,5-9,BIHAR,Supaul,Male,In seeing,13
10,6,Urban,10-19,BIHAR,Supaul,Male,In seeing,30
10,6,Urban,20-29,BIHAR,Supaul,Male,In seeing,28
10,6,Urban,30-39,BIHAR,Supaul,Male,In seeing,17
10,6,Urban,40-49,BIHAR,Supaul,Male,In seeing,8
10,6,Urban,50-59,BIHAR,Supaul,Male,In seeing,12
10,6,Urban,60-69,BIHAR,Supaul,Male,In seeing,16
10,6,Urban,70-79,BIHAR,Supaul,Male,In seeing,10
10,6,Urban,80-89,BIHAR,Supaul,Male,In seeing,3
10,6,Urban,90+,BIHAR,Supaul,Male,In seeing,1
10,6,Urban,Age Not Stated,BIHAR,Supaul,Male,In seeing,0
10,7,Rural,0-4,BIHAR,Araria,Male,In seeing,280
10,7,Rural,5-9,BIHAR,Araria,Male,In seeing,388
10,7,Rural,10-19,BIHAR,Araria,Male,In seeing,655
10,7,Rural,20-29,BIHAR,Araria,Male,In seeing,390
10,7,Rural,30-39,BIHAR,Araria,Male,In seeing,397
10,7,Rural,40-49,BIHAR,Araria,Male,In seeing,358
10,7,Rural,50-59,BIHAR,Araria,Male,In seeing,258
10,7,Rural,60-69,BIHAR,Araria,Male,In seeing,332
10,7,Rural,70-79,BIHAR,Araria,Male,In seeing,185
10,7,Rural,80-89,BIHAR,Araria,Male,In seeing,53
10,7,Rural,90+,BIHAR,Araria,Male,In seeing,18
10,7,Rural,Age Not Stated,BIHAR,Araria,Male,In seeing,10
10,7,Urban,0-4,BIHAR,Araria,Male,In seeing,12
10,7,Urban,5-9,BIHAR,Araria,Male,In seeing,18
10,7,Urban,10-19,BIHAR,Araria,Male,In seeing,27
10,7,Urban,20-29,BIHAR,Araria,Male,In seeing,19
10,7,Urban,30-39,BIHAR,Araria,Male,In seeing,20
10,7,Urban,40-49,BIHAR,Araria,Male,In seeing,19
10,7,Urban,50-59,BIHAR,Araria,Male,In seeing,7
10,7,Urban,60-69,BIHAR,Araria,Male,In seeing,18
10,7,Urban,70-79,BIHAR,Araria,Male,In seeing,6
10,7,Urban,80-89,BIHAR,Araria,Male,In seeing,4
10,7,Urban,90+,BIHAR,Araria,Male,In seeing,0
10,7,Urban,Age Not Stated,BIHAR,Araria,Male,In seeing,0
