State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
22,1,Rural,0-4,CHHATTISGARH,Koriya,Male,In seeing,28
22,1,Rural,5-9,CHHATTISGARH,Koriya,Male,In seeing,49
22,1,Rural,10-19,CHHATTISGARH,Koriya,Male,In seeing,106
22,1,Rural,20-29,CHHATTISGARH,Koriya,Male,In seeing,122
22,1,Rural,30-39,CHHATTISGARH,Koriya,Male,In seeing,110
22,1,Rural,40-49,CHHATTISGARH,Koriya,Male,In seeing,118
22,1,Rural,50-59,CHHATTISGARH,Koriya,Male,In seeing,148
22,1,Rural,60-69,CHHATTISGARH,Koriya,Male,In seeing,208
22,1,Rural,70-79,CHHATTISGARH,Koriya,Male,In seeing,121
22,1,Rural,80-89,CHHATTISGARH,Koriya,Male,In seeing,38
22,1,Rural,90+,CHHATTISGARH,Koriya,Male,In seeing,17
22,1,Rural,Age Not Stated,CHHATTISGARH,Koriya,Male,In seeing,0
22,1,Urban,0-4,CHHATTISGARH,Koriya,Male,In seeing,1
22,1,Urban,5-9,CHHATTISGARH,Koriya,Male,In seeing,19
22,1,Urban,10-19,CHHATTISGARH,Koriya,Male,In seeing,77
22,1,Urban,20-29,CHHATTISGARH,Koriya,Male,In seeing,42
22,1,Urban,30-39,CHHATTISGARH,Koriya,Male,In seeing,15
22,1,Urban,40-49,CHHATTISGARH,Koriya,Male,In seeing,27
22,1,Urban,50-59,CHHATTISGARH,Koriya,Male,In seeing,20
22,1,Urban,60-69,CHHATTISGARH,Koriya,Male,In seeing,32
22,1,Urban,70-79,CHHATTISGARH,Koriya,Male,In seeing,22
22,1,Urban,80-89,CHHATTISGARH,Koriya,Male,In seeing,10
22,1,Urban,90+,CHHATTISGARH,Koriya,Male,In seeing,0
22,1,Urban,Age Not Stated,CHHATTISGARH,Koriya,Male,In seeing,0
22,2,Rural,0-4,CHHATTISGARH,Surguja,Male,In seeing,166
22,2,Rural,5-9,CHHATTISGARH,Surguja,Male,In seeing,253
22,2,Rural,10-19,CHHATTISGARH,Surguja,Male,In seeing,492
22,2,Rural,20-29,CHHATTISGARH,Surguja,Male,In seeing,352
22,2,Rural,30-39,CHHATTISGARH,Surguja,Male,In seeing,323
22,2,Rural,40-49,CHHATTISGARH,Surguja,Male,In seeing,357
22,2,Rural,50-59,CHHATTISGARH,Surguja,Male,In seeing,383
22,2,Rural,60-69,CHHATTISGARH,Surguja,Male,In seeing,664
22,2,Rural,70-79,CHHATTISGARH,Surguja,Male,In seeing,484
22,2,Rural,80-89,CHHATTISGARH,Surguja,Male,In seeing,189
22,2,Rural,90+,CHHATTISGARH,Surguja,Male,In seeing,56
22,2,Rural,Age Not Stated,CHHATTISGARH,Surguja,Male,In seeing,1
22,2,Urban,0-4,CHHATTISGARH,Surguja,Male,In seeing,4
22,2,Urban,5-9,CHHATTISGARH,Surguja,Male,In seeing,12
22,2,Urban,10-19,CHHATTISGARH,Surguja,Male,In seeing,47
22,2,Urban,20-29,CHHATTISGARH,Surguja,Male,In seeing,45
22,2,Urban,30-39,CHHATTISGARH,Surguja,Male,In seeing,24
22,2,Urban,40-49,CHHATTISGARH,Surguja,Male,In seeing,23
22,2,Urban,50-59,CHHATTISGARH,Surguja,Male,In seeing,35
22,2,Urban,60-69,CHHATTISGARH,Surguja,Male,In seeing,36
22,2,Urban,70-79,CHHATTISGARH,Surguja,Male,In seeing,20
22,2,Urban,80-89,CHHATTISGARH,Surguja,Male,In seeing,14
22,2,Urban,90+,CHHATTISGARH,Surguja,Male,In seeing,3
22,2,Urban,Age Not Stated,CHHATTISGARH,Surguja,Male,In seeing,0
22,3,Rural,0-4,CHHATTISGARH,Jashpur ,Male,In seeing,25
22,3,Rural,5-9,CHHATTISGARH,Jashpur ,Male,In seeing,67
22,3,Rural,10-19,CHHATTISGARH,Jashpur ,Male,In seeing,183
22,3,Rural,20-29,CHHATTISGARH,Jashpur ,Male,In seeing,113
22,3,Rural,30-39,CHHATTISGARH,Jashpur ,Male,In seeing,109
22,3,Rural,40-49,CHHATTISGARH,Jashpur ,Male,In seeing,166
22,3,Rural,50-59,CHHATTISGARH,Jashpur ,Male,In seeing,182
22,3,Rural,60-69,CHHATTISGARH,Jashpur ,Male,In seeing,339
22,3,Rural,70-79,CHHATTISGARH,Jashpur ,Male,In seeing,257
22,3,Rural,80-89,CHHATTISGARH,Jashpur ,Male,In seeing,77
22,3,Rural,90+,CHHATTISGARH,Jashpur ,Male,In seeing,22
22,3,Rural,Age Not Stated,CHHATTISGARH,Jashpur ,Male,In seeing,0
22,3,Urban,0-4,CHHATTISGARH,Jashpur ,Male,In seeing,1
22,3,Urban,5-9,CHHATTISGARH,Jashpur ,Male,In seeing,5
22,3,Urban,10-19,CHHATTISGARH,Jashpur ,Male,In seeing,22
22,3,Urban,20-29,CHHATTISGARH,Jashpur ,Male,In seeing,18
22,3,Urban,30-39,CHHATTISGARH,Jashpur ,Male,In seeing,10
22,3,Urban,40-49,CHHATTISGARH,Jashpur ,Male,In seeing,9
22,3,Urban,50-59,CHHATTISGARH,Jashpur ,Male,In seeing,19
22,3,Urban,60-69,CHHATTISGARH,Jashpur ,Male,In seeing,10
22,3,Urban,70-79,CHHATTISGARH,Jashpur ,Male,In seeing,9
22,3,Urban,80-89,CHHATTISGARH,Jashpur ,Male,In seeing,3
22,3,Urban,90+,CHHATTISGARH,Jashpur ,Male,In seeing,2
22,3,Urban,Age Not Stated,CHHATTISGARH,Jashpur ,Male,In seeing,0
22,4,Rural,0-4,CHHATTISGARH,Raigarh,Male,In seeing,101
22,4,Rural,5-9,CHHATTISGARH,Raigarh,Male,In seeing,129
22,4,Rural,10-19,CHHATTISGARH,Raigarh,Male,In seeing,328
22,4,Rural,20-29,CHHATTISGARH,Raigarh,Male,In seeing,239
22,4,Rural,30-39,CHHATTISGARH,Raigarh,Male,In seeing,201
22,4,Rural,40-49,CHHATTISGARH,Raigarh,Male,In seeing,306
22,4,Rural,50-59,CHHATTISGARH,Raigarh,Male,In seeing,303
22,4,Rural,60-69,CHHATTISGARH,Raigarh,Male,In seeing,505
22,4,Rural,70-79,CHHATTISGARH,Raigarh,Male,In seeing,315
22,4,Rural,80-89,CHHATTISGARH,Raigarh,Male,In seeing,120
22,4,Rural,90+,CHHATTISGARH,Raigarh,Male,In seeing,24
22,4,Rural,Age Not Stated,CHHATTISGARH,Raigarh,Male,In seeing,2
22,4,Urban,0-4,CHHATTISGARH,Raigarh,Male,In seeing,6
22,4,Urban,5-9,CHHATTISGARH,Raigarh,Male,In seeing,16
22,4,Urban,10-19,CHHATTISGARH,Raigarh,Male,In seeing,47
22,4,Urban,20-29,CHHATTISGARH,Raigarh,Male,In seeing,36
