State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
26,1,Rural,0-4,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,7
26,1,Rural,5-9,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,5
26,1,Rural,10-19,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,21
26,1,Rural,20-29,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,31
26,1,Rural,30-39,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,16
26,1,Rural,40-49,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,21
26,1,Rural,50-59,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,13
26,1,Rural,60-69,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,11
26,1,Rural,70-79,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,7
26,1,Rural,80-89,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,4
26,1,Rural,90+,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,0
26,1,Rural,Age Not Stated,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,0
26,1,Urban,0-4,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,6
26,1,Urban,5-9,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,11
26,1,Urban,10-19,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,8
26,1,Urban,20-29,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,21
26,1,Urban,30-39,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,16
26,1,Urban,40-49,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,16
26,1,Urban,50-59,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,5
26,1,Urban,60-69,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,7
26,1,Urban,70-79,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,4
26,1,Urban,80-89,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,2
26,1,Urban,90+,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,2
26,1,Urban,Age Not Stated,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In seeing,0
26,1,Rural,0-4,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,6
26,1,Rural,5-9,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,7
26,1,Rural,10-19,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,15
26,1,Rural,20-29,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,19
26,1,Rural,30-39,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,9
26,1,Rural,40-49,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,15
26,1,Rural,50-59,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,8
26,1,Rural,60-69,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,23
26,1,Rural,70-79,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,19
26,1,Rural,80-89,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,2
26,1,Rural,90+,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,1
26,1,Rural,Age Not Stated,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,0
26,1,Urban,0-4,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,6
26,1,Urban,5-9,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,9
26,1,Urban,10-19,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,16
26,1,Urban,20-29,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,16
26,1,Urban,30-39,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,7
26,1,Urban,40-49,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,5
26,1,Urban,50-59,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,5
26,1,Urban,60-69,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,4
26,1,Urban,70-79,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,3
26,1,Urban,80-89,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,0
26,1,Urban,90+,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,0
26,1,Urban,Age Not Stated,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In seeing,0
26,1,Rural,0-4,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,2
26,1,Rural,5-9,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,10
26,1,Rural,10-19,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,17
26,1,Rural,20-29,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,12
26,1,Rural,30-39,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,14
26,1,Rural,40-49,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,6
26,1,Rural,50-59,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,4
26,1,Rural,60-69,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,3
26,1,Rural,70-79,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,0
26,1,Rural,80-89,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,0
26,1,Rural,90+,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,0
26,1,Rural,Age Not Stated,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,0
26,1,Urban,0-4,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,1
26,1,Urban,5-9,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,11
26,1,Urban,10-19,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,11
26,1,Urban,20-29,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,15
26,1,Urban,30-39,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,5
26,1,Urban,40-49,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,4
26,1,Urban,50-59,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,0
26,1,Urban,60-69,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,0
26,1,Urban,70-79,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,0
26,1,Urban,80-89,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,0
26,1,Urban,90+,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,0
26,1,Urban,Age Not Stated,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Male,In Speech,0
26,1,Rural,0-4,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In Speech,4
26,1,Rural,5-9,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In Speech,5
26,1,Rural,10-19,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In Speech,14
26,1,Rural,20-29,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In Speech,11
26,1,Rural,30-39,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In Speech,7
26,1,Rural,40-49,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In Speech,6
26,1,Rural,50-59,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In Speech,1
26,1,Rural,60-69,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In Speech,1
26,1,Rural,70-79,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Female,In Speech,1
