State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
30,1,Rural,0-4,GOA,North Goa,Male,In seeing,10
30,1,Rural,5-9,GOA,North Goa,Male,In seeing,14
30,1,Rural,10-19,GOA,North Goa,Male,In seeing,48
30,1,Rural,20-29,GOA,North Goa,Male,In seeing,62
30,1,Rural,30-39,GOA,North Goa,Male,In seeing,66
30,1,Rural,40-49,GOA,North Goa,Male,In seeing,108
30,1,Rural,50-59,GOA,North Goa,Male,In seeing,133
30,1,Rural,60-69,GOA,North Goa,Male,In seeing,164
30,1,Rural,70-79,GOA,North Goa,Male,In seeing,71
30,1,Rural,80-89,GOA,North Goa,Male,In seeing,31
30,1,Rural,90+,GOA,North Goa,Male,In seeing,2
30,1,Rural,Age Not Stated,GOA,North Goa,Male,In seeing,1
30,1,Urban,0-4,GOA,North Goa,Male,In seeing,17
30,1,Urban,5-9,GOA,North Goa,Male,In seeing,19
30,1,Urban,10-19,GOA,North Goa,Male,In seeing,82
30,1,Urban,20-29,GOA,North Goa,Male,In seeing,76
30,1,Urban,30-39,GOA,North Goa,Male,In seeing,68
30,1,Urban,40-49,GOA,North Goa,Male,In seeing,101
30,1,Urban,50-59,GOA,North Goa,Male,In seeing,111
30,1,Urban,60-69,GOA,North Goa,Male,In seeing,98
30,1,Urban,70-79,GOA,North Goa,Male,In seeing,87
30,1,Urban,80-89,GOA,North Goa,Male,In seeing,27
30,1,Urban,90+,GOA,North Goa,Male,In seeing,6
30,1,Urban,Age Not Stated,GOA,North Goa,Male,In seeing,1
30,2,Rural,0-4,GOA,South Goa,Male,In seeing,16
30,2,Rural,5-9,GOA,South Goa,Male,In seeing,18
30,2,Rural,10-19,GOA,South Goa,Male,In seeing,31
30,2,Rural,20-29,GOA,South Goa,Male,In seeing,32
30,2,Rural,30-39,GOA,South Goa,Male,In seeing,45
30,2,Rural,40-49,GOA,South Goa,Male,In seeing,60
30,2,Rural,50-59,GOA,South Goa,Male,In seeing,70
30,2,Rural,60-69,GOA,South Goa,Male,In seeing,72
30,2,Rural,70-79,GOA,South Goa,Male,In seeing,53
30,2,Rural,80-89,GOA,South Goa,Male,In seeing,23
30,2,Rural,90+,GOA,South Goa,Male,In seeing,8
30,2,Rural,Age Not Stated,GOA,South Goa,Male,In seeing,0
30,2,Urban,0-4,GOA,South Goa,Male,In seeing,19
30,2,Urban,5-9,GOA,South Goa,Male,In seeing,22
30,2,Urban,10-19,GOA,South Goa,Male,In seeing,63
30,2,Urban,20-29,GOA,South Goa,Male,In seeing,61
30,2,Urban,30-39,GOA,South Goa,Male,In seeing,65
30,2,Urban,40-49,GOA,South Goa,Male,In seeing,95
30,2,Urban,50-59,GOA,South Goa,Male,In seeing,74
30,2,Urban,60-69,GOA,South Goa,Male,In seeing,61
30,2,Urban,70-79,GOA,South Goa,Male,In seeing,41
30,2,Urban,80-89,GOA,South Goa,Male,In seeing,9
30,2,Urban,90+,GOA,South Goa,Male,In seeing,7
30,2,Urban,Age Not Stated,GOA,South Goa,Male,In seeing,2
30,1,Rural,0-4,GOA,North Goa,Female,In seeing,13
30,1,Rural,5-9,GOA,North Goa,Female,In seeing,26
30,1,Rural,10-19,GOA,North Goa,Female,In seeing,45
30,1,Rural,20-29,GOA,North Goa,Female,In seeing,47
30,1,Rural,30-39,GOA,North Goa,Female,In seeing,90
30,1,Rural,40-49,GOA,North Goa,Female,In seeing,110
30,1,Rural,50-59,GOA,North Goa,Female,In seeing,108
30,1,Rural,60-69,GOA,North Goa,Female,In seeing,178
30,1,Rural,70-79,GOA,North Goa,Female,In seeing,133
30,1,Rural,80-89,GOA,North Goa,Female,In seeing,45
30,1,Rural,90+,GOA,North Goa,Female,In seeing,12
30,1,Rural,Age Not Stated,GOA,North Goa,Female,In seeing,2
30,1,Urban,0-4,GOA,North Goa,Female,In seeing,17
30,1,Urban,5-9,GOA,North Goa,Female,In seeing,15
30,1,Urban,10-19,GOA,North Goa,Female,In seeing,49
30,1,Urban,20-29,GOA,North Goa,Female,In seeing,61
30,1,Urban,30-39,GOA,North Goa,Female,In seeing,68
30,1,Urban,40-49,GOA,North Goa,Female,In seeing,108
