State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
24,1,Rural,0-4,GUJARAT,Kachchh,Male,In seeing,50
24,1,Rural,5-9,GUJARAT,Kachchh,Male,In seeing,115
24,1,Rural,10-19,GUJARAT,Kachchh,Male,In seeing,274
24,1,Rural,20-29,GUJARAT,Kachchh,Male,In seeing,210
24,1,Rural,30-39,GUJARAT,Kachchh,Male,In seeing,196
24,1,Rural,40-49,GUJARAT,Kachchh,Male,In seeing,237
24,1,Rural,50-59,GUJARAT,Kachchh,Male,In seeing,335
24,1,Rural,60-69,GUJARAT,Kachchh,Male,In seeing,399
24,1,Rural,70-79,GUJARAT,Kachchh,Male,In seeing,303
24,1,Rural,80-89,GUJARAT,Kachchh,Male,In seeing,160
24,1,Rural,90+,GUJARAT,Kachchh,Male,In seeing,48
24,1,Rural,Age Not Stated,GUJARAT,Kachchh,Male,In seeing,1
24,1,Urban,0-4,GUJARAT,Kachchh,Male,In seeing,48
24,1,Urban,5-9,GUJARAT,Kachchh,Male,In seeing,54
24,1,Urban,10-19,GUJARAT,Kachchh,Male,In seeing,141
24,1,Urban,20-29,GUJARAT,Kachchh,Male,In seeing,136
24,1,Urban,30-39,GUJARAT,Kachchh,Male,In seeing,132
24,1,Urban,40-49,GUJARAT,Kachchh,Male,In seeing,135
24,1,Urban,50-59,GUJARAT,Kachchh,Male,In seeing,164
24,1,Urban,60-69,GUJARAT,Kachchh,Male,In seeing,150
24,1,Urban,70-79,GUJARAT,Kachchh,Male,In seeing,97
24,1,Urban,80-89,GUJARAT,Kachchh,Male,In seeing,25
24,1,Urban,90+,GUJARAT,Kachchh,Male,In seeing,3
24,1,Urban,Age Not Stated,GUJARAT,Kachchh,Male,In seeing,8
24,2,Rural,0-4,GUJARAT,Banas Kantha,Male,In seeing,126
24,2,Rural,5-9,GUJARAT,Banas Kantha,Male,In seeing,291
24,2,Rural,10-19,GUJARAT,Banas Kantha,Male,In seeing,598
24,2,Rural,20-29,GUJARAT,Banas Kantha,Male,In seeing,376
24,2,Rural,30-39,GUJARAT,Banas Kantha,Male,In seeing,388
24,2,Rural,40-49,GUJARAT,Banas Kantha,Male,In seeing,403
24,2,Rural,50-59,GUJARAT,Banas Kantha,Male,In seeing,423
24,2,Rural,60-69,GUJARAT,Banas Kantha,Male,In seeing,520
24,2,Rural,70-79,GUJARAT,Banas Kantha,Male,In seeing,366
24,2,Rural,80-89,GUJARAT,Banas Kantha,Male,In seeing,131
24,2,Rural,90+,GUJARAT,Banas Kantha,Male,In seeing,37
24,2,Rural,Age Not Stated,GUJARAT,Banas Kantha,Male,In seeing,6
24,2,Urban,0-4,GUJARAT,Banas Kantha,Male,In seeing,28
24,2,Urban,5-9,GUJARAT,Banas Kantha,Male,In seeing,48
24,2,Urban,10-19,GUJARAT,Banas Kantha,Male,In seeing,108
24,2,Urban,20-29,GUJARAT,Banas Kantha,Male,In seeing,77
24,2,Urban,30-39,GUJARAT,Banas Kantha,Male,In seeing,74
24,2,Urban,40-49,GUJARAT,Banas Kantha,Male,In seeing,75
24,2,Urban,50-59,GUJARAT,Banas Kantha,Male,In seeing,67
24,2,Urban,60-69,GUJARAT,Banas Kantha,Male,In seeing,78
24,2,Urban,70-79,GUJARAT,Banas Kantha,Male,In seeing,47
24,2,Urban,80-89,GUJARAT,Banas Kantha,Male,In seeing,15
24,2,Urban,90+,GUJARAT,Banas Kantha,Male,In seeing,2
24,2,Urban,Age Not Stated,GUJARAT,Banas Kantha,Male,In seeing,1
24,3,Rural,0-4,GUJARAT,Patan  ,Male,In seeing,47
24,3,Rural,5-9,GUJARAT,Patan  ,Male,In seeing,115
24,3,Rural,10-19,GUJARAT,Patan  ,Male,In seeing,388
24,3,Rural,20-29,GUJARAT,Patan  ,Male,In seeing,222
24,3,Rural,30-39,GUJARAT,Patan  ,Male,In seeing,185
24,3,Rural,40-49,GUJARAT,Patan  ,Male,In seeing,240
24,3,Rural,50-59,GUJARAT,Patan  ,Male,In seeing,306
24,3,Rural,60-69,GUJARAT,Patan  ,Male,In seeing,330
24,3,Rural,70-79,GUJARAT,Patan  ,Male,In seeing,250
