State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
1,1,Rural,0-4,JAMMU & KASHMIR,Kupwara,Male,In seeing,223
1,1,Rural,5-9,JAMMU & KASHMIR,Kupwara,Male,In seeing,296
1,1,Rural,10-19,JAMMU & KASHMIR,Kupwara,Male,In seeing,514
1,1,Rural,20-29,JAMMU & KASHMIR,Kupwara,Male,In seeing,294
1,1,Rural,30-39,JAMMU & KASHMIR,Kupwara,Male,In seeing,246
1,1,Rural,40-49,JAMMU & KASHMIR,Kupwara,Male,In seeing,182
1,1,Rural,50-59,JAMMU & KASHMIR,Kupwara,Male,In seeing,247
1,1,Rural,60-69,JAMMU & KASHMIR,Kupwara,Male,In seeing,330
1,1,Rural,70-79,JAMMU & KASHMIR,Kupwara,Male,In seeing,258
1,1,Rural,80-89,JAMMU & KASHMIR,Kupwara,Male,In seeing,133
1,1,Rural,90+,JAMMU & KASHMIR,Kupwara,Male,In seeing,46
1,1,Rural,Age Not Stated,JAMMU & KASHMIR,Kupwara,Male,In seeing,2
1,1,Urban,0-4,JAMMU & KASHMIR,Kupwara,Male,In seeing,15
1,1,Urban,5-9,JAMMU & KASHMIR,Kupwara,Male,In seeing,17
1,1,Urban,10-19,JAMMU & KASHMIR,Kupwara,Male,In seeing,43
1,1,Urban,20-29,JAMMU & KASHMIR,Kupwara,Male,In seeing,21
1,1,Urban,30-39,JAMMU & KASHMIR,Kupwara,Male,In seeing,26
1,1,Urban,40-49,JAMMU & KASHMIR,Kupwara,Male,In seeing,32
1,1,Urban,50-59,JAMMU & KASHMIR,Kupwara,Male,In seeing,15
1,1,Urban,60-69,JAMMU & KASHMIR,Kupwara,Male,In seeing,20
1,1,Urban,70-79,JAMMU & KASHMIR,Kupwara,Male,In seeing,19
1,1,Urban,80-89,JAMMU & KASHMIR,Kupwara,Male,In seeing,2
1,1,Urban,90+,JAMMU & KASHMIR,Kupwara,Male,In seeing,3
1,1,Urban,Age Not Stated,JAMMU & KASHMIR,Kupwara,Male,In seeing,1
1,2,Rural,0-4,JAMMU & KASHMIR,Badgam,Male,In seeing,112
1,2,Rural,5-9,JAMMU & KASHMIR,Badgam,Male,In seeing,116
1,2,Rural,10-19,JAMMU & KASHMIR,Badgam,Male,In seeing,260
