State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
20,1,Rural,0-4,JHARKHAND,Garhwa ,Male,In seeing,71
20,1,Rural,5-9,JHARKHAND,Garhwa ,Male,In seeing,133
20,1,Rural,10-19,JHARKHAND,Garhwa ,Male,In seeing,314
20,1,Rural,20-29,JHARKHAND,Garhwa ,Male,In seeing,170
20,1,Rural,30-39,JHARKHAND,Garhwa ,Male,In seeing,189
20,1,Rural,40-49,JHARKHAND,Garhwa ,Male,In seeing,169
20,1,Rural,50-59,JHARKHAND,Garhwa ,Male,In seeing,152
20,1,Rural,60-69,JHARKHAND,Garhwa ,Male,In seeing,284
20,1,Rural,70-79,JHARKHAND,Garhwa ,Male,In seeing,252
20,1,Rural,80-89,JHARKHAND,Garhwa ,Male,In seeing,93
20,1,Rural,90+,JHARKHAND,Garhwa ,Male,In seeing,28
20,1,Rural,Age Not Stated,JHARKHAND,Garhwa ,Male,In seeing,1
20,1,Urban,0-4,JHARKHAND,Garhwa ,Male,In seeing,3
20,1,Urban,5-9,JHARKHAND,Garhwa ,Male,In seeing,8
20,1,Urban,10-19,JHARKHAND,Garhwa ,Male,In seeing,12
20,1,Urban,20-29,JHARKHAND,Garhwa ,Male,In seeing,8
20,1,Urban,30-39,JHARKHAND,Garhwa ,Male,In seeing,12
20,1,Urban,40-49,JHARKHAND,Garhwa ,Male,In seeing,11
20,1,Urban,50-59,JHARKHAND,Garhwa ,Male,In seeing,6
20,1,Urban,60-69,JHARKHAND,Garhwa ,Male,In seeing,10
20,1,Urban,70-79,JHARKHAND,Garhwa ,Male,In seeing,5
20,1,Urban,80-89,JHARKHAND,Garhwa ,Male,In seeing,2
20,1,Urban,90+,JHARKHAND,Garhwa ,Male,In seeing,1
20,1,Urban,Age Not Stated,JHARKHAND,Garhwa ,Male,In seeing,0
20,2,Rural,0-4,JHARKHAND,Chatra,Male,In seeing,38
20,2,Rural,5-9,JHARKHAND,Chatra,Male,In seeing,66
20,2,Rural,10-19,JHARKHAND,Chatra,Male,In seeing,190
20,2,Rural,20-29,JHARKHAND,Chatra,Male,In seeing,98
20,2,Rural,30-39,JHARKHAND,Chatra,Male,In seeing,115
20,2,Rural,40-49,JHARKHAND,Chatra,Male,In seeing,95
20,2,Rural,50-59,JHARKHAND,Chatra,Male,In seeing,123
20,2,Rural,60-69,JHARKHAND,Chatra,Male,In seeing,232
20,2,Rural,70-79,JHARKHAND,Chatra,Male,In seeing,167
20,2,Rural,80-89,JHARKHAND,Chatra,Male,In seeing,51
20,2,Rural,90+,JHARKHAND,Chatra,Male,In seeing,15
20,2,Rural,Age Not Stated,JHARKHAND,Chatra,Male,In seeing,4
20,2,Urban,0-4,JHARKHAND,Chatra,Male,In seeing,1
20,2,Urban,5-9,JHARKHAND,Chatra,Male,In seeing,3
20,2,Urban,10-19,JHARKHAND,Chatra,Male,In seeing,10
20,2,Urban,20-29,JHARKHAND,Chatra,Male,In seeing,6
20,2,Urban,30-39,JHARKHAND,Chatra,Male,In seeing,6
20,2,Urban,40-49,JHARKHAND,Chatra,Male,In seeing,2
20,2,Urban,50-59,JHARKHAND,Chatra,Male,In seeing,7
20,2,Urban,60-69,JHARKHAND,Chatra,Male,In seeing,6
20,2,Urban,70-79,JHARKHAND,Chatra,Male,In seeing,5
20,2,Urban,80-89,JHARKHAND,Chatra,Male,In seeing,1
20,2,Urban,90+,JHARKHAND,Chatra,Male,In seeing,1
20,2,Urban,Age Not Stated,JHARKHAND,Chatra,Male,In seeing,0
20,3,Rural,0-4,JHARKHAND,Kodarma,Male,In seeing,32
20,3,Rural,5-9,JHARKHAND,Kodarma,Male,In seeing,43
20,3,Rural,10-19,JHARKHAND,Kodarma,Male,In seeing,83
20,3,Rural,20-29,JHARKHAND,Kodarma,Male,In seeing,56
20,3,Rural,30-39,JHARKHAND,Kodarma,Male,In seeing,62
20,3,Rural,40-49,JHARKHAND,Kodarma,Male,In seeing,65
20,3,Rural,50-59,JHARKHAND,Kodarma,Male,In seeing,53
20,3,Rural,60-69,JHARKHAND,Kodarma,Male,In seeing,66
20,3,Rural,70-79,JHARKHAND,Kodarma,Male,In seeing,43
20,3,Rural,80-89,JHARKHAND,Kodarma,Male,In seeing,20
20,3,Rural,90+,JHARKHAND,Kodarma,Male,In seeing,5
20,3,Rural,Age Not Stated,JHARKHAND,Kodarma,Male,In seeing,0
20,3,Urban,0-4,JHARKHAND,Kodarma,Male,In seeing,7
