State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
29,1,Rural,0-4,KARNATAKA,Belgaum,Male,In seeing,263
29,1,Rural,5-9,KARNATAKA,Belgaum,Male,In seeing,359
29,1,Rural,10-19,KARNATAKA,Belgaum,Male,In seeing,989
29,1,Rural,20-29,KARNATAKA,Belgaum,Male,In seeing,744
29,1,Rural,30-39,KARNATAKA,Belgaum,Male,In seeing,640
29,1,Rural,40-49,KARNATAKA,Belgaum,Male,In seeing,607
29,1,Rural,50-59,KARNATAKA,Belgaum,Male,In seeing,529
29,1,Rural,60-69,KARNATAKA,Belgaum,Male,In seeing,714
29,1,Rural,70-79,KARNATAKA,Belgaum,Male,In seeing,545
29,1,Rural,80-89,KARNATAKA,Belgaum,Male,In seeing,231
29,1,Rural,90+,KARNATAKA,Belgaum,Male,In seeing,50
29,1,Rural,Age Not Stated,KARNATAKA,Belgaum,Male,In seeing,3
29,1,Urban,0-4,KARNATAKA,Belgaum,Male,In seeing,80
29,1,Urban,5-9,KARNATAKA,Belgaum,Male,In seeing,85
29,1,Urban,10-19,KARNATAKA,Belgaum,Male,In seeing,234
29,1,Urban,20-29,KARNATAKA,Belgaum,Male,In seeing,251
29,1,Urban,30-39,KARNATAKA,Belgaum,Male,In seeing,205
29,1,Urban,40-49,KARNATAKA,Belgaum,Male,In seeing,232
29,1,Urban,50-59,KARNATAKA,Belgaum,Male,In seeing,224
29,1,Urban,60-69,KARNATAKA,Belgaum,Male,In seeing,200
29,1,Urban,70-79,KARNATAKA,Belgaum,Male,In seeing,112
29,1,Urban,80-89,KARNATAKA,Belgaum,Male,In seeing,44
29,1,Urban,90+,KARNATAKA,Belgaum,Male,In seeing,6
29,1,Urban,Age Not Stated,KARNATAKA,Belgaum,Male,In seeing,1
29,2,Rural,0-4,KARNATAKA,Bagalkot ,Male,In seeing,77
29,2,Rural,5-9,KARNATAKA,Bagalkot ,Male,In seeing,157
29,2,Rural,10-19,KARNATAKA,Bagalkot ,Male,In seeing,387
29,2,Rural,20-29,KARNATAKA,Bagalkot ,Male,In seeing,261
29,2,Rural,30-39,KARNATAKA,Bagalkot ,Male,In seeing,242
29,2,Rural,40-49,KARNATAKA,Bagalkot ,Male,In seeing,214
29,2,Rural,50-59,KARNATAKA,Bagalkot ,Male,In seeing,209
29,2,Rural,60-69,KARNATAKA,Bagalkot ,Male,In seeing,356
29,2,Rural,70-79,KARNATAKA,Bagalkot ,Male,In seeing,250
29,2,Rural,80-89,KARNATAKA,Bagalkot ,Male,In seeing,82
29,2,Rural,90+,KARNATAKA,Bagalkot ,Male,In seeing,19
29,2,Rural,Age Not Stated,KARNATAKA,Bagalkot ,Male,In seeing,1
29,2,Urban,0-4,KARNATAKA,Bagalkot ,Male,In seeing,18
29,2,Urban,5-9,KARNATAKA,Bagalkot ,Male,In seeing,49
29,2,Urban,10-19,KARNATAKA,Bagalkot ,Male,In seeing,168
29,2,Urban,20-29,KARNATAKA,Bagalkot ,Male,In seeing,119
29,2,Urban,30-39,KARNATAKA,Bagalkot ,Male,In seeing,128
29,2,Urban,40-49,KARNATAKA,Bagalkot ,Male,In seeing,151
29,2,Urban,50-59,KARNATAKA,Bagalkot ,Male,In seeing,224
29,2,Urban,60-69,KARNATAKA,Bagalkot ,Male,In seeing,223
29,2,Urban,70-79,KARNATAKA,Bagalkot ,Male,In seeing,105
29,2,Urban,80-89,KARNATAKA,Bagalkot ,Male,In seeing,43
29,2,Urban,90+,KARNATAKA,Bagalkot ,Male,In seeing,6
29,2,Urban,Age Not Stated,KARNATAKA,Bagalkot ,Male,In seeing,1
29,3,Rural,0-4,KARNATAKA,Bijapur,Male,In seeing,157
29,3,Rural,5-9,KARNATAKA,Bijapur,Male,In seeing,226
29,3,Rural,10-19,KARNATAKA,Bijapur,Male,In seeing,508
29,3,Rural,20-29,KARNATAKA,Bijapur,Male,In seeing,382
29,3,Rural,30-39,KARNATAKA,Bijapur,Male,In seeing,267
29,3,Rural,40-49,KARNATAKA,Bijapur,Male,In seeing,268
29,3,Rural,50-59,KARNATAKA,Bijapur,Male,In seeing,223
29,3,Rural,60-69,KARNATAKA,Bijapur,Male,In seeing,367
29,3,Rural,70-79,KARNATAKA,Bijapur,Male,In seeing,284
29,3,Rural,80-89,KARNATAKA,Bijapur,Male,In seeing,102
29,3,Rural,90+,KARNATAKA,Bijapur,Male,In seeing,20
29,3,Rural,Age Not Stated,KARNATAKA,Bijapur,Male,In seeing,3
29,3,Urban,0-4,KARNATAKA,Bijapur,Male,In seeing,37
29,3,Urban,5-9,KARNATAKA,Bijapur,Male,In seeing,66
29,3,Urban,10-19,KARNATAKA,Bijapur,Male,In seeing,164
29,3,Urban,20-29,KARNATAKA,Bijapur,Male,In seeing,126
29,3,Urban,30-39,KARNATAKA,Bijapur,Male,In seeing,107
29,3,Urban,40-49,KARNATAKA,Bijapur,Male,In seeing,88
29,3,Urban,50-59,KARNATAKA,Bijapur,Male,In seeing,75
29,3,Urban,60-69,KARNATAKA,Bijapur,Male,In seeing,65
29,3,Urban,70-79,KARNATAKA,Bijapur,Male,In seeing,28
29,3,Urban,80-89,KARNATAKA,Bijapur,Male,In seeing,9
29,3,Urban,90+,KARNATAKA,Bijapur,Male,In seeing,2
29,3,Urban,Age Not Stated,KARNATAKA,Bijapur,Male,In seeing,1
29,4,Rural,0-4,KARNATAKA,Bidar,Male,In seeing,128
29,4,Rural,5-9,KARNATAKA,Bidar,Male,In seeing,194
29,4,Rural,10-19,KARNATAKA,Bidar,Male,In seeing,509
29,4,Rural,20-29,KARNATAKA,Bidar,Male,In seeing,400
29,4,Rural,30-39,KARNATAKA,Bidar,Male,In seeing,304
29,4,Rural,40-49,KARNATAKA,Bidar,Male,In seeing,271
29,4,Rural,50-59,KARNATAKA,Bidar,Male,In seeing,292
29,4,Rural,60-69,KARNATAKA,Bidar,Male,In seeing,441
29,4,Rural,70-79,KARNATAKA,Bidar,Male,In seeing,317
29,4,Rural,80-89,KARNATAKA,Bidar,Male,In seeing,147
29,4,Rural,90+,KARNATAKA,Bidar,Male,In seeing,46
29,4,Rural,Age Not Stated,KARNATAKA,Bidar,Male,In seeing,2
29,4,Urban,0-4,KARNATAKA,Bidar,Male,In seeing,31
29,4,Urban,5-9,KARNATAKA,Bidar,Male,In seeing,41
29,4,Urban,10-19,KARNATAKA,Bidar,Male,In seeing,135
29,4,Urban,20-29,KARNATAKA,Bidar,Male,In seeing,103
29,4,Urban,30-39,KARNATAKA,Bidar,Male,In seeing,76
29,4,Urban,40-49,KARNATAKA,Bidar,Male,In seeing,90
29,4,Urban,50-59,KARNATAKA,Bidar,Male,In seeing,44
29,4,Urban,60-69,KARNATAKA,Bidar,Male,In seeing,49
29,4,Urban,70-79,KARNATAKA,Bidar,Male,In seeing,30
29,4,Urban,80-89,KARNATAKA,Bidar,Male,In seeing,14
29,4,Urban,90+,KARNATAKA,Bidar,Male,In seeing,5
29,4,Urban,Age Not Stated,KARNATAKA,Bidar,Male,In seeing,0
29,5,Rural,0-4,KARNATAKA,Raichur,Male,In seeing,169
29,5,Rural,5-9,KARNATAKA,Raichur,Male,In seeing,258
29,5,Rural,10-19,KARNATAKA,Raichur,Male,In seeing,556
29,5,Rural,20-29,KARNATAKA,Raichur,Male,In seeing,382
29,5,Rural,30-39,KARNATAKA,Raichur,Male,In seeing,257
29,5,Rural,40-49,KARNATAKA,Raichur,Male,In seeing,250
29,5,Rural,50-59,KARNATAKA,Raichur,Male,In seeing,247
29,5,Rural,60-69,KARNATAKA,Raichur,Male,In seeing,383
29,5,Rural,70-79,KARNATAKA,Raichur,Male,In seeing,318
29,5,Rural,80-89,KARNATAKA,Raichur,Male,In seeing,102
29,5,Rural,90+,KARNATAKA,Raichur,Male,In seeing,29
29,5,Rural,Age Not Stated,KARNATAKA,Raichur,Male,In seeing,1
29,5,Urban,0-4,KARNATAKA,Raichur,Male,In seeing,52
