State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
31,1,Rural,0-4,LAKSHADWEEP,Lakshadweep,Male,In seeing,0
31,1,Rural,5-9,LAKSHADWEEP,Lakshadweep,Male,In seeing,0
31,1,Rural,10-19,LAKSHADWEEP,Lakshadweep,Male,In seeing,4
31,1,Rural,20-29,LAKSHADWEEP,Lakshadweep,Male,In seeing,7
31,1,Rural,30-39,LAKSHADWEEP,Lakshadweep,Male,In seeing,1
31,1,Rural,40-49,LAKSHADWEEP,Lakshadweep,Male,In seeing,5
31,1,Rural,50-59,LAKSHADWEEP,Lakshadweep,Male,In seeing,12
31,1,Rural,60-69,LAKSHADWEEP,Lakshadweep,Male,In seeing,8
31,1,Rural,70-79,LAKSHADWEEP,Lakshadweep,Male,In seeing,5
31,1,Rural,80-89,LAKSHADWEEP,Lakshadweep,Male,In seeing,3
31,1,Rural,90+,LAKSHADWEEP,Lakshadweep,Male,In seeing,0
31,1,Rural,Age Not Stated,LAKSHADWEEP,Lakshadweep,Male,In seeing,0
31,1,Urban,0-4,LAKSHADWEEP,Lakshadweep,Male,In seeing,2
31,1,Urban,5-9,LAKSHADWEEP,Lakshadweep,Male,In seeing,6
31,1,Urban,10-19,LAKSHADWEEP,Lakshadweep,Male,In seeing,24
31,1,Urban,20-29,LAKSHADWEEP,Lakshadweep,Male,In seeing,14
31,1,Urban,30-39,LAKSHADWEEP,Lakshadweep,Male,In seeing,7
31,1,Urban,40-49,LAKSHADWEEP,Lakshadweep,Male,In seeing,13
31,1,Urban,50-59,LAKSHADWEEP,Lakshadweep,Male,In seeing,12
31,1,Urban,60-69,LAKSHADWEEP,Lakshadweep,Male,In seeing,15
31,1,Urban,70-79,LAKSHADWEEP,Lakshadweep,Male,In seeing,7
31,1,Urban,80-89,LAKSHADWEEP,Lakshadweep,Male,In seeing,4
31,1,Urban,90+,LAKSHADWEEP,Lakshadweep,Male,In seeing,0
31,1,Urban,Age Not Stated,LAKSHADWEEP,Lakshadweep,Male,In seeing,0
31,1,Rural,0-4,LAKSHADWEEP,Lakshadweep,Female,In seeing,1
31,1,Rural,5-9,LAKSHADWEEP,Lakshadweep,Female,In seeing,1
31,1,Rural,10-19,LAKSHADWEEP,Lakshadweep,Female,In seeing,11
31,1,Rural,20-29,LAKSHADWEEP,Lakshadweep,Female,In seeing,3
31,1,Rural,30-39,LAKSHADWEEP,Lakshadweep,Female,In seeing,6
31,1,Rural,40-49,LAKSHADWEEP,Lakshadweep,Female,In seeing,16
31,1,Rural,50-59,LAKSHADWEEP,Lakshadweep,Female,In seeing,6
31,1,Rural,60-69,LAKSHADWEEP,Lakshadweep,Female,In seeing,9
31,1,Rural,70-79,LAKSHADWEEP,Lakshadweep,Female,In seeing,5
31,1,Rural,80-89,LAKSHADWEEP,Lakshadweep,Female,In seeing,1
31,1,Rural,90+,LAKSHADWEEP,Lakshadweep,Female,In seeing,0
31,1,Rural,Age Not Stated,LAKSHADWEEP,Lakshadweep,Female,In seeing,0
31,1,Urban,0-4,LAKSHADWEEP,Lakshadweep,Female,In seeing,0
31,1,Urban,5-9,LAKSHADWEEP,Lakshadweep,Female,In seeing,10
31,1,Urban,10-19,LAKSHADWEEP,Lakshadweep,Female,In seeing,11
31,1,Urban,20-29,LAKSHADWEEP,Lakshadweep,Female,In seeing,18
31,1,Urban,30-39,LAKSHADWEEP,Lakshadweep,Female,In seeing,16
31,1,Urban,40-49,LAKSHADWEEP,Lakshadweep,Female,In seeing,12
31,1,Urban,50-59,LAKSHADWEEP,Lakshadweep,Female,In seeing,26
31,1,Urban,60-69,LAKSHADWEEP,Lakshadweep,Female,In seeing,19
31,1,Urban,70-79,LAKSHADWEEP,Lakshadweep,Female,In seeing,12
31,1,Urban,80-89,LAKSHADWEEP,Lakshadweep,Female,In seeing,4
31,1,Urban,90+,LAKSHADWEEP,Lakshadweep,Female,In seeing,1
31,1,Urban,Age Not Stated,LAKSHADWEEP,Lakshadweep,Female,In seeing,0
31,1,Rural,0-4,LAKSHADWEEP,Lakshadweep,Male,In Speech,0
31,1,Rural,5-9,LAKSHADWEEP,Lakshadweep,Male,In Speech,1
31,1,Rural,10-19,LAKSHADWEEP,Lakshadweep,Male,In Speech,0
31,1,Rural,20-29,LAKSHADWEEP,Lakshadweep,Male,In Speech,0
31,1,Rural,30-39,LAKSHADWEEP,Lakshadweep,Male,In Speech,1
31,1,Rural,40-49,LAKSHADWEEP,Lakshadweep,Male,In Speech,2
31,1,Rural,50-59,LAKSHADWEEP,Lakshadweep,Male,In Speech,1
31,1,Rural,60-69,LAKSHADWEEP,Lakshadweep,Male,In Speech,1
31,1,Rural,70-79,LAKSHADWEEP,Lakshadweep,Male,In Speech,1
31,1,Rural,80-89,LAKSHADWEEP,Lakshadweep,Male,In Speech,0
31,1,Rural,90+,LAKSHADWEEP,Lakshadweep,Male,In Speech,0
31,1,Rural,Age Not Stated,LAKSHADWEEP,Lakshadweep,Male,In Speech,0
31,1,Urban,0-4,LAKSHADWEEP,Lakshadweep,Male,In Speech,1
31,1,Urban,5-9,LAKSHADWEEP,Lakshadweep,Male,In Speech,3
31,1,Urban,10-19,LAKSHADWEEP,Lakshadweep,Male,In Speech,7
31,1,Urban,20-29,LAKSHADWEEP,Lakshadweep,Male,In Speech,12
