State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
27,1,Rural,0-4,MAHARASHTRA,Nandurbar,Male,In seeing,153
27,1,Rural,5-9,MAHARASHTRA,Nandurbar,Male,In seeing,214
27,1,Rural,10-19,MAHARASHTRA,Nandurbar,Male,In seeing,440
27,1,Rural,20-29,MAHARASHTRA,Nandurbar,Male,In seeing,250
27,1,Rural,30-39,MAHARASHTRA,Nandurbar,Male,In seeing,210
27,1,Rural,40-49,MAHARASHTRA,Nandurbar,Male,In seeing,207
27,1,Rural,50-59,MAHARASHTRA,Nandurbar,Male,In seeing,161
27,1,Rural,60-69,MAHARASHTRA,Nandurbar,Male,In seeing,195
27,1,Rural,70-79,MAHARASHTRA,Nandurbar,Male,In seeing,136
27,1,Rural,80-89,MAHARASHTRA,Nandurbar,Male,In seeing,36
27,1,Rural,90+,MAHARASHTRA,Nandurbar,Male,In seeing,7
27,1,Rural,Age Not Stated,MAHARASHTRA,Nandurbar,Male,In seeing,6
27,1,Urban,0-4,MAHARASHTRA,Nandurbar,Male,In seeing,35
27,1,Urban,5-9,MAHARASHTRA,Nandurbar,Male,In seeing,48
27,1,Urban,10-19,MAHARASHTRA,Nandurbar,Male,In seeing,91
27,1,Urban,20-29,MAHARASHTRA,Nandurbar,Male,In seeing,72
27,1,Urban,30-39,MAHARASHTRA,Nandurbar,Male,In seeing,78
27,1,Urban,40-49,MAHARASHTRA,Nandurbar,Male,In seeing,76
27,1,Urban,50-59,MAHARASHTRA,Nandurbar,Male,In seeing,42
27,1,Urban,60-69,MAHARASHTRA,Nandurbar,Male,In seeing,43
27,1,Urban,70-79,MAHARASHTRA,Nandurbar,Male,In seeing,25
27,1,Urban,80-89,MAHARASHTRA,Nandurbar,Male,In seeing,8
27,1,Urban,90+,MAHARASHTRA,Nandurbar,Male,In seeing,4
27,1,Urban,Age Not Stated,MAHARASHTRA,Nandurbar,Male,In seeing,1
27,2,Rural,0-4,MAHARASHTRA,Dhule,Male,In seeing,275
27,2,Rural,5-9,MAHARASHTRA,Dhule,Male,In seeing,316
27,2,Rural,10-19,MAHARASHTRA,Dhule,Male,In seeing,617
27,2,Rural,20-29,MAHARASHTRA,Dhule,Male,In seeing,514
27,2,Rural,30-39,MAHARASHTRA,Dhule,Male,In seeing,399
27,2,Rural,40-49,MAHARASHTRA,Dhule,Male,In seeing,386
27,2,Rural,50-59,MAHARASHTRA,Dhule,Male,In seeing,336
27,2,Rural,60-69,MAHARASHTRA,Dhule,Male,In seeing,352
27,2,Rural,70-79,MAHARASHTRA,Dhule,Male,In seeing,225
27,2,Rural,80-89,MAHARASHTRA,Dhule,Male,In seeing,67
27,2,Rural,90+,MAHARASHTRA,Dhule,Male,In seeing,13
27,2,Rural,Age Not Stated,MAHARASHTRA,Dhule,Male,In seeing,68
27,2,Urban,0-4,MAHARASHTRA,Dhule,Male,In seeing,75
27,2,Urban,5-9,MAHARASHTRA,Dhule,Male,In seeing,96
27,2,Urban,10-19,MAHARASHTRA,Dhule,Male,In seeing,295
27,2,Urban,20-29,MAHARASHTRA,Dhule,Male,In seeing,210
27,2,Urban,30-39,MAHARASHTRA,Dhule,Male,In seeing,162
27,2,Urban,40-49,MAHARASHTRA,Dhule,Male,In seeing,185
27,2,Urban,50-59,MAHARASHTRA,Dhule,Male,In seeing,144
27,2,Urban,60-69,MAHARASHTRA,Dhule,Male,In seeing,104
27,2,Urban,70-79,MAHARASHTRA,Dhule,Male,In seeing,79
27,2,Urban,80-89,MAHARASHTRA,Dhule,Male,In seeing,19
27,2,Urban,90+,MAHARASHTRA,Dhule,Male,In seeing,7
27,2,Urban,Age Not Stated,MAHARASHTRA,Dhule,Male,In seeing,22
27,3,Rural,0-4,MAHARASHTRA,Jalgaon,Male,In seeing,735
27,3,Rural,5-9,MAHARASHTRA,Jalgaon,Male,In seeing,816
27,3,Rural,10-19,MAHARASHTRA,Jalgaon,Male,In seeing,1840
27,3,Rural,20-29,MAHARASHTRA,Jalgaon,Male,In seeing,1435
27,3,Rural,30-39,MAHARASHTRA,Jalgaon,Male,In seeing,1260
27,3,Rural,40-49,MAHARASHTRA,Jalgaon,Male,In seeing,1191
27,3,Rural,50-59,MAHARASHTRA,Jalgaon,Male,In seeing,958
27,3,Rural,60-69,MAHARASHTRA,Jalgaon,Male,In seeing,1036
27,3,Rural,70-79,MAHARASHTRA,Jalgaon,Male,In seeing,724
27,3,Rural,80-89,MAHARASHTRA,Jalgaon,Male,In seeing,179
27,3,Rural,90+,MAHARASHTRA,Jalgaon,Male,In seeing,41
27,3,Rural,Age Not Stated,MAHARASHTRA,Jalgaon,Male,In seeing,144
27,3,Urban,0-4,MAHARASHTRA,Jalgaon,Male,In seeing,226
27,3,Urban,5-9,MAHARASHTRA,Jalgaon,Male,In seeing,251
27,3,Urban,10-19,MAHARASHTRA,Jalgaon,Male,In seeing,603
27,3,Urban,20-29,MAHARASHTRA,Jalgaon,Male,In seeing,554
27,3,Urban,30-39,MAHARASHTRA,Jalgaon,Male,In seeing,506
27,3,Urban,40-49,MAHARASHTRA,Jalgaon,Male,In seeing,558
27,3,Urban,50-59,MAHARASHTRA,Jalgaon,Male,In seeing,493
27,3,Urban,60-69,MAHARASHTRA,Jalgaon,Male,In seeing,334
27,3,Urban,70-79,MAHARASHTRA,Jalgaon,Male,In seeing,217
27,3,Urban,80-89,MAHARASHTRA,Jalgaon,Male,In seeing,51
27,3,Urban,90+,MAHARASHTRA,Jalgaon,Male,In seeing,12
27,3,Urban,Age Not Stated,MAHARASHTRA,Jalgaon,Male,In seeing,67
27,4,Rural,0-4,MAHARASHTRA,Buldana,Male,In seeing,236
27,4,Rural,5-9,MAHARASHTRA,Buldana,Male,In seeing,398
27,4,Rural,10-19,MAHARASHTRA,Buldana,Male,In seeing,1071
27,4,Rural,20-29,MAHARASHTRA,Buldana,Male,In seeing,774
27,4,Rural,30-39,MAHARASHTRA,Buldana,Male,In seeing,659
27,4,Rural,40-49,MAHARASHTRA,Buldana,Male,In seeing,647
27,4,Rural,50-59,MAHARASHTRA,Buldana,Male,In seeing,684
27,4,Rural,60-69,MAHARASHTRA,Buldana,Male,In seeing,820
27,4,Rural,70-79,MAHARASHTRA,Buldana,Male,In seeing,596
27,4,Rural,80-89,MAHARASHTRA,Buldana,Male,In seeing,186
27,4,Rural,90+,MAHARASHTRA,Buldana,Male,In seeing,45
27,4,Rural,Age Not Stated,MAHARASHTRA,Buldana,Male,In seeing,11
27,4,Urban,0-4,MAHARASHTRA,Buldana,Male,In seeing,39
27,4,Urban,5-9,MAHARASHTRA,Buldana,Male,In seeing,66
27,4,Urban,10-19,MAHARASHTRA,Buldana,Male,In seeing,199
27,4,Urban,20-29,MAHARASHTRA,Buldana,Male,In seeing,174
27,4,Urban,30-39,MAHARASHTRA,Buldana,Male,In seeing,124
27,4,Urban,40-49,MAHARASHTRA,Buldana,Male,In seeing,133
27,4,Urban,50-59,MAHARASHTRA,Buldana,Male,In seeing,116
27,4,Urban,60-69,MAHARASHTRA,Buldana,Male,In seeing,108
27,4,Urban,70-79,MAHARASHTRA,Buldana,Male,In seeing,75
27,4,Urban,80-89,MAHARASHTRA,Buldana,Male,In seeing,28
27,4,Urban,90+,MAHARASHTRA,Buldana,Male,In seeing,6
27,4,Urban,Age Not Stated,MAHARASHTRA,Buldana,Male,In seeing,4
27,5,Rural,0-4,MAHARASHTRA,Akola,Male,In seeing,105
