State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
21,1,Rural,0-4,ODISHA,Bargarh,Male,In seeing,121
21,1,Rural,5-9,ODISHA,Bargarh,Male,In seeing,198
21,1,Rural,10-19,ODISHA,Bargarh,Male,In seeing,469
21,1,Rural,20-29,ODISHA,Bargarh,Male,In seeing,395
21,1,Rural,30-39,ODISHA,Bargarh,Male,In seeing,361
21,1,Rural,40-49,ODISHA,Bargarh,Male,In seeing,442
21,1,Rural,50-59,ODISHA,Bargarh,Male,In seeing,555
21,1,Rural,60-69,ODISHA,Bargarh,Male,In seeing,752
21,1,Rural,70-79,ODISHA,Bargarh,Male,In seeing,528
21,1,Rural,80-89,ODISHA,Bargarh,Male,In seeing,216
21,1,Rural,90+,ODISHA,Bargarh,Male,In seeing,44
21,1,Rural,Age Not Stated,ODISHA,Bargarh,Male,In seeing,2
21,1,Urban,0-4,ODISHA,Bargarh,Male,In seeing,9
21,1,Urban,5-9,ODISHA,Bargarh,Male,In seeing,37
21,1,Urban,10-19,ODISHA,Bargarh,Male,In seeing,38
21,1,Urban,20-29,ODISHA,Bargarh,Male,In seeing,15
21,1,Urban,30-39,ODISHA,Bargarh,Male,In seeing,31
21,1,Urban,40-49,ODISHA,Bargarh,Male,In seeing,24
21,1,Urban,50-59,ODISHA,Bargarh,Male,In seeing,25
21,1,Urban,60-69,ODISHA,Bargarh,Male,In seeing,40
21,1,Urban,70-79,ODISHA,Bargarh,Male,In seeing,28
21,1,Urban,80-89,ODISHA,Bargarh,Male,In seeing,4
21,1,Urban,90+,ODISHA,Bargarh,Male,In seeing,3
21,1,Urban,Age Not Stated,ODISHA,Bargarh,Male,In seeing,0
21,2,Rural,0-4,ODISHA,Jharsuguda,Male,In seeing,61
21,2,Rural,5-9,ODISHA,Jharsuguda,Male,In seeing,74
21,2,Rural,10-19,ODISHA,Jharsuguda,Male,In seeing,186
21,2,Rural,20-29,ODISHA,Jharsuguda,Male,In seeing,186
21,2,Rural,30-39,ODISHA,Jharsuguda,Male,In seeing,149
21,2,Rural,40-49,ODISHA,Jharsuguda,Male,In seeing,260
21,2,Rural,50-59,ODISHA,Jharsuguda,Male,In seeing,222
21,2,Rural,60-69,ODISHA,Jharsuguda,Male,In seeing,378
21,2,Rural,70-79,ODISHA,Jharsuguda,Male,In seeing,258
21,2,Rural,80-89,ODISHA,Jharsuguda,Male,In seeing,105
21,2,Rural,90+,ODISHA,Jharsuguda,Male,In seeing,18
21,2,Rural,Age Not Stated,ODISHA,Jharsuguda,Male,In seeing,6
21,2,Urban,0-4,ODISHA,Jharsuguda,Male,In seeing,20
21,2,Urban,5-9,ODISHA,Jharsuguda,Male,In seeing,17
21,2,Urban,10-19,ODISHA,Jharsuguda,Male,In seeing,75
21,2,Urban,20-29,ODISHA,Jharsuguda,Male,In seeing,73
21,2,Urban,30-39,ODISHA,Jharsuguda,Male,In seeing,66
21,2,Urban,40-49,ODISHA,Jharsuguda,Male,In seeing,84
21,2,Urban,50-59,ODISHA,Jharsuguda,Male,In seeing,71
21,2,Urban,60-69,ODISHA,Jharsuguda,Male,In seeing,61
21,2,Urban,70-79,ODISHA,Jharsuguda,Male,In seeing,42
21,2,Urban,80-89,ODISHA,Jharsuguda,Male,In seeing,10
21,2,Urban,90+,ODISHA,Jharsuguda,Male,In seeing,3
21,2,Urban,Age Not Stated,ODISHA,Jharsuguda,Male,In seeing,2
21,3,Rural,0-4,ODISHA,Sambalpur,Male,In seeing,84
21,3,Rural,5-9,ODISHA,Sambalpur,Male,In seeing,152
21,3,Rural,10-19,ODISHA,Sambalpur,Male,In seeing,324
21,3,Rural,20-29,ODISHA,Sambalpur,Male,In seeing,247
21,3,Rural,30-39,ODISHA,Sambalpur,Male,In seeing,251
21,3,Rural,40-49,ODISHA,Sambalpur,Male,In seeing,341
21,3,Rural,50-59,ODISHA,Sambalpur,Male,In seeing,323
21,3,Rural,60-69,ODISHA,Sambalpur,Male,In seeing,435
21,3,Rural,70-79,ODISHA,Sambalpur,Male,In seeing,303
21,3,Rural,80-89,ODISHA,Sambalpur,Male,In seeing,94
21,3,Rural,90+,ODISHA,Sambalpur,Male,In seeing,22
21,3,Rural,Age Not Stated,ODISHA,Sambalpur,Male,In seeing,2
21,3,Urban,0-4,ODISHA,Sambalpur,Male,In seeing,68
21,3,Urban,5-9,ODISHA,Sambalpur,Male,In seeing,72
21,3,Urban,10-19,ODISHA,Sambalpur,Male,In seeing,191
21,3,Urban,20-29,ODISHA,Sambalpur,Male,In seeing,182
21,3,Urban,30-39,ODISHA,Sambalpur,Male,In seeing,154
21,3,Urban,40-49,ODISHA,Sambalpur,Male,In seeing,115
21,3,Urban,50-59,ODISHA,Sambalpur,Male,In seeing,84
21,3,Urban,60-69,ODISHA,Sambalpur,Male,In seeing,70
21,3,Urban,70-79,ODISHA,Sambalpur,Male,In seeing,39
21,3,Urban,80-89,ODISHA,Sambalpur,Male,In seeing,9
21,3,Urban,90+,ODISHA,Sambalpur,Male,In seeing,1
21,3,Urban,Age Not Stated,ODISHA,Sambalpur,Male,In seeing,1
21,4,Rural,0-4,ODISHA,Debagarh,Male,In seeing,26
21,4,Rural,5-9,ODISHA,Debagarh,Male,In seeing,31
21,4,Rural,10-19,ODISHA,Debagarh,Male,In seeing,88
21,4,Rural,20-29,ODISHA,Debagarh,Male,In seeing,49
21,4,Rural,30-39,ODISHA,Debagarh,Male,In seeing,70
21,4,Rural,40-49,ODISHA,Debagarh,Male,In seeing,74
21,4,Rural,50-59,ODISHA,Debagarh,Male,In seeing,88
21,4,Rural,60-69,ODISHA,Debagarh,Male,In seeing,111
21,4,Rural,70-79,ODISHA,Debagarh,Male,In seeing,96
21,4,Rural,80-89,ODISHA,Debagarh,Male,In seeing,30
21,4,Rural,90+,ODISHA,Debagarh,Male,In seeing,7
21,4,Rural,Age Not Stated,ODISHA,Debagarh,Male,In seeing,1
21,4,Urban,0-4,ODISHA,Debagarh,Male,In seeing,11
21,4,Urban,5-9,ODISHA,Debagarh,Male,In seeing,16
21,4,Urban,10-19,ODISHA,Debagarh,Male,In seeing,23
21,4,Urban,20-29,ODISHA,Debagarh,Male,In seeing,26
21,4,Urban,30-39,ODISHA,Debagarh,Male,In seeing,17
21,4,Urban,40-49,ODISHA,Debagarh,Male,In seeing,16
21,4,Urban,50-59,ODISHA,Debagarh,Male,In seeing,8
21,4,Urban,60-69,ODISHA,Debagarh,Male,In seeing,9
21,4,Urban,70-79,ODISHA,Debagarh,Male,In seeing,5
21,4,Urban,80-89,ODISHA,Debagarh,Male,In seeing,2
21,4,Urban,90+,ODISHA,Debagarh,Male,In seeing,1
21,4,Urban,Age Not Stated,ODISHA,Debagarh,Male,In seeing,0
21,5,Rural,0-4,ODISHA,Sundargarh,Male,In seeing,87
21,5,Rural,5-9,ODISHA,Sundargarh,Male,In seeing,146
21,5,Rural,10-19,ODISHA,Sundargarh,Male,In seeing,327
21,5,Rural,20-29,ODISHA,Sundargarh,Male,In seeing,231
21,5,Rural,30-39,ODISHA,Sundargarh,Male,In seeing,250
21,5,Rural,40-49,ODISHA,Sundargarh,Male,In seeing,331
21,5,Rural,50-59,ODISHA,Sundargarh,Male,In seeing,389
21,5,Rural,60-69,ODISHA,Sundargarh,Male,In seeing,588
21,5,Rural,70-79,ODISHA,Sundargarh,Male,In seeing,317
21,5,Rural,80-89,ODISHA,Sundargarh,Male,In seeing,119
21,5,Rural,90+,ODISHA,Sundargarh,Male,In seeing,25
21,5,Rural,Age Not Stated,ODISHA,Sundargarh,Male,In seeing,6
21,5,Urban,0-4,ODISHA,Sundargarh,Male,In seeing,75
21,5,Urban,5-9,ODISHA,Sundargarh,Male,In seeing,80
21,5,Urban,10-19,ODISHA,Sundargarh,Male,In seeing,179
21,5,Urban,20-29,ODISHA,Sundargarh,Male,In seeing,192
21,5,Urban,30-39,ODISHA,Sundargarh,Male,In seeing,167
21,5,Urban,40-49,ODISHA,Sundargarh,Male,In seeing,184
21,5,Urban,50-59,ODISHA,Sundargarh,Male,In seeing,136
21,5,Urban,60-69,ODISHA,Sundargarh,Male,In seeing,131
21,5,Urban,70-79,ODISHA,Sundargarh,Male,In seeing,83
21,5,Urban,80-89,ODISHA,Sundargarh,Male,In seeing,20
21,5,Urban,90+,ODISHA,Sundargarh,Male,In seeing,9
21,5,Urban,Age Not Stated,ODISHA,Sundargarh,Male,In seeing,9
21,6,Rural,0-4,ODISHA,Kendujhar,Male,In seeing,200
21,6,Rural,5-9,ODISHA,Kendujhar,Male,In seeing,278
21,6,Rural,10-19,ODISHA,Kendujhar,Male,In seeing,494
21,6,Rural,20-29,ODISHA,Kendujhar,Male,In seeing,379
21,6,Rural,30-39,ODISHA,Kendujhar,Male,In seeing,370
21,6,Rural,40-49,ODISHA,Kendujhar,Male,In seeing,447
21,6,Rural,50-59,ODISHA,Kendujhar,Male,In seeing,452
21,6,Rural,60-69,ODISHA,Kendujhar,Male,In seeing,611
21,6,Rural,70-79,ODISHA,Kendujhar,Male,In seeing,391
21,6,Rural,80-89,ODISHA,Kendujhar,Male,In seeing,120
21,6,Rural,90+,ODISHA,Kendujhar,Male,In seeing,31
21,6,Rural,Age Not Stated,ODISHA,Kendujhar,Male,In seeing,9
21,6,Urban,0-4,ODISHA,Kendujhar,Male,In seeing,20
21,6,Urban,5-9,ODISHA,Kendujhar,Male,In seeing,35
21,6,Urban,10-19,ODISHA,Kendujhar,Male,In seeing,58
21,6,Urban,20-29,ODISHA,Kendujhar,Male,In seeing,51
21,6,Urban,30-39,ODISHA,Kendujhar,Male,In seeing,37
21,6,Urban,40-49,ODISHA,Kendujhar,Male,In seeing,44
21,6,Urban,50-59,ODISHA,Kendujhar,Male,In seeing,35
21,6,Urban,60-69,ODISHA,Kendujhar,Male,In seeing,28
21,6,Urban,70-79,ODISHA,Kendujhar,Male,In seeing,19
21,6,Urban,80-89,ODISHA,Kendujhar,Male,In seeing,8
21,6,Urban,90+,ODISHA,Kendujhar,Male,In seeing,1
21,6,Urban,Age Not Stated,ODISHA,Kendujhar,Male,In seeing,0
21,7,Rural,0-4,ODISHA,Mayurbhanj,Male,In seeing,268
21,7,Rural,5-9,ODISHA,Mayurbhanj,Male,In seeing,463
21,7,Rural,10-19,ODISHA,Mayurbhanj,Male,In seeing,876
21,7,Rural,20-29,ODISHA,Mayurbhanj,Male,In seeing,611
21,7,Rural,30-39,ODISHA,Mayurbhanj,Male,In seeing,690
21,7,Rural,40-49,ODISHA,Mayurbhanj,Male,In seeing,892
21,7,Rural,50-59,ODISHA,Mayurbhanj,Male,In seeing,822
21,7,Rural,60-69,ODISHA,Mayurbhanj,Male,In seeing,970
21,7,Rural,70-79,ODISHA,Mayurbhanj,Male,In seeing,592
21,7,Rural,80-89,ODISHA,Mayurbhanj,Male,In seeing,189
21,7,Rural,90+,ODISHA,Mayurbhanj,Male,In seeing,41
21,7,Rural,Age Not Stated,ODISHA,Mayurbhanj,Male,In seeing,8
21,7,Urban,0-4,ODISHA,Mayurbhanj,Male,In seeing,8
21,7,Urban,5-9,ODISHA,Mayurbhanj,Male,In seeing,25
21,7,Urban,10-19,ODISHA,Mayurbhanj,Male,In seeing,87
21,7,Urban,20-29,ODISHA,Mayurbhanj,Male,In seeing,50
21,7,Urban,30-39,ODISHA,Mayurbhanj,Male,In seeing,40
