State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
3,1,Rural,0-4,PUNJAB,Gurdaspur,Male,In seeing,116
3,1,Rural,5-9,PUNJAB,Gurdaspur,Male,In seeing,157
3,1,Rural,10-19,PUNJAB,Gurdaspur,Male,In seeing,336
3,1,Rural,20-29,PUNJAB,Gurdaspur,Male,In seeing,292
3,1,Rural,30-39,PUNJAB,Gurdaspur,Male,In seeing,234
3,1,Rural,40-49,PUNJAB,Gurdaspur,Male,In seeing,275
3,1,Rural,50-59,PUNJAB,Gurdaspur,Male,In seeing,231
3,1,Rural,60-69,PUNJAB,Gurdaspur,Male,In seeing,333
3,1,Rural,70-79,PUNJAB,Gurdaspur,Male,In seeing,231
3,1,Rural,80-89,PUNJAB,Gurdaspur,Male,In seeing,117
3,1,Rural,90+,PUNJAB,Gurdaspur,Male,In seeing,41
3,1,Rural,Age Not Stated,PUNJAB,Gurdaspur,Male,In seeing,3
3,1,Urban,0-4,PUNJAB,Gurdaspur,Male,In seeing,42
3,1,Urban,5-9,PUNJAB,Gurdaspur,Male,In seeing,41
3,1,Urban,10-19,PUNJAB,Gurdaspur,Male,In seeing,97
3,1,Urban,20-29,PUNJAB,Gurdaspur,Male,In seeing,108
3,1,Urban,30-39,PUNJAB,Gurdaspur,Male,In seeing,108
3,1,Urban,40-49,PUNJAB,Gurdaspur,Male,In seeing,109
3,1,Urban,50-59,PUNJAB,Gurdaspur,Male,In seeing,110
3,1,Urban,60-69,PUNJAB,Gurdaspur,Male,In seeing,112
3,1,Urban,70-79,PUNJAB,Gurdaspur,Male,In seeing,43
3,1,Urban,80-89,PUNJAB,Gurdaspur,Male,In seeing,27
3,1,Urban,90+,PUNJAB,Gurdaspur,Male,In seeing,3
3,1,Urban,Age Not Stated,PUNJAB,Gurdaspur,Male,In seeing,3
3,2,Rural,0-4,PUNJAB,Kapurthala ,Male,In seeing,49
3,2,Rural,5-9,PUNJAB,Kapurthala ,Male,In seeing,61
3,2,Rural,10-19,PUNJAB,Kapurthala ,Male,In seeing,158
3,2,Rural,20-29,PUNJAB,Kapurthala ,Male,In seeing,137
3,2,Rural,30-39,PUNJAB,Kapurthala ,Male,In seeing,93
3,2,Rural,40-49,PUNJAB,Kapurthala ,Male,In seeing,97
3,2,Rural,50-59,PUNJAB,Kapurthala ,Male,In seeing,92
3,2,Rural,60-69,PUNJAB,Kapurthala ,Male,In seeing,126
3,2,Rural,70-79,PUNJAB,Kapurthala ,Male,In seeing,91
3,2,Rural,80-89,PUNJAB,Kapurthala ,Male,In seeing,37
3,2,Rural,90+,PUNJAB,Kapurthala ,Male,In seeing,15
3,2,Rural,Age Not Stated,PUNJAB,Kapurthala ,Male,In seeing,7
3,2,Urban,0-4,PUNJAB,Kapurthala ,Male,In seeing,23
3,2,Urban,5-9,PUNJAB,Kapurthala ,Male,In seeing,19
3,2,Urban,10-19,PUNJAB,Kapurthala ,Male,In seeing,65
3,2,Urban,20-29,PUNJAB,Kapurthala ,Male,In seeing,63
3,2,Urban,30-39,PUNJAB,Kapurthala ,Male,In seeing,42
3,2,Urban,40-49,PUNJAB,Kapurthala ,Male,In seeing,40
3,2,Urban,50-59,PUNJAB,Kapurthala ,Male,In seeing,49
3,2,Urban,60-69,PUNJAB,Kapurthala ,Male,In seeing,51
3,2,Urban,70-79,PUNJAB,Kapurthala ,Male,In seeing,21
3,2,Urban,80-89,PUNJAB,Kapurthala ,Male,In seeing,12
3,2,Urban,90+,PUNJAB,Kapurthala ,Male,In seeing,4
3,2,Urban,Age Not Stated,PUNJAB,Kapurthala ,Male,In seeing,0
3,3,Rural,0-4,PUNJAB,Jalandhar,Male,In seeing,49
3,3,Rural,5-9,PUNJAB,Jalandhar,Male,In seeing,66
3,3,Rural,10-19,PUNJAB,Jalandhar,Male,In seeing,170
3,3,Rural,20-29,PUNJAB,Jalandhar,Male,In seeing,144
3,3,Rural,30-39,PUNJAB,Jalandhar,Male,In seeing,154
3,3,Rural,40-49,PUNJAB,Jalandhar,Male,In seeing,169
3,3,Rural,50-59,PUNJAB,Jalandhar,Male,In seeing,195
3,3,Rural,60-69,PUNJAB,Jalandhar,Male,In seeing,251
3,3,Rural,70-79,PUNJAB,Jalandhar,Male,In seeing,182
3,3,Rural,80-89,PUNJAB,Jalandhar,Male,In seeing,109
3,3,Rural,90+,PUNJAB,Jalandhar,Male,In seeing,30
3,3,Rural,Age Not Stated,PUNJAB,Jalandhar,Male,In seeing,1
3,3,Urban,0-4,PUNJAB,Jalandhar,Male,In seeing,75
3,3,Urban,5-9,PUNJAB,Jalandhar,Male,In seeing,92
3,3,Urban,10-19,PUNJAB,Jalandhar,Male,In seeing,209
3,3,Urban,20-29,PUNJAB,Jalandhar,Male,In seeing,251
3,3,Urban,30-39,PUNJAB,Jalandhar,Male,In seeing,219
3,3,Urban,40-49,PUNJAB,Jalandhar,Male,In seeing,218
3,3,Urban,50-59,PUNJAB,Jalandhar,Male,In seeing,157
3,3,Urban,60-69,PUNJAB,Jalandhar,Male,In seeing,135
3,3,Urban,70-79,PUNJAB,Jalandhar,Male,In seeing,54
3,3,Urban,80-89,PUNJAB,Jalandhar,Male,In seeing,37
