State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
8,1,Rural,0-4,RAJASTHAN,Ganganagar ,Male,In seeing,77
8,1,Rural,5-9,RAJASTHAN,Ganganagar ,Male,In seeing,114
8,1,Rural,10-19,RAJASTHAN,Ganganagar ,Male,In seeing,268
8,1,Rural,20-29,RAJASTHAN,Ganganagar ,Male,In seeing,214
8,1,Rural,30-39,RAJASTHAN,Ganganagar ,Male,In seeing,168
8,1,Rural,40-49,RAJASTHAN,Ganganagar ,Male,In seeing,270
8,1,Rural,50-59,RAJASTHAN,Ganganagar ,Male,In seeing,347
8,1,Rural,60-69,RAJASTHAN,Ganganagar ,Male,In seeing,565
8,1,Rural,70-79,RAJASTHAN,Ganganagar ,Male,In seeing,569
8,1,Rural,80-89,RAJASTHAN,Ganganagar ,Male,In seeing,196
8,1,Rural,90+,RAJASTHAN,Ganganagar ,Male,In seeing,47
8,1,Rural,Age Not Stated,RAJASTHAN,Ganganagar ,Male,In seeing,15
8,1,Urban,0-4,RAJASTHAN,Ganganagar ,Male,In seeing,26
8,1,Urban,5-9,RAJASTHAN,Ganganagar ,Male,In seeing,52
8,1,Urban,10-19,RAJASTHAN,Ganganagar ,Male,In seeing,165
8,1,Urban,20-29,RAJASTHAN,Ganganagar ,Male,In seeing,101
8,1,Urban,30-39,RAJASTHAN,Ganganagar ,Male,In seeing,86
8,1,Urban,40-49,RAJASTHAN,Ganganagar ,Male,In seeing,98
8,1,Urban,50-59,RAJASTHAN,Ganganagar ,Male,In seeing,94
8,1,Urban,60-69,RAJASTHAN,Ganganagar ,Male,In seeing,93
8,1,Urban,70-79,RAJASTHAN,Ganganagar ,Male,In seeing,78
8,1,Urban,80-89,RAJASTHAN,Ganganagar ,Male,In seeing,28
8,1,Urban,90+,RAJASTHAN,Ganganagar ,Male,In seeing,14
8,1,Urban,Age Not Stated,RAJASTHAN,Ganganagar ,Male,In seeing,7
8,2,Rural,0-4,RAJASTHAN,Hanumangarh,Male,In seeing,82
8,2,Rural,5-9,RAJASTHAN,Hanumangarh,Male,In seeing,117
8,2,Rural,10-19,RAJASTHAN,Hanumangarh,Male,In seeing,307
8,2,Rural,20-29,RAJASTHAN,Hanumangarh,Male,In seeing,243
8,2,Rural,30-39,RAJASTHAN,Hanumangarh,Male,In seeing,199
8,2,Rural,40-49,RAJASTHAN,Hanumangarh,Male,In seeing,274
8,2,Rural,50-59,RAJASTHAN,Hanumangarh,Male,In seeing,311
8,2,Rural,60-69,RAJASTHAN,Hanumangarh,Male,In seeing,540
8,2,Rural,70-79,RAJASTHAN,Hanumangarh,Male,In seeing,540
8,2,Rural,80-89,RAJASTHAN,Hanumangarh,Male,In seeing,199
8,2,Rural,90+,RAJASTHAN,Hanumangarh,Male,In seeing,31
