State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
5,1,Rural,0-4,UTTARAKHAND,Uttarkashi,Male,In seeing,14
5,1,Rural,5-9,UTTARAKHAND,Uttarkashi,Male,In seeing,21
5,1,Rural,10-19,UTTARAKHAND,Uttarkashi,Male,In seeing,51
5,1,Rural,20-29,UTTARAKHAND,Uttarkashi,Male,In seeing,53
5,1,Rural,30-39,UTTARAKHAND,Uttarkashi,Male,In seeing,47
5,1,Rural,40-49,UTTARAKHAND,Uttarkashi,Male,In seeing,43
5,1,Rural,50-59,UTTARAKHAND,Uttarkashi,Male,In seeing,65
5,1,Rural,60-69,UTTARAKHAND,Uttarkashi,Male,In seeing,125
5,1,Rural,70-79,UTTARAKHAND,Uttarkashi,Male,In seeing,95
5,1,Rural,80-89,UTTARAKHAND,Uttarkashi,Male,In seeing,40
5,1,Rural,90+,UTTARAKHAND,Uttarkashi,Male,In seeing,6
5,1,Rural,Age Not Stated,UTTARAKHAND,Uttarkashi,Male,In seeing,1
5,1,Urban,0-4,UTTARAKHAND,Uttarkashi,Male,In seeing,0
5,1,Urban,5-9,UTTARAKHAND,Uttarkashi,Male,In seeing,2
5,1,Urban,10-19,UTTARAKHAND,Uttarkashi,Male,In seeing,2
5,1,Urban,20-29,UTTARAKHAND,Uttarkashi,Male,In seeing,6
5,1,Urban,30-39,UTTARAKHAND,Uttarkashi,Male,In seeing,3
5,1,Urban,40-49,UTTARAKHAND,Uttarkashi,Male,In seeing,6
5,1,Urban,50-59,UTTARAKHAND,Uttarkashi,Male,In seeing,5
5,1,Urban,60-69,UTTARAKHAND,Uttarkashi,Male,In seeing,1
5,1,Urban,70-79,UTTARAKHAND,Uttarkashi,Male,In seeing,5
5,1,Urban,80-89,UTTARAKHAND,Uttarkashi,Male,In seeing,2
5,1,Urban,90+,UTTARAKHAND,Uttarkashi,Male,In seeing,0
5,1,Urban,Age Not Stated,UTTARAKHAND,Uttarkashi,Male,In seeing,0
5,2,Rural,0-4,UTTARAKHAND,Chamoli,Male,In seeing,13
5,2,Rural,5-9,UTTARAKHAND,Chamoli,Male,In seeing,18
5,2,Rural,10-19,UTTARAKHAND,Chamoli,Male,In seeing,50
5,2,Rural,20-29,UTTARAKHAND,Chamoli,Male,In seeing,34
5,2,Rural,30-39,UTTARAKHAND,Chamoli,Male,In seeing,41
5,2,Rural,40-49,UTTARAKHAND,Chamoli,Male,In seeing,43
5,2,Rural,50-59,UTTARAKHAND,Chamoli,Male,In seeing,46
5,2,Rural,60-69,UTTARAKHAND,Chamoli,Male,In seeing,104
5,2,Rural,70-79,UTTARAKHAND,Chamoli,Male,In seeing,105
5,2,Rural,80-89,UTTARAKHAND,Chamoli,Male,In seeing,48
5,2,Rural,90+,UTTARAKHAND,Chamoli,Male,In seeing,6
5,2,Rural,Age Not Stated,UTTARAKHAND,Chamoli,Male,In seeing,4
5,2,Urban,0-4,UTTARAKHAND,Chamoli,Male,In seeing,0
5,2,Urban,5-9,UTTARAKHAND,Chamoli,Male,In seeing,5
5,2,Urban,10-19,UTTARAKHAND,Chamoli,Male,In seeing,12
5,2,Urban,20-29,UTTARAKHAND,Chamoli,Male,In seeing,10
5,2,Urban,30-39,UTTARAKHAND,Chamoli,Male,In seeing,8
5,2,Urban,40-49,UTTARAKHAND,Chamoli,Male,In seeing,7
5,2,Urban,50-59,UTTARAKHAND,Chamoli,Male,In seeing,4
5,2,Urban,60-69,UTTARAKHAND,Chamoli,Male,In seeing,3
5,2,Urban,70-79,UTTARAKHAND,Chamoli,Male,In seeing,2
5,2,Urban,80-89,UTTARAKHAND,Chamoli,Male,In seeing,2
5,2,Urban,90+,UTTARAKHAND,Chamoli,Male,In seeing,1
5,2,Urban,Age Not Stated,UTTARAKHAND,Chamoli,Male,In seeing,0
5,3,Rural,0-4,UTTARAKHAND,Rudraprayag,Male,In seeing,12
5,3,Rural,5-9,UTTARAKHAND,Rudraprayag,Male,In seeing,18
5,3,Rural,10-19,UTTARAKHAND,Rudraprayag,Male,In seeing,34
5,3,Rural,20-29,UTTARAKHAND,Rudraprayag,Male,In seeing,24
5,3,Rural,30-39,UTTARAKHAND,Rudraprayag,Male,In seeing,20
