Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,28,1,0,District - Adilabad  01,Rural,0-4,359,330,43,22,14,10,212,125,48,53
C4920,28,1,0,District - Adilabad  01,Rural,5-9,496,493,333,283,64,41,523,340,210,149
C4920,28,1,0,District - Adilabad  01,Rural,10-19,883,787,503,404,158,93,1322,922,482,361
C4920,28,1,0,District - Adilabad  01,Rural,20-29,772,567,271,250,74,46,945,484,325,289
C4920,28,1,0,District - Adilabad  01,Rural,30-39,794,522,183,158,66,48,608,356,292,210
C4920,28,1,0,District - Adilabad  01,Rural,40-49,758,421,123,90,63,35,568,285,190,123
C4920,28,1,0,District - Adilabad  01,Rural,50-59,549,495,71,67,75,62,409,225,94,67
C4920,28,1,0,District - Adilabad  01,Rural,60-69,605,724,44,50,96,109,358,275,50,64
C4920,28,1,0,District - Adilabad  01,Rural,70-79,417,474,41,16,74,70,160,135,33,23
C4920,28,1,0,District - Adilabad  01,Rural,80-89,119,176,10,7,24,31,49,47,9,4
C4920,28,1,0,District - Adilabad  01,Rural,90+,30,52,2,1,8,7,15,8,1,3
C4920,28,1,0,District - Adilabad  01,Rural,Age not stated,14,8,1,0,3,0,4,3,2,1
C4920,28,1,0,District - Adilabad  01,Urban,0-4,101,89,9,7,4,2,42,27,15,13
C4920,28,1,0,District - Adilabad  01,Urban,5-9,147,138,79,70,8,15,98,77,76,57
C4920,28,1,0,District - Adilabad  01,Urban,10-19,311,247,177,149,29,25,460,251,201,134
C4920,28,1,0,District - Adilabad  01,Urban,20-29,263,179,81,65,13,24,281,182,133,99
C4920,28,1,0,District - Adilabad  01,Urban,30-39,269,144,46,36,19,18,166,69,85,47
C4920,28,1,0,District - Adilabad  01,Urban,40-49,274,104,35,27,8,15,178,63,50,43
C4920,28,1,0,District - Adilabad  01,Urban,50-59,139,86,21,9,9,11,108,42,27,22
C4920,28,1,0,District - Adilabad  01,Urban,60-69,82,86,10,11,8,18,71,44,14,12
C4920,28,1,0,District - Adilabad  01,Urban,70-79,53,38,1,6,8,11,35,20,7,2
C4920,28,1,0,District - Adilabad  01,Urban,80-89,16,18,0,3,2,3,14,6,4,2
C4920,28,1,0,District - Adilabad  01,Urban,90+,5,6,0,0,0,0,1,1,0,1
C4920,28,1,0,District - Adilabad  01,Urban,Age not stated,1,3,0,0,0,0,1,0,0,0
C4920,28,2,0,District - Nizamabad  02,Rural,0-4,414,386,30,33,14,9,233,152,55,48
C4920,28,2,0,District - Nizamabad  02,Rural,5-9,608,534,305,261,56,48,586,375,240,136
C4920,28,2,0,District - Nizamabad  02,Rural,10-19,1069,851,516,418,92,81,1484,988,500,447
C4920,28,2,0,District - Nizamabad  02,Rural,20-29,998,691,274,231,73,61,1241,696,360,333
C4920,28,2,0,District - Nizamabad  02,Rural,30-39,1276,636,212,156,74,71,804,393,336,227
C4920,28,2,0,District - Nizamabad  02,Rural,40-49,1128,653,118,95,70,68,686,320,246,166
C4920,28,2,0,District - Nizamabad  02,Rural,50-59,920,848,91,80,74,116,539,322,133,94
C4920,28,2,0,District - Nizamabad  02,Rural,60-69,949,1331,60,68,97,163,567,405,76,73
C4920,28,2,0,District - Nizamabad  02,Rural,70-79,624,787,21,40,71,124,278,222,36,35
C4920,28,2,0,District - Nizamabad  02,Rural,80-89,175,293,7,10,21,47,63,107,11,15
C4920,28,2,0,District - Nizamabad  02,Rural,90+,35,74,2,2,4,8,13,22,2,3
C4920,28,2,0,District - Nizamabad  02,Rural,Age not stated,21,19,0,1,2,1,3,4,2,1
C4920,28,2,0,District - Nizamabad  02,Urban,0-4,92,71,4,2,3,1,28,26,10,9
C4920,28,2,0,District - Nizamabad  02,Urban,5-9,113,115,42,40,4,4,74,43,33,31
C4920,28,2,0,District - Nizamabad  02,Urban,10-19,220,220,77,83,22,15,244,165,124,107
C4920,28,2,0,District - Nizamabad  02,Urban,20-29,211,189,63,63,19,10,226,117,115,58
C4920,28,2,0,District - Nizamabad  02,Urban,30-39,299,150,30,22,12,11,134,62,86,45
C4920,28,2,0,District - Nizamabad  02,Urban,40-49,233,112,20,11,9,11,113,41,73,25
C4920,28,2,0,District - Nizamabad  02,Urban,50-59,188,118,12,12,7,9,114,28,36,15
C4920,28,2,0,District - Nizamabad  02,Urban,60-69,159,171,15,15,14,14,74,44,17,13
C4920,28,2,0,District - Nizamabad  02,Urban,70-79,73,98,2,8,11,10,36,22,3,4
C4920,28,2,0,District - Nizamabad  02,Urban,80-89,17,31,2,6,2,6,9,14,1,3
C4920,28,2,0,District - Nizamabad  02,Urban,90+,2,16,1,0,2,0,2,5,1,1
C4920,28,2,0,District - Nizamabad  02,Urban,Age not stated,2,4,0,0,1,0,2,0,1,0
C4920,28,3,0,District - Karimnagar  03,Rural,0-4,503,564,59,45,19,12,270,198,70,68
C4920,28,3,0,District - Karimnagar  03,Rural,5-9,708,668,469,388,52,45,573,397,375,262
C4920,28,3,0,District - Karimnagar  03,Rural,10-19,1269,1238,732,677,149,131,1682,1211,856,752
C4920,28,3,0,District - Karimnagar  03,Rural,20-29,1626,966,476,398,90,128,1417,788,605,575
C4920,28,3,0,District - Karimnagar  03,Rural,30-39,2085,897,302,292,100,136,913,469,511,388
C4920,28,3,0,District - Karimnagar  03,Rural,40-49,1841,845,206,175,79,113,871,458,372,251
C4920,28,3,0,District - Karimnagar  03,Rural,50-59,1556,1171,113,121,123,158,717,418,186,146
C4920,28,3,0,District - Karimnagar  03,Rural,60-69,1758,1638,106,100,191,276,712,544,113,97
C4920,28,3,0,District - Karimnagar  03,Rural,70-79,1325,1089,48,65,178,239,571,386,51,48
C4920,28,3,0,District - Karimnagar  03,Rural,80-89,397,439,14,17,90,87,187,185,19,16
C4920,28,3,0,District - Karimnagar  03,Rural,90+,63,104,3,10,21,18,30,49,5,4
C4920,28,3,0,District - Karimnagar  03,Rural,Age not stated,25,12,1,1,2,1,7,2,3,5
C4920,28,3,0,District - Karimnagar  03,Urban,0-4,201,164,9,7,5,4,35,24,21,11
C4920,28,3,0,District - Karimnagar  03,Urban,5-9,269,270,67,73,44,7,72,64,72,50
C4920,28,3,0,District - Karimnagar  03,Urban,10-19,681,639,203,166,145,17,345,247,227,192
C4920,28,3,0,District - Karimnagar  03,Urban,20-29,710,396,122,117,29,20,304,162,161,97
C4920,28,3,0,District - Karimnagar  03,Urban,30-39,829,332,65,52,12,21,178,84,105,66
C4920,28,3,0,District - Karimnagar  03,Urban,40-49,888,220,47,26,19,16,183,59,66,46
C4920,28,3,0,District - Karimnagar  03,Urban,50-59,407,173,26,24,16,11,136,44,38,17
C4920,28,3,0,District - Karimnagar  03,Urban,60-69,199,144,20,20,17,14,104,53,19,30
C4920,28,3,0,District - Karimnagar  03,Urban,70-79,106,81,15,6,10,19,47,34,11,14
C4920,28,3,0,District - Karimnagar  03,Urban,80-89,31,33,3,0,8,13,8,8,3,2
C4920,28,3,0,District - Karimnagar  03,Urban,90+,3,13,0,0,0,4,2,3,1,0
C4920,28,3,0,District - Karimnagar  03,Urban,Age not stated,9,6,1,0,0,0,2,2,1,0
C4920,28,4,0,District - Medak  04,Rural,0-4,535,527,48,41,21,24,282,215,68,48
C4920,28,4,0,District - Medak  04,Rural,5-9,664,654,444,349,67,56,701,502,305,169
C4920,28,4,0,District - Medak  04,Rural,10-19,1260,1082,679,527,165,118,1960,1332,640,563
C4920,28,4,0,District - Medak  04,Rural,20-29,1242,827,339,275,101,64,1297,594,453,332
C4920,28,4,0,District - Medak  04,Rural,30-39,1553,753,221,193,78,95,955,385,381,236
C4920,28,4,0,District - Medak  04,Rural,40-49,1403,807,174,136,102,98,932,391,252,169
C4920,28,4,0,District - Medak  04,Rural,50-59,1201,939,100,104,94,117,766,427,119,105
C4920,28,4,0,District - Medak  04,Rural,60-69,1309,1609,85,90,152,194,701,472,83,87
C4920,28,4,0,District - Medak  04,Rural,70-79,921,1001,39,37,141,131,432,256,42,29
C4920,28,4,0,District - Medak  04,Rural,80-89,301,390,17,14,38,64,123,126,12,12
C4920,28,4,0,District - Medak  04,Rural,90+,55,87,2,3,15,15,21,33,3,6
C4920,28,4,0,District - Medak  04,Rural,Age not stated,29,14,3,1,2,0,7,0,17,1
C4920,28,4,0,District - Medak  04,Urban,0-4,93,99,4,4,1,2,30,13,15,12
C4920,28,4,0,District - Medak  04,Urban,5-9,130,112,61,35,10,9,53,46,32,22
C4920,28,4,0,District - Medak  04,Urban,10-19,206,208,104,80,19,12,198,137,112,76
C4920,28,4,0,District - Medak  04,Urban,20-29,301,165,56,43,13,9,192,61,82,45
C4920,28,4,0,District - Medak  04,Urban,30-39,273,130,41,29,13,9,127,43,52,35
C4920,28,4,0,District - Medak  04,Urban,40-49,234,80,33,20,15,5,122,37,44,21
C4920,28,4,0,District - Medak  04,Urban,50-59,135,70,11,4,6,13,96,30,22,8
C4920,28,4,0,District - Medak  04,Urban,60-69,90,83,3,6,8,9,47,27,11,10
C4920,28,4,0,District - Medak  04,Urban,70-79,34,41,8,1,11,7,28,21,5,7
C4920,28,4,0,District - Medak  04,Urban,80-89,16,19,2,0,2,2,7,7,2,1
C4920,28,4,0,District - Medak  04,Urban,90+,4,5,0,0,0,0,1,2,0,0
C4920,28,4,0,District - Medak  04,Urban,Age not stated,3,1,0,0,0,0,2,0,0,1
