Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,22,1,0,District - Koriya *  01,Rural,0-4,185,180,10,10,6,3,56,52,15,8
C4920,22,1,0,District - Koriya *  01,Rural,5-9,194,175,52,49,19,17,106,68,37,21
C4920,22,1,0,District - Koriya *  01,Rural,10-19,275,249,91,82,45,32,282,164,100,82
C4920,22,1,0,District - Koriya *  01,Rural,20-29,228,177,72,49,28,11,176,90,94,68
C4920,22,1,0,District - Koriya *  01,Rural,30-39,227,172,48,30,23,9,162,95,85,77
C4920,22,1,0,District - Koriya *  01,Rural,40-49,209,134,28,20,36,22,172,81,59,34
C4920,22,1,0,District - Koriya *  01,Rural,50-59,155,127,13,12,35,22,157,98,39,21
C4920,22,1,0,District - Koriya *  01,Rural,60-69,135,169,9,8,52,45,147,148,10,26
C4920,22,1,0,District - Koriya *  01,Rural,70-79,90,124,3,3,43,33,109,96,13,5
C4920,22,1,0,District - Koriya *  01,Rural,80-89,43,34,2,1,16,17,36,61,1,5
C4920,22,1,0,District - Koriya *  01,Rural,90+,18,13,1,0,8,6,16,23,0,1
C4920,22,1,0,District - Koriya *  01,Rural,Age not stated,10,6,0,0,0,0,2,0,0,0
C4920,22,1,0,District - Koriya *  01,Urban,0-4,38,40,5,1,1,0,23,10,6,6
C4920,22,1,0,District - Koriya *  01,Urban,5-9,64,38,23,6,1,0,38,34,8,21
C4920,22,1,0,District - Koriya *  01,Urban,10-19,142,95,30,38,13,10,170,109,55,42
C4920,22,1,0,District - Koriya *  01,Urban,20-29,81,64,25,20,5,4,102,52,43,26
C4920,22,1,0,District - Koriya *  01,Urban,30-39,84,59,15,8,5,8,67,36,44,21
C4920,22,1,0,District - Koriya *  01,Urban,40-49,86,76,11,3,9,7,75,22,25,11
C4920,22,1,0,District - Koriya *  01,Urban,50-59,64,25,6,4,9,10,59,19,10,4
C4920,22,1,0,District - Koriya *  01,Urban,60-69,46,44,1,2,8,12,34,16,1,4
C4920,22,1,0,District - Koriya *  01,Urban,70-79,24,14,0,2,5,4,18,17,5,2
C4920,22,1,0,District - Koriya *  01,Urban,80-89,5,6,0,0,4,1,2,3,0,1
C4920,22,1,0,District - Koriya *  01,Urban,90+,1,4,1,0,0,1,4,4,0,0
C4920,22,1,0,District - Koriya *  01,Urban,Age not stated,0,0,0,0,0,0,0,0,1,1
C4920,22,2,0,District - Surguja  02,Rural,0-4,871,823,29,29,24,17,274,210,77,54
C4920,22,2,0,District - Surguja  02,Rural,5-9,912,849,287,244,81,48,478,330,153,104
C4920,22,2,0,District - Surguja  02,Rural,10-19,1378,1151,442,356,162,122,1379,916,415,346
C4920,22,2,0,District - Surguja  02,Rural,20-29,868,781,272,227,99,56,781,440,353,323
C4920,22,2,0,District - Surguja  02,Rural,30-39,885,692,231,193,129,86,705,434,400,285
C4920,22,2,0,District - Surguja  02,Rural,40-49,765,527,138,111,147,99,646,405,238,175
C4920,22,2,0,District - Surguja  02,Rural,50-59,658,511,93,64,198,136,628,444,135,107
C4920,22,2,0,District - Surguja  02,Rural,60-69,712,664,49,55,298,199,639,527,79,69
C4920,22,2,0,District - Surguja  02,Rural,70-79,490,418,21,27,176,141,406,411,36,31
C4920,22,2,0,District - Surguja  02,Rural,80-89,216,166,10,5,87,45,182,154,8,9
C4920,22,2,0,District - Surguja  02,Rural,90+,65,48,2,1,22,7,53,52,1,5
C4920,22,2,0,District - Surguja  02,Rural,Age not stated,41,13,3,1,7,2,13,2,4,1
C4920,22,2,0,District - Surguja  02,Urban,0-4,65,55,0,1,2,2,13,12,4,5
C4920,22,2,0,District - Surguja  02,Urban,5-9,73,49,14,18,4,0,38,21,13,9
C4920,22,2,0,District - Surguja  02,Urban,10-19,163,136,37,16,7,5,128,86,44,31
C4920,22,2,0,District - Surguja  02,Urban,20-29,118,107,13,5,10,1,90,47,44,23
C4920,22,2,0,District - Surguja  02,Urban,30-39,102,99,7,16,10,6,54,29,24,12
C4920,22,2,0,District - Surguja  02,Urban,40-49,101,62,10,6,5,6,58,12,23,6
C4920,22,2,0,District - Surguja  02,Urban,50-59,53,53,3,2,6,3,38,11,6,2
C4920,22,2,0,District - Surguja  02,Urban,60-69,35,41,4,2,10,8,33,18,2,5
C4920,22,2,0,District - Surguja  02,Urban,70-79,14,12,0,0,3,9,17,11,0,1
C4920,22,2,0,District - Surguja  02,Urban,80-89,7,5,2,0,2,2,4,6,2,0
C4920,22,2,0,District - Surguja  02,Urban,90+,2,2,0,0,0,1,1,2,0,0
C4920,22,2,0,District - Surguja  02,Urban,Age not stated,1,0,0,1,0,0,0,0,1,0
C4920,22,3,0,District - Jashpur *  03,Rural,0-4,146,123,7,11,2,8,64,36,14,15
C4920,22,3,0,District - Jashpur *  03,Rural,5-9,192,150,88,85,29,15,146,89,32,37
C4920,22,3,0,District - Jashpur *  03,Rural,10-19,323,252,153,130,61,43,424,267,129,107
C4920,22,3,0,District - Jashpur *  03,Rural,20-29,219,167,81,99,40,28,253,148,152,130
C4920,22,3,0,District - Jashpur *  03,Rural,30-39,293,205,69,68,46,42,268,145,122,132
C4920,22,3,0,District - Jashpur *  03,Rural,40-49,246,177,50,55,67,40,275,145,75,71
C4920,22,3,0,District - Jashpur *  03,Rural,50-59,229,205,37,24,90,53,239,167,40,37
C4920,22,3,0,District - Jashpur *  03,Rural,60-69,235,201,17,22,106,98,242,228,22,40
C4920,22,3,0,District - Jashpur *  03,Rural,70-79,178,135,10,11,67,61,203,205,13,12
C4920,22,3,0,District - Jashpur *  03,Rural,80-89,56,38,3,1,37,18,86,97,4,10
C4920,22,3,0,District - Jashpur *  03,Rural,90+,9,7,1,0,4,1,25,32,4,1
C4920,22,3,0,District - Jashpur *  03,Rural,Age not stated,5,0,1,0,0,0,1,0,0,0
C4920,22,3,0,District - Jashpur *  03,Urban,0-4,10,6,0,0,1,1,6,1,2,1
C4920,22,3,0,District - Jashpur *  03,Urban,5-9,14,9,9,2,0,0,3,5,4,3
C4920,22,3,0,District - Jashpur *  03,Urban,10-19,28,32,8,2,7,0,34,16,9,7
C4920,22,3,0,District - Jashpur *  03,Urban,20-29,16,19,6,0,3,1,24,13,9,7
C4920,22,3,0,District - Jashpur *  03,Urban,30-39,13,8,3,1,0,2,16,11,5,8
C4920,22,3,0,District - Jashpur *  03,Urban,40-49,16,14,1,3,2,2,24,5,5,5
C4920,22,3,0,District - Jashpur *  03,Urban,50-59,9,5,0,1,1,1,16,4,0,2
C4920,22,3,0,District - Jashpur *  03,Urban,60-69,10,4,1,2,5,7,13,6,0,3
C4920,22,3,0,District - Jashpur *  03,Urban,70-79,5,5,0,1,6,2,3,1,2,1
C4920,22,3,0,District - Jashpur *  03,Urban,80-89,3,1,0,0,0,0,4,1,0,0
C4920,22,3,0,District - Jashpur *  03,Urban,90+,2,1,0,0,0,0,2,1,0,0
C4920,22,3,0,District - Jashpur *  03,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,22,4,0,District - Raigarh  04,Rural,0-4,168,156,25,14,18,12,203,122,32,28
