Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,25,1,0,District - Diu  01,Rural,0-4,31,25,0,1,0,0,3,3,0,0
C4920,25,1,0,District - Diu  01,Rural,5-9,28,22,5,3,0,1,9,4,5,1
C4920,25,1,0,District - Diu  01,Rural,10-19,41,33,11,5,0,0,25,16,8,8
C4920,25,1,0,District - Diu  01,Rural,20-29,34,38,3,4,0,0,28,11,7,4
C4920,25,1,0,District - Diu  01,Rural,30-39,38,23,2,2,0,1,19,5,6,2
C4920,25,1,0,District - Diu  01,Rural,40-49,21,19,1,2,0,1,8,2,0,2
C4920,25,1,0,District - Diu  01,Rural,50-59,18,15,1,0,1,2,9,12,1,1
C4920,25,1,0,District - Diu  01,Rural,60-69,10,15,0,0,3,5,14,13,2,3
C4920,25,1,0,District - Diu  01,Rural,70-79,4,6,0,2,2,3,5,9,2,0
C4920,25,1,0,District - Diu  01,Rural,80-89,2,1,0,0,0,2,1,0,0,0
C4920,25,1,0,District - Diu  01,Rural,90+,0,4,0,0,0,0,0,2,0,1
C4920,25,1,0,District - Diu  01,Rural,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,25,1,0,District - Diu  01,Urban,0-4,19,18,0,0,0,0,0,0,0,1
C4920,25,1,0,District - Diu  01,Urban,5-9,17,24,2,0,1,0,3,1,5,2
C4920,25,1,0,District - Diu  01,Urban,10-19,42,46,4,6,0,0,13,7,14,3
C4920,25,1,0,District - Diu  01,Urban,20-29,20,45,3,1,1,0,10,8,10,7
C4920,25,1,0,District - Diu  01,Urban,30-39,23,27,6,0,1,2,8,2,4,6
C4920,25,1,0,District - Diu  01,Urban,40-49,17,18,1,1,0,1,7,5,1,6
C4920,25,1,0,District - Diu  01,Urban,50-59,12,17,0,0,2,4,12,5,3,0
C4920,25,1,0,District - Diu  01,Urban,60-69,9,19,1,1,3,4,10,6,2,3
C4920,25,1,0,District - Diu  01,Urban,70-79,6,17,0,0,3,6,5,8,0,2
C4920,25,1,0,District - Diu  01,Urban,80-89,4,12,0,0,1,4,1,4,0,0
C4920,25,1,0,District - Diu  01,Urban,90+,0,2,0,0,0,0,0,1,0,0
C4920,25,1,0,District - Diu  01,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,25,2,0,District - Daman  02,Rural,0-4,20,29,0,1,0,0,3,4,2,1
C4920,25,2,0,District - Daman  02,Rural,5-9,22,15,7,2,0,0,8,8,2,3
C4920,25,2,0,District - Daman  02,Rural,10-19,76,38,5,6,0,1,25,12,13,8
C4920,25,2,0,District - Daman  02,Rural,20-29,214,54,14,9,6,0,38,20,13,11
C4920,25,2,0,District - Daman  02,Rural,30-39,87,25,5,4,1,4,14,12,10,11
C4920,25,2,0,District - Daman  02,Rural,40-49,42,26,3,2,1,1,10,5,4,3
C4920,25,2,0,District - Daman  02,Rural,50-59,15,17,2,3,3,3,12,7,1,0
C4920,25,2,0,District - Daman  02,Rural,60-69,15,15,3,3,2,3,16,10,0,2
C4920,25,2,0,District - Daman  02,Rural,70-79,10,7,0,2,1,4,2,4,0,1
C4920,25,2,0,District - Daman  02,Rural,80-89,2,3,0,0,2,0,2,1,0,0
C4920,25,2,0,District - Daman  02,Rural,90+,0,1,0,0,0,2,2,0,0,0
C4920,25,2,0,District - Daman  02,Rural,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,25,2,0,District - Daman  02,Urban,0-4,10,5,0,1,0,1,0,0,0,3
C4920,25,2,0,District - Daman  02,Urban,5-9,12,3,1,2,3,1,4,7,1,3
C4920,25,2,0,District - Daman  02,Urban,10-19,18,26,5,7,1,1,8,9,7,6
C4920,25,2,0,District - Daman  02,Urban,20-29,40,29,7,2,1,0,21,7,7,8
C4920,25,2,0,District - Daman  02,Urban,30-39,33,23,4,4,0,3,11,4,7,7
C4920,25,2,0,District - Daman  02,Urban,40-49,19,18,5,0,2,2,9,1,4,5
C4920,25,2,0,District - Daman  02,Urban,50-59,17,16,5,1,0,2,9,7,2,3
C4920,25,2,0,District - Daman  02,Urban,60-69,10,15,0,2,1,4,18,7,2,0
C4920,25,2,0,District - Daman  02,Urban,70-79,6,11,0,3,3,1,10,12,0,2
C4920,25,2,0,District - Daman  02,Urban,80-89,3,6,0,1,0,6,2,11,0,0
C4920,25,2,0,District - Daman  02,Urban,90+,2,1,0,0,0,0,0,4,0,0
C4920,25,2,0,District - Daman  02,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
