Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,6,1,0,District - Panchkula *  01,Rural,0-4,121,101,7,2,2,3,28,28,19,7
C4920,6,1,0,District - Panchkula *  01,Rural,5-9,115,93,47,19,14,5,95,42,45,28
C4920,6,1,0,District - Panchkula *  01,Rural,10-19,220,188,72,41,27,23,209,134,148,80
C4920,6,1,0,District - Panchkula *  01,Rural,20-29,290,157,48,23,12,9,288,118,80,41
C4920,6,1,0,District - Panchkula *  01,Rural,30-39,253,131,25,15,20,10,162,71,79,32
C4920,6,1,0,District - Panchkula *  01,Rural,40-49,165,82,13,16,11,16,126,46,46,27
C4920,6,1,0,District - Panchkula *  01,Rural,50-59,100,69,6,12,15,16,79,41,18,16
C4920,6,1,0,District - Panchkula *  01,Rural,60-69,119,111,12,16,26,23,73,47,32,25
C4920,6,1,0,District - Panchkula *  01,Rural,70-79,89,75,11,11,30,18,51,31,17,7
C4920,6,1,0,District - Panchkula *  01,Rural,80-89,37,40,1,0,18,12,20,10,4,3
C4920,6,1,0,District - Panchkula *  01,Rural,90+,15,22,2,1,4,10,6,10,0,0
C4920,6,1,0,District - Panchkula *  01,Rural,Age not stated,8,5,0,0,0,0,0,0,0,0
C4920,6,1,0,District - Panchkula *  01,Urban,0-4,74,70,3,4,0,1,24,16,7,13
C4920,6,1,0,District - Panchkula *  01,Urban,5-9,91,92,10,22,26,4,44,22,19,20
C4920,6,1,0,District - Panchkula *  01,Urban,10-19,177,108,34,23,34,14,108,66,79,43
C4920,6,1,0,District - Panchkula *  01,Urban,20-29,210,157,32,20,6,12,110,46,83,32
C4920,6,1,0,District - Panchkula *  01,Urban,30-39,248,124,14,17,7,8,75,45,40,34
C4920,6,1,0,District - Panchkula *  01,Urban,40-49,171,104,12,17,5,7,61,35,34,28
C4920,6,1,0,District - Panchkula *  01,Urban,50-59,105,63,8,4,5,3,64,42,15,11
C4920,6,1,0,District - Panchkula *  01,Urban,60-69,77,38,9,7,10,13,66,51,8,10
C4920,6,1,0,District - Panchkula *  01,Urban,70-79,36,34,3,4,15,9,39,41,7,8
C4920,6,1,0,District - Panchkula *  01,Urban,80-89,11,11,0,3,4,8,16,11,3,1
C4920,6,1,0,District - Panchkula *  01,Urban,90+,3,2,0,0,3,4,2,3,0,0
C4920,6,1,0,District - Panchkula *  01,Urban,Age not stated,4,2,0,0,0,0,3,0,0,0
C4920,6,2,0,District - Ambala  02,Rural,0-4,280,197,12,4,9,7,84,38,41,21
C4920,6,2,0,District - Ambala  02,Rural,5-9,317,214,82,74,29,25,172,95,106,59
