Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,1,1,0,District - Kupwara  01,Rural,0-4,760,689,10,17,12,7,51,43,44,36
C4920,1,1,0,District - Kupwara  01,Rural,5-9,913,820,86,73,22,22,111,91,78,54
C4920,1,1,0,District - Kupwara  01,Rural,10-19,1628,1372,149,156,61,56,301,258,210,176
C4920,1,1,0,District - Kupwara  01,Rural,20-29,1017,778,109,75,52,30,189,154,180,135
C4920,1,1,0,District - Kupwara  01,Rural,30-39,892,667,99,80,52,36,180,118,190,97
C4920,1,1,0,District - Kupwara  01,Rural,40-49,688,547,90,42,46,42,206,90,140,71
C4920,1,1,0,District - Kupwara  01,Rural,50-59,459,366,39,40,64,57,169,118,93,55
C4920,1,1,0,District - Kupwara  01,Rural,60-69,379,308,40,25,121,86,205,128,74,37
C4920,1,1,0,District - Kupwara  01,Rural,70-79,223,193,24,21,92,77,131,90,25,16
C4920,1,1,0,District - Kupwara  01,Rural,80-89,114,77,9,5,36,30,69,32,16,4
C4920,1,1,0,District - Kupwara  01,Rural,90+,43,23,5,1,17,4,28,18,4,2
C4920,1,1,0,District - Kupwara  01,Rural,Age not stated,61,27,2,1,4,3,18,2,7,6
C4920,1,1,0,District - Kupwara  01,Urban,0-4,47,34,0,0,0,1,2,1,3,3
C4920,1,1,0,District - Kupwara  01,Urban,5-9,55,53,0,2,0,1,3,1,3,8
C4920,1,1,0,District - Kupwara  01,Urban,10-19,110,73,16,4,4,2,11,6,7,6
C4920,1,1,0,District - Kupwara  01,Urban,20-29,81,53,5,2,1,0,6,0,7,8
C4920,1,1,0,District - Kupwara  01,Urban,30-39,56,46,1,1,1,0,1,2,16,4
C4920,1,1,0,District - Kupwara  01,Urban,40-49,50,34,2,0,1,1,8,1,4,7
C4920,1,1,0,District - Kupwara  01,Urban,50-59,34,16,1,1,0,0,5,0,1,1
C4920,1,1,0,District - Kupwara  01,Urban,60-69,14,11,2,0,0,1,4,2,3,1
C4920,1,1,0,District - Kupwara  01,Urban,70-79,7,6,0,1,2,3,0,3,1,1
C4920,1,1,0,District - Kupwara  01,Urban,80-89,2,1,0,0,1,1,0,1,0,0
C4920,1,1,0,District - Kupwara  01,Urban,90+,1,0,0,0,3,0,0,0,0,0
C4920,1,1,0,District - Kupwara  01,Urban,Age not stated,2,0,0,0,0,0,0,0,0,0
C4920,1,2,0,District - Baramula  02,Rural,0-4,1725,1447,21,16,17,11,65,40,112,83
C4920,1,2,0,District - Baramula  02,Rural,5-9,2148,1825,127,84,32,23,186,150,185,150
C4920,1,2,0,District - Baramula  02,Rural,10-19,3522,2978,228,175,75,61,541,415,412,362
C4920,1,2,0,District - Baramula  02,Rural,20-29,2029,1659,181,126,62,36,303,200,352,223
C4920,1,2,0,District - Baramula  02,Rural,30-39,1747,1368,141,93,54,42,231,137,313,228
C4920,1,2,0,District - Baramula  02,Rural,40-49,1610,1008,88,86,51,32,241,114,282,156
C4920,1,2,0,District - Baramula  02,Rural,50-59,1031,686,50,45,63,47,223,103,180,91
C4920,1,2,0,District - Baramula  02,Rural,60-69,860,514,41,50,86,79,227,106,110,65
C4920,1,2,0,District - Baramula  02,Rural,70-79,467,272,12,27,67,55,151,86,53,27
C4920,1,2,0,District - Baramula  02,Rural,80-89,160,103,10,5,36,25,61,36,19,12
C4920,1,2,0,District - Baramula  02,Rural,90+,77,37,6,0,19,5,24,11,6,0
C4920,1,2,0,District - Baramula  02,Rural,Age not stated,34,27,1,2,3,0,5,1,4,1
C4920,1,2,0,District - Baramula  02,Urban,0-4,335,279,3,1,1,3,4,5,13,20
C4920,1,2,0,District - Baramula  02,Urban,5-9,455,400,12,16,1,1,20,16,36,21
C4920,1,2,0,District - Baramula  02,Urban,10-19,969,710,35,30,8,3,48,37,79,64
C4920,1,2,0,District - Baramula  02,Urban,20-29,599,454,21,9,10,5,44,23,83,46
C4920,1,2,0,District - Baramula  02,Urban,30-39,477,375,21,18,8,3,29,19,73,49
C4920,1,2,0,District - Baramula  02,Urban,40-49,412,216,7,12,5,5,34,11,63,45
C4920,1,2,0,District - Baramula  02,Urban,50-59,285,153,5,14,10,10,32,8,46,15
C4920,1,2,0,District - Baramula  02,Urban,60-69,222,116,5,2,17,9,25,13,16,14
C4920,1,2,0,District - Baramula  02,Urban,70-79,91,57,4,1,11,4,19,9,11,5
C4920,1,2,0,District - Baramula  02,Urban,80-89,34,18,0,1,4,2,4,3,2,0
C4920,1,2,0,District - Baramula  02,Urban,90+,7,6,0,1,1,1,3,1,0,2
