Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,29,1,0,District - Belgaum  01,Rural,0-4,386,332,54,51,20,22,456,314,79,50
C4920,29,1,0,District - Belgaum  01,Rural,5-9,525,475,477,422,89,72,1109,694,310,238
C4920,29,1,0,District - Belgaum  01,Rural,10-19,1013,842,906,669,221,154,3362,2187,871,746
C4920,29,1,0,District - Belgaum  01,Rural,20-29,633,634,454,399,115,104,2097,1114,557,485
C4920,29,1,0,District - Belgaum  01,Rural,30-39,682,549,331,301,116,120,1434,747,448,410
C4920,29,1,0,District - Belgaum  01,Rural,40-49,701,537,271,172,149,115,1275,537,365,268
C4920,29,1,0,District - Belgaum  01,Rural,50-59,659,653,140,108,155,161,1011,422,197,146
C4920,29,1,0,District - Belgaum  01,Rural,60-69,884,1120,103,84,245,276,787,440,106,101
C4920,29,1,0,District - Belgaum  01,Rural,70-79,739,956,57,69,229,316,421,252,32,37
C4920,29,1,0,District - Belgaum  01,Rural,80-89,351,445,19,20,146,144,99,130,11,16
C4920,29,1,0,District - Belgaum  01,Rural,90+,104,171,5,6,46,60,32,50,4,8
C4920,29,1,0,District - Belgaum  01,Rural,Age not stated,13,3,0,0,6,1,6,0,1,1
C4920,29,1,0,District - Belgaum  01,Urban,0-4,166,163,10,11,6,5,84,56,21,21
C4920,29,1,0,District - Belgaum  01,Urban,5-9,218,185,118,69,21,8,206,137,74,45
C4920,29,1,0,District - Belgaum  01,Urban,10-19,501,455,235,211,53,37,763,494,276,179
C4920,29,1,0,District - Belgaum  01,Urban,20-29,345,257,151,102,29,28,572,330,221,163
C4920,29,1,0,District - Belgaum  01,Urban,30-39,303,251,79,87,26,28,363,210,165,104
C4920,29,1,0,District - Belgaum  01,Urban,40-49,345,207,71,53,41,19,364,140,152,89
C4920,29,1,0,District - Belgaum  01,Urban,50-59,227,153,45,25,19,29,323,118,91,50
C4920,29,1,0,District - Belgaum  01,Urban,60-69,158,190,28,17,31,31,214,93,49,18
C4920,29,1,0,District - Belgaum  01,Urban,70-79,106,140,14,14,32,35,99,51,10,13
