Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,32,1,0,District - Kasaragod  01,Rural,0-4,172,149,21,14,13,14,117,57,25,27
C4920,32,1,0,District - Kasaragod  01,Rural,5-9,188,151,147,92,70,66,174,147,108,64
C4920,32,1,0,District - Kasaragod  01,Rural,10-19,481,399,360,294,205,120,535,351,385,299
C4920,32,1,0,District - Kasaragod  01,Rural,20-29,387,342,228,188,125,101,652,392,431,316
C4920,32,1,0,District - Kasaragod  01,Rural,30-39,447,396,165,140,95,121,595,286,327,267
C4920,32,1,0,District - Kasaragod  01,Rural,40-49,594,516,103,84,104,122,540,254,262,194
C4920,32,1,0,District - Kasaragod  01,Rural,50-59,498,604,80,41,97,138,566,235,171,117
C4920,32,1,0,District - Kasaragod  01,Rural,60-69,641,995,66,49,145,214,445,259,79,123
C4920,32,1,0,District - Kasaragod  01,Rural,70-79,540,714,35,23,190,232,275,213,40,63
C4920,32,1,0,District - Kasaragod  01,Rural,80-89,219,266,16,8,106,128,99,112,20,15
C4920,32,1,0,District - Kasaragod  01,Rural,90+,43,50,0,0,22,25,22,39,2,7
C4920,32,1,0,District - Kasaragod  01,Rural,Age not stated,4,2,1,0,2,1,2,0,1,0
C4920,32,1,0,District - Kasaragod  01,Urban,0-4,29,15,4,3,3,3,36,17,6,7
C4920,32,1,0,District - Kasaragod  01,Urban,5-9,30,42,29,20,7,10,32,29,24,19
C4920,32,1,0,District - Kasaragod  01,Urban,10-19,137,76,72,59,33,24,112,84,108,70
C4920,32,1,0,District - Kasaragod  01,Urban,20-29,86,82,53,47,37,25,193,103,115,73
C4920,32,1,0,District - Kasaragod  01,Urban,30-39,84,82,27,29,22,21,175,87,76,54
C4920,32,1,0,District - Kasaragod  01,Urban,40-49,96,117,23,16,16,26,134,84,50,46
C4920,32,1,0,District - Kasaragod  01,Urban,50-59,111,161,17,19,19,28,142,82,20,23
C4920,32,1,0,District - Kasaragod  01,Urban,60-69,150,224,6,11,26,53,139,80,21,23
C4920,32,1,0,District - Kasaragod  01,Urban,70-79,88,144,6,6,28,54,73,67,6,14
C4920,32,1,0,District - Kasaragod  01,Urban,80-89,25,81,1,4,17,16,24,27,5,7
C4920,32,1,0,District - Kasaragod  01,Urban,90+,7,9,0,1,2,4,1,7,1,1
C4920,32,1,0,District - Kasaragod  01,Urban,Age not stated,2,0,0,0,0,0,0,1,0,0
C4920,32,2,0,District - Kannur  02,Rural,0-4,117,110,20,9,26,15,148,100,42,27
C4920,32,2,0,District - Kannur  02,Rural,5-9,136,123,146,100,58,49,177,126,109,92
C4920,32,2,0,District - Kannur  02,Rural,10-19,431,352,319,273,183,173,564,357,444,364
C4920,32,2,0,District - Kannur  02,Rural,20-29,413,375,313,236,144,121,776,475,588,436
C4920,32,2,0,District - Kannur  02,Rural,30-39,470,501,256,201,130,131,737,426,537,425
C4920,32,2,0,District - Kannur  02,Rural,40-49,523,680,163,110,135,146,726,418,442,348
C4920,32,2,0,District - Kannur  02,Rural,50-59,636,743,103,72,132,157,621,340,214,237
C4920,32,2,0,District - Kannur  02,Rural,60-69,748,1308,84,71,234,285,577,341,136,192
C4920,32,2,0,District - Kannur  02,Rural,70-79,700,1116,68,39,292,365,404,271,70,97
C4920,32,2,0,District - Kannur  02,Rural,80-89,319,483,20,22,208,298,156,159,24,44
C4920,32,2,0,District - Kannur  02,Rural,90+,82,90,2,4,58,80,40,51,4,8
C4920,32,2,0,District - Kannur  02,Rural,Age not stated,3,1,0,2,0,0,0,4,11,1
C4920,32,2,0,District - Kannur  02,Urban,0-4,127,122,19,9,13,16,119,71,35,23
C4920,32,2,0,District - Kannur  02,Urban,5-9,133,93,109,88,57,44,170,108,93,67
C4920,32,2,0,District - Kannur  02,Urban,10-19,500,359,280,221,202,128,506,356,427,301
C4920,32,2,0,District - Kannur  02,Urban,20-29,424,383,251,221,146,110,707,442,519,416
C4920,32,2,0,District - Kannur  02,Urban,30-39,409,414,223,170,95,133,619,436,605,399
