Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,31,1,0,District - Lakshadweep  01,Rural,0-4,14,11,2,1,0,0,4,5,2,0
C4920,31,1,0,District - Lakshadweep  01,Rural,5-9,17,17,17,8,11,3,5,12,6,5
C4920,31,1,0,District - Lakshadweep  01,Rural,10-19,31,38,21,15,9,11,30,18,16,8
C4920,31,1,0,District - Lakshadweep  01,Rural,20-29,28,23,15,7,7,12,35,25,11,10
C4920,31,1,0,District - Lakshadweep  01,Rural,30-39,19,25,3,7,7,5,21,17,13,13
C4920,31,1,0,District - Lakshadweep  01,Rural,40-49,29,23,5,2,7,4,12,16,4,13
C4920,31,1,0,District - Lakshadweep  01,Rural,50-59,20,12,0,2,5,6,31,7,2,13
C4920,31,1,0,District - Lakshadweep  01,Rural,60-69,10,22,0,0,0,6,20,17,2,4
C4920,31,1,0,District - Lakshadweep  01,Rural,70-79,10,11,0,0,1,1,7,4,1,3
C4920,31,1,0,District - Lakshadweep  01,Rural,80-89,2,3,0,0,2,0,2,2,0,0
C4920,31,1,0,District - Lakshadweep  01,Rural,90+,3,1,0,0,1,0,0,1,0,0
C4920,31,1,0,District - Lakshadweep  01,Rural,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,31,1,0,District - Lakshadweep  01,Urban,0-4,11,6,4,0,0,0,4,4,0,0
C4920,31,1,0,District - Lakshadweep  01,Urban,5-9,4,10,11,4,2,6,3,4,3,0
C4920,31,1,0,District - Lakshadweep  01,Urban,10-19,18,19,16,13,11,8,23,15,14,11
C4920,31,1,0,District - Lakshadweep  01,Urban,20-29,17,14,17,5,3,1,23,12,9,6
C4920,31,1,0,District - Lakshadweep  01,Urban,30-39,13,12,7,6,4,2,12,6,6,8
C4920,31,1,0,District - Lakshadweep  01,Urban,40-49,15,17,4,1,2,0,14,8,8,7
C4920,31,1,0,District - Lakshadweep  01,Urban,50-59,8,11,3,4,1,2,21,9,0,9
C4920,31,1,0,District - Lakshadweep  01,Urban,60-69,12,19,2,3,0,1,21,7,2,4
C4920,31,1,0,District - Lakshadweep  01,Urban,70-79,9,9,0,1,1,2,9,6,0,3
C4920,31,1,0,District - Lakshadweep  01,Urban,80-89,4,3,0,1,2,1,7,5,0,0
C4920,31,1,0,District - Lakshadweep  01,Urban,90+,0,2,0,0,0,0,0,1,0,0
C4920,31,1,0,District - Lakshadweep  01,Urban,Age not stated,1,0,0,0,0,0,0,0,0,0
