Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,23,1,0,District - Sheopur *  01,Rural,0-4,306,242,11,7,8,8,56,46,12,16
C4920,23,1,0,District - Sheopur *  01,Rural,5-9,349,290,70,33,33,24,188,129,40,32
C4920,23,1,0,District - Sheopur *  01,Rural,10-19,582,461,103,45,67,30,537,283,119,54
C4920,23,1,0,District - Sheopur *  01,Rural,20-29,518,410,42,16,40,19,306,130,71,34
C4920,23,1,0,District - Sheopur *  01,Rural,30-39,533,299,36,16,38,22,196,105,78,45
C4920,23,1,0,District - Sheopur *  01,Rural,40-49,401,234,37,22,33,18,149,86,50,24
C4920,23,1,0,District - Sheopur *  01,Rural,50-59,327,230,11,20,40,38,131,90,38,26
C4920,23,1,0,District - Sheopur *  01,Rural,60-69,318,315,11,9,46,52,112,106,24,9
C4920,23,1,0,District - Sheopur *  01,Rural,70-79,198,234,8,5,41,54,79,72,10,11
C4920,23,1,0,District - Sheopur *  01,Rural,80-89,62,59,4,0,9,15,20,32,4,4
C4920,23,1,0,District - Sheopur *  01,Rural,90+,18,18,0,0,7,4,8,9,2,0
C4920,23,1,0,District - Sheopur *  01,Rural,Age not stated,25,7,0,0,0,0,2,1,0,0
C4920,23,1,0,District - Sheopur *  01,Urban,0-4,61,43,4,0,1,0,11,14,3,4
C4920,23,1,0,District - Sheopur *  01,Urban,5-9,75,52,11,4,2,1,26,27,10,8
C4920,23,1,0,District - Sheopur *  01,Urban,10-19,165,100,18,12,7,4,103,66,31,21
C4920,23,1,0,District - Sheopur *  01,Urban,20-29,116,94,12,7,7,1,98,43,26,7
C4920,23,1,0,District - Sheopur *  01,Urban,30-39,128,78,2,4,3,2,67,23,17,5
C4920,23,1,0,District - Sheopur *  01,Urban,40-49,97,59,6,1,3,2,31,20,10,10
C4920,23,1,0,District - Sheopur *  01,Urban,50-59,64,46,3,1,1,0,35,12,8,4
C4920,23,1,0,District - Sheopur *  01,Urban,60-69,57,54,3,1,5,3,29,24,4,2
C4920,23,1,0,District - Sheopur *  01,Urban,70-79,36,35,2,0,4,9,15,15,0,0
C4920,23,1,0,District - Sheopur *  01,Urban,80-89,11,11,1,0,4,0,5,5,0,0
C4920,23,1,0,District - Sheopur *  01,Urban,90+,1,5,0,0,0,0,0,4,0,0
C4920,23,1,0,District - Sheopur *  01,Urban,Age not stated,3,1,0,0,0,1,0,1,0,0
C4920,23,2,0,District - Morena  02,Rural,0-4,868,716,27,10,8,5,142,99,52,32
C4920,23,2,0,District - Morena  02,Rural,5-9,1010,782,156,97,42,16,660,316,107,55
C4920,23,2,0,District - Morena  02,Rural,10-19,1858,1150,284,137,101,40,1938,728,352,127
C4920,23,2,0,District - Morena  02,Rural,20-29,1370,957,140,80,53,27,1161,288,251,109
C4920,23,2,0,District - Morena  02,Rural,30-39,1227,818,117,56,52,18,632,221,181,65
C4920,23,2,0,District - Morena  02,Rural,40-49,1029,647,58,30,51,24,414,175,135,70
C4920,23,2,0,District - Morena  02,Rural,50-59,883,570,50,33,55,46,338,159,84,43
C4920,23,2,0,District - Morena  02,Rural,60-69,773,668,47,25,84,66,325,205,48,31
C4920,23,2,0,District - Morena  02,Rural,70-79,535,441,14,20,65,59,205,126,34,12
C4920,23,2,0,District - Morena  02,Rural,80-89,178,156,4,3,32,22,83,49,7,5
C4920,23,2,0,District - Morena  02,Rural,90+,45,57,1,1,8,8,22,17,1,0
C4920,23,2,0,District - Morena  02,Rural,Age not stated,29,14,4,3,2,0,16,3,2,1
C4920,23,2,0,District - Morena  02,Urban,0-4,127,104,3,3,1,3,56,36,18,5
C4920,23,2,0,District - Morena  02,Urban,5-9,165,96,43,26,8,10,173,104,34,23
C4920,23,2,0,District - Morena  02,Urban,10-19,354,212,98,53,25,12,582,270,117,58
C4920,23,2,0,District - Morena  02,Urban,20-29,231,153,43,20,22,10,390,119,96,29
C4920,23,2,0,District - Morena  02,Urban,30-39,229,129,28,10,10,4,194,79,60,27
C4920,23,2,0,District - Morena  02,Urban,40-49,232,123,11,16,10,5,159,58,37,20
