Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,27,1,0,District - Nandurbar *  01,Rural,0-4,680,623,11,12,10,11,134,110,34,24
C4920,27,1,0,District - Nandurbar *  01,Rural,5-9,683,667,77,76,42,25,268,191,60,62
C4920,27,1,0,District - Nandurbar *  01,Rural,10-19,1236,1082,162,148,67,35,815,580,210,147
C4920,27,1,0,District - Nandurbar *  01,Rural,20-29,825,768,93,74,26,26,567,309,182,136
C4920,27,1,0,District - Nandurbar *  01,Rural,30-39,964,711,67,68,44,29,413,215,166,132
C4920,27,1,0,District - Nandurbar *  01,Rural,40-49,727,555,45,33,57,36,412,164,114,83
C4920,27,1,0,District - Nandurbar *  01,Rural,50-59,455,321,32,20,57,45,264,128,51,40
C4920,27,1,0,District - Nandurbar *  01,Rural,60-69,443,449,25,21,75,78,301,188,41,28
C4920,27,1,0,District - Nandurbar *  01,Rural,70-79,228,261,13,2,71,48,102,97,13,23
C4920,27,1,0,District - Nandurbar *  01,Rural,80-89,60,77,2,0,17,16,28,38,5,6
C4920,27,1,0,District - Nandurbar *  01,Rural,90+,17,22,0,1,6,6,6,11,0,0
C4920,27,1,0,District - Nandurbar *  01,Rural,Age not stated,7,3,0,1,0,0,3,1,0,0
C4920,27,1,0,District - Nandurbar *  01,Urban,0-4,61,56,1,1,3,0,19,6,2,2
C4920,27,1,0,District - Nandurbar *  01,Urban,5-9,66,54,28,19,2,2,52,27,27,16
C4920,27,1,0,District - Nandurbar *  01,Urban,10-19,132,143,53,28,8,4,147,97,68,45
C4920,27,1,0,District - Nandurbar *  01,Urban,20-29,120,89,21,12,5,4,124,69,49,37
C4920,27,1,0,District - Nandurbar *  01,Urban,30-39,123,78,18,12,7,3,87,50,36,23
C4920,27,1,0,District - Nandurbar *  01,Urban,40-49,95,60,9,11,3,3,83,28,32,15
C4920,27,1,0,District - Nandurbar *  01,Urban,50-59,65,30,8,1,4,1,56,28,10,15
C4920,27,1,0,District - Nandurbar *  01,Urban,60-69,45,34,1,1,7,11,46,30,6,7
C4920,27,1,0,District - Nandurbar *  01,Urban,70-79,25,21,1,0,3,5,21,17,1,3
C4920,27,1,0,District - Nandurbar *  01,Urban,80-89,3,6,1,0,4,2,5,6,0,1
C4920,27,1,0,District - Nandurbar *  01,Urban,90+,1,2,0,0,0,1,0,1,0,0
C4920,27,1,0,District - Nandurbar *  01,Urban,Age not stated,0,1,0,0,0,0,0,0,0,0
C4920,27,2,0,District - Dhule  02,Rural,0-4,307,219,21,16,8,8,175,115,32,36
C4920,27,2,0,District - Dhule  02,Rural,5-9,346,304,113,86,43,29,377,233,116,75
C4920,27,2,0,District - Dhule  02,Rural,10-19,737,580,255,183,110,62,1517,863,308,243
C4920,27,2,0,District - Dhule  02,Rural,20-29,496,431,151,113,67,39,1150,470,230,177
C4920,27,2,0,District - Dhule  02,Rural,30-39,523,431,103,72,63,50,688,340,207,177
C4920,27,2,0,District - Dhule  02,Rural,40-49,500,353,77,45,80,58,594,222,185,100
C4920,27,2,0,District - Dhule  02,Rural,50-59,343,271,43,22,67,56,409,183,81,64
C4920,27,2,0,District - Dhule  02,Rural,60-69,429,514,41,45,121,137,491,334,52,69
C4920,27,2,0,District - Dhule  02,Rural,70-79,323,366,19,20,105,117,252,175,18,28
C4920,27,2,0,District - Dhule  02,Rural,80-89,64,116,3,6,38,55,40,51,5,3
C4920,27,2,0,District - Dhule  02,Rural,90+,27,39,0,1,6,10,6,21,0,0
C4920,27,2,0,District - Dhule  02,Rural,Age not stated,5,3,0,0,1,1,13,2,2,0
C4920,27,2,0,District - Dhule  02,Urban,0-4,71,75,4,4,5,2,61,44,21,19
C4920,27,2,0,District - Dhule  02,Urban,5-9,103,94,39,32,7,5,109,80,41,28
C4920,27,2,0,District - Dhule  02,Urban,10-19,284,218,97,78,27,24,476,293,166,94
C4920,27,2,0,District - Dhule  02,Urban,20-29,177,135,45,43,14,14,414,223,152,81
C4920,27,2,0,District - Dhule  02,Urban,30-39,129,106,41,26,12,8,252,104,102,57
C4920,27,2,0,District - Dhule  02,Urban,40-49,105,82,30,22,11,8,229,73,84,30
