Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,17,1,0,District - West Garo Hills  01,Rural,0-4,107,108,15,20,9,5,36,36,22,12
C4920,17,1,0,District - West Garo Hills  01,Rural,5-9,82,107,84,94,30,19,62,44,29,25
C4920,17,1,0,District - West Garo Hills  01,Rural,10-19,179,176,174,161,49,32,112,85,109,72
C4920,17,1,0,District - West Garo Hills  01,Rural,20-29,158,119,88,99,40,30,69,36,99,77
C4920,17,1,0,District - West Garo Hills  01,Rural,30-39,192,112,93,94,39,55,69,46,81,57
C4920,17,1,0,District - West Garo Hills  01,Rural,40-49,195,111,50,45,46,55,76,45,66,39
C4920,17,1,0,District - West Garo Hills  01,Rural,50-59,125,94,36,23,54,55,53,46,27,20
C4920,17,1,0,District - West Garo Hills  01,Rural,60-69,106,144,22,23,70,84,71,38,16,25
C4920,17,1,0,District - West Garo Hills  01,Rural,70-79,70,81,11,8,51,64,34,28,7,8
C4920,17,1,0,District - West Garo Hills  01,Rural,80-89,40,26,0,4,18,29,14,9,7,2
C4920,17,1,0,District - West Garo Hills  01,Rural,90+,8,12,0,8,10,7,8,5,3,0
C4920,17,1,0,District - West Garo Hills  01,Rural,Age not stated,3,4,0,0,4,2,4,0,0,0
C4920,17,1,0,District - West Garo Hills  01,Urban,0-4,6,8,1,3,0,1,0,1,0,0
C4920,17,1,0,District - West Garo Hills  01,Urban,5-9,8,17,2,4,1,1,4,2,7,2
C4920,17,1,0,District - West Garo Hills  01,Urban,10-19,22,34,12,12,5,3,8,14,16,8
C4920,17,1,0,District - West Garo Hills  01,Urban,20-29,28,31,5,6,2,3,11,8,19,14
C4920,17,1,0,District - West Garo Hills  01,Urban,30-39,50,22,4,6,2,1,10,8,12,9
C4920,17,1,0,District - West Garo Hills  01,Urban,40-49,55,10,1,1,2,1,6,16,5,3
C4920,17,1,0,District - West Garo Hills  01,Urban,50-59,34,12,3,1,3,0,21,11,2,4
C4920,17,1,0,District - West Garo Hills  01,Urban,60-69,18,12,1,1,5,5,22,7,3,2
C4920,17,1,0,District - West Garo Hills  01,Urban,70-79,12,5,0,0,8,3,9,4,0,1
C4920,17,1,0,District - West Garo Hills  01,Urban,80-89,1,0,0,0,1,2,3,0,1,0
C4920,17,1,0,District - West Garo Hills  01,Urban,90+,1,0,0,0,1,0,1,0,0,0
C4920,17,1,0,District - West Garo Hills  01,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,17,2,0,District - East Garo Hills  02,Rural,0-4,47,51,4,3,3,3,10,15,15,18
C4920,17,2,0,District - East Garo Hills  02,Rural,5-9,54,47,15,21,4,6,21,11,10,14
C4920,17,2,0,District - East Garo Hills  02,Rural,10-19,73,83,36,48,12,21,55,43,30,27
