Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,34,1,0,District - Yanam  01,Rural,0-4,0,0,0,0,0,0,0,0,0,0
C4920,34,1,0,District - Yanam  01,Rural,5-9,0,0,0,0,0,0,0,0,0,0
C4920,34,1,0,District - Yanam  01,Rural,10-19,0,0,0,0,0,0,0,0,0,0
C4920,34,1,0,District - Yanam  01,Rural,20-29,0,0,0,0,0,0,0,0,0,0
C4920,34,1,0,District - Yanam  01,Rural,30-39,0,0,0,0,0,0,0,0,0,0
C4920,34,1,0,District - Yanam  01,Rural,40-49,0,0,0,0,0,0,0,0,0,0
C4920,34,1,0,District - Yanam  01,Rural,50-59,0,0,0,0,0,0,0,0,0,0
C4920,34,1,0,District - Yanam  01,Rural,60-69,0,0,0,0,0,0,0,0,0,0
C4920,34,1,0,District - Yanam  01,Rural,70-79,0,0,0,0,0,0,0,0,0,0
C4920,34,1,0,District - Yanam  01,Rural,80-89,0,0,0,0,0,0,0,0,0,0
C4920,34,1,0,District - Yanam  01,Rural,90+,0,0,0,0,0,0,0,0,0,0
C4920,34,1,0,District - Yanam  01,Rural,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,34,1,0,District - Yanam  01,Urban,0-4,7,12,3,0,1,0,4,4,4,1
C4920,34,1,0,District - Yanam  01,Urban,5-9,19,8,4,1,2,0,6,4,4,1
C4920,34,1,0,District - Yanam  01,Urban,10-19,29,31,8,12,1,2,27,15,11,3
C4920,34,1,0,District - Yanam  01,Urban,20-29,28,27,10,3,1,3,19,7,3,3
C4920,34,1,0,District - Yanam  01,Urban,30-39,42,14,5,2,2,1,15,10,1,2
C4920,34,1,0,District - Yanam  01,Urban,40-49,32,10,4,5,2,0,16,5,1,3
C4920,34,1,0,District - Yanam  01,Urban,50-59,19,11,1,0,3,3,9,5,0,0
C4920,34,1,0,District - Yanam  01,Urban,60-69,16,15,1,1,2,2,8,9,0,2
C4920,34,1,0,District - Yanam  01,Urban,70-79,4,3,1,0,3,3,1,4,0,0
