Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,3,1,0,District - Gurdaspur  01,Rural,0-4,363,301,22,13,20,7,141,71,83,46
C4920,3,1,0,District - Gurdaspur  01,Rural,5-9,455,344,151,121,26,19,435,267,197,116
C4920,3,1,0,District - Gurdaspur  01,Rural,10-19,889,745,275,226,68,64,1469,888,714,485
C4920,3,1,0,District - Gurdaspur  01,Rural,20-29,672,582,211,93,62,36,1353,578,650,301
C4920,3,1,0,District - Gurdaspur  01,Rural,30-39,582,490,102,88,45,30,747,317,477,219
C4920,3,1,0,District - Gurdaspur  01,Rural,40-49,547,329,50,65,49,40,570,215,347,153
C4920,3,1,0,District - Gurdaspur  01,Rural,50-59,401,274,35,39,41,36,434,174,171,95
C4920,3,1,0,District - Gurdaspur  01,Rural,60-69,430,409,48,44,70,89,446,265,113,97
C4920,3,1,0,District - Gurdaspur  01,Rural,70-79,396,269,33,24,98,82,332,168,59,38
C4920,3,1,0,District - Gurdaspur  01,Rural,80-89,154,141,16,9,54,49,146,87,26,15
C4920,3,1,0,District - Gurdaspur  01,Rural,90+,69,71,5,2,24,25,40,48,9,11
C4920,3,1,0,District - Gurdaspur  01,Rural,Age not stated,52,31,3,3,5,1,15,7,2,4
C4920,3,1,0,District - Gurdaspur  01,Urban,0-4,123,89,3,2,5,4,28,21,16,7
C4920,3,1,0,District - Gurdaspur  01,Urban,5-9,133,102,51,28,9,4,101,52,60,39
C4920,3,1,0,District - Gurdaspur  01,Urban,10-19,254,240,85,46,24,20,300,198,228,141
C4920,3,1,0,District - Gurdaspur  01,Urban,20-29,230,190,50,31,16,7,293,157,219,100
C4920,3,1,0,District - Gurdaspur  01,Urban,30-39,196,153,28,23,8,9,177,76,160,82
C4920,3,1,0,District - Gurdaspur  01,Urban,40-49,147,123,18,21,11,14,166,63,155,46
C4920,3,1,0,District - Gurdaspur  01,Urban,50-59,137,70,15,8,12,12,129,52,73,34
C4920,3,1,0,District - Gurdaspur  01,Urban,60-69,109,85,10,18,28,24,120,60,33,34
C4920,3,1,0,District - Gurdaspur  01,Urban,70-79,74,60,7,9,28,28,89,50,26,14
C4920,3,1,0,District - Gurdaspur  01,Urban,80-89,28,36,5,3,14,11,27,32,11,6
C4920,3,1,0,District - Gurdaspur  01,Urban,90+,7,10,3,0,5,12,14,6,3,2
C4920,3,1,0,District - Gurdaspur  01,Urban,Age not stated,16,5,4,1,2,0,3,1,1,1
C4920,3,2,0,District - Amritsar  02,Rural,0-4,418,319,18,12,11,8,152,109,94,47
C4920,3,2,0,District - Amritsar  02,Rural,5-9,422,367,173,113,47,28,648,436,252,130
C4920,3,2,0,District - Amritsar  02,Rural,10-19,862,680,316,227,77,70,2561,1572,723,450
C4920,3,2,0,District - Amritsar  02,Rural,20-29,589,464,150,83,60,29,2079,868,654,286
C4920,3,2,0,District - Amritsar  02,Rural,30-39,501,376,108,67,43,33,1042,404,537,248
C4920,3,2,0,District - Amritsar  02,Rural,40-49,421,322,52,48,31,36,652,273,354,156
C4920,3,2,0,District - Amritsar  02,Rural,50-59,360,266,36,43,30,40,494,230,192,87
C4920,3,2,0,District - Amritsar  02,Rural,60-69,475,439,36,42,60,95,599,336,151,95
C4920,3,2,0,District - Amritsar  02,Rural,70-79,382,309,34,16,78,87,409,231,81,50
C4920,3,2,0,District - Amritsar  02,Rural,80-89,168,174,17,9,68,57,196,133,32,20
C4920,3,2,0,District - Amritsar  02,Rural,90+,61,71,5,4,41,32,66,72,5,9
C4920,3,2,0,District - Amritsar  02,Rural,Age not stated,26,14,3,2,2,1,21,11,4,2
C4920,3,2,0,District - Amritsar  02,Urban,0-4,304,219,13,6,6,4,65,38,48,37
C4920,3,2,0,District - Amritsar  02,Urban,5-9,303,248,79,51,21,12,193,151,140,80
C4920,3,2,0,District - Amritsar  02,Urban,10-19,605,447,191,98,51,42,868,586,509,329
C4920,3,2,0,District - Amritsar  02,Urban,20-29,511,463,93,69,41,36,794,422,420,247
C4920,3,2,0,District - Amritsar  02,Urban,30-39,375,302,71,43,24,32,396,201,354,256
C4920,3,2,0,District - Amritsar  02,Urban,40-49,314,234,51,44,30,25,376,179,275,181
C4920,3,2,0,District - Amritsar  02,Urban,50-59,217,153,34,20,20,27,299,145,146,97
C4920,3,2,0,District - Amritsar  02,Urban,60-69,219,196,29,28,35,58,312,225,85,81
C4920,3,2,0,District - Amritsar  02,Urban,70-79,187,140,23,17,47,60,237,120,54,45
C4920,3,2,0,District - Amritsar  02,Urban,80-89,69,49,9,1,37,37,73,69,18,14
C4920,3,2,0,District - Amritsar  02,Urban,90+,24,17,4,2,8,11,22,14,2,10
C4920,3,2,0,District - Amritsar  02,Urban,Age not stated,10,21,2,2,1,1,8,5,5,0
C4920,3,3,0,District - Kapurthala  03,Rural,0-4,141,102,1,1,6,2,28,27,25,14
C4920,3,3,0,District - Kapurthala  03,Rural,5-9,139,126,49,23,8,2,98,57,57,38
C4920,3,3,0,District - Kapurthala  03,Rural,10-19,302,213,102,74,28,11,436,324,226,113
C4920,3,3,0,District - Kapurthala  03,Rural,20-29,257,228,58,28,23,6,451,219,196,109
C4920,3,3,0,District - Kapurthala  03,Rural,30-39,225,182,38,24,16,13,256,97,134,64
C4920,3,3,0,District - Kapurthala  03,Rural,40-49,206,161,21,22,12,12,210,85,99,62
C4920,3,3,0,District - Kapurthala  03,Rural,50-59,159,89,13,11,20,13,150,64,64,28
C4920,3,3,0,District - Kapurthala  03,Rural,60-69,174,169,11,16,22,25,155,115,42,38
C4920,3,3,0,District - Kapurthala  03,Rural,70-79,133,97,12,3,22,30,120,67,22,20
C4920,3,3,0,District - Kapurthala  03,Rural,80-89,64,60,4,2,11,25,47,45,11,2
C4920,3,3,0,District - Kapurthala  03,Rural,90+,21,30,2,0,8,15,24,15,4,6
