Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,8,1,0,District - Ganganagar  01,Rural,0-4,447,353,22,18,15,20,210,142,58,43
C4920,8,1,0,District - Ganganagar  01,Rural,5-9,552,423,251,129,79,51,558,377,202,111
C4920,8,1,0,District - Ganganagar  01,Rural,10-19,869,704,438,250,145,100,1697,973,580,294
C4920,8,1,0,District - Ganganagar  01,Rural,20-29,891,520,186,83,81,45,1497,618,418,207
C4920,8,1,0,District - Ganganagar  01,Rural,30-39,966,421,145,75,86,60,841,420,354,172
C4920,8,1,0,District - Ganganagar  01,Rural,40-49,831,329,104,54,99,65,631,255,234,124
C4920,8,1,0,District - Ganganagar  01,Rural,50-59,624,413,60,33,124,70,494,250,121,82
C4920,8,1,0,District - Ganganagar  01,Rural,60-69,714,671,46,27,144,127,456,313,102,69
C4920,8,1,0,District - Ganganagar  01,Rural,70-79,601,597,38,13,176,142,378,221,53,31
C4920,8,1,0,District - Ganganagar  01,Rural,80-89,258,285,11,9,120,88,166,148,22,24
C4920,8,1,0,District - Ganganagar  01,Rural,90+,93,123,4,2,45,44,62,95,5,5
C4920,8,1,0,District - Ganganagar  01,Rural,Age not stated,15,7,0,0,6,1,8,4,1,2
C4920,8,1,0,District - Ganganagar  01,Urban,0-4,241,207,8,7,4,1,78,41,31,21
C4920,8,1,0,District - Ganganagar  01,Urban,5-9,306,219,145,86,15,10,154,100,67,33
C4920,8,1,0,District - Ganganagar  01,Urban,10-19,526,345,223,145,48,21,460,276,201,116
C4920,8,1,0,District - Ganganagar  01,Urban,20-29,399,273,65,40,25,10,374,203,142,61
C4920,8,1,0,District - Ganganagar  01,Urban,30-39,394,201,58,40,11,14,280,133,114,48
C4920,8,1,0,District - Ganganagar  01,Urban,40-49,274,152,34,29,20,15,194,70,63,37
C4920,8,1,0,District - Ganganagar  01,Urban,50-59,175,105,12,10,19,14,140,60,41,20
C4920,8,1,0,District - Ganganagar  01,Urban,60-69,162,125,18,13,23,27,120,75,18,20
C4920,8,1,0,District - Ganganagar  01,Urban,70-79,82,98,1,3,19,24,61,39,5,5
C4920,8,1,0,District - Ganganagar  01,Urban,80-89,31,26,2,1,16,8,25,27,3,2
C4920,8,1,0,District - Ganganagar  01,Urban,90+,8,9,0,1,4,9,9,15,2,0
C4920,8,1,0,District - Ganganagar  01,Urban,Age not stated,2,2,0,0,1,1,1,1,0,0
C4920,8,2,0,District - Hanumangarh *  02,Rural,0-4,341,262,20,16,16,13,190,131,55,36
C4920,8,2,0,District - Hanumangarh *  02,Rural,5-9,395,333,195,105,57,40,543,322,162,113
C4920,8,2,0,District - Hanumangarh *  02,Rural,10-19,631,516,363,188,120,82,1710,967,467,202
C4920,8,2,0,District - Hanumangarh *  02,Rural,20-29,508,421,164,76,88,37,1238,552,354,114
C4920,8,2,0,District - Hanumangarh *  02,Rural,30-39,502,429,117,74,91,53,732,333,256,126
C4920,8,2,0,District - Hanumangarh *  02,Rural,40-49,474,297,76,33,89,46,483,192,199,81
C4920,8,2,0,District - Hanumangarh *  02,Rural,50-59,387,321,45,24,79,71,396,179,119,56
C4920,8,2,0,District - Hanumangarh *  02,Rural,60-69,531,476,47,24,137,159,360,209,90,61
C4920,8,2,0,District - Hanumangarh *  02,Rural,70-79,397,397,17,17,171,117,252,183,45,24
C4920,8,2,0,District - Hanumangarh *  02,Rural,80-89,188,205,3,10,93,68,104,94,15,7
C4920,8,2,0,District - Hanumangarh *  02,Rural,90+,51,66,4,2,33,27,34,39,8,4
C4920,8,2,0,District - Hanumangarh *  02,Rural,Age not stated,10,5,0,1,1,0,2,2,0,0
C4920,8,2,0,District - Hanumangarh *  02,Urban,0-4,59,49,7,1,1,3,54,27,11,13
C4920,8,2,0,District - Hanumangarh *  02,Urban,5-9,62,71,36,31,8,8,115,78,44,22
C4920,8,2,0,District - Hanumangarh *  02,Urban,10-19,162,116,87,45,23,13,381,221,133,63
C4920,8,2,0,District - Hanumangarh *  02,Urban,20-29,122,81,43,18,16,5,288,131,92,39
C4920,8,2,0,District - Hanumangarh *  02,Urban,30-39,132,79,22,16,12,11,132,60,64,30
C4920,8,2,0,District - Hanumangarh *  02,Urban,40-49,132,94,12,7,14,13,115,60,58,24
C4920,8,2,0,District - Hanumangarh *  02,Urban,50-59,87,51,10,7,17,8,87,42,22,10
C4920,8,2,0,District - Hanumangarh *  02,Urban,60-69,77,75,8,5,20,32,80,45,10,22
C4920,8,2,0,District - Hanumangarh *  02,Urban,70-79,56,56,3,5,24,16,42,35,8,5
C4920,8,2,0,District - Hanumangarh *  02,Urban,80-89,25,23,0,0,17,7,17,16,1,5
C4920,8,2,0,District - Hanumangarh *  02,Urban,90+,6,6,1,1,3,2,4,9,2,1
C4920,8,2,0,District - Hanumangarh *  02,Urban,Age not stated,1,1,0,0,0,0,1,2,1,0
C4920,8,3,0,District - Bikaner  03,Rural,0-4,408,309,17,11,12,13,123,77,29,21
C4920,8,3,0,District - Bikaner  03,Rural,5-9,394,328,125,63,51,29,301,185,74,43
C4920,8,3,0,District - Bikaner  03,Rural,10-19,600,450,261,121,122,50,891,444,228,110
C4920,8,3,0,District - Bikaner  03,Rural,20-29,441,290,138,51,66,20,630,214,214,85
C4920,8,3,0,District - Bikaner  03,Rural,30-39,477,219,102,38,70,32,420,185,166,70
C4920,8,3,0,District - Bikaner  03,Rural,40-49,482,166,67,25,73,48,326,118,145,86
C4920,8,3,0,District - Bikaner  03,Rural,50-59,411,256,34,27,74,70,237,133,114,58
C4920,8,3,0,District - Bikaner  03,Rural,60-69,500,447,30,29,125,141,263,167,50,37
C4920,8,3,0,District - Bikaner  03,Rural,70-79,450,452,26,19,117,143,190,195,28,17
C4920,8,3,0,District - Bikaner  03,Rural,80-89,191,208,8,7,55,57,78,111,4,11
C4920,8,3,0,District - Bikaner  03,Rural,90+,38,65,0,2,15,17,19,36,1,7
C4920,8,3,0,District - Bikaner  03,Rural,Age not stated,5,3,1,0,0,0,4,0,4,0
C4920,8,3,0,District - Bikaner  03,Urban,0-4,187,187,12,4,5,4,58,48,26,22
C4920,8,3,0,District - Bikaner  03,Urban,5-9,269,229,67,42,22,14,139,76,73,36
C4920,8,3,0,District - Bikaner  03,Urban,10-19,506,386,162,71,56,27,493,282,182,94
C4920,8,3,0,District - Bikaner  03,Urban,20-29,395,287,103,40,28,14,394,155,166,60
C4920,8,3,0,District - Bikaner  03,Urban,30-39,392,172,36,35,19,15,275,114,141,66
C4920,8,3,0,District - Bikaner  03,Urban,40-49,411,145,29,19,21,26,237,70,109,43
C4920,8,3,0,District - Bikaner  03,Urban,50-59,288,111,24,13,28,22,151,77,53,21
C4920,8,3,0,District - Bikaner  03,Urban,60-69,217,167,21,17,38,40,125,76,29,21
C4920,8,3,0,District - Bikaner  03,Urban,70-79,127,116,8,7,38,38,98,54,11,13
C4920,8,3,0,District - Bikaner  03,Urban,80-89,57,63,1,3,21,25,41,33,2,3
C4920,8,3,0,District - Bikaner  03,Urban,90+,8,22,2,1,8,9,5,11,0,2
C4920,8,3,0,District - Bikaner  03,Urban,Age not stated,2,0,0,0,0,0,2,1,0,0
C4920,8,4,0,District - Churu  04,Rural,0-4,481,435,27,17,18,19,149,100,48,25
C4920,8,4,0,District - Churu  04,Rural,5-9,419,439,227,121,86,62,454,291,152,88
C4920,8,4,0,District - Churu  04,Rural,10-19,683,545,381,175,214,90,1479,722,418,184
C4920,8,4,0,District - Churu  04,Rural,20-29,567,383,178,72,113,52,849,335,330,127
C4920,8,4,0,District - Churu  04,Rural,30-39,687,297,139,64,111,69,688,334,304,113
C4920,8,4,0,District - Churu  04,Rural,40-49,665,263,86,42,93,61,615,251,213,127
C4920,8,4,0,District - Churu  04,Rural,50-59,561,355,56,32,100,89,440,196,121,74
C4920,8,4,0,District - Churu  04,Rural,60-69,700,788,44,49,184,223,490,363,86,86
C4920,8,4,0,District - Churu  04,Rural,70-79,617,772,36,20,194,224,363,407,51,36
C4920,8,4,0,District - Churu  04,Rural,80-89,210,383,2,9,89,130,141,224,11,10
C4920,8,4,0,District - Churu  04,Rural,90+,30,95,1,3,12,27,25,72,5,5
C4920,8,4,0,District - Churu  04,Rural,Age not stated,12,7,0,1,1,1,1,0,1,0
C4920,8,4,0,District - Churu  04,Urban,0-4,228,211,9,10,5,5,84,51,19,10
C4920,8,4,0,District - Churu  04,Urban,5-9,217,210,79,66,13,11,212,91,53,35
C4920,8,4,0,District - Churu  04,Urban,10-19,441,340,163,94,60,30,673,333,164,101
