Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,11,1,0,District - North  01,Rural,0-4,32,32,1,1,2,0,5,6,0,1
C4920,11,1,0,District - North  01,Rural,5-9,46,40,5,5,5,4,10,7,0,1
C4920,11,1,0,District - North  01,Rural,10-19,83,82,29,23,20,30,19,15,4,5
C4920,11,1,0,District - North  01,Rural,20-29,98,58,26,18,14,9,12,9,3,4
C4920,11,1,0,District - North  01,Rural,30-39,88,36,15,19,14,5,11,5,6,7
C4920,11,1,0,District - North  01,Rural,40-49,63,34,9,5,12,9,13,3,5,1
C4920,11,1,0,District - North  01,Rural,50-59,39,21,2,6,18,8,14,3,3,2
C4920,11,1,0,District - North  01,Rural,60-69,27,23,3,3,11,8,15,4,1,0
C4920,11,1,0,District - North  01,Rural,70-79,19,12,3,2,12,9,6,2,0,1
C4920,11,1,0,District - North  01,Rural,80-89,5,6,0,0,2,3,2,1,1,0
C4920,11,1,0,District - North  01,Rural,90+,1,1,0,0,0,0,1,2,0,0
C4920,11,1,0,District - North  01,Rural,Age not stated,18,16,2,1,0,2,3,4,1,1
C4920,11,1,0,District - North  01,Urban,0-4,0,1,0,0,0,0,0,0,0,0
C4920,11,1,0,District - North  01,Urban,5-9,1,0,0,0,0,0,3,0,0,0
C4920,11,1,0,District - North  01,Urban,10-19,1,2,1,0,0,0,1,0,0,0
C4920,11,1,0,District - North  01,Urban,20-29,1,2,1,0,0,0,0,1,0,0
C4920,11,1,0,District - North  01,Urban,30-39,4,1,0,0,0,0,0,0,0,0
C4920,11,1,0,District - North  01,Urban,40-49,1,0,0,1,0,0,1,0,0,0
C4920,11,1,0,District - North  01,Urban,50-59,2,0,0,0,0,0,0,0,0,0
C4920,11,1,0,District - North  01,Urban,60-69,0,0,1,0,0,0,0,0,0,0
C4920,11,1,0,District - North  01,Urban,70-79,0,0,0,0,0,0,0,0,0,0
