Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,16,1,0,District - West Tripura  01,Rural,0-4,226,256,15,10,7,12,97,58,18,14
C4920,16,1,0,District - West Tripura  01,Rural,5-9,358,313,152,113,49,50,209,147,40,38
C4920,16,1,0,District - West Tripura  01,Rural,10-19,737,683,337,259,148,83,598,419,223,178
C4920,16,1,0,District - West Tripura  01,Rural,20-29,630,450,191,141,89,70,433,221,267,197
C4920,16,1,0,District - West Tripura  01,Rural,30-39,843,383,123,96,97,103,367,187,250,168
C4920,16,1,0,District - West Tripura  01,Rural,40-49,639,348,81,59,90,96,325,132,169,131
C4920,16,1,0,District - West Tripura  01,Rural,50-59,429,299,38,35,97,97,269,139,104,79
C4920,16,1,0,District - West Tripura  01,Rural,60-69,414,426,32,33,127,181,248,197,49,68
C4920,16,1,0,District - West Tripura  01,Rural,70-79,362,398,25,20,134,175,179,187,27,41
C4920,16,1,0,District - West Tripura  01,Rural,80-89,210,266,5,9,95,126,118,159,11,14
C4920,16,1,0,District - West Tripura  01,Rural,90+,77,112,4,2,54,61,55,94,5,7
C4920,16,1,0,District - West Tripura  01,Rural,Age not stated,21,9,2,3,2,2,5,4,4,1
C4920,16,1,0,District - West Tripura  01,Urban,0-4,55,64,3,6,1,3,32,18,5,5
C4920,16,1,0,District - West Tripura  01,Urban,5-9,103,102,54,42,10,11,60,46,23,18
C4920,16,1,0,District - West Tripura  01,Urban,10-19,309,273,104,97,35,29,174,121,96,70
C4920,16,1,0,District - West Tripura  01,Urban,20-29,213,183,58,58,37,27,166,102,122,75
C4920,16,1,0,District - West Tripura  01,Urban,30-39,365,208,45,48,33,31,160,93,112,56
C4920,16,1,0,District - West Tripura  01,Urban,40-49,337,156,41,26,30,33,168,54,85,62
C4920,16,1,0,District - West Tripura  01,Urban,50-59,230,138,22,9,32,35,119,53,32,33
C4920,16,1,0,District - West Tripura  01,Urban,60-69,171,167,11,10,29,43,83,43,25,24
C4920,16,1,0,District - West Tripura  01,Urban,70-79,108,154,6,5,26,59,58,61,9,7
C4920,16,1,0,District - West Tripura  01,Urban,80-89,47,62,2,0,14,29,30,30,1,6
C4920,16,1,0,District - West Tripura  01,Urban,90+,9,29,1,0,11,12,7,10,1,1
C4920,16,1,0,District - West Tripura  01,Urban,Age not stated,3,0,1,0,0,0,1,0,4,3
C4920,16,2,0,District - South Tripura  02,Rural,0-4,164,152,11,5,10,7,93,49,11,15
C4920,16,2,0,District - South Tripura  02,Rural,5-9,198,190,90,69,31,29,147,103,43,40
C4920,16,2,0,District - South Tripura  02,Rural,10-19,474,371,213,158,85,73,471,299,159,125
C4920,16,2,0,District - South Tripura  02,Rural,20-29,417,254,140,102,78,51,315,193,176,136
C4920,16,2,0,District - South Tripura  02,Rural,30-39,540,257,82,66,72,78,253,131,183,122
C4920,16,2,0,District - South Tripura  02,Rural,40-49,429,239,57,38,82,75,215,104,117,98
C4920,16,2,0,District - South Tripura  02,Rural,50-59,309,211,38,22,79,74,166,80,57,66
C4920,16,2,0,District - South Tripura  02,Rural,60-69,285,309,21,15,120,130,164,133,41,46
C4920,16,2,0,District - South Tripura  02,Rural,70-79,243,290,13,14,99,117,141,115,17,27
C4920,16,2,0,District - South Tripura  02,Rural,80-89,151,158,7,2,47,60,67,90,9,12
C4920,16,2,0,District - South Tripura  02,Rural,90+,38,70,2,2,17,28,21,40,3,1
C4920,16,2,0,District - South Tripura  02,Rural,Age not stated,6,3,0,1,1,2,3,1,0,3
C4920,16,2,0,District - South Tripura  02,Urban,0-4,7,11,1,0,1,0,4,4,1,1
C4920,16,2,0,District - South Tripura  02,Urban,5-9,12,10,2,2,0,2,13,9,0,2
C4920,16,2,0,District - South Tripura  02,Urban,10-19,35,37,21,14,5,2,39,39,10,10
C4920,16,2,0,District - South Tripura  02,Urban,20-29,42,16,10,5,7,3,34,11,20,10
C4920,16,2,0,District - South Tripura  02,Urban,30-39,40,23,6,7,6,5,31,10,16,12
C4920,16,2,0,District - South Tripura  02,Urban,40-49,44,19,6,2,3,4,31,10,15,8
C4920,16,2,0,District - South Tripura  02,Urban,50-59,26,14,5,0,6,4,24,7,9,6
C4920,16,2,0,District - South Tripura  02,Urban,60-69,15,25,0,0,3,7,12,7,4,6
C4920,16,2,0,District - South Tripura  02,Urban,70-79,21,28,2,3,7,4,7,7,1,3
C4920,16,2,0,District - South Tripura  02,Urban,80-89,8,5,0,0,2,5,0,7,1,1
C4920,16,2,0,District - South Tripura  02,Urban,90+,4,6,0,2,0,2,2,4,0,0
C4920,16,2,0,District - South Tripura  02,Urban,Age not stated,0,0,1,0,0,0,0,0,0,0
C4920,16,3,0,District - Dhalai  *  03,Rural,0-4,103,77,4,2,3,0,25,15,8,1
C4920,16,3,0,District - Dhalai  *  03,Rural,5-9,111,109,32,27,10,5,51,36,22,14
C4920,16,3,0,District - Dhalai  *  03,Rural,10-19,202,210,77,45,35,23,137,81,73,57
C4920,16,3,0,District - Dhalai  *  03,Rural,20-29,181,143,47,32,14,17,92,48,69,49
C4920,16,3,0,District - Dhalai  *  03,Rural,30-39,239,121,30,31,16,23,79,42,55,45
C4920,16,3,0,District - Dhalai  *  03,Rural,40-49,216,66,18,18,21,26,57,45,45,30
C4920,16,3,0,District - Dhalai  *  03,Rural,50-59,131,69,10,9,20,16,43,33,19,22
C4920,16,3,0,District - Dhalai  *  03,Rural,60-69,116,84,3,4,17,42,61,43,10,14
C4920,16,3,0,District - Dhalai  *  03,Rural,70-79,85,69,3,1,18,28,40,51,9,13
C4920,16,3,0,District - Dhalai  *  03,Rural,80-89,43,46,2,2,12,17,28,24,4,3
C4920,16,3,0,District - Dhalai  *  03,Rural,90+,14,23,0,2,6,9,7,17,1,0
C4920,16,3,0,District - Dhalai  *  03,Rural,Age not stated,4,2,0,0,1,0,4,2,1,1
C4920,16,3,0,District - Dhalai  *  03,Urban,0-4,6,2,0,0,1,0,3,3,0,0
C4920,16,3,0,District - Dhalai  *  03,Urban,5-9,5,3,1,2,3,1,6,5,3,1
C4920,16,3,0,District - Dhalai  *  03,Urban,10-19,14,12,3,3,8,1,13,8,5,1
C4920,16,3,0,District - Dhalai  *  03,Urban,20-29,15,13,2,2,4,6,14,10,1,5
C4920,16,3,0,District - Dhalai  *  03,Urban,30-39,22,9,1,4,5,3,4,3,9,5
C4920,16,3,0,District - Dhalai  *  03,Urban,40-49,28,8,2,0,3,0,12,4,2,0
C4920,16,3,0,District - Dhalai  *  03,Urban,50-59,16,3,0,0,5,4,10,2,3,4
C4920,16,3,0,District - Dhalai  *  03,Urban,60-69,12,11,1,1,3,2,5,3,0,2
C4920,16,3,0,District - Dhalai  *  03,Urban,70-79,6,7,1,0,1,5,5,7,0,1
C4920,16,3,0,District - Dhalai  *  03,Urban,80-89,4,6,0,1,4,0,4,4,0,0
C4920,16,3,0,District - Dhalai  *  03,Urban,90+,1,2,0,0,0,0,0,0,0,0
C4920,16,3,0,District - Dhalai  *  03,Urban,Age not stated,2,0,0,0,0,0,0,0,0,0
C4920,16,4,0,District - North Tripura  04,Rural,0-4,170,163,13,8,3,8,47,45,14,7
C4920,16,4,0,District - North Tripura  04,Rural,5-9,223,202,78,61,27,26,95,89,32,30
C4920,16,4,0,District - North Tripura  04,Rural,10-19,420,390,160,141,123,80,309,191,118,106
C4920,16,4,0,District - North Tripura  04,Rural,20-29,395,275,73,75,42,40,201,133,132,126
C4920,16,4,0,District - North Tripura  04,Rural,30-39,510,253,61,59,53,51,197,98,167,152
C4920,16,4,0,District - North Tripura  04,Rural,40-49,470,222,42,26,65,42,169,68,95,83
C4920,16,4,0,District - North Tripura  04,Rural,50-59,311,199,28,17,57,59,116,47,46,47
C4920,16,4,0,District - North Tripura  04,Rural,60-69,301,242,21,14,58,69,130,74,32,30
C4920,16,4,0,District - North Tripura  04,Rural,70-79,237,172,15,7,61,64,87,61,27,26
C4920,16,4,0,District - North Tripura  04,Rural,80-89,98,98,5,8,43,44,42,40,10,10
C4920,16,4,0,District - North Tripura  04,Rural,90+,34,49,2,3,15,11,20,22,4,0
C4920,16,4,0,District - North Tripura  04,Rural,Age not stated,10,4,0,0,3,1,5,0,1,0
C4920,16,4,0,District - North Tripura  04,Urban,0-4,19,8,0,0,0,0,9,2,1,1
C4920,16,4,0,District - North Tripura  04,Urban,5-9,21,34,4,4,4,1,16,7,2,3
C4920,16,4,0,District - North Tripura  04,Urban,10-19,60,72,18,11,9,5,18,21,8,9
C4920,16,4,0,District - North Tripura  04,Urban,20-29,54,51,5,5,3,5,31,13,16,11
C4920,16,4,0,District - North Tripura  04,Urban,30-39,92,43,6,5,2,6,20,13,19,16
C4920,16,4,0,District - North Tripura  04,Urban,40-49,87,28,3,5,5,9,23,10,23,7
C4920,16,4,0,District - North Tripura  04,Urban,50-59,61,30,4,1,3,4,17,5,5,7
C4920,16,4,0,District - North Tripura  04,Urban,60-69,41,31,2,0,4,3,14,10,1,5
C4920,16,4,0,District - North Tripura  04,Urban,70-79,22,17,1,0,6,4,9,6,1,0
C4920,16,4,0,District - North Tripura  04,Urban,80-89,7,14,0,0,2,1,7,3,1,1
C4920,16,4,0,District - North Tripura  04,Urban,90+,2,6,0,0,1,1,0,2,0,0
C4920,16,4,0,District - North Tripura  04,Urban,Age not stated,4,1,0,0,0,0,0,0,1,0
