Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,9,1,0,District - Saharanpur  01,Rural,0-4,1267,1089,63,45,35,28,437,269,148,96
C4920,9,1,0,District - Saharanpur  01,Rural,5-9,1548,1204,445,262,100,97,1221,700,305,163
C4920,9,1,0,District - Saharanpur  01,Rural,10-19,2482,2006,771,490,237,162,2586,1346,735,408
C4920,9,1,0,District - Saharanpur  01,Rural,20-29,1600,1282,427,253,102,74,1327,524,506,241
C4920,9,1,0,District - Saharanpur  01,Rural,30-39,1577,1157,321,202,98,58,731,317,395,202
C4920,9,1,0,District - Saharanpur  01,Rural,40-49,1212,831,197,136,99,48,542,219,267,138
C4920,9,1,0,District - Saharanpur  01,Rural,50-59,968,692,120,87,85,70,428,190,154,80
C4920,9,1,0,District - Saharanpur  01,Rural,60-69,964,796,107,75,122,137,358,242,113,71
C4920,9,1,0,District - Saharanpur  01,Rural,70-79,719,506,61,34,121,88,253,156,57,30
C4920,9,1,0,District - Saharanpur  01,Rural,80-89,297,241,18,8,60,39,104,71,11,13
C4920,9,1,0,District - Saharanpur  01,Rural,90+,116,90,3,3,22,20,44,28,3,1
C4920,9,1,0,District - Saharanpur  01,Rural,Age not stated,68,42,15,9,7,3,22,8,3,9
C4920,9,1,0,District - Saharanpur  01,Urban,0-4,188,159,16,9,14,8,100,54,37,28
C4920,9,1,0,District - Saharanpur  01,Urban,5-9,223,182,113,55,31,11,243,133,87,71
C4920,9,1,0,District - Saharanpur  01,Urban,10-19,529,432,181,123,48,35,568,368,287,190
C4920,9,1,0,District - Saharanpur  01,Urban,20-29,381,263,104,56,24,16,361,175,217,106
C4920,9,1,0,District - Saharanpur  01,Urban,30-39,344,238,68,64,16,13,200,96,191,78
C4920,9,1,0,District - Saharanpur  01,Urban,40-49,336,216,59,25,16,12,206,71,134,79
C4920,9,1,0,District - Saharanpur  01,Urban,50-59,269,155,43,11,16,26,157,80,86,37
C4920,9,1,0,District - Saharanpur  01,Urban,60-69,216,159,29,22,28,23,164,113,34,18
C4920,9,1,0,District - Saharanpur  01,Urban,70-79,130,108,13,7,34,38,114,77,10,10
C4920,9,1,0,District - Saharanpur  01,Urban,80-89,51,54,2,3,22,12,43,35,3,8
C4920,9,1,0,District - Saharanpur  01,Urban,90+,21,13,1,1,4,5,14,16,1,3
C4920,9,1,0,District - Saharanpur  01,Urban,Age not stated,21,17,4,3,3,0,9,0,2,2
C4920,9,2,0,District - Muzaffarnagar  02,Rural,0-4,1051,926,67,46,48,36,666,376,155,92
C4920,9,2,0,District - Muzaffarnagar  02,Rural,5-9,1190,1051,445,290,134,121,1908,1099,321,215
C4920,9,2,0,District - Muzaffarnagar  02,Rural,10-19,2119,1631,795,426,261,187,3957,1962,821,454
C4920,9,2,0,District - Muzaffarnagar  02,Rural,20-29,1375,1026,382,190,105,52,1935,667,616,217
C4920,9,2,0,District - Muzaffarnagar  02,Rural,30-39,1227,919,247,165,96,74,1113,446,479,211
C4920,9,2,0,District - Muzaffarnagar  02,Rural,40-49,1180,803,177,100,105,63,828,366,280,141
C4920,9,2,0,District - Muzaffarnagar  02,Rural,50-59,1002,813,112,84,106,104,645,308,184,114
C4920,9,2,0,District - Muzaffarnagar  02,Rural,60-69,1173,1084,98,71,200,181,645,408,103,77
C4920,9,2,0,District - Muzaffarnagar  02,Rural,70-79,893,778,54,37,175,138,486,259,74,37
C4920,9,2,0,District - Muzaffarnagar  02,Rural,80-89,421,373,22,15,131,73,205,118,23,16
C4920,9,2,0,District - Muzaffarnagar  02,Rural,90+,120,98,9,4,43,26,72,47,8,6
C4920,9,2,0,District - Muzaffarnagar  02,Rural,Age not stated,63,34,12,7,5,4,32,12,5,2
C4920,9,2,0,District - Muzaffarnagar  02,Urban,0-4,334,297,19,17,12,7,165,105,59,27
C4920,9,2,0,District - Muzaffarnagar  02,Urban,5-9,414,357,142,73,25,22,420,257,144,86
C4920,9,2,0,District - Muzaffarnagar  02,Urban,10-19,808,644,248,206,68,52,1000,533,316,224
C4920,9,2,0,District - Muzaffarnagar  02,Urban,20-29,473,370,131,70,34,17,508,208,268,119
C4920,9,2,0,District - Muzaffarnagar  02,Urban,30-39,438,309,76,75,39,21,309,137,186,97
C4920,9,2,0,District - Muzaffarnagar  02,Urban,40-49,427,259,54,37,25,17,252,101,126,62
C4920,9,2,0,District - Muzaffarnagar  02,Urban,50-59,330,214,31,26,40,42,205,114,83,35
C4920,9,2,0,District - Muzaffarnagar  02,Urban,60-69,322,268,23,17,54,54,187,133,52,27
C4920,9,2,0,District - Muzaffarnagar  02,Urban,70-79,236,164,10,19,59,45,146,103,16,22
C4920,9,2,0,District - Muzaffarnagar  02,Urban,80-89,84,73,4,4,33,24,64,57,11,6
C4920,9,2,0,District - Muzaffarnagar  02,Urban,90+,23,36,5,4,14,7,18,18,4,3
C4920,9,2,0,District - Muzaffarnagar  02,Urban,Age not stated,35,25,5,3,1,1,6,1,9,4
C4920,9,3,0,District - Bijnor  03,Rural,0-4,451,418,67,38,35,24,512,389,87,72
C4920,9,3,0,District - Bijnor  03,Rural,5-9,603,526,496,310,125,72,1585,1050,231,164
C4920,9,3,0,District - Bijnor  03,Rural,10-19,976,826,755,495,228,163,3591,1967,710,431
C4920,9,3,0,District - Bijnor  03,Rural,20-29,690,486,314,234,91,44,1538,541,442,191
C4920,9,3,0,District - Bijnor  03,Rural,30-39,719,440,277,190,104,72,823,336,328,162
C4920,9,3,0,District - Bijnor  03,Rural,40-49,701,418,207,149,92,72,688,267,208,109
C4920,9,3,0,District - Bijnor  03,Rural,50-59,612,481,109,92,71,84,474,178,95,56
C4920,9,3,0,District - Bijnor  03,Rural,60-69,844,858,101,74,156,146,428,240,57,48
C4920,9,3,0,District - Bijnor  03,Rural,70-79,690,589,43,38,131,97,300,163,37,23
C4920,9,3,0,District - Bijnor  03,Rural,80-89,293,251,23,11,63,43,107,68,16,6
