Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,19,1,0,District - Darjiling  01,Rural,0-4,1147,1128,24,23,14,14,90,60,68,96
C4920,19,1,0,District - Darjiling  01,Rural,5-9,1399,1378,150,127,58,37,176,156,131,122
C4920,19,1,0,District - Darjiling  01,Rural,10-19,2811,2804,417,331,171,146,490,322,330,309
C4920,19,1,0,District - Darjiling  01,Rural,20-29,2196,2157,488,470,180,191,399,258,330,296
C4920,19,1,0,District - Darjiling  01,Rural,30-39,2127,1707,774,698,414,362,420,224,409,295
C4920,19,1,0,District - Darjiling  01,Rural,40-49,1598,1193,579,453,453,381,343,232,285,240
C4920,19,1,0,District - Darjiling  01,Rural,50-59,1041,765,289,232,393,275,293,147,160,150
C4920,19,1,0,District - Darjiling  01,Rural,60-69,832,617,150,106,366,235,297,164,91,90
C4920,19,1,0,District - Darjiling  01,Rural,70-79,470,337,51,32,249,130,172,92,51,37
C4920,19,1,0,District - Darjiling  01,Rural,80-89,160,128,11,12,104,63,52,21,17,17
C4920,19,1,0,District - Darjiling  01,Rural,90+,64,47,9,8,23,12,8,12,6,7
C4920,19,1,0,District - Darjiling  01,Rural,Age not stated,41,30,3,5,6,3,5,3,6,3
C4920,19,1,0,District - Darjiling  01,Urban,0-4,219,229,4,6,5,2,27,17,14,22
C4920,19,1,0,District - Darjiling  01,Urban,5-9,353,324,50,30,7,8,71,36,37,30
C4920,19,1,0,District - Darjiling  01,Urban,10-19,874,834,109,79,41,44,170,126,151,100
C4920,19,1,0,District - Darjiling  01,Urban,20-29,766,703,91,104,45,33,123,80,153,117
C4920,19,1,0,District - Darjiling  01,Urban,30-39,738,522,103,127,58,51,145,98,169,123
C4920,19,1,0,District - Darjiling  01,Urban,40-49,590,409,88,85,70,66,133,78,138,92
C4920,19,1,0,District - Darjiling  01,Urban,50-59,360,227,58,45,73,55,125,46,90,51
C4920,19,1,0,District - Darjiling  01,Urban,60-69,241,198,35,20,83,67,136,61,48,39
C4920,19,1,0,District - Darjiling  01,Urban,70-79,166,110,21,18,75,36,69,48,31,15
C4920,19,1,0,District - Darjiling  01,Urban,80-89,51,39,7,8,27,18,29,20,17,2
C4920,19,1,0,District - Darjiling  01,Urban,90+,25,6,0,2,7,9,12,6,9,2
C4920,19,1,0,District - Darjiling  01,Urban,Age not stated,17,7,2,0,4,0,4,2,3,2
C4920,19,2,0,District - Jalpaiguri  02,Rural,0-4,1767,1733,72,43,36,37,310,224,193,180
C4920,19,2,0,District - Jalpaiguri  02,Rural,5-9,2053,2043,549,428,145,158,636,389,303,269
C4920,19,2,0,District - Jalpaiguri  02,Rural,10-19,3739,3538,1089,872,411,361,1411,881,868,746
C4920,19,2,0,District - Jalpaiguri  02,Rural,20-29,2932,2744,1004,967,354,304,1002,543,871,686
C4920,19,2,0,District - Jalpaiguri  02,Rural,30-39,3161,2313,1179,1106,487,472,913,504,1005,787
C4920,19,2,0,District - Jalpaiguri  02,Rural,40-49,2533,1628,720,484,528,420,896,410,715,510
C4920,19,2,0,District - Jalpaiguri  02,Rural,50-59,1529,1081,251,192,398,282,656,330,324,256
C4920,19,2,0,District - Jalpaiguri  02,Rural,60-69,1224,1116,131,111,405,302,497,286,183,180
C4920,19,2,0,District - Jalpaiguri  02,Rural,70-79,686,579,52,37,230,170,290,186,81,63
