State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
7,1,Rural,0-4, DELHI,North West   ,Male,In seeing,71
7,1,Rural,5-9, DELHI,North West   ,Male,In seeing,97
7,1,Rural,10-19, DELHI,North West   ,Male,In seeing,183
7,1,Rural,20-29, DELHI,North West   ,Male,In seeing,162
7,1,Rural,30-39, DELHI,North West   ,Male,In seeing,156
7,1,Rural,40-49, DELHI,North West   ,Male,In seeing,108
7,1,Rural,50-59, DELHI,North West   ,Male,In seeing,48
7,1,Rural,60-69, DELHI,North West   ,Male,In seeing,57
7,1,Rural,70-79, DELHI,North West   ,Male,In seeing,38
7,1,Rural,80-89, DELHI,North West   ,Male,In seeing,21
7,1,Rural,90+, DELHI,North West   ,Male,In seeing,4
7,1,Rural,Age not stated, DELHI,North West   ,Male,In seeing,4
7,1,Urban,0-4, DELHI,North West   ,Male,In seeing,841
7,1,Urban,5-9, DELHI,North West   ,Male,In seeing,997
7,1,Urban,10-19, DELHI,North West   ,Male,In seeing,2229
7,1,Urban,20-29, DELHI,North West   ,Male,In seeing,2217
7,1,Urban,30-39, DELHI,North West   ,Male,In seeing,1751
7,1,Urban,40-49, DELHI,North West   ,Male,In seeing,1395
7,1,Urban,50-59, DELHI,North West   ,Male,In seeing,809
7,1,Urban,60-69, DELHI,North West   ,Male,In seeing,574
7,1,Urban,70-79, DELHI,North West   ,Male,In seeing,315
7,1,Urban,80-89, DELHI,North West   ,Male,In seeing,89
7,1,Urban,90+, DELHI,North West   ,Male,In seeing,27
7,1,Urban,Age not stated, DELHI,North West   ,Male,In seeing,53
7,2,Rural,0-4, DELHI,North   ,Male,In seeing,16
7,2,Rural,5-9, DELHI,North   ,Male,In seeing,17
7,2,Rural,10-19, DELHI,North   ,Male,In seeing,51
7,2,Rural,20-29, DELHI,North   ,Male,In seeing,39
7,2,Rural,30-39, DELHI,North   ,Male,In seeing,45
7,2,Rural,40-49, DELHI,North   ,Male,In seeing,17
7,2,Rural,50-59, DELHI,North   ,Male,In seeing,7
7,2,Rural,60-69, DELHI,North   ,Male,In seeing,10
7,2,Rural,70-79, DELHI,North   ,Male,In seeing,5
7,2,Rural,80-89, DELHI,North   ,Male,In seeing,1
7,2,Rural,90+, DELHI,North   ,Male,In seeing,0
7,2,Rural,Age not stated, DELHI,North   ,Male,In seeing,0
7,2,Urban,0-4, DELHI,North   ,Male,In seeing,411
7,2,Urban,5-9, DELHI,North   ,Male,In seeing,428
7,2,Urban,10-19, DELHI,North   ,Male,In seeing,998
7,2,Urban,20-29, DELHI,North   ,Male,In seeing,996
7,2,Urban,30-39, DELHI,North   ,Male,In seeing,888
7,2,Urban,40-49, DELHI,North   ,Male,In seeing,751
7,2,Urban,50-59, DELHI,North   ,Male,In seeing,396
7,2,Urban,60-69, DELHI,North   ,Male,In seeing,266
7,2,Urban,70-79, DELHI,North   ,Male,In seeing,131
7,2,Urban,80-89, DELHI,North   ,Male,In seeing,57
7,2,Urban,90+, DELHI,North   ,Male,In seeing,12
7,2,Urban,Age not stated, DELHI,North   ,Male,In seeing,9
7,3,Rural,0-4, DELHI,North East   ,Male,In seeing,45
7,3,Rural,5-9, DELHI,North East   ,Male,In seeing,51
7,3,Rural,10-19, DELHI,North East   ,Male,In seeing,100
7,3,Rural,20-29, DELHI,North East   ,Male,In seeing,82
7,3,Rural,30-39, DELHI,North East   ,Male,In seeing,55
7,3,Rural,40-49, DELHI,North East   ,Male,In seeing,41
7,3,Rural,50-59, DELHI,North East   ,Male,In seeing,33
7,3,Rural,60-69, DELHI,North East   ,Male,In seeing,26
7,3,Rural,70-79, DELHI,North East   ,Male,In seeing,18
7,3,Rural,80-89, DELHI,North East   ,Male,In seeing,7
7,3,Rural,90+, DELHI,North East   ,Male,In seeing,0
7,3,Rural,Age not stated, DELHI,North East   ,Male,In seeing,3
7,3,Urban,0-4, DELHI,North East   ,Male,In seeing,639
7,3,Urban,5-9, DELHI,North East   ,Male,In seeing,728
7,3,Urban,10-19, DELHI,North East   ,Male,In seeing,1551
7,3,Urban,20-29, DELHI,North East   ,Male,In seeing,1279
7,3,Urban,30-39, DELHI,North East   ,Male,In seeing,1313
7,3,Urban,40-49, DELHI,North East   ,Male,In seeing,995
