State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
2,1,Rural,0-4, HIMACHAL PRADESH,Chamba ,Male,In seeing,174
2,1,Rural,5-9, HIMACHAL PRADESH,Chamba ,Male,In seeing,196
2,1,Rural,10-19, HIMACHAL PRADESH,Chamba ,Male,In seeing,436
2,1,Rural,20-29, HIMACHAL PRADESH,Chamba ,Male,In seeing,319
2,1,Rural,30-39, HIMACHAL PRADESH,Chamba ,Male,In seeing,281
2,1,Rural,40-49, HIMACHAL PRADESH,Chamba ,Male,In seeing,274
2,1,Rural,50-59, HIMACHAL PRADESH,Chamba ,Male,In seeing,215
2,1,Rural,60-69, HIMACHAL PRADESH,Chamba ,Male,In seeing,245
2,1,Rural,70-79, HIMACHAL PRADESH,Chamba ,Male,In seeing,226
2,1,Rural,80-89, HIMACHAL PRADESH,Chamba ,Male,In seeing,99
2,1,Rural,90+, HIMACHAL PRADESH,Chamba ,Male,In seeing,53
2,1,Rural,Age not stated, HIMACHAL PRADESH,Chamba ,Male,In seeing,11
2,1,Urban,0-4, HIMACHAL PRADESH,Chamba ,Male,In seeing,31
2,1,Urban,5-9, HIMACHAL PRADESH,Chamba ,Male,In seeing,45
2,1,Urban,10-19, HIMACHAL PRADESH,Chamba ,Male,In seeing,124
2,1,Urban,20-29, HIMACHAL PRADESH,Chamba ,Male,In seeing,47
2,1,Urban,30-39, HIMACHAL PRADESH,Chamba ,Male,In seeing,50
2,1,Urban,40-49, HIMACHAL PRADESH,Chamba ,Male,In seeing,47
2,1,Urban,50-59, HIMACHAL PRADESH,Chamba ,Male,In seeing,26
2,1,Urban,60-69, HIMACHAL PRADESH,Chamba ,Male,In seeing,22
2,1,Urban,70-79, HIMACHAL PRADESH,Chamba ,Male,In seeing,15
2,1,Urban,80-89, HIMACHAL PRADESH,Chamba ,Male,In seeing,5
2,1,Urban,90+, HIMACHAL PRADESH,Chamba ,Male,In seeing,0
2,1,Urban,Age not stated, HIMACHAL PRADESH,Chamba ,Male,In seeing,1
2,2,Rural,0-4, HIMACHAL PRADESH,Kangra ,Male,In seeing,265
2,2,Rural,5-9, HIMACHAL PRADESH,Kangra ,Male,In seeing,347
2,2,Rural,10-19, HIMACHAL PRADESH,Kangra ,Male,In seeing,838
2,2,Rural,20-29, HIMACHAL PRADESH,Kangra ,Male,In seeing,624
2,2,Rural,30-39, HIMACHAL PRADESH,Kangra ,Male,In seeing,563
2,2,Rural,40-49, HIMACHAL PRADESH,Kangra ,Male,In seeing,633
2,2,Rural,50-59, HIMACHAL PRADESH,Kangra ,Male,In seeing,594
2,2,Rural,60-69, HIMACHAL PRADESH,Kangra ,Male,In seeing,653
2,2,Rural,70-79, HIMACHAL PRADESH,Kangra ,Male,In seeing,561
