State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
20,1,Rural,0-4, JHARKHAND,Garhwa ,Male,In seeing,609
20,1,Rural,5-9, JHARKHAND,Garhwa ,Male,In seeing,701
20,1,Rural,10-19, JHARKHAND,Garhwa ,Male,In seeing,1096
20,1,Rural,20-29, JHARKHAND,Garhwa ,Male,In seeing,664
20,1,Rural,30-39, JHARKHAND,Garhwa ,Male,In seeing,593
20,1,Rural,40-49, JHARKHAND,Garhwa ,Male,In seeing,456
20,1,Rural,50-59, JHARKHAND,Garhwa ,Male,In seeing,350
20,1,Rural,60-69, JHARKHAND,Garhwa ,Male,In seeing,369
20,1,Rural,70-79, JHARKHAND,Garhwa ,Male,In seeing,263
20,1,Rural,80-89, JHARKHAND,Garhwa ,Male,In seeing,109
20,1,Rural,90+, JHARKHAND,Garhwa ,Male,In seeing,29
20,1,Rural,Age not stated, JHARKHAND,Garhwa ,Male,In seeing,11
20,1,Urban,0-4, JHARKHAND,Garhwa ,Male,In seeing,25
20,1,Urban,5-9, JHARKHAND,Garhwa ,Male,In seeing,20
20,1,Urban,10-19, JHARKHAND,Garhwa ,Male,In seeing,40
20,1,Urban,20-29, JHARKHAND,Garhwa ,Male,In seeing,41
20,1,Urban,30-39, JHARKHAND,Garhwa ,Male,In seeing,33
20,1,Urban,40-49, JHARKHAND,Garhwa ,Male,In seeing,25
20,1,Urban,50-59, JHARKHAND,Garhwa ,Male,In seeing,16
20,1,Urban,60-69, JHARKHAND,Garhwa ,Male,In seeing,8
20,1,Urban,70-79, JHARKHAND,Garhwa ,Male,In seeing,9
20,1,Urban,80-89, JHARKHAND,Garhwa ,Male,In seeing,0
20,1,Urban,90+, JHARKHAND,Garhwa ,Male,In seeing,2
20,1,Urban,Age not stated, JHARKHAND,Garhwa ,Male,In seeing,0
20,2,Rural,0-4, JHARKHAND,Palamu ,Male,In seeing,1441
20,2,Rural,5-9, JHARKHAND,Palamu ,Male,In seeing,1797
20,2,Rural,10-19, JHARKHAND,Palamu ,Male,In seeing,2903
20,2,Rural,20-29, JHARKHAND,Palamu ,Male,In seeing,1784
20,2,Rural,30-39, JHARKHAND,Palamu ,Male,In seeing,1745
20,2,Rural,40-49, JHARKHAND,Palamu ,Male,In seeing,1423
20,2,Rural,50-59, JHARKHAND,Palamu ,Male,In seeing,1037
20,2,Rural,60-69, JHARKHAND,Palamu ,Male,In seeing,973
20,2,Rural,70-79, JHARKHAND,Palamu ,Male,In seeing,587
20,2,Rural,80-89, JHARKHAND,Palamu ,Male,In seeing,190
20,2,Rural,90+, JHARKHAND,Palamu ,Male,In seeing,67
20,2,Rural,Age not stated, JHARKHAND,Palamu ,Male,In seeing,96
20,2,Urban,0-4, JHARKHAND,Palamu ,Male,In seeing,80
20,2,Urban,5-9, JHARKHAND,Palamu ,Male,In seeing,86
20,2,Urban,10-19, JHARKHAND,Palamu ,Male,In seeing,173
20,2,Urban,20-29, JHARKHAND,Palamu ,Male,In seeing,103
20,2,Urban,30-39, JHARKHAND,Palamu ,Male,In seeing,96
20,2,Urban,40-49, JHARKHAND,Palamu ,Male,In seeing,85
20,2,Urban,50-59, JHARKHAND,Palamu ,Male,In seeing,60
20,2,Urban,60-69, JHARKHAND,Palamu ,Male,In seeing,55
20,2,Urban,70-79, JHARKHAND,Palamu ,Male,In seeing,31
20,2,Urban,80-89, JHARKHAND,Palamu ,Male,In seeing,12
20,2,Urban,90+, JHARKHAND,Palamu ,Male,In seeing,3
20,2,Urban,Age not stated, JHARKHAND,Palamu ,Male,In seeing,1
20,3,Rural,0-4, JHARKHAND,Chatra ,Male,In seeing,279
20,3,Rural,5-9, JHARKHAND,Chatra ,Male,In seeing,357
20,3,Rural,10-19, JHARKHAND,Chatra ,Male,In seeing,542
20,3,Rural,20-29, JHARKHAND,Chatra ,Male,In seeing,313
20,3,Rural,30-39, JHARKHAND,Chatra ,Male,In seeing,356
20,3,Rural,40-49, JHARKHAND,Chatra ,Male,In seeing,304
20,3,Rural,50-59, JHARKHAND,Chatra ,Male,In seeing,238
20,3,Rural,60-69, JHARKHAND,Chatra ,Male,In seeing,252
20,3,Rural,70-79, JHARKHAND,Chatra ,Male,In seeing,174
20,3,Rural,80-89, JHARKHAND,Chatra ,Male,In seeing,52
20,3,Rural,90+, JHARKHAND,Chatra ,Male,In seeing,25
20,3,Rural,Age not stated, JHARKHAND,Chatra ,Male,In seeing,16
20,3,Urban,0-4, JHARKHAND,Chatra ,Male,In seeing,15
20,3,Urban,5-9, JHARKHAND,Chatra ,Male,In seeing,19
20,3,Urban,10-19, JHARKHAND,Chatra ,Male,In seeing,42
20,3,Urban,20-29, JHARKHAND,Chatra ,Male,In seeing,19
20,3,Urban,30-39, JHARKHAND,Chatra ,Male,In seeing,28
20,3,Urban,40-49, JHARKHAND,Chatra ,Male,In seeing,13
20,3,Urban,50-59, JHARKHAND,Chatra ,Male,In seeing,9
20,3,Urban,60-69, JHARKHAND,Chatra ,Male,In seeing,11
20,3,Urban,70-79, JHARKHAND,Chatra ,Male,In seeing,6
20,3,Urban,80-89, JHARKHAND,Chatra ,Male,In seeing,1
20,3,Urban,90+, JHARKHAND,Chatra ,Male,In seeing,0
20,3,Urban,Age not stated, JHARKHAND,Chatra ,Male,In seeing,0
20,4,Rural,0-4, JHARKHAND,Hazaribag ,Male,In seeing,386
20,4,Rural,5-9, JHARKHAND,Hazaribag ,Male,In seeing,443
20,4,Rural,10-19, JHARKHAND,Hazaribag ,Male,In seeing,788
20,4,Rural,20-29, JHARKHAND,Hazaribag ,Male,In seeing,499
20,4,Rural,30-39, JHARKHAND,Hazaribag ,Male,In seeing,471
20,4,Rural,40-49, JHARKHAND,Hazaribag ,Male,In seeing,416
20,4,Rural,50-59, JHARKHAND,Hazaribag ,Male,In seeing,384
20,4,Rural,60-69, JHARKHAND,Hazaribag ,Male,In seeing,396
20,4,Rural,70-79, JHARKHAND,Hazaribag ,Male,In seeing,229
20,4,Rural,80-89, JHARKHAND,Hazaribag ,Male,In seeing,95
20,4,Rural,90+, JHARKHAND,Hazaribag ,Male,In seeing,33
20,4,Rural,Age not stated, JHARKHAND,Hazaribag ,Male,In seeing,11
20,4,Urban,0-4, JHARKHAND,Hazaribag ,Male,In seeing,93
20,4,Urban,5-9, JHARKHAND,Hazaribag ,Male,In seeing,113
20,4,Urban,10-19, JHARKHAND,Hazaribag ,Male,In seeing,308
20,4,Urban,20-29, JHARKHAND,Hazaribag ,Male,In seeing,186
20,4,Urban,30-39, JHARKHAND,Hazaribag ,Male,In seeing,169
20,4,Urban,40-49, JHARKHAND,Hazaribag ,Male,In seeing,172
20,4,Urban,50-59, JHARKHAND,Hazaribag ,Male,In seeing,136
20,4,Urban,60-69, JHARKHAND,Hazaribag ,Male,In seeing,69
20,4,Urban,70-79, JHARKHAND,Hazaribag ,Male,In seeing,30
20,4,Urban,80-89, JHARKHAND,Hazaribag ,Male,In seeing,8
20,4,Urban,90+, JHARKHAND,Hazaribag ,Male,In seeing,2
20,4,Urban,Age not stated, JHARKHAND,Hazaribag ,Male,In seeing,7
20,5,Rural,0-4, JHARKHAND,Kodarma ,Male,In seeing,98
20,5,Rural,5-9, JHARKHAND,Kodarma ,Male,In seeing,106
20,5,Rural,10-19, JHARKHAND,Kodarma ,Male,In seeing,203
20,5,Rural,20-29, JHARKHAND,Kodarma ,Male,In seeing,121
20,5,Rural,30-39, JHARKHAND,Kodarma ,Male,In seeing,115
20,5,Rural,40-49, JHARKHAND,Kodarma ,Male,In seeing,96
20,5,Rural,50-59, JHARKHAND,Kodarma ,Male,In seeing,91
