State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
34,1,Rural,0-4, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Rural,5-9, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Rural,10-19, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Rural,20-29, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Rural,30-39, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Rural,40-49, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Rural,50-59, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Rural,60-69, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Rural,70-79, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Rural,80-89, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Rural,90+, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Rural,Age not stated, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Urban,0-4, PONDICHERRY,Yanam ,Male,In seeing,7
34,1,Urban,5-9, PONDICHERRY,Yanam ,Male,In seeing,19
34,1,Urban,10-19, PONDICHERRY,Yanam ,Male,In seeing,29
34,1,Urban,20-29, PONDICHERRY,Yanam ,Male,In seeing,28
34,1,Urban,30-39, PONDICHERRY,Yanam ,Male,In seeing,42
34,1,Urban,40-49, PONDICHERRY,Yanam ,Male,In seeing,32
34,1,Urban,50-59, PONDICHERRY,Yanam ,Male,In seeing,19
34,1,Urban,60-69, PONDICHERRY,Yanam ,Male,In seeing,16
34,1,Urban,70-79, PONDICHERRY,Yanam ,Male,In seeing,4
34,1,Urban,80-89, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Urban,90+, PONDICHERRY,Yanam ,Male,In seeing,0
34,1,Urban,Age not stated, PONDICHERRY,Yanam ,Male,In seeing,2
34,2,Rural,0-4, PONDICHERRY,Pondicherry ,Male,In seeing,62
34,2,Rural,5-9, PONDICHERRY,Pondicherry ,Male,In seeing,68
34,2,Rural,10-19, PONDICHERRY,Pondicherry ,Male,In seeing,164
34,2,Rural,20-29, PONDICHERRY,Pondicherry ,Male,In seeing,175
34,2,Rural,30-39, PONDICHERRY,Pondicherry ,Male,In seeing,173
34,2,Rural,40-49, PONDICHERRY,Pondicherry ,Male,In seeing,159
34,2,Rural,50-59, PONDICHERRY,Pondicherry ,Male,In seeing,142
34,2,Rural,60-69, PONDICHERRY,Pondicherry ,Male,In seeing,171
34,2,Rural,70-79, PONDICHERRY,Pondicherry ,Male,In seeing,150
34,2,Rural,80-89, PONDICHERRY,Pondicherry ,Male,In seeing,50
34,2,Rural,90+, PONDICHERRY,Pondicherry ,Male,In seeing,13
34,2,Rural,Age not stated, PONDICHERRY,Pondicherry ,Male,In seeing,0
34,2,Urban,0-4, PONDICHERRY,Pondicherry ,Male,In seeing,122
34,2,Urban,5-9, PONDICHERRY,Pondicherry ,Male,In seeing,136
34,2,Urban,10-19, PONDICHERRY,Pondicherry ,Male,In seeing,349
34,2,Urban,20-29, PONDICHERRY,Pondicherry ,Male,In seeing,397
34,2,Urban,30-39, PONDICHERRY,Pondicherry ,Male,In seeing,507
34,2,Urban,40-49, PONDICHERRY,Pondicherry ,Male,In seeing,524
34,2,Urban,50-59, PONDICHERRY,Pondicherry ,Male,In seeing,340
34,2,Urban,60-69, PONDICHERRY,Pondicherry ,Male,In seeing,225
34,2,Urban,70-79, PONDICHERRY,Pondicherry ,Male,In seeing,164
34,2,Urban,80-89, PONDICHERRY,Pondicherry ,Male,In seeing,60
34,2,Urban,90+, PONDICHERRY,Pondicherry ,Male,In seeing,9
34,2,Urban,Age not stated, PONDICHERRY,Pondicherry ,Male,In seeing,6
34,3,Rural,0-4, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Rural,5-9, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Rural,10-19, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Rural,20-29, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Rural,30-39, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Rural,40-49, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Rural,50-59, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Rural,60-69, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Rural,70-79, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Rural,80-89, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Rural,90+, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Rural,Age not stated, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Urban,0-4, PONDICHERRY,Mahe ,Male,In seeing,6
34,3,Urban,5-9, PONDICHERRY,Mahe ,Male,In seeing,2
34,3,Urban,10-19, PONDICHERRY,Mahe ,Male,In seeing,16
34,3,Urban,20-29, PONDICHERRY,Mahe ,Male,In seeing,8
34,3,Urban,30-39, PONDICHERRY,Mahe ,Male,In seeing,11
34,3,Urban,40-49, PONDICHERRY,Mahe ,Male,In seeing,16
34,3,Urban,50-59, PONDICHERRY,Mahe ,Male,In seeing,13
34,3,Urban,60-69, PONDICHERRY,Mahe ,Male,In seeing,12
34,3,Urban,70-79, PONDICHERRY,Mahe ,Male,In seeing,5
34,3,Urban,80-89, PONDICHERRY,Mahe ,Male,In seeing,4
34,3,Urban,90+, PONDICHERRY,Mahe ,Male,In seeing,0
34,3,Urban,Age not stated, PONDICHERRY,Mahe ,Male,In seeing,0
34,4,Rural,0-4, PONDICHERRY,Karaikal ,Male,In seeing,38
34,4,Rural,5-9, PONDICHERRY,Karaikal ,Male,In seeing,29
34,4,Rural,10-19, PONDICHERRY,Karaikal ,Male,In seeing,82
34,4,Rural,20-29, PONDICHERRY,Karaikal ,Male,In seeing,62
34,4,Rural,30-39, PONDICHERRY,Karaikal ,Male,In seeing,127
34,4,Rural,40-49, PONDICHERRY,Karaikal ,Male,In seeing,114
34,4,Rural,50-59, PONDICHERRY,Karaikal ,Male,In seeing,102
34,4,Rural,60-69, PONDICHERRY,Karaikal ,Male,In seeing,68
34,4,Rural,70-79, PONDICHERRY,Karaikal ,Male,In seeing,67
34,4,Rural,80-89, PONDICHERRY,Karaikal ,Male,In seeing,21
34,4,Rural,90+, PONDICHERRY,Karaikal ,Male,In seeing,0
34,4,Rural,Age not stated, PONDICHERRY,Karaikal ,Male,In seeing,0
34,4,Urban,0-4, PONDICHERRY,Karaikal ,Male,In seeing,48
34,4,Urban,5-9, PONDICHERRY,Karaikal ,Male,In seeing,37
34,4,Urban,10-19, PONDICHERRY,Karaikal ,Male,In seeing,111
34,4,Urban,20-29, PONDICHERRY,Karaikal ,Male,In seeing,108
34,4,Urban,30-39, PONDICHERRY,Karaikal ,Male,In seeing,128
34,4,Urban,40-49, PONDICHERRY,Karaikal ,Male,In seeing,103
34,4,Urban,50-59, PONDICHERRY,Karaikal ,Male,In seeing,81
34,4,Urban,60-69, PONDICHERRY,Karaikal ,Male,In seeing,62
34,4,Urban,70-79, PONDICHERRY,Karaikal ,Male,In seeing,34
34,4,Urban,80-89, PONDICHERRY,Karaikal ,Male,In seeing,19
34,4,Urban,90+, PONDICHERRY,Karaikal ,Male,In seeing,1
34,4,Urban,Age not stated, PONDICHERRY,Karaikal ,Male,In seeing,1
34,1,Rural,0-4, PONDICHERRY,Yanam ,Female,In seeing,0
