State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
19,1,Rural,0-4, WEST BENGAL,Darjiling ,Male,In seeing,1147
19,1,Rural,5-9, WEST BENGAL,Darjiling ,Male,In seeing,1399
19,1,Rural,10-19, WEST BENGAL,Darjiling ,Male,In seeing,2811
19,1,Rural,20-29, WEST BENGAL,Darjiling ,Male,In seeing,2196
19,1,Rural,30-39, WEST BENGAL,Darjiling ,Male,In seeing,2127
19,1,Rural,40-49, WEST BENGAL,Darjiling ,Male,In seeing,1598
19,1,Rural,50-59, WEST BENGAL,Darjiling ,Male,In seeing,1041
19,1,Rural,60-69, WEST BENGAL,Darjiling ,Male,In seeing,832
19,1,Rural,70-79, WEST BENGAL,Darjiling ,Male,In seeing,470
19,1,Rural,80-89, WEST BENGAL,Darjiling ,Male,In seeing,160
19,1,Rural,90+, WEST BENGAL,Darjiling ,Male,In seeing,64
19,1,Rural,Age not stated, WEST BENGAL,Darjiling ,Male,In seeing,41
19,1,Urban,0-4, WEST BENGAL,Darjiling ,Male,In seeing,219
19,1,Urban,5-9, WEST BENGAL,Darjiling ,Male,In seeing,353
19,1,Urban,10-19, WEST BENGAL,Darjiling ,Male,In seeing,874
19,1,Urban,20-29, WEST BENGAL,Darjiling ,Male,In seeing,766
19,1,Urban,30-39, WEST BENGAL,Darjiling ,Male,In seeing,738
19,1,Urban,40-49, WEST BENGAL,Darjiling ,Male,In seeing,590
19,1,Urban,50-59, WEST BENGAL,Darjiling ,Male,In seeing,360
19,1,Urban,60-69, WEST BENGAL,Darjiling ,Male,In seeing,241
19,1,Urban,70-79, WEST BENGAL,Darjiling ,Male,In seeing,166
19,1,Urban,80-89, WEST BENGAL,Darjiling ,Male,In seeing,51
19,1,Urban,90+, WEST BENGAL,Darjiling ,Male,In seeing,25
19,1,Urban,Age not stated, WEST BENGAL,Darjiling ,Male,In seeing,17
19,2,Rural,0-4, WEST BENGAL,Jalpaiguri ,Male,In seeing,1767
19,2,Rural,5-9, WEST BENGAL,Jalpaiguri ,Male,In seeing,2053
19,2,Rural,10-19, WEST BENGAL,Jalpaiguri ,Male,In seeing,3739
19,2,Rural,20-29, WEST BENGAL,Jalpaiguri ,Male,In seeing,2932
19,2,Rural,30-39, WEST BENGAL,Jalpaiguri ,Male,In seeing,3161
19,2,Rural,40-49, WEST BENGAL,Jalpaiguri ,Male,In seeing,2533
19,2,Rural,50-59, WEST BENGAL,Jalpaiguri ,Male,In seeing,1529
19,2,Rural,60-69, WEST BENGAL,Jalpaiguri ,Male,In seeing,1224
19,2,Rural,70-79, WEST BENGAL,Jalpaiguri ,Male,In seeing,686
19,2,Rural,80-89, WEST BENGAL,Jalpaiguri ,Male,In seeing,270
19,2,Rural,90+, WEST BENGAL,Jalpaiguri ,Male,In seeing,116
19,2,Rural,Age not stated, WEST BENGAL,Jalpaiguri ,Male,In seeing,46
19,2,Urban,0-4, WEST BENGAL,Jalpaiguri ,Male,In seeing,224
19,2,Urban,5-9, WEST BENGAL,Jalpaiguri ,Male,In seeing,305
19,2,Urban,10-19, WEST BENGAL,Jalpaiguri ,Male,In seeing,616
19,2,Urban,20-29, WEST BENGAL,Jalpaiguri ,Male,In seeing,616
19,2,Urban,30-39, WEST BENGAL,Jalpaiguri ,Male,In seeing,619
19,2,Urban,40-49, WEST BENGAL,Jalpaiguri ,Male,In seeing,581
19,2,Urban,50-59, WEST BENGAL,Jalpaiguri ,Male,In seeing,334
19,2,Urban,60-69, WEST BENGAL,Jalpaiguri ,Male,In seeing,237
19,2,Urban,70-79, WEST BENGAL,Jalpaiguri ,Male,In seeing,157
19,2,Urban,80-89, WEST BENGAL,Jalpaiguri ,Male,In seeing,33
19,2,Urban,90+, WEST BENGAL,Jalpaiguri ,Male,In seeing,18
19,2,Urban,Age not stated, WEST BENGAL,Jalpaiguri ,Male,In seeing,16
19,3,Rural,0-4, WEST BENGAL,Koch Bihar ,Male,In seeing,1140
19,3,Rural,5-9, WEST BENGAL,Koch Bihar ,Male,In seeing,1494
19,3,Rural,10-19, WEST BENGAL,Koch Bihar ,Male,In seeing,2715
19,3,Rural,20-29, WEST BENGAL,Koch Bihar ,Male,In seeing,2131
19,3,Rural,30-39, WEST BENGAL,Koch Bihar ,Male,In seeing,2952
19,3,Rural,40-49, WEST BENGAL,Koch Bihar ,Male,In seeing,2361
19,3,Rural,50-59, WEST BENGAL,Koch Bihar ,Male,In seeing,1523
19,3,Rural,60-69, WEST BENGAL,Koch Bihar ,Male,In seeing,1273
