Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,28,1,District-Adilabad,Rural,0-4,116,133,187,156,36,28,159,101,56,45
C4920,28,1,District-Adilabad,Rural,5-9,236,185,309,245,278,186,335,210,198,152
C4920,28,1,District-Adilabad,Rural,10-19,627,531,684,608,510,452,914,653,491,521
C4920,28,1,District-Adilabad,Rural,20-29,476,402,512,555,450,386,1280,809,401,366
C4920,28,1,District-Adilabad,Rural,30-39,506,368,502,501,394,275,1316,681,346,292
C4920,28,1,District-Adilabad,Rural,40-49,513,473,493,472,306,225,1137,606,270,252
C4920,28,1,District-Adilabad,Rural,50-59,591,716,357,352,208,154,935,654,141,150
C4920,28,1,District-Adilabad,Rural,60-69,1098,1418,435,545,153,144,1112,803,99,110
C4920,28,1,District-Adilabad,Rural,70-79,776,967,277,291,49,47,577,470,37,33
C4920,28,1,District-Adilabad,Rural,80-89,245,343,87,111,19,17,138,172,3,13
C4920,28,1,District-Adilabad,Rural,90+,47,88,18,34,5,6,33,42,2,2
C4920,28,1,District-Adilabad,Rural,Age Not Stated,129,121,90,59,59,46,145,78,50,33
C4920,28,1,District-Adilabad,Urban,0-4,42,38,64,56,9,9,42,25,16,18
C4920,28,1,District-Adilabad,Urban,5-9,64,59,91,78,85,68,84,45,47,35
C4920,28,1,District-Adilabad,Urban,10-19,180,162,194,186,222,191,296,206,182,161
C4920,28,1,District-Adilabad,Urban,20-29,172,127,249,214,204,204,512,293,199,184
C4920,28,1,District-Adilabad,Urban,30-39,188,108,180,181,169,170,457,246,155,117
C4920,28,1,District-Adilabad,Urban,40-49,152,131,174,151,189,114,476,168,95,71
C4920,28,1,District-Adilabad,Urban,50-59,152,181,134,102,98,68,379,161,62,42
C4920,28,1,District-Adilabad,Urban,60-69,163,187,94,115,47,39,314,220,35,37
C4920,28,1,District-Adilabad,Urban,70-79,80,101,42,59,11,18,154,95,5,15
C4920,28,1,District-Adilabad,Urban,80-89,25,41,20,30,7,5,44,44,4,2
C4920,28,1,District-Adilabad,Urban,90+,4,14,5,10,0,1,6,24,0,2
C4920,28,1,District-Adilabad,Urban,Age Not Stated,50,42,24,27,33,35,83,39,26,13
