Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,12,1,District-Tawang,Rural,0-4,2,3,0,4,0,0,1,1,2,0
C4920,12,1,District-Tawang,Rural,5-9,5,7,11,3,5,1,3,0,1,1
C4920,12,1,District-Tawang,Rural,10-19,13,15,13,19,3,5,12,10,3,3
C4920,12,1,District-Tawang,Rural,20-29,8,7,15,8,6,2,8,15,2,2
C4920,12,1,District-Tawang,Rural,30-39,9,9,14,16,5,2,10,9,3,2
C4920,12,1,District-Tawang,Rural,40-49,14,10,16,6,4,5,7,16,2,1
C4920,12,1,District-Tawang,Rural,50-59,10,15,18,20,13,5,19,8,5,2
C4920,12,1,District-Tawang,Rural,60-69,23,38,17,35,2,5,14,7,0,4
C4920,12,1,District-Tawang,Rural,70-79,17,33,14,26,0,0,14,14,0,0
C4920,12,1,District-Tawang,Rural,80-89,9,24,6,11,1,2,7,9,0,0
C4920,12,1,District-Tawang,Rural,90+,3,4,1,0,0,0,1,4,0,0
C4920,12,1,District-Tawang,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0,0
C4920,12,1,District-Tawang,Urban,0-4,0,0,1,0,0,0,0,0,0,0
C4920,12,1,District-Tawang,Urban,5-9,0,0,0,0,1,0,0,0,0,0
C4920,12,1,District-Tawang,Urban,10-19,1,2,2,1,0,0,0,1,1,0
C4920,12,1,District-Tawang,Urban,20-29,5,0,6,0,3,0,2,1,0,0
C4920,12,1,District-Tawang,Urban,30-39,7,0,1,1,0,1,1,0,2,0
C4920,12,1,District-Tawang,Urban,40-49,6,1,4,2,2,0,0,0,0,0
C4920,12,1,District-Tawang,Urban,50-59,0,0,1,1,0,0,1,0,0,0
C4920,12,1,District-Tawang,Urban,60-69,2,2,0,0,1,0,0,0,0,0
C4920,12,1,District-Tawang,Urban,70-79,0,1,0,2,0,0,0,0,0,0
C4920,12,1,District-Tawang,Urban,80-89,0,2,0,0,0,0,0,1,0,0
C4920,12,1,District-Tawang,Urban,90+,0,0,0,0,0,0,0,0,0,0
C4920,12,1,District-Tawang,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0,0
C4920,12,2,District-West Kameng,Rural,0-4,5,8,5,6,1,1,6,7,2,2
C4920,12,2,District-West Kameng,Rural,5-9,14,16,19,14,5,4,8,5,3,1
C4920,12,2,District-West Kameng,Rural,10-19,38,68,24,23,7,8,15,14,9,7
C4920,12,2,District-West Kameng,Rural,20-29,37,32,140,38,10,6,31,11,8,4
C4920,12,2,District-West Kameng,Rural,30-39,39,32,56,29,7,6,15,13,6,4
C4920,12,2,District-West Kameng,Rural,40-49,32,27,52,36,5,7,28,10,7,4
C4920,12,2,District-West Kameng,Rural,50-59,27,24,36,32,9,5,25,15,1,2
C4920,12,2,District-West Kameng,Rural,60-69,38,33,46,29,4,3,25,17,2,0
C4920,12,2,District-West Kameng,Rural,70-79,19,20,25,9,1,1,15,8,1,0
C4920,12,2,District-West Kameng,Rural,80-89,11,6,4,4,2,0,1,0,2,0
C4920,12,2,District-West Kameng,Rural,90+,1,4,6,1,0,0,1,0,0,0
C4920,12,2,District-West Kameng,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0,0
C4920,12,2,District-West Kameng,Urban,0-4,1,3,2,0,0,0,0,0,0,1
C4920,12,2,District-West Kameng,Urban,5-9,4,4,2,1,0,2,3,1,0,0
C4920,12,2,District-West Kameng,Urban,10-19,8,5,5,3,3,2,3,2,2,2
C4920,12,2,District-West Kameng,Urban,20-29,9,4,2,2,0,3,3,2,1,3
C4920,12,2,District-West Kameng,Urban,30-39,8,4,3,4,1,0,2,3,1,0
C4920,12,2,District-West Kameng,Urban,40-49,3,2,5,1,0,1,1,3,1,0
C4920,12,2,District-West Kameng,Urban,50-59,4,0,3,2,3,1,3,1,1,1
C4920,12,2,District-West Kameng,Urban,60-69,1,1,0,2,0,0,2,0,0,0
C4920,12,2,District-West Kameng,Urban,70-79,1,3,1,1,0,0,2,0,0,0
C4920,12,2,District-West Kameng,Urban,80-89,0,1,3,2,0,0,0,0,0,0
