Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,30,1,District-North Goa,Rural,0-4,10,13,16,29,1,4,6,6,9,7
C4920,30,1,District-North Goa,Rural,5-9,14,26,41,30,34,35,9,10,23,16
C4920,30,1,District-North Goa,Rural,10-19,48,45,66,58,100,80,66,33,123,92
C4920,30,1,District-North Goa,Rural,20-29,62,47,73,59,118,102,71,42,81,50
C4920,30,1,District-North Goa,Rural,30-39,66,90,90,78,123,110,110,58,83,79
C4920,30,1,District-North Goa,Rural,40-49,108,110,93,69,119,90,117,59,79,81
C4920,30,1,District-North Goa,Rural,50-59,133,108,71,89,91,91,112,65,68,55
C4920,30,1,District-North Goa,Rural,60-69,164,178,94,121,67,60,135,109,44,32
C4920,30,1,District-North Goa,Rural,70-79,71,133,77,106,18,14,80,87,12,14
C4920,30,1,District-North Goa,Rural,80-89,31,45,27,47,1,10,33,54,5,5
C4920,30,1,District-North Goa,Rural,90+,2,12,4,9,4,3,3,17,0,3
C4920,30,1,District-North Goa,Rural,Age Not Stated,1,2,1,4,1,2,3,2,0,2
C4920,30,1,District-North Goa,Urban,0-4,17,17,30,33,9,6,14,6,11,10
C4920,30,1,District-North Goa,Urban,5-9,19,15,41,46,68,64,15,17,32,21
C4920,30,1,District-North Goa,Urban,10-19,82,49,119,112,118,99,39,36,104,80
C4920,30,1,District-North Goa,Urban,20-29,76,61,148,116,185,133,73,44,110,71
C4920,30,1,District-North Goa,Urban,30-39,68,68,125,105,172,149,108,79,109,86
C4920,30,1,District-North Goa,Urban,40-49,101,108,131,123,168,121,137,63,97,88
C4920,30,1,District-North Goa,Urban,50-59,111,114,98,89,112,105,169,108,63,57
C4920,30,1,District-North Goa,Urban,60-69,98,136,109,111,88,82,175,150,29,40
C4920,30,1,District-North Goa,Urban,70-79,87,104,88,111,43,34,116,146,18,25
C4920,30,1,District-North Goa,Urban,80-89,27,39,59,77,8,12,56,114,5,21
C4920,30,1,District-North Goa,Urban,90+,6,9,8,8,2,0,7,27,0,1
C4920,30,1,District-North Goa,Urban,Age Not Stated,1,4,2,7,4,3,0,1,0,1
C4920,30,2,District-South Goa,Rural,0-4,16,7,11,14,9,3,9,5,2,7
C4920,30,2,District-South Goa,Rural,5-9,18,9,15,19,30,32,13,4,8,9
C4920,30,2,District-South Goa,Rural,10-19,31,34,41,43,56,52,39,18,46,28
C4920,30,2,District-South Goa,Rural,20-29,32,41,46,49,74,70,48,29,52,48
C4920,30,2,District-South Goa,Rural,30-39,45,40,58,50,84,76,73,64,53,51
C4920,30,2,District-South Goa,Rural,40-49,60,48,49,54,73,67,111,37,65,61
C4920,30,2,District-South Goa,Rural,50-59,70,80,62,57,51,53,121,70,37,34
C4920,30,2,District-South Goa,Rural,60-69,72,102,57,99,42,50,147,94,21,29
C4920,30,2,District-South Goa,Rural,70-79,53,80,58,68,16,22,86,103,7,27
C4920,30,2,District-South Goa,Rural,80-89,23,25,18,37,3,3,22,53,1,5
C4920,30,2,District-South Goa,Rural,90+,8,5,4,11,4,0,4,9,1,0
C4920,30,2,District-South Goa,Rural,Age Not Stated,0,0,0,0,0,0,0,0,2,0
C4920,30,2,District-South Goa,Urban,0-4,19,27,23,24,8,4,7,5,9,14
C4920,30,2,District-South Goa,Urban,5-9,22,28,23,27,44,38,11,6,20,22
C4920,30,2,District-South Goa,Urban,10-19,63,62,61,68,94,82,53,33,84,46
C4920,30,2,District-South Goa,Urban,20-29,61,68,100,62,119,120,77,37,76,66
C4920,30,2,District-South Goa,Urban,30-39,65,78,81,69,127,118,109,66,92,102
C4920,30,2,District-South Goa,Urban,40-49,95,79,90,71,131,92,132,64,70,63
C4920,30,2,District-South Goa,Urban,50-59,74,84,81,77,87,71,145,88,36,47
C4920,30,2,District-South Goa,Urban,60-69,61,90,76,83,63,64,148,99,32,36
C4920,30,2,District-South Goa,Urban,70-79,41,67,36,62,24,24,110,117,17,14
C4920,30,2,District-South Goa,Urban,80-89,9,23,13,32,6,10,27,74,4,4
C4920,30,2,District-South Goa,Urban,90+,7,3,5,11,3,1,7,16,0,1
C4920,30,2,District-South Goa,Urban,Age Not Stated,2,1,2,2,5,4,0,1,0,1
