Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,14,1,District-Senapati,Rural,0-4,124,106,125,109,1,5,6,8,28,16
C4920,14,1,District-Senapati,Rural,5-9,143,142,151,128,31,22,19,11,28,16
C4920,14,1,District-Senapati,Rural,10-19,343,338,337,328,45,33,60,28,81,81
C4920,14,1,District-Senapati,Rural,20-29,323,297,304,277,37,32,59,43,79,71
C4920,14,1,District-Senapati,Rural,30-39,213,197,238,205,26,15,44,27,57,53
C4920,14,1,District-Senapati,Rural,40-49,201,165,181,143,19,17,42,29,49,44
C4920,14,1,District-Senapati,Rural,50-59,143,112,153,123,9,14,38,20,27,33
C4920,14,1,District-Senapati,Rural,60-69,92,76,98,76,6,5,27,20,14,12
C4920,14,1,District-Senapati,Rural,70-79,38,27,55,52,4,0,12,4,7,5
C4920,14,1,District-Senapati,Rural,80-89,15,14,28,11,1,1,7,6,2,2
C4920,14,1,District-Senapati,Rural,90+,9,1,5,7,0,0,1,1,0,1
C4920,14,1,District-Senapati,Rural,Age Not Stated,2,4,1,3,1,0,0,0,1,3
C4920,14,1,District-Senapati,Urban,0-4,2,4,0,0,0,1,0,0,1,0
C4920,14,1,District-Senapati,Urban,5-9,5,4,1,1,0,0,0,0,0,0
C4920,14,1,District-Senapati,Urban,10-19,6,4,1,2,1,0,0,0,0,1
C4920,14,1,District-Senapati,Urban,20-29,2,4,1,2,0,1,0,0,1,0
C4920,14,1,District-Senapati,Urban,30-39,6,3,3,2,0,0,1,0,0,2
C4920,14,1,District-Senapati,Urban,40-49,3,0,0,1,0,0,0,1,1,0
C4920,14,1,District-Senapati,Urban,50-59,1,1,1,0,0,0,0,1,1,0
C4920,14,1,District-Senapati,Urban,60-69,1,0,1,2,0,0,0,0,0,0
C4920,14,1,District-Senapati,Urban,70-79,0,0,0,0,0,0,0,0,0,0
C4920,14,1,District-Senapati,Urban,80-89,0,1,0,1,0,0,1,0,0,0
C4920,14,1,District-Senapati,Urban,90+,0,0,0,0,0,0,0,0,0,0
C4920,14,1,District-Senapati,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0,0
C4920,14,2,District-Tamenglong ,Rural,0-4,15,10,11,13,0,0,7,1,4,6
C4920,14,2,District-Tamenglong ,Rural,5-9,20,18,19,9,10,2,9,9,15,4
C4920,14,2,District-Tamenglong ,Rural,10-19,52,40,42,34,13,14,20,14,20,26
C4920,14,2,District-Tamenglong ,Rural,20-29,43,38,37,35,10,9,23,20,26,17
C4920,14,2,District-Tamenglong ,Rural,30-39,35,18,29,19,6,3,9,8,35,13
C4920,14,2,District-Tamenglong ,Rural,40-49,33,17,36,29,8,9,14,6,19,9
C4920,14,2,District-Tamenglong ,Rural,50-59,19,18,31,22,4,5,11,14,8,10
C4920,14,2,District-Tamenglong ,Rural,60-69,18,15,47,37,8,2,19,12,11,2
C4920,14,2,District-Tamenglong ,Rural,70-79,17,20,26,29,0,2,16,8,1,3
C4920,14,2,District-Tamenglong ,Rural,80-89,9,8,17,14,0,0,5,10,0,2
C4920,14,2,District-Tamenglong ,Rural,90+,3,4,8,2,0,0,4,4,0,1
C4920,14,2,District-Tamenglong ,Rural,Age Not Stated,0,1,0,0,0,0,0,0,0,0
C4920,14,2,District-Tamenglong ,Urban,0-4,1,1,1,0,0,0,0,0,0,2
