Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,33,1,District-Thiruvallur,Rural,0-4,47,36,121,139,15,10,48,29,34,26
C4920,33,1,District-Thiruvallur,Rural,5-9,58,63,154,175,84,72,85,47,120,79
C4920,33,1,District-Thiruvallur,Rural,10-19,224,203,372,433,190,151,241,180,322,237
C4920,33,1,District-Thiruvallur,Rural,20-29,203,152,399,518,176,157,668,499,236,239
C4920,33,1,District-Thiruvallur,Rural,30-39,228,197,406,504,136,127,680,407,189,209
C4920,33,1,District-Thiruvallur,Rural,40-49,228,201,385,420,115,95,596,311,139,140
C4920,33,1,District-Thiruvallur,Rural,50-59,224,219,305,367,85,53,492,273,75,70
C4920,33,1,District-Thiruvallur,Rural,60-69,190,256,252,265,56,36,363,216,35,33
C4920,33,1,District-Thiruvallur,Rural,70-79,95,132,142,155,12,14,143,101,29,20
C4920,33,1,District-Thiruvallur,Rural,80-89,26,64,40,51,4,6,33,33,1,2
C4920,33,1,District-Thiruvallur,Rural,90+,7,14,4,15,1,0,7,2,2,0
C4920,33,1,District-Thiruvallur,Rural,Age Not Stated,1,2,1,3,1,0,3,1,2,1
C4920,33,1,District-Thiruvallur,Urban,0-4,102,77,413,389,15,11,46,45,75,58
C4920,33,1,District-Thiruvallur,Urban,5-9,88,79,390,356,107,78,89,76,209,112
C4920,33,1,District-Thiruvallur,Urban,10-19,269,212,878,838,194,164,300,210,513,334
C4920,33,1,District-Thiruvallur,Urban,20-29,358,332,1083,1148,192,166,844,640,426,382
C4920,33,1,District-Thiruvallur,Urban,30-39,346,340,1161,1109,210,165,1159,758,382,404
C4920,33,1,District-Thiruvallur,Urban,40-49,369,270,905,873,168,141,842,470,287,342
C4920,33,1,District-Thiruvallur,Urban,50-59,339,263,704,638,98,85,702,329,147,150
C4920,33,1,District-Thiruvallur,Urban,60-69,224,194,527,438,69,53,489,249,65,86
C4920,33,1,District-Thiruvallur,Urban,70-79,116,115,270,271,29,24,212,108,20,34
C4920,33,1,District-Thiruvallur,Urban,80-89,37,63,93,103,7,8,46,49,2,26
C4920,33,1,District-Thiruvallur,Urban,90+,10,20,14,21,1,1,7,13,2,5
C4920,33,1,District-Thiruvallur,Urban,Age Not Stated,2,1,8,18,0,1,2,1,1,3
C4920,33,2,District-Chennai,Rural,0-4,0,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,5-9,0,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,10-19,0,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,20-29,0,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,30-39,0,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,40-49,0,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,50-59,0,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,60-69,0,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,70-79,0,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,80-89,0,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,90+,0,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Urban,0-4,235,246,654,621,36,29,77,71,113,89
C4920,33,2,District-Chennai,Urban,5-9,321,274,674,626,198,125,149,90,346,215
C4920,33,2,District-Chennai,Urban,10-19,759,689,1595,1541,434,260,472,343,885,582
C4920,33,2,District-Chennai,Urban,20-29,1017,869,2102,2137,409,388,1436,1112,955,672
C4920,33,2,District-Chennai,Urban,30-39,931,795,2171,1870,428,326,2106,1393,938,690
C4920,33,2,District-Chennai,Urban,40-49,842,647,1826,1529,319,271,1609,846,849,558
C4920,33,2,District-Chennai,Urban,50-59,636,548,1336,1174,241,145,1363,670,430,329
C4920,33,2,District-Chennai,Urban,60-69,462,413,915,903,129,95,948,544,201,166
C4920,33,2,District-Chennai,Urban,70-79,265,253,555,536,66,30,360,286,62,62
C4920,33,2,District-Chennai,Urban,80-89,108,124,204,224,16,15,106,108,22,31
C4920,33,2,District-Chennai,Urban,90+,26,26,27,42,3,5,25,22,5,3
C4920,33,2,District-Chennai,Urban,Age Not Stated,14,6,19,17,2,5,6,4,3,5
C4920,33,3,District-Kancheepuram,Rural,0-4,60,49,89,83,13,9,59,39,75,56
C4920,33,3,District-Kancheepuram,Rural,5-9,76,73,91,94,96,61,107,66,145,103
C4920,33,3,District-Kancheepuram,Rural,10-19,324,203,306,252,195,153,319,208,367,293
C4920,33,3,District-Kancheepuram,Rural,20-29,299,240,319,306,208,187,781,586,302,282
C4920,33,3,District-Kancheepuram,Rural,30-39,243,206,295,288,155,168,820,485,250,235
C4920,33,3,District-Kancheepuram,Rural,40-49,246,178,306,330,120,98,631,355,194,180
C4920,33,3,District-Kancheepuram,Rural,50-59,189,167,298,342,72,68,572,272,90,88
C4920,33,3,District-Kancheepuram,Rural,60-69,203,213,222,298,32,31,453,214,42,54
C4920,33,3,District-Kancheepuram,Rural,70-79,156,151,189,212,19,17,203,143,20,18
C4920,33,3,District-Kancheepuram,Rural,80-89,77,63,71,63,7,5,77,60,1,11
C4920,33,3,District-Kancheepuram,Rural,90+,13,14,14,16,0,0,13,8,0,1
C4920,33,3,District-Kancheepuram,Rural,Age Not Stated,2,3,2,4,5,3,5,5,2,1
C4920,33,3,District-Kancheepuram,Urban,0-4,80,69,234,240,19,5,72,38,92,52
C4920,33,3,District-Kancheepuram,Urban,5-9,102,92,249,204,110,92,95,62,225,158
C4920,33,3,District-Kancheepuram,Urban,10-19,264,205,546,753,201,155,371,233,590,400
C4920,33,3,District-Kancheepuram,Urban,20-29,284,253,666,900,214,202,928,688,521,434
