State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
25,1,Rural,0-4,DAMAN & DIU,Diu,Male,In seeing,1
25,1,Rural,5-9,DAMAN & DIU,Diu,Male,In seeing,3
25,1,Rural,10-19,DAMAN & DIU,Diu,Male,In seeing,8
25,1,Rural,20-29,DAMAN & DIU,Diu,Male,In seeing,6
25,1,Rural,30-39,DAMAN & DIU,Diu,Male,In seeing,1
25,1,Rural,40-49,DAMAN & DIU,Diu,Male,In seeing,9
25,1,Rural,50-59,DAMAN & DIU,Diu,Male,In seeing,3
25,1,Rural,60-69,DAMAN & DIU,Diu,Male,In seeing,4
25,1,Rural,70-79,DAMAN & DIU,Diu,Male,In seeing,2
25,1,Rural,80-89,DAMAN & DIU,Diu,Male,In seeing,0
25,1,Rural,90+,DAMAN & DIU,Diu,Male,In seeing,0
25,1,Rural,Age Not Stated,DAMAN & DIU,Diu,Male,In seeing,0
25,1,Urban,0-4,DAMAN & DIU,Diu,Male,In seeing,0
25,1,Urban,5-9,DAMAN & DIU,Diu,Male,In seeing,1
25,1,Urban,10-19,DAMAN & DIU,Diu,Male,In seeing,1
25,1,Urban,20-29,DAMAN & DIU,Diu,Male,In seeing,2
25,1,Urban,30-39,DAMAN & DIU,Diu,Male,In seeing,3
25,1,Urban,40-49,DAMAN & DIU,Diu,Male,In seeing,4
25,1,Urban,50-59,DAMAN & DIU,Diu,Male,In seeing,0
25,1,Urban,60-69,DAMAN & DIU,Diu,Male,In seeing,1
25,1,Urban,70-79,DAMAN & DIU,Diu,Male,In seeing,2
25,1,Urban,80-89,DAMAN & DIU,Diu,Male,In seeing,0
25,1,Urban,90+,DAMAN & DIU,Diu,Male,In seeing,0
25,1,Urban,Age Not Stated,DAMAN & DIU,Diu,Male,In seeing,0
25,2,Rural,0-4,DAMAN & DIU,Daman,Male,In seeing,1
25,2,Rural,5-9,DAMAN & DIU,Daman,Male,In seeing,1
25,2,Rural,10-19,DAMAN & DIU,Daman,Male,In seeing,2
25,2,Rural,20-29,DAMAN & DIU,Daman,Male,In seeing,4
25,2,Rural,30-39,DAMAN & DIU,Daman,Male,In seeing,9
25,2,Rural,40-49,DAMAN & DIU,Daman,Male,In seeing,20
25,2,Rural,50-59,DAMAN & DIU,Daman,Male,In seeing,9
25,2,Rural,60-69,DAMAN & DIU,Daman,Male,In seeing,7
25,2,Rural,70-79,DAMAN & DIU,Daman,Male,In seeing,1
25,2,Rural,80-89,DAMAN & DIU,Daman,Male,In seeing,2
25,2,Rural,90+,DAMAN & DIU,Daman,Male,In seeing,1
25,2,Rural,Age Not Stated,DAMAN & DIU,Daman,Male,In seeing,1
25,2,Urban,0-4,DAMAN & DIU,Daman,Male,In seeing,4
25,2,Urban,5-9,DAMAN & DIU,Daman,Male,In seeing,7
25,2,Urban,10-19,DAMAN & DIU,Daman,Male,In seeing,16
25,2,Urban,20-29,DAMAN & DIU,Daman,Male,In seeing,24
25,2,Urban,30-39,DAMAN & DIU,Daman,Male,In seeing,21
25,2,Urban,40-49,DAMAN & DIU,Daman,Male,In seeing,12
25,2,Urban,50-59,DAMAN & DIU,Daman,Male,In seeing,10
25,2,Urban,60-69,DAMAN & DIU,Daman,Male,In seeing,13
25,2,Urban,70-79,DAMAN & DIU,Daman,Male,In seeing,5
25,2,Urban,80-89,DAMAN & DIU,Daman,Male,In seeing,1
25,2,Urban,90+,DAMAN & DIU,Daman,Male,In seeing,0
25,2,Urban,Age Not Stated,DAMAN & DIU,Daman,Male,In seeing,0
25,1,Rural,0-4,DAMAN & DIU,Diu,Female,In seeing,0
25,1,Rural,5-9,DAMAN & DIU,Diu,Female,In seeing,0
25,1,Rural,10-19,DAMAN & DIU,Diu,Female,In seeing,5
25,1,Rural,20-29,DAMAN & DIU,Diu,Female,In seeing,4
25,1,Rural,30-39,DAMAN & DIU,Diu,Female,In seeing,3
25,1,Rural,40-49,DAMAN & DIU,Diu,Female,In seeing,4
25,1,Rural,50-59,DAMAN & DIU,Diu,Female,In seeing,2
25,1,Rural,60-69,DAMAN & DIU,Diu,Female,In seeing,4
25,1,Rural,70-79,DAMAN & DIU,Diu,Female,In seeing,4
25,1,Rural,80-89,DAMAN & DIU,Diu,Female,In seeing,1
25,1,Rural,90+,DAMAN & DIU,Diu,Female,In seeing,0
25,1,Rural,Age Not Stated,DAMAN & DIU,Diu,Female,In seeing,0
25,1,Urban,0-4,DAMAN & DIU,Diu,Female,In seeing,1
25,1,Urban,5-9,DAMAN & DIU,Diu,Female,In seeing,0
25,1,Urban,10-19,DAMAN & DIU,Diu,Female,In seeing,1
25,1,Urban,20-29,DAMAN & DIU,Diu,Female,In seeing,2
25,1,Urban,30-39,DAMAN & DIU,Diu,Female,In seeing,1
25,1,Urban,40-49,DAMAN & DIU,Diu,Female,In seeing,3
25,1,Urban,50-59,DAMAN & DIU,Diu,Female,In seeing,4
25,1,Urban,60-69,DAMAN & DIU,Diu,Female,In seeing,5
25,1,Urban,70-79,DAMAN & DIU,Diu,Female,In seeing,3
25,1,Urban,80-89,DAMAN & DIU,Diu,Female,In seeing,0
25,1,Urban,90+,DAMAN & DIU,Diu,Female,In seeing,1
25,1,Urban,Age Not Stated,DAMAN & DIU,Diu,Female,In seeing,0
25,2,Rural,0-4,DAMAN & DIU,Daman,Female,In seeing,0
25,2,Rural,5-9,DAMAN & DIU,Daman,Female,In seeing,0
25,2,Rural,10-19,DAMAN & DIU,Daman,Female,In seeing,1
25,2,Rural,20-29,DAMAN & DIU,Daman,Female,In seeing,2
25,2,Rural,30-39,DAMAN & DIU,Daman,Female,In seeing,0
25,2,Rural,40-49,DAMAN & DIU,Daman,Female,In seeing,4
25,2,Rural,50-59,DAMAN & DIU,Daman,Female,In seeing,9
25,2,Rural,60-69,DAMAN & DIU,Daman,Female,In seeing,4
25,2,Rural,70-79,DAMAN & DIU,Daman,Female,In seeing,0
25,2,Rural,80-89,DAMAN & DIU,Daman,Female,In seeing,3
