State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
7,1,Rural,0-4,DELHI,North West,Male,In seeing,7
7,1,Rural,5-9,DELHI,North West,Male,In seeing,5
7,1,Rural,10-19,DELHI,North West,Male,In seeing,23
7,1,Rural,20-29,DELHI,North West,Male,In seeing,18
7,1,Rural,30-39,DELHI,North West,Male,In seeing,25
7,1,Rural,40-49,DELHI,North West,Male,In seeing,23
7,1,Rural,50-59,DELHI,North West,Male,In seeing,16
7,1,Rural,60-69,DELHI,North West,Male,In seeing,18
7,1,Rural,70-79,DELHI,North West,Male,In seeing,9
7,1,Rural,80-89,DELHI,North West,Male,In seeing,4
7,1,Rural,90+,DELHI,North West,Male,In seeing,2
7,1,Rural,Age Not Stated,DELHI,North West,Male,In seeing,0
7,1,Urban,0-4,DELHI,North West,Male,In seeing,87
7,1,Urban,5-9,DELHI,North West,Male,In seeing,136
7,1,Urban,10-19,DELHI,North West,Male,In seeing,376
7,1,Urban,20-29,DELHI,North West,Male,In seeing,406
7,1,Urban,30-39,DELHI,North West,Male,In seeing,377
7,1,Urban,40-49,DELHI,North West,Male,In seeing,404
7,1,Urban,50-59,DELHI,North West,Male,In seeing,404
7,1,Urban,60-69,DELHI,North West,Male,In seeing,458
7,1,Urban,70-79,DELHI,North West,Male,In seeing,232
7,1,Urban,80-89,DELHI,North West,Male,In seeing,85
7,1,Urban,90+,DELHI,North West,Male,In seeing,16
7,1,Urban,Age Not Stated,DELHI,North West,Male,In seeing,3
7,2,Rural,0-4,DELHI,North,Male,In seeing,0
7,2,Rural,5-9,DELHI,North,Male,In seeing,0
7,2,Rural,10-19,DELHI,North,Male,In seeing,3
7,2,Rural,20-29,DELHI,North,Male,In seeing,2
7,2,Rural,30-39,DELHI,North,Male,In seeing,2
7,2,Rural,40-49,DELHI,North,Male,In seeing,2
7,2,Rural,50-59,DELHI,North,Male,In seeing,4
7,2,Rural,60-69,DELHI,North,Male,In seeing,7
7,2,Rural,70-79,DELHI,North,Male,In seeing,5
7,2,Rural,80-89,DELHI,North,Male,In seeing,0
7,2,Rural,90+,DELHI,North,Male,In seeing,1
7,2,Rural,Age Not Stated,DELHI,North,Male,In seeing,0
7,2,Urban,0-4,DELHI,North,Male,In seeing,22
7,2,Urban,5-9,DELHI,North,Male,In seeing,30
7,2,Urban,10-19,DELHI,North,Male,In seeing,80
7,2,Urban,20-29,DELHI,North,Male,In seeing,115
7,2,Urban,30-39,DELHI,North,Male,In seeing,105
7,2,Urban,40-49,DELHI,North,Male,In seeing,153
7,2,Urban,50-59,DELHI,North,Male,In seeing,128
7,2,Urban,60-69,DELHI,North,Male,In seeing,98
7,2,Urban,70-79,DELHI,North,Male,In seeing,77
7,2,Urban,80-89,DELHI,North,Male,In seeing,21
7,2,Urban,90+,DELHI,North,Male,In seeing,6
