State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
6,1,Rural,0-4,HARYANA,Panchkula,Male,In seeing,22
6,1,Rural,5-9,HARYANA,Panchkula,Male,In seeing,18
6,1,Rural,10-19,HARYANA,Panchkula,Male,In seeing,59
6,1,Rural,20-29,HARYANA,Panchkula,Male,In seeing,34
6,1,Rural,30-39,HARYANA,Panchkula,Male,In seeing,30
6,1,Rural,40-49,HARYANA,Panchkula,Male,In seeing,49
6,1,Rural,50-59,HARYANA,Panchkula,Male,In seeing,47
6,1,Rural,60-69,HARYANA,Panchkula,Male,In seeing,47
6,1,Rural,70-79,HARYANA,Panchkula,Male,In seeing,53
6,1,Rural,80-89,HARYANA,Panchkula,Male,In seeing,29
6,1,Rural,90+,HARYANA,Panchkula,Male,In seeing,7
6,1,Rural,Age Not Stated,HARYANA,Panchkula,Male,In seeing,1
6,1,Urban,0-4,HARYANA,Panchkula,Male,In seeing,22
6,1,Urban,5-9,HARYANA,Panchkula,Male,In seeing,34
6,1,Urban,10-19,HARYANA,Panchkula,Male,In seeing,63
6,1,Urban,20-29,HARYANA,Panchkula,Male,In seeing,71
6,1,Urban,30-39,HARYANA,Panchkula,Male,In seeing,60
6,1,Urban,40-49,HARYANA,Panchkula,Male,In seeing,81
6,1,Urban,50-59,HARYANA,Panchkula,Male,In seeing,58
6,1,Urban,60-69,HARYANA,Panchkula,Male,In seeing,63
6,1,Urban,70-79,HARYANA,Panchkula,Male,In seeing,56
6,1,Urban,80-89,HARYANA,Panchkula,Male,In seeing,18
6,1,Urban,90+,HARYANA,Panchkula,Male,In seeing,2
6,1,Urban,Age Not Stated,HARYANA,Panchkula,Male,In seeing,4
6,2,Rural,0-4,HARYANA,Ambala,Male,In seeing,44
6,2,Rural,5-9,HARYANA,Ambala,Male,In seeing,44
6,2,Rural,10-19,HARYANA,Ambala,Male,In seeing,113
6,2,Rural,20-29,HARYANA,Ambala,Male,In seeing,109
6,2,Rural,30-39,HARYANA,Ambala,Male,In seeing,105
6,2,Rural,40-49,HARYANA,Ambala,Male,In seeing,104
6,2,Rural,50-59,HARYANA,Ambala,Male,In seeing,105
6,2,Rural,60-69,HARYANA,Ambala,Male,In seeing,158
6,2,Rural,70-79,HARYANA,Ambala,Male,In seeing,135
6,2,Rural,80-89,HARYANA,Ambala,Male,In seeing,66
6,2,Rural,90+,HARYANA,Ambala,Male,In seeing,20
6,2,Rural,Age Not Stated,HARYANA,Ambala,Male,In seeing,0
6,2,Urban,0-4,HARYANA,Ambala,Male,In seeing,18
6,2,Urban,5-9,HARYANA,Ambala,Male,In seeing,26
6,2,Urban,10-19,HARYANA,Ambala,Male,In seeing,51
6,2,Urban,20-29,HARYANA,Ambala,Male,In seeing,76
6,2,Urban,30-39,HARYANA,Ambala,Male,In seeing,73
6,2,Urban,40-49,HARYANA,Ambala,Male,In seeing,81
6,2,Urban,50-59,HARYANA,Ambala,Male,In seeing,123
6,2,Urban,60-69,HARYANA,Ambala,Male,In seeing,140
6,2,Urban,70-79,HARYANA,Ambala,Male,In seeing,86
6,2,Urban,80-89,HARYANA,Ambala,Male,In seeing,34
6,2,Urban,90+,HARYANA,Ambala,Male,In seeing,7
6,2,Urban,Age Not Stated,HARYANA,Ambala,Male,In seeing,0
6,3,Rural,0-4,HARYANA,Yamunanagar,Male,In seeing,36
6,3,Rural,5-9,HARYANA,Yamunanagar,Male,In seeing,43
6,3,Rural,10-19,HARYANA,Yamunanagar,Male,In seeing,126
6,3,Rural,20-29,HARYANA,Yamunanagar,Male,In seeing,112
6,3,Rural,30-39,HARYANA,Yamunanagar,Male,In seeing,96
6,3,Rural,40-49,HARYANA,Yamunanagar,Male,In seeing,228
6,3,Rural,50-59,HARYANA,Yamunanagar,Male,In seeing,275
6,3,Rural,60-69,HARYANA,Yamunanagar,Male,In seeing,505
