State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
2,1,Rural,0-4,HIMACHAL PRADESH,Chamba,Male,In seeing,14
2,1,Rural,5-9,HIMACHAL PRADESH,Chamba,Male,In seeing,32
2,1,Rural,10-19,HIMACHAL PRADESH,Chamba,Male,In seeing,71
2,1,Rural,20-29,HIMACHAL PRADESH,Chamba,Male,In seeing,77
2,1,Rural,30-39,HIMACHAL PRADESH,Chamba,Male,In seeing,70
2,1,Rural,40-49,HIMACHAL PRADESH,Chamba,Male,In seeing,63
2,1,Rural,50-59,HIMACHAL PRADESH,Chamba,Male,In seeing,106
2,1,Rural,60-69,HIMACHAL PRADESH,Chamba,Male,In seeing,149
2,1,Rural,70-79,HIMACHAL PRADESH,Chamba,Male,In seeing,130
2,1,Rural,80-89,HIMACHAL PRADESH,Chamba,Male,In seeing,95
2,1,Rural,90+,HIMACHAL PRADESH,Chamba,Male,In seeing,23
2,1,Rural,Age Not Stated,HIMACHAL PRADESH,Chamba,Male,In seeing,0
2,1,Urban,0-4,HIMACHAL PRADESH,Chamba,Male,In seeing,1
2,1,Urban,5-9,HIMACHAL PRADESH,Chamba,Male,In seeing,2
2,1,Urban,10-19,HIMACHAL PRADESH,Chamba,Male,In seeing,8
2,1,Urban,20-29,HIMACHAL PRADESH,Chamba,Male,In seeing,6
2,1,Urban,30-39,HIMACHAL PRADESH,Chamba,Male,In seeing,2
2,1,Urban,40-49,HIMACHAL PRADESH,Chamba,Male,In seeing,3
2,1,Urban,50-59,HIMACHAL PRADESH,Chamba,Male,In seeing,2
2,1,Urban,60-69,HIMACHAL PRADESH,Chamba,Male,In seeing,5
2,1,Urban,70-79,HIMACHAL PRADESH,Chamba,Male,In seeing,6
2,1,Urban,80-89,HIMACHAL PRADESH,Chamba,Male,In seeing,1
2,1,Urban,90+,HIMACHAL PRADESH,Chamba,Male,In seeing,0
2,1,Urban,Age Not Stated,HIMACHAL PRADESH,Chamba,Male,In seeing,0
2,2,Rural,0-4,HIMACHAL PRADESH,Kangra,Male,In seeing,81
2,2,Rural,5-9,HIMACHAL PRADESH,Kangra,Male,In seeing,99
2,2,Rural,10-19,HIMACHAL PRADESH,Kangra,Male,In seeing,257
2,2,Rural,20-29,HIMACHAL PRADESH,Kangra,Male,In seeing,212
2,2,Rural,30-39,HIMACHAL PRADESH,Kangra,Male,In seeing,204
2,2,Rural,40-49,HIMACHAL PRADESH,Kangra,Male,In seeing,231
2,2,Rural,50-59,HIMACHAL PRADESH,Kangra,Male,In seeing,303
2,2,Rural,60-69,HIMACHAL PRADESH,Kangra,Male,In seeing,338
2,2,Rural,70-79,HIMACHAL PRADESH,Kangra,Male,In seeing,379
2,2,Rural,80-89,HIMACHAL PRADESH,Kangra,Male,In seeing,219
2,2,Rural,90+,HIMACHAL PRADESH,Kangra,Male,In seeing,70
2,2,Rural,Age Not Stated,HIMACHAL PRADESH,Kangra,Male,In seeing,3
2,2,Urban,0-4,HIMACHAL PRADESH,Kangra,Male,In seeing,5
2,2,Urban,5-9,HIMACHAL PRADESH,Kangra,Male,In seeing,0
2,2,Urban,10-19,HIMACHAL PRADESH,Kangra,Male,In seeing,9
2,2,Urban,20-29,HIMACHAL PRADESH,Kangra,Male,In seeing,11
2,2,Urban,30-39,HIMACHAL PRADESH,Kangra,Male,In seeing,13
2,2,Urban,40-49,HIMACHAL PRADESH,Kangra,Male,In seeing,21
2,2,Urban,50-59,HIMACHAL PRADESH,Kangra,Male,In seeing,23
2,2,Urban,60-69,HIMACHAL PRADESH,Kangra,Male,In seeing,20
2,2,Urban,70-79,HIMACHAL PRADESH,Kangra,Male,In seeing,21
2,2,Urban,80-89,HIMACHAL PRADESH,Kangra,Male,In seeing,17
2,2,Urban,90+,HIMACHAL PRADESH,Kangra,Male,In seeing,3
2,2,Urban,Age Not Stated,HIMACHAL PRADESH,Kangra,Male,In seeing,0
2,3,Rural,0-4,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,3
2,3,Rural,5-9,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,4
2,3,Rural,10-19,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,11
2,3,Rural,20-29,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,8
2,3,Rural,30-39,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,13
2,3,Rural,40-49,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,16
2,3,Rural,50-59,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,17
2,3,Rural,60-69,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,12
2,3,Rural,70-79,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,12
2,3,Rural,80-89,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,1
2,3,Rural,90+,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,2
2,3,Rural,Age Not Stated,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,1
2,3,Urban,0-4,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,0
2,3,Urban,5-9,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,0
2,3,Urban,10-19,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,0
2,3,Urban,20-29,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,0
2,3,Urban,30-39,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,0
2,3,Urban,40-49,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,0
2,3,Urban,50-59,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,0
2,3,Urban,60-69,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,0
2,3,Urban,70-79,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,0
2,3,Urban,80-89,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,0
2,3,Urban,90+,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,0
2,3,Urban,Age Not Stated,HIMACHAL PRADESH,Lahul & Spiti,Male,In seeing,0
2,4,Rural,0-4,HIMACHAL PRADESH,Kullu,Male,In seeing,19
2,4,Rural,5-9,HIMACHAL PRADESH,Kullu,Male,In seeing,19
2,4,Rural,10-19,HIMACHAL PRADESH,Kullu,Male,In seeing,71
2,4,Rural,20-29,HIMACHAL PRADESH,Kullu,Male,In seeing,65
2,4,Rural,30-39,HIMACHAL PRADESH,Kullu,Male,In seeing,65
2,4,Rural,40-49,HIMACHAL PRADESH,Kullu,Male,In seeing,58
2,4,Rural,50-59,HIMACHAL PRADESH,Kullu,Male,In seeing,65
2,4,Rural,60-69,HIMACHAL PRADESH,Kullu,Male,In seeing,85
2,4,Rural,70-79,HIMACHAL PRADESH,Kullu,Male,In seeing,87
2,4,Rural,80-89,HIMACHAL PRADESH,Kullu,Male,In seeing,60
2,4,Rural,90+,HIMACHAL PRADESH,Kullu,Male,In seeing,20
2,4,Rural,Age Not Stated,HIMACHAL PRADESH,Kullu,Male,In seeing,1
2,4,Urban,0-4,HIMACHAL PRADESH,Kullu,Male,In seeing,1
2,4,Urban,5-9,HIMACHAL PRADESH,Kullu,Male,In seeing,2
2,4,Urban,10-19,HIMACHAL PRADESH,Kullu,Male,In seeing,3
2,4,Urban,20-29,HIMACHAL PRADESH,Kullu,Male,In seeing,8
2,4,Urban,30-39,HIMACHAL PRADESH,Kullu,Male,In seeing,5
2,4,Urban,40-49,HIMACHAL PRADESH,Kullu,Male,In seeing,9
2,4,Urban,50-59,HIMACHAL PRADESH,Kullu,Male,In seeing,4
2,4,Urban,60-69,HIMACHAL PRADESH,Kullu,Male,In seeing,1
2,4,Urban,70-79,HIMACHAL PRADESH,Kullu,Male,In seeing,2
2,4,Urban,80-89,HIMACHAL PRADESH,Kullu,Male,In seeing,2
2,4,Urban,90+,HIMACHAL PRADESH,Kullu,Male,In seeing,0
2,4,Urban,Age Not Stated,HIMACHAL PRADESH,Kullu,Male,In seeing,0
2,5,Rural,0-4,HIMACHAL PRADESH,Mandi,Male,In seeing,76
2,5,Rural,5-9,HIMACHAL PRADESH,Mandi,Male,In seeing,105
2,5,Rural,10-19,HIMACHAL PRADESH,Mandi,Male,In seeing,263
2,5,Rural,20-29,HIMACHAL PRADESH,Mandi,Male,In seeing,275
2,5,Rural,30-39,HIMACHAL PRADESH,Mandi,Male,In seeing,262
2,5,Rural,40-49,HIMACHAL PRADESH,Mandi,Male,In seeing,246
2,5,Rural,50-59,HIMACHAL PRADESH,Mandi,Male,In seeing,263
2,5,Rural,60-69,HIMACHAL PRADESH,Mandi,Male,In seeing,305
2,5,Rural,70-79,HIMACHAL PRADESH,Mandi,Male,In seeing,283
2,5,Rural,80-89,HIMACHAL PRADESH,Mandi,Male,In seeing,181
2,5,Rural,90+,HIMACHAL PRADESH,Mandi,Male,In seeing,49
2,5,Rural,Age Not Stated,HIMACHAL PRADESH,Mandi,Male,In seeing,5
2,5,Urban,0-4,HIMACHAL PRADESH,Mandi,Male,In seeing,5
2,5,Urban,5-9,HIMACHAL PRADESH,Mandi,Male,In seeing,5
2,5,Urban,10-19,HIMACHAL PRADESH,Mandi,Male,In seeing,10
2,5,Urban,20-29,HIMACHAL PRADESH,Mandi,Male,In seeing,15
2,5,Urban,30-39,HIMACHAL PRADESH,Mandi,Male,In seeing,14
2,5,Urban,40-49,HIMACHAL PRADESH,Mandi,Male,In seeing,12
2,5,Urban,50-59,HIMACHAL PRADESH,Mandi,Male,In seeing,13
2,5,Urban,60-69,HIMACHAL PRADESH,Mandi,Male,In seeing,4
2,5,Urban,70-79,HIMACHAL PRADESH,Mandi,Male,In seeing,6
2,5,Urban,80-89,HIMACHAL PRADESH,Mandi,Male,In seeing,3
2,5,Urban,90+,HIMACHAL PRADESH,Mandi,Male,In seeing,0
2,5,Urban,Age Not Stated,HIMACHAL PRADESH,Mandi,Male,In seeing,0
2,6,Rural,0-4,HIMACHAL PRADESH,Hamirpur,Male,In seeing,9
2,6,Rural,5-9,HIMACHAL PRADESH,Hamirpur,Male,In seeing,19
2,6,Rural,10-19,HIMACHAL PRADESH,Hamirpur,Male,In seeing,45
2,6,Rural,20-29,HIMACHAL PRADESH,Hamirpur,Male,In seeing,23
2,6,Rural,30-39,HIMACHAL PRADESH,Hamirpur,Male,In seeing,43
2,6,Rural,40-49,HIMACHAL PRADESH,Hamirpur,Male,In seeing,46
2,6,Rural,50-59,HIMACHAL PRADESH,Hamirpur,Male,In seeing,76
2,6,Rural,60-69,HIMACHAL PRADESH,Hamirpur,Male,In seeing,102
2,6,Rural,70-79,HIMACHAL PRADESH,Hamirpur,Male,In seeing,76
2,6,Rural,80-89,HIMACHAL PRADESH,Hamirpur,Male,In seeing,65
2,6,Rural,90+,HIMACHAL PRADESH,Hamirpur,Male,In seeing,22
2,6,Rural,Age Not Stated,HIMACHAL PRADESH,Hamirpur,Male,In seeing,0
2,6,Urban,0-4,HIMACHAL PRADESH,Hamirpur,Male,In seeing,2
2,6,Urban,5-9,HIMACHAL PRADESH,Hamirpur,Male,In seeing,0
