State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
32,1,Rural,0-4,KERALA,Kasaragod,Male,In seeing,22
32,1,Rural,5-9,KERALA,Kasaragod,Male,In seeing,55
32,1,Rural,10-19,KERALA,Kasaragod,Male,In seeing,194
32,1,Rural,20-29,KERALA,Kasaragod,Male,In seeing,119
32,1,Rural,30-39,KERALA,Kasaragod,Male,In seeing,116
32,1,Rural,40-49,KERALA,Kasaragod,Male,In seeing,193
32,1,Rural,50-59,KERALA,Kasaragod,Male,In seeing,228
32,1,Rural,60-69,KERALA,Kasaragod,Male,In seeing,214
32,1,Rural,70-79,KERALA,Kasaragod,Male,In seeing,173
32,1,Rural,80-89,KERALA,Kasaragod,Male,In seeing,75
32,1,Rural,90+,KERALA,Kasaragod,Male,In seeing,15
32,1,Rural,Age Not Stated,KERALA,Kasaragod,Male,In seeing,0
32,1,Urban,0-4,KERALA,Kasaragod,Male,In seeing,31
32,1,Urban,5-9,KERALA,Kasaragod,Male,In seeing,35
32,1,Urban,10-19,KERALA,Kasaragod,Male,In seeing,108
32,1,Urban,20-29,KERALA,Kasaragod,Male,In seeing,91
32,1,Urban,30-39,KERALA,Kasaragod,Male,In seeing,79
32,1,Urban,40-49,KERALA,Kasaragod,Male,In seeing,68
32,1,Urban,50-59,KERALA,Kasaragod,Male,In seeing,97
32,1,Urban,60-69,KERALA,Kasaragod,Male,In seeing,117
32,1,Urban,70-79,KERALA,Kasaragod,Male,In seeing,83
32,1,Urban,80-89,KERALA,Kasaragod,Male,In seeing,30
32,1,Urban,90+,KERALA,Kasaragod,Male,In seeing,4
32,1,Urban,Age Not Stated,KERALA,Kasaragod,Male,In seeing,2
32,2,Rural,0-4,KERALA,Kannur,Male,In seeing,19
32,2,Rural,5-9,KERALA,Kannur,Male,In seeing,56
32,2,Rural,10-19,KERALA,Kannur,Male,In seeing,163
32,2,Rural,20-29,KERALA,Kannur,Male,In seeing,116
32,2,Rural,30-39,KERALA,Kannur,Male,In seeing,111
