State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
23,1,Rural,0-4,MADHYA PRADESH,Sheopur ,Male,In seeing,36
23,1,Rural,5-9,MADHYA PRADESH,Sheopur ,Male,In seeing,71
23,1,Rural,10-19,MADHYA PRADESH,Sheopur ,Male,In seeing,137
23,1,Rural,20-29,MADHYA PRADESH,Sheopur ,Male,In seeing,94
23,1,Rural,30-39,MADHYA PRADESH,Sheopur ,Male,In seeing,94
23,1,Rural,40-49,MADHYA PRADESH,Sheopur ,Male,In seeing,135
23,1,Rural,50-59,MADHYA PRADESH,Sheopur ,Male,In seeing,147
23,1,Rural,60-69,MADHYA PRADESH,Sheopur ,Male,In seeing,208
23,1,Rural,70-79,MADHYA PRADESH,Sheopur ,Male,In seeing,203
23,1,Rural,80-89,MADHYA PRADESH,Sheopur ,Male,In seeing,55
23,1,Rural,90+,MADHYA PRADESH,Sheopur ,Male,In seeing,12
23,1,Rural,Age Not Stated,MADHYA PRADESH,Sheopur ,Male,In seeing,0
23,1,Urban,0-4,MADHYA PRADESH,Sheopur ,Male,In seeing,5
23,1,Urban,5-9,MADHYA PRADESH,Sheopur ,Male,In seeing,2
23,1,Urban,10-19,MADHYA PRADESH,Sheopur ,Male,In seeing,11
23,1,Urban,20-29,MADHYA PRADESH,Sheopur ,Male,In seeing,18
23,1,Urban,30-39,MADHYA PRADESH,Sheopur ,Male,In seeing,17
23,1,Urban,40-49,MADHYA PRADESH,Sheopur ,Male,In seeing,16
23,1,Urban,50-59,MADHYA PRADESH,Sheopur ,Male,In seeing,14
23,1,Urban,60-69,MADHYA PRADESH,Sheopur ,Male,In seeing,28
23,1,Urban,70-79,MADHYA PRADESH,Sheopur ,Male,In seeing,31
23,1,Urban,80-89,MADHYA PRADESH,Sheopur ,Male,In seeing,6
23,1,Urban,90+,MADHYA PRADESH,Sheopur ,Male,In seeing,0
23,1,Urban,Age Not Stated,MADHYA PRADESH,Sheopur ,Male,In seeing,0
23,2,Rural,0-4,MADHYA PRADESH,Morena,Male,In seeing,67
23,2,Rural,5-9,MADHYA PRADESH,Morena,Male,In seeing,127
23,2,Rural,10-19,MADHYA PRADESH,Morena,Male,In seeing,266
23,2,Rural,20-29,MADHYA PRADESH,Morena,Male,In seeing,257
23,2,Rural,30-39,MADHYA PRADESH,Morena,Male,In seeing,218
23,2,Rural,40-49,MADHYA PRADESH,Morena,Male,In seeing,219
23,2,Rural,50-59,MADHYA PRADESH,Morena,Male,In seeing,264
23,2,Rural,60-69,MADHYA PRADESH,Morena,Male,In seeing,478
23,2,Rural,70-79,MADHYA PRADESH,Morena,Male,In seeing,384
23,2,Rural,80-89,MADHYA PRADESH,Morena,Male,In seeing,144
23,2,Rural,90+,MADHYA PRADESH,Morena,Male,In seeing,37
23,2,Rural,Age Not Stated,MADHYA PRADESH,Morena,Male,In seeing,3
23,2,Urban,0-4,MADHYA PRADESH,Morena,Male,In seeing,23
23,2,Urban,5-9,MADHYA PRADESH,Morena,Male,In seeing,29
23,2,Urban,10-19,MADHYA PRADESH,Morena,Male,In seeing,78
23,2,Urban,20-29,MADHYA PRADESH,Morena,Male,In seeing,71
23,2,Urban,30-39,MADHYA PRADESH,Morena,Male,In seeing,64
23,2,Urban,40-49,MADHYA PRADESH,Morena,Male,In seeing,51
23,2,Urban,50-59,MADHYA PRADESH,Morena,Male,In seeing,50
23,2,Urban,60-69,MADHYA PRADESH,Morena,Male,In seeing,76
23,2,Urban,70-79,MADHYA PRADESH,Morena,Male,In seeing,65
23,2,Urban,80-89,MADHYA PRADESH,Morena,Male,In seeing,19
23,2,Urban,90+,MADHYA PRADESH,Morena,Male,In seeing,6
23,2,Urban,Age Not Stated,MADHYA PRADESH,Morena,Male,In seeing,1
23,3,Rural,0-4,MADHYA PRADESH,Bhind,Male,In seeing,112
23,3,Rural,5-9,MADHYA PRADESH,Bhind,Male,In seeing,142
23,3,Rural,10-19,MADHYA PRADESH,Bhind,Male,In seeing,363
23,3,Rural,20-29,MADHYA PRADESH,Bhind,Male,In seeing,304
23,3,Rural,30-39,MADHYA PRADESH,Bhind,Male,In seeing,255
23,3,Rural,40-49,MADHYA PRADESH,Bhind,Male,In seeing,237
23,3,Rural,50-59,MADHYA PRADESH,Bhind,Male,In seeing,260
23,3,Rural,60-69,MADHYA PRADESH,Bhind,Male,In seeing,361
23,3,Rural,70-79,MADHYA PRADESH,Bhind,Male,In seeing,375
23,3,Rural,80-89,MADHYA PRADESH,Bhind,Male,In seeing,136
23,3,Rural,90+,MADHYA PRADESH,Bhind,Male,In seeing,34
23,3,Rural,Age Not Stated,MADHYA PRADESH,Bhind,Male,In seeing,2
23,3,Urban,0-4,MADHYA PRADESH,Bhind,Male,In seeing,24
23,3,Urban,5-9,MADHYA PRADESH,Bhind,Male,In seeing,24
23,3,Urban,10-19,MADHYA PRADESH,Bhind,Male,In seeing,82
23,3,Urban,20-29,MADHYA PRADESH,Bhind,Male,In seeing,85
23,3,Urban,30-39,MADHYA PRADESH,Bhind,Male,In seeing,59
23,3,Urban,40-49,MADHYA PRADESH,Bhind,Male,In seeing,74
23,3,Urban,50-59,MADHYA PRADESH,Bhind,Male,In seeing,57
23,3,Urban,60-69,MADHYA PRADESH,Bhind,Male,In seeing,89
23,3,Urban,70-79,MADHYA PRADESH,Bhind,Male,In seeing,74
23,3,Urban,80-89,MADHYA PRADESH,Bhind,Male,In seeing,26
23,3,Urban,90+,MADHYA PRADESH,Bhind,Male,In seeing,8
23,3,Urban,Age Not Stated,MADHYA PRADESH,Bhind,Male,In seeing,1
23,4,Rural,0-4,MADHYA PRADESH,Gwalior,Male,In seeing,49
23,4,Rural,5-9,MADHYA PRADESH,Gwalior,Male,In seeing,67
23,4,Rural,10-19,MADHYA PRADESH,Gwalior,Male,In seeing,178
23,4,Rural,20-29,MADHYA PRADESH,Gwalior,Male,In seeing,128
23,4,Rural,30-39,MADHYA PRADESH,Gwalior,Male,In seeing,113
23,4,Rural,40-49,MADHYA PRADESH,Gwalior,Male,In seeing,83
23,4,Rural,50-59,MADHYA PRADESH,Gwalior,Male,In seeing,99
23,4,Rural,60-69,MADHYA PRADESH,Gwalior,Male,In seeing,139
23,4,Rural,70-79,MADHYA PRADESH,Gwalior,Male,In seeing,120
23,4,Rural,80-89,MADHYA PRADESH,Gwalior,Male,In seeing,43
23,4,Rural,90+,MADHYA PRADESH,Gwalior,Male,In seeing,14
23,4,Rural,Age Not Stated,MADHYA PRADESH,Gwalior,Male,In seeing,2
23,4,Urban,0-4,MADHYA PRADESH,Gwalior,Male,In seeing,58
23,4,Urban,5-9,MADHYA PRADESH,Gwalior,Male,In seeing,88
23,4,Urban,10-19,MADHYA PRADESH,Gwalior,Male,In seeing,225
23,4,Urban,20-29,MADHYA PRADESH,Gwalior,Male,In seeing,264
23,4,Urban,30-39,MADHYA PRADESH,Gwalior,Male,In seeing,194
23,4,Urban,40-49,MADHYA PRADESH,Gwalior,Male,In seeing,173
23,4,Urban,50-59,MADHYA PRADESH,Gwalior,Male,In seeing,109
23,4,Urban,60-69,MADHYA PRADESH,Gwalior,Male,In seeing,155
23,4,Urban,70-79,MADHYA PRADESH,Gwalior,Male,In seeing,71
23,4,Urban,80-89,MADHYA PRADESH,Gwalior,Male,In seeing,34
23,4,Urban,90+,MADHYA PRADESH,Gwalior,Male,In seeing,6
23,4,Urban,Age Not Stated,MADHYA PRADESH,Gwalior,Male,In seeing,0
23,5,Rural,0-4,MADHYA PRADESH,Datia,Male,In seeing,40
23,5,Rural,5-9,MADHYA PRADESH,Datia,Male,In seeing,52
23,5,Rural,10-19,MADHYA PRADESH,Datia,Male,In seeing,125
23,5,Rural,20-29,MADHYA PRADESH,Datia,Male,In seeing,105
23,5,Rural,30-39,MADHYA PRADESH,Datia,Male,In seeing,77
23,5,Rural,40-49,MADHYA PRADESH,Datia,Male,In seeing,96
23,5,Rural,50-59,MADHYA PRADESH,Datia,Male,In seeing,93
23,5,Rural,60-69,MADHYA PRADESH,Datia,Male,In seeing,99
23,5,Rural,70-79,MADHYA PRADESH,Datia,Male,In seeing,111
23,5,Rural,80-89,MADHYA PRADESH,Datia,Male,In seeing,34
23,5,Rural,90+,MADHYA PRADESH,Datia,Male,In seeing,12
