State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
14,1,Rural,0-4,MANIPUR,Senapati,Male,In seeing,124
14,1,Rural,5-9,MANIPUR,Senapati,Male,In seeing,143
14,1,Rural,10-19,MANIPUR,Senapati,Male,In seeing,343
14,1,Rural,20-29,MANIPUR,Senapati,Male,In seeing,323
14,1,Rural,30-39,MANIPUR,Senapati,Male,In seeing,213
14,1,Rural,40-49,MANIPUR,Senapati,Male,In seeing,201
14,1,Rural,50-59,MANIPUR,Senapati,Male,In seeing,143
14,1,Rural,60-69,MANIPUR,Senapati,Male,In seeing,92
14,1,Rural,70-79,MANIPUR,Senapati,Male,In seeing,38
14,1,Rural,80-89,MANIPUR,Senapati,Male,In seeing,15
14,1,Rural,90+,MANIPUR,Senapati,Male,In seeing,9
14,1,Rural,Age Not Stated,MANIPUR,Senapati,Male,In seeing,2
14,1,Urban,0-4,MANIPUR,Senapati,Male,In seeing,2
14,1,Urban,5-9,MANIPUR,Senapati,Male,In seeing,5
14,1,Urban,10-19,MANIPUR,Senapati,Male,In seeing,6
14,1,Urban,20-29,MANIPUR,Senapati,Male,In seeing,2
14,1,Urban,30-39,MANIPUR,Senapati,Male,In seeing,6
14,1,Urban,40-49,MANIPUR,Senapati,Male,In seeing,3
14,1,Urban,50-59,MANIPUR,Senapati,Male,In seeing,1
14,1,Urban,60-69,MANIPUR,Senapati,Male,In seeing,1
14,1,Urban,70-79,MANIPUR,Senapati,Male,In seeing,0
14,1,Urban,80-89,MANIPUR,Senapati,Male,In seeing,0
14,1,Urban,90+,MANIPUR,Senapati,Male,In seeing,0
14,1,Urban,Age Not Stated,MANIPUR,Senapati,Male,In seeing,0
14,2,Rural,0-4,MANIPUR,Tamenglong ,Male,In seeing,15
14,2,Rural,5-9,MANIPUR,Tamenglong ,Male,In seeing,20
14,2,Rural,10-19,MANIPUR,Tamenglong ,Male,In seeing,52
14,2,Rural,20-29,MANIPUR,Tamenglong ,Male,In seeing,43
14,2,Rural,30-39,MANIPUR,Tamenglong ,Male,In seeing,35
14,2,Rural,40-49,MANIPUR,Tamenglong ,Male,In seeing,33
14,2,Rural,50-59,MANIPUR,Tamenglong ,Male,In seeing,19
14,2,Rural,60-69,MANIPUR,Tamenglong ,Male,In seeing,18
14,2,Rural,70-79,MANIPUR,Tamenglong ,Male,In seeing,17
14,2,Rural,80-89,MANIPUR,Tamenglong ,Male,In seeing,9
14,2,Rural,90+,MANIPUR,Tamenglong ,Male,In seeing,3
14,2,Rural,Age Not Stated,MANIPUR,Tamenglong ,Male,In seeing,0
14,2,Urban,0-4,MANIPUR,Tamenglong ,Male,In seeing,1
14,2,Urban,5-9,MANIPUR,Tamenglong ,Male,In seeing,4
14,2,Urban,10-19,MANIPUR,Tamenglong ,Male,In seeing,8
14,2,Urban,20-29,MANIPUR,Tamenglong ,Male,In seeing,5
14,2,Urban,30-39,MANIPUR,Tamenglong ,Male,In seeing,6
14,2,Urban,40-49,MANIPUR,Tamenglong ,Male,In seeing,12
14,2,Urban,50-59,MANIPUR,Tamenglong ,Male,In seeing,17
14,2,Urban,60-69,MANIPUR,Tamenglong ,Male,In seeing,7
14,2,Urban,70-79,MANIPUR,Tamenglong ,Male,In seeing,6
14,2,Urban,80-89,MANIPUR,Tamenglong ,Male,In seeing,1
14,2,Urban,90+,MANIPUR,Tamenglong ,Male,In seeing,0
14,2,Urban,Age Not Stated,MANIPUR,Tamenglong ,Male,In seeing,0
14,3,Rural,0-4,MANIPUR,Churachandpur,Male,In seeing,33
14,3,Rural,5-9,MANIPUR,Churachandpur,Male,In seeing,32
14,3,Rural,10-19,MANIPUR,Churachandpur,Male,In seeing,57
14,3,Rural,20-29,MANIPUR,Churachandpur,Male,In seeing,64
14,3,Rural,30-39,MANIPUR,Churachandpur,Male,In seeing,39
14,3,Rural,40-49,MANIPUR,Churachandpur,Male,In seeing,44
14,3,Rural,50-59,MANIPUR,Churachandpur,Male,In seeing,35
14,3,Rural,60-69,MANIPUR,Churachandpur,Male,In seeing,39
14,3,Rural,70-79,MANIPUR,Churachandpur,Male,In seeing,23
14,3,Rural,80-89,MANIPUR,Churachandpur,Male,In seeing,6
14,3,Rural,90+,MANIPUR,Churachandpur,Male,In seeing,3
14,3,Rural,Age Not Stated,MANIPUR,Churachandpur,Male,In seeing,1
14,3,Urban,0-4,MANIPUR,Churachandpur,Male,In seeing,0
14,3,Urban,5-9,MANIPUR,Churachandpur,Male,In seeing,1
14,3,Urban,10-19,MANIPUR,Churachandpur,Male,In seeing,2
14,3,Urban,20-29,MANIPUR,Churachandpur,Male,In seeing,7
14,3,Urban,30-39,MANIPUR,Churachandpur,Male,In seeing,3
14,3,Urban,40-49,MANIPUR,Churachandpur,Male,In seeing,3
14,3,Urban,50-59,MANIPUR,Churachandpur,Male,In seeing,2
14,3,Urban,60-69,MANIPUR,Churachandpur,Male,In seeing,1
14,3,Urban,70-79,MANIPUR,Churachandpur,Male,In seeing,0
14,3,Urban,80-89,MANIPUR,Churachandpur,Male,In seeing,1
14,3,Urban,90+,MANIPUR,Churachandpur,Male,In seeing,0
14,3,Urban,Age Not Stated,MANIPUR,Churachandpur,Male,In seeing,0
14,4,Rural,0-4,MANIPUR,Bishnupur,Male,In seeing,12
14,4,Rural,5-9,MANIPUR,Bishnupur,Male,In seeing,24
14,4,Rural,10-19,MANIPUR,Bishnupur,Male,In seeing,47
14,4,Rural,20-29,MANIPUR,Bishnupur,Male,In seeing,47
14,4,Rural,30-39,MANIPUR,Bishnupur,Male,In seeing,43
14,4,Rural,40-49,MANIPUR,Bishnupur,Male,In seeing,36
14,4,Rural,50-59,MANIPUR,Bishnupur,Male,In seeing,35
14,4,Rural,60-69,MANIPUR,Bishnupur,Male,In seeing,27
14,4,Rural,70-79,MANIPUR,Bishnupur,Male,In seeing,26
14,4,Rural,80-89,MANIPUR,Bishnupur,Male,In seeing,9
14,4,Rural,90+,MANIPUR,Bishnupur,Male,In seeing,0
14,4,Rural,Age Not Stated,MANIPUR,Bishnupur,Male,In seeing,0
14,4,Urban,0-4,MANIPUR,Bishnupur,Male,In seeing,6
14,4,Urban,5-9,MANIPUR,Bishnupur,Male,In seeing,13
14,4,Urban,10-19,MANIPUR,Bishnupur,Male,In seeing,15
14,4,Urban,20-29,MANIPUR,Bishnupur,Male,In seeing,9
14,4,Urban,30-39,MANIPUR,Bishnupur,Male,In seeing,15
14,4,Urban,40-49,MANIPUR,Bishnupur,Male,In seeing,23
14,4,Urban,50-59,MANIPUR,Bishnupur,Male,In seeing,22
14,4,Urban,60-69,MANIPUR,Bishnupur,Male,In seeing,14
14,4,Urban,70-79,MANIPUR,Bishnupur,Male,In seeing,12
14,4,Urban,80-89,MANIPUR,Bishnupur,Male,In seeing,8
14,4,Urban,90+,MANIPUR,Bishnupur,Male,In seeing,1
14,4,Urban,Age Not Stated,MANIPUR,Bishnupur,Male,In seeing,0
14,5,Rural,0-4,MANIPUR,Thoubal,Male,In seeing,27
14,5,Rural,5-9,MANIPUR,Thoubal,Male,In seeing,39
14,5,Rural,10-19,MANIPUR,Thoubal,Male,In seeing,64
14,5,Rural,20-29,MANIPUR,Thoubal,Male,In seeing,44
14,5,Rural,30-39,MANIPUR,Thoubal,Male,In seeing,56
14,5,Rural,40-49,MANIPUR,Thoubal,Male,In seeing,32
14,5,Rural,50-59,MANIPUR,Thoubal,Male,In seeing,45
14,5,Rural,60-69,MANIPUR,Thoubal,Male,In seeing,51
14,5,Rural,70-79,MANIPUR,Thoubal,Male,In seeing,31
14,5,Rural,80-89,MANIPUR,Thoubal,Male,In seeing,16
14,5,Rural,90+,MANIPUR,Thoubal,Male,In seeing,0
14,5,Rural,Age Not Stated,MANIPUR,Thoubal,Male,In seeing,3
14,5,Urban,0-4,MANIPUR,Thoubal,Male,In seeing,15
14,5,Urban,5-9,MANIPUR,Thoubal,Male,In seeing,15
14,5,Urban,10-19,MANIPUR,Thoubal,Male,In seeing,26
14,5,Urban,20-29,MANIPUR,Thoubal,Male,In seeing,29
14,5,Urban,30-39,MANIPUR,Thoubal,Male,In seeing,31
14,5,Urban,40-49,MANIPUR,Thoubal,Male,In seeing,25
14,5,Urban,50-59,MANIPUR,Thoubal,Male,In seeing,20
14,5,Urban,60-69,MANIPUR,Thoubal,Male,In seeing,5
14,5,Urban,70-79,MANIPUR,Thoubal,Male,In seeing,5
14,5,Urban,80-89,MANIPUR,Thoubal,Male,In seeing,7
14,5,Urban,90+,MANIPUR,Thoubal,Male,In seeing,0
14,5,Urban,Age Not Stated,MANIPUR,Thoubal,Male,In seeing,0
14,6,Rural,0-4,MANIPUR,Imphal West,Male,In seeing,60
14,6,Rural,5-9,MANIPUR,Imphal West,Male,In seeing,52
14,6,Rural,10-19,MANIPUR,Imphal West,Male,In seeing,146
14,6,Rural,20-29,MANIPUR,Imphal West,Male,In seeing,129
14,6,Rural,30-39,MANIPUR,Imphal West,Male,In seeing,115
14,6,Rural,40-49,MANIPUR,Imphal West,Male,In seeing,82
14,6,Rural,50-59,MANIPUR,Imphal West,Male,In seeing,79
14,6,Rural,60-69,MANIPUR,Imphal West,Male,In seeing,61
14,6,Rural,70-79,MANIPUR,Imphal West,Male,In seeing,36
14,6,Rural,80-89,MANIPUR,Imphal West,Male,In seeing,12
14,6,Rural,90+,MANIPUR,Imphal West,Male,In seeing,4
14,6,Rural,Age Not Stated,MANIPUR,Imphal West,Male,In seeing,0
14,6,Urban,0-4,MANIPUR,Imphal West,Male,In seeing,133
14,6,Urban,5-9,MANIPUR,Imphal West,Male,In seeing,103
14,6,Urban,10-19,MANIPUR,Imphal West,Male,In seeing,278
14,6,Urban,20-29,MANIPUR,Imphal West,Male,In seeing,269
14,6,Urban,30-39,MANIPUR,Imphal West,Male,In seeing,272
14,6,Urban,40-49,MANIPUR,Imphal West,Male,In seeing,219
14,6,Urban,50-59,MANIPUR,Imphal West,Male,In seeing,123
14,6,Urban,60-69,MANIPUR,Imphal West,Male,In seeing,96
14,6,Urban,70-79,MANIPUR,Imphal West,Male,In seeing,62
14,6,Urban,80-89,MANIPUR,Imphal West,Male,In seeing,25
14,6,Urban,90+,MANIPUR,Imphal West,Male,In seeing,6
14,6,Urban,Age Not Stated,MANIPUR,Imphal West,Male,In seeing,4
14,7,Rural,0-4,MANIPUR,Imphal East,Male,In seeing,126
14,7,Rural,5-9,MANIPUR,Imphal East,Male,In seeing,120
14,7,Rural,10-19,MANIPUR,Imphal East,Male,In seeing,249
14,7,Rural,20-29,MANIPUR,Imphal East,Male,In seeing,208
14,7,Rural,30-39,MANIPUR,Imphal East,Male,In seeing,173
14,7,Rural,40-49,MANIPUR,Imphal East,Male,In seeing,155
14,7,Rural,50-59,MANIPUR,Imphal East,Male,In seeing,120
14,7,Rural,60-69,MANIPUR,Imphal East,Male,In seeing,81
14,7,Rural,70-79,MANIPUR,Imphal East,Male,In seeing,32
14,7,Rural,80-89,MANIPUR,Imphal East,Male,In seeing,15
14,7,Rural,90+,MANIPUR,Imphal East,Male,In seeing,3
14,7,Rural,Age Not Stated,MANIPUR,Imphal East,Male,In seeing,5
14,7,Urban,0-4,MANIPUR,Imphal East,Male,In seeing,37
14,7,Urban,5-9,MANIPUR,Imphal East,Male,In seeing,55
14,7,Urban,10-19,MANIPUR,Imphal East,Male,In seeing,104
14,7,Urban,20-29,MANIPUR,Imphal East,Male,In seeing,109
14,7,Urban,30-39,MANIPUR,Imphal East,Male,In seeing,95
14,7,Urban,40-49,MANIPUR,Imphal East,Male,In seeing,73
14,7,Urban,50-59,MANIPUR,Imphal East,Male,In seeing,64
14,7,Urban,60-69,MANIPUR,Imphal East,Male,In seeing,38
14,7,Urban,70-79,MANIPUR,Imphal East,Male,In seeing,25
14,7,Urban,80-89,MANIPUR,Imphal East,Male,In seeing,12
14,7,Urban,90+,MANIPUR,Imphal East,Male,In seeing,1
14,7,Urban,Age Not Stated,MANIPUR,Imphal East,Male,In seeing,0
14,8,Rural,0-4,MANIPUR,Ukhrul,Male,In seeing,53
14,8,Rural,5-9,MANIPUR,Ukhrul,Male,In seeing,64
14,8,Rural,10-19,MANIPUR,Ukhrul,Male,In seeing,155
14,8,Rural,20-29,MANIPUR,Ukhrul,Male,In seeing,120
14,8,Rural,30-39,MANIPUR,Ukhrul,Male,In seeing,98
14,8,Rural,40-49,MANIPUR,Ukhrul,Male,In seeing,80
14,8,Rural,50-59,MANIPUR,Ukhrul,Male,In seeing,71
14,8,Rural,60-69,MANIPUR,Ukhrul,Male,In seeing,53
14,8,Rural,70-79,MANIPUR,Ukhrul,Male,In seeing,25
14,8,Rural,80-89,MANIPUR,Ukhrul,Male,In seeing,8
14,8,Rural,90+,MANIPUR,Ukhrul,Male,In seeing,0
14,8,Rural,Age Not Stated,MANIPUR,Ukhrul,Male,In seeing,5
14,8,Urban,0-4,MANIPUR,Ukhrul,Male,In seeing,17
14,8,Urban,5-9,MANIPUR,Ukhrul,Male,In seeing,16
14,8,Urban,10-19,MANIPUR,Ukhrul,Male,In seeing,52
14,8,Urban,20-29,MANIPUR,Ukhrul,Male,In seeing,28
