State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
17,1,Rural,0-4,MEGHALAYA,West Garo Hills,Male,In seeing,40
17,1,Rural,5-9,MEGHALAYA,West Garo Hills,Male,In seeing,55
17,1,Rural,10-19,MEGHALAYA,West Garo Hills,Male,In seeing,118
17,1,Rural,20-29,MEGHALAYA,West Garo Hills,Male,In seeing,87
17,1,Rural,30-39,MEGHALAYA,West Garo Hills,Male,In seeing,64
17,1,Rural,40-49,MEGHALAYA,West Garo Hills,Male,In seeing,107
17,1,Rural,50-59,MEGHALAYA,West Garo Hills,Male,In seeing,154
17,1,Rural,60-69,MEGHALAYA,West Garo Hills,Male,In seeing,121
17,1,Rural,70-79,MEGHALAYA,West Garo Hills,Male,In seeing,61
17,1,Rural,80-89,MEGHALAYA,West Garo Hills,Male,In seeing,22
17,1,Rural,90+,MEGHALAYA,West Garo Hills,Male,In seeing,10
17,1,Rural,Age Not Stated,MEGHALAYA,West Garo Hills,Male,In seeing,1
17,1,Urban,0-4,MEGHALAYA,West Garo Hills,Male,In seeing,1
17,1,Urban,5-9,MEGHALAYA,West Garo Hills,Male,In seeing,3
17,1,Urban,10-19,MEGHALAYA,West Garo Hills,Male,In seeing,8
17,1,Urban,20-29,MEGHALAYA,West Garo Hills,Male,In seeing,9
17,1,Urban,30-39,MEGHALAYA,West Garo Hills,Male,In seeing,7
17,1,Urban,40-49,MEGHALAYA,West Garo Hills,Male,In seeing,12
17,1,Urban,50-59,MEGHALAYA,West Garo Hills,Male,In seeing,9
17,1,Urban,60-69,MEGHALAYA,West Garo Hills,Male,In seeing,11
17,1,Urban,70-79,MEGHALAYA,West Garo Hills,Male,In seeing,6
17,1,Urban,80-89,MEGHALAYA,West Garo Hills,Male,In seeing,3
17,1,Urban,90+,MEGHALAYA,West Garo Hills,Male,In seeing,1
17,1,Urban,Age Not Stated,MEGHALAYA,West Garo Hills,Male,In seeing,0
17,2,Rural,0-4,MEGHALAYA,East Garo Hills,Male,In seeing,13
17,2,Rural,5-9,MEGHALAYA,East Garo Hills,Male,In seeing,22
17,2,Rural,10-19,MEGHALAYA,East Garo Hills,Male,In seeing,40
17,2,Rural,20-29,MEGHALAYA,East Garo Hills,Male,In seeing,35
17,2,Rural,30-39,MEGHALAYA,East Garo Hills,Male,In seeing,33
17,2,Rural,40-49,MEGHALAYA,East Garo Hills,Male,In seeing,32
17,2,Rural,50-59,MEGHALAYA,East Garo Hills,Male,In seeing,35
17,2,Rural,60-69,MEGHALAYA,East Garo Hills,Male,In seeing,26
17,2,Rural,70-79,MEGHALAYA,East Garo Hills,Male,In seeing,12
17,2,Rural,80-89,MEGHALAYA,East Garo Hills,Male,In seeing,2
17,2,Rural,90+,MEGHALAYA,East Garo Hills,Male,In seeing,1
17,2,Rural,Age Not Stated,MEGHALAYA,East Garo Hills,Male,In seeing,4
17,2,Urban,0-4,MEGHALAYA,East Garo Hills,Male,In seeing,5
17,2,Urban,5-9,MEGHALAYA,East Garo Hills,Male,In seeing,2
17,2,Urban,10-19,MEGHALAYA,East Garo Hills,Male,In seeing,1
17,2,Urban,20-29,MEGHALAYA,East Garo Hills,Male,In seeing,8
17,2,Urban,30-39,MEGHALAYA,East Garo Hills,Male,In seeing,5
17,2,Urban,40-49,MEGHALAYA,East Garo Hills,Male,In seeing,6
17,2,Urban,50-59,MEGHALAYA,East Garo Hills,Male,In seeing,3
17,2,Urban,60-69,MEGHALAYA,East Garo Hills,Male,In seeing,4
17,2,Urban,70-79,MEGHALAYA,East Garo Hills,Male,In seeing,1
17,2,Urban,80-89,MEGHALAYA,East Garo Hills,Male,In seeing,0
17,2,Urban,90+,MEGHALAYA,East Garo Hills,Male,In seeing,0
17,2,Urban,Age Not Stated,MEGHALAYA,East Garo Hills,Male,In seeing,0
17,3,Rural,0-4,MEGHALAYA,South Garo Hills,Male,In seeing,7
17,3,Rural,5-9,MEGHALAYA,South Garo Hills,Male,In seeing,19
17,3,Rural,10-19,MEGHALAYA,South Garo Hills,Male,In seeing,23
17,3,Rural,20-29,MEGHALAYA,South Garo Hills,Male,In seeing,21
